Energy	Extintion_coefficent
6.17391	0.56512
6.41204	0.59454
6.59538	0.57465
6.77857	0.55146
6.96523	0.60725
7.07251	0.65323
7.28606	0.72216
7.36775	0.78462
7.50278	0.86348
7.61021	0.91275
7.76824	0.91591
7.92382	0.86313
8.13189	0.80702
8.31393	0.75751
8.54917	0.72112
8.98211	0.72945
9.25702	0.69884
9.6693	0.65075
9.94366	0.60282
10.18313	0.54193
10.49157	0.48096
10.97241	0.41981
11.41985	0.39334
11.83363	0.3929
12.31665	0.40104
12.90311	0.40906
13.52391	0.41272
13.9385	0.43826
14.611530918588329	0.4380949725343668
15.210885871232184	0.43328778964392267
16.515647510433222	0.4324624264562362
17.50212382306741	0.40084209352257183
18.171485932576743	0.37827844854027814
19.052561135432057	0.3600089228452723
19.827974978854712	0.34623428045618043

