omega,n,k
6.300000,5.910271,1.977693
6.327273,5.908709,1.955466
6.354545,5.914292,1.928124
6.381818,5.927842,1.895643
6.409091,5.950361,1.858102
6.436364,5.982998,1.815749
6.463636,6.026991,1.769039
6.490909,6.083597,1.718667
6.518182,6.154013,1.665549
6.545455,6.239309,1.610788
6.572727,6.340382,1.555603
6.600000,6.457939,1.501241
6.627273,6.592518,1.448891
6.654545,6.744549,1.399600
6.681818,6.914434,1.354216
6.709091,7.102652,1.313354
6.736364,7.309869,1.277390
6.763636,7.537058,1.246472
6.790909,7.785610,1.220553
6.818182,8.057450,1.199427
6.845455,8.355173,1.182771
6.872727,8.682189,1.170183
6.900000,9.042911,1.161213
6.927273,9.443011,1.155393
6.954545,9.889756,1.152254
6.981818,10.392495,1.151346
7.009091,10.963352,1.152246
7.036364,11.618245,1.154562
7.063636,12.378422,1.157940
7.090909,13.272833,1.162065
7.118182,14.341926,1.166659
7.145455,15.643958,1.171480
7.172727,17.266000,1.176323
7.200000,19.344280,1.181012
7.227273,22.104620,1.185403
7.254545,25.950668,1.189378
7.281818,31.681996,1.192844
7.309091,41.137530,1.195730
7.336364,59.698008,1.197983
7.363636,112.734048,1.199569
7.390909,1549.294410,1.200466
7.418182,-125.826202,1.200666
7.445455,-59.052353,1.200172
7.472727,-37.960724,1.198995
7.500000,-27.619817,1.197155
7.527273,-21.478433,1.194676
7.554545,-17.409318,1.191587
7.581818,-14.514213,1.187921
7.609091,-12.348303,1.183714
7.636364,-10.666143,1.179002
7.663636,-9.321201,1.173824
7.690909,-8.220587,1.168217
7.718182,-7.302556,1.162220
7.745455,-6.524459,1.155869
7.772727,-5.855888,1.149202
7.800000,-5.274570,1.142252
7.827273,-4.763815,1.135053
7.854545,-4.310866,1.127636
7.881818,-3.905798,1.120032
7.909091,-3.540771,1.112269
7.936364,-3.209504,1.104372
7.963636,-2.906901,1.096366
7.990909,-2.628780,1.088273
8.018182,-2.371670,1.080113
8.045455,-2.132661,1.071906
8.072727,-1.909287,1.063669
8.100000,-1.699442,1.055416
8.127273,-1.501304,1.047162
8.154545,-1.313286,1.038920
8.181818,-1.133985,1.030699
8.209091,-0.962155,1.022510
8.236364,-0.796669,1.014362
8.263636,-0.636497,1.006261
8.290909,-0.480686,0.998215
8.318182,-0.328339,0.990227
8.345455,-0.178597,0.982304
8.372727,-0.030627,0.974447
8.400000,0.116401,0.966661
8.427273,0.263321,0.958946
8.454545,0.410995,0.951306
8.481818,0.560328,0.943739
8.509091,0.712289,0.936247
8.536364,0.867937,0.928830
8.563636,1.028447,0.921486
8.590909,1.195149,0.914215
8.618182,1.369574,0.907015
8.645455,1.553508,0.899884
8.672727,1.749074,0.892820
8.700000,1.958831,0.885821
8.727273,2.185911,0.878885
8.754545,2.434216,0.872007
8.781818,2.708684,0.865186
8.809091,3.015682,0.858417
8.836364,3.363585,0.851699
8.863636,3.763663,0.845026
8.890909,4.231468,0.838395
8.918182,4.789121,0.831803
8.945455,5.469209,0.825247
8.972727,6.321849,0.818721
9.000000,7.428357,0.812222
