Cometarios:  Muestra208 - laser 400 - 10 promedios
Fret	Volt	Thet	DThe	Rval	DRva	FreR 
15.000000	0.375000	-83.585000E+0	125.166556E-6	7.630000E-3	2.736081E+0	14.79
20.000000	0.500000	-124.210000E+0	156.702124E-6	6.830000E-3	2.665812E+0	19.98
25.000000	0.625000	-149.745000E+0	189.736660E-6	5.660000E-3	2.785423E+0	25.1
30.000000	0.750000	-169.055000E+0	137.032032E-6	4.690000E-3	1.439415E+0	30.0
35.000000	0.875000	180.000000E+0	67.494856E-6	3.670000E-3	0.000000E+0	35.2
40.000000	1.000000	172.455000E+0	163.639169E-6	3.170000E-3	2.965960E+0	40.3
45.000000	1.125000	163.765000E+0	108.012345E-6	2.550000E-3	3.227146E+0	45.2
50.000000	1.250000	141.605000E+0	51.639778E-6	2.060000E-3	49.837165E+0	50.4
55.000000	1.375000	30.405000E+0	103.279556E-6	1.820000E-3	64.106476E+0	55.4
60.000000	1.500000	0.000000E+0	97.182532E-6	1.650000E-3	0.000000E+0	60.5
65.000000	1.625000	0.000000E+0	63.245553E-6	1.480000E-3	0.000000E+0	65.5
70.000000	1.750000	0.000000E+0	117.851130E-6	1.250000E-3	0.000000E+0	70.7
75.000000	1.875000	0.000000E+0	63.245553E-6	1.180000E-3	0.000000E+0	76.0
80.000000	2.000000	0.000000E+0	56.764621E-6	1.090000E-3	0.000000E+0	80.7
85.000000	2.125000	0.000000E+0	126.491106E-6	940.000000E-6	0.000000E+0	86.0
90.000000	2.250000	0.000000E+0	99.442893E-6	790.000000E-6	0.000000E+0	90.8
95.000000	2.375000	0.000000E+0	52.704628E-6	650.000000E-6	0.000000E+0	95.5
100.000000	2.500000	0.000000E+0	126.491106E-6	540.000000E-6	0.000000E+0	100.4
105.000000	2.625000	0.000000E+0	170.293864E-6	430.000000E-6	0.000000E+0	106.5
110.000000	2.750000	0.000000E+0	202.484567E-6	210.000000E-6	0.000000E+0	110.7
115.000000	2.875000	0.000000E+0	94.868330E-6	270.000000E-6	0.000000E+0	116.1
120.000000	3.000000	0.000000E+0	141.421356E-6	300.000000E-6	0.000000E+0	121.0
125.000000	3.125000	0.000000E+0	189.736660E-6	240.000000E-6	0.000000E+0	126.2
130.000000	3.250000	0.000000E+0	126.491106E-6	240.000000E-6	0.000000E+0	131.6
135.000000	3.375000	0.000000E+0	170.293864E-6	270.000000E-6	0.000000E+0	136.7
140.000000	3.500000	0.000000E+0	154.919334E-6	180.000000E-6	0.000000E+0	141.7
145.000000	3.625000	0.000000E+0	94.868330E-6	330.000000E-6	0.000000E+0	147.0
150.000000	3.750000	0.000000E+0	189.736660E-6	240.000000E-6	0.000000E+0	152.4
155.000000	3.875000	0.000000E+0	126.491106E-6	240.000000E-6	0.000000E+0	157.8
160.000000	4.000000	0.000000E+0	0.000000E+0	300.000000E-6	0.000000E+0	162.8
165.000000	4.125000	0.000000E+0	170.293864E-6	270.000000E-6	0.000000E+0	167.6
170.000000	4.250000	0.000000E+0	200.000000E-6	300.000000E-6	0.000000E+0	172.6
175.000000	4.375000	0.000000E+0	202.484567E-6	210.000000E-6	0.000000E+0	178.1
180.000000	4.500000	0.000000E+0	158.113883E-6	150.000000E-6	0.000000E+0	183.3
185.000000	4.625000	0.000000E+0	209.761770E-6	180.000000E-6	0.000000E+0	188.2
190.000000	4.750000	0.000000E+0	202.484567E-6	210.000000E-6	0.000000E+0	193.5
195.000000	4.875000	0.000000E+0	126.491106E-6	240.000000E-6	0.000000E+0	198.4
200.000000	5.000000	0.000000E+0	94.868330E-6	330.000000E-6	0.000000E+0	203
