Wavelength	k_Cardona	
225.45455	0.68284
225.43405	0.67819
225.41356	0.67356
225.39307	0.66896
225.37259	0.66439
225.35211	0.65984
225.33164	0.65531
225.31117	0.65082
225.2907	0.64634
225.27023	0.6419
225.24977	0.63747
225.22932	0.63308
225.20886	0.62889
225.18841	0.62512
225.16797	0.62169
225.14753	0.61853
225.12709	0.6156
225.10665	0.61289
225.08622	0.61042
225.0658	0.60814
225.04496	0.60603
225.02454	0.60407
225.00413	0.60224
224.98372	0.59967
224.96331	0.5972
224.9429	0.59482
224.9225	0.59255
224.9021	0.59038
224.88171	0.58833
224.86132	0.58638
224.84093	0.58454
224.82055	0.58281
224.80017	0.58118
224.7798	0.57966
224.75943	0.57824
224.73906	0.57692
224.71869	0.5757
224.69833	0.57458
224.67798	0.57356
224.65762	0.57264
224.63727	0.57182
224.61693	0.5711
224.59659	0.57047
224.57625	0.56994
224.55591	0.5695
224.53558	0.56916
224.51526	0.56889
224.49493	0.56866
224.47461	0.56846
224.4543	0.5683
224.43398	0.56816
224.41367	0.56806
224.39337	0.56799
224.37307	0.56796
224.35277	0.56795
224.33248	0.56798
224.31218	0.56803
224.2919	0.56811
224.27161	0.5682
224.25134	0.56831
224.23065	0.56844
224.21038	0.56859
224.19011	0.56875
224.16985	0.56894
224.14959	0.56914
224.12933	0.56936
224.10908	0.5696
224.08883	0.56985
224.06858	0.57013
224.04834	0.57042
224.0281	0.57073
224.00786	0.57105
223.98763	0.57136
223.9674	0.57168
223.94718	0.572
223.92696	0.57232
223.90674	0.57265
223.88653	0.57298
223.86632	0.57331
223.84611	0.57364
223.82591	0.57398
223.80571	0.57431
223.78551	0.57465
223.76532	0.575
223.74513	0.57534
223.72495	0.57569
223.70477	0.57604
223.68459	0.5764
223.66442	0.57675
223.64425	0.57711
223.62408	0.57747
223.60392	0.57783
223.58376	0.5782
223.5636	0.57856
223.54345	0.57893
223.5233	0.5793
223.50316	0.57968
223.48302	0.58006
223.46288	0.58044
223.44275	0.58082
223.42222	0.58121
223.40209	0.5816
223.38197	0.58199
223.36185	0.58239
223.34173	0.58279
223.32162	0.58319
223.30151	0.5836
223.28141	0.584
223.26131	0.58441
223.24121	0.58483
223.22112	0.58525
223.20103	0.58567
223.18094	0.58609
223.16086	0.58652
223.14078	0.58695
223.1207	0.58738
223.10063	0.58782
223.08056	0.58826
223.0605	0.5887
223.04044	0.58914
223.02038	0.58958
223.00033	0.59002
222.98028	0.59046
222.96023	0.5909
222.94019	0.59134
222.92015	0.59178
222.90011	0.59223
222.88008	0.59267
222.86005	0.59311
222.84002	0.59356
222.82	0.594
222.79998	0.59445
222.77997	0.59489
222.75996	0.59533
222.73995	0.59577
222.71995	0.59622
222.69995	0.59666
222.67995	0.5971
222.65996	0.59755
222.63997	0.59799
222.61959	0.59843
222.5996	0.59887
222.57963	0.59932
222.55965	0.59976
222.53968	0.6002
222.51971	0.60064
222.49975	0.60107
222.47979	0.60151
222.45983	0.60195
222.43988	0.60239
222.41993	0.60282
222.39998	0.60326
222.38004	0.60369
222.3601	0.60412
222.34017	0.60455
222.32023	0.60498
222.30031	0.60541
222.28038	0.60585
222.26046	0.60627
222.24054	0.6067
222.22063	0.60713
222.20072	0.60756
222.18081	0.60798
222.16091	0.6084
222.14101	0.60883
222.12111	0.60925
222.10122	0.60967
222.08133	0.6101
222.06145	0.61052
222.04156	0.61094
222.02169	0.61136
222.00181	0.61177
221.98194	0.61218
221.96207	0.61259
221.94221	0.61298
221.92235	0.61337
221.90249	0.61375
221.88264	0.61412
221.86279	0.61449
221.84294	0.61485
221.8227	0.6152
221.80286	0.61554
221.78303	0.61587
221.7632	0.6162
221.74337	0.61652
221.72354	0.61684
221.70372	0.61714
221.6839	0.61744
221.66409	0.61774
221.64428	0.61802
221.62447	0.6183
221.60467	0.61857
221.58487	0.61883
221.56507	0.61908
221.54528	0.61933
221.52549	0.61957
221.5057	0.6198
221.48592	0.62003
221.46614	0.62026
221.44637	0.62048
221.42659	0.6207
221.40683	0.62092
221.38706	0.62114
221.3673	0.62135
221.34754	0.62156
221.32779	0.62177
221.30804	0.62198
221.28829	0.62218
221.26855	0.62239
221.24881	0.62259
221.22907	0.62278
221.20934	0.62298
221.18961	0.62317
221.16988	0.62336
221.15016	0.62354
221.13044	0.6237
221.11072	0.62385
221.09101	0.624
221.0713	0.62413
221.0516	0.62425
221.0315	0.62436
221.01181	0.62447
220.99211	0.62456
220.97242	0.62465
220.95273	0.62473
220.93305	0.62479
220.91337	0.62485
220.89369	0.6249
220.87402	0.62495
220.85435	0.62498
220.83468	0.625
220.81502	0.62502
220.79536	0.62502
220.77571	0.62502
220.75605	0.62501
220.73641	0.62498
220.71676	0.62496
220.69712	0.62492
220.67748	0.62487
220.65785	0.62481
220.63821	0.62474
220.61859	0.62467
220.59896	0.62458
220.57934	0.62448
220.55972	0.62436
220.54011	0.62423
220.5205	0.62409
220.50089	0.62394
220.48129	0.62377
220.46169	0.62358
220.44209	0.62338
220.4225	0.62317
220.40291	0.62294
220.38332	0.62271
220.36374	0.62245
220.34416	0.62218
220.32459	0.6219
220.30502	0.62161
220.28545	0.6213
220.26588	0.62098
220.24593	0.62066
220.22637	0.62034
220.20682	0.62002
220.18727	0.6197
220.16772	0.61938
220.14817	0.61906
220.12863	0.61874
220.1091	0.61843
220.08956	0.61811
220.07003	0.61779
220.05051	0.61747
220.03098	0.61714
220.01146	0.61681
219.99195	0.61648
219.97243	0.61614
219.95292	0.61579
219.93342	0.61544
219.91391	0.61509
219.89442	0.61473
219.87492	0.61436
219.85543	0.61398
219.83594	0.61361
219.81645	0.61322
219.79697	0.61283
219.77749	0.61244
219.75802	0.61204
219.73855	0.61163
219.71908	0.61122
219.69961	0.6108
219.68015	0.61038
219.6607	0.60995
219.64124	0.60951
219.62179	0.60907
219.60234	0.60863
219.5829	0.60817
219.56346	0.60772
219.54402	0.60726
219.52459	0.60679
219.50516	0.60631
219.48573	0.60583
219.46592	0.60535
219.4465	0.60486
219.42708	0.60436
219.40767	0.60386
219.38826	0.60335
219.36885	0.60284
219.34945	0.60232
219.33005	0.60179
219.31066	0.60126
219.29126	0.60072
219.27188	0.60018
219.25249	0.59963
219.23311	0.59907
219.21373	0.59849
219.19435	0.59792
219.17498	0.59734
219.15561	0.59676
219.13625	0.59618
219.11689	0.59561
219.09753	0.59504
219.07818	0.59447
219.05882	0.59391
219.03948	0.59335
219.02013	0.59279
219.00079	0.59223
218.98145	0.59168
218.96212	0.59113
218.94279	0.59058
218.92346	0.59003
218.90414	0.58949
218.88482	0.58895
218.8655	0.58842
218.84619	0.58789
218.82688	0.58735
218.80757	0.58683
218.78827	0.5863
218.76897	0.58578
218.74967	0.58527
218.73038	0.58475
218.71109	0.58424
218.69141	0.58373
218.67213	0.58322
218.65285	0.58273
218.63358	0.58224
218.6143	0.58177
218.59503	0.58132
218.57577	0.58087
218.5565	0.58044
218.53725	0.58002
218.51799	0.57961
218.49874	0.57922
218.47949	0.57884
218.46024	0.57847
218.441	0.57812
218.42176	0.57777
218.40253	0.57745
218.38329	0.57714
218.36407	0.57684
218.34484	0.57657
218.32562	0.5763
218.3064	0.57605
218.28718	0.5758
218.26797	0.57556
218.24876	0.57534
218.22956	0.57512
218.21036	0.57491
218.19116	0.57472
218.17197	0.57453
218.15277	0.57436
218.13359	0.57419
218.1144	0.57403
218.09522	0.57389
218.07604	0.57375
218.05687	0.57362
218.0377	0.5735
218.01853	0.5734
217.99936	0.5733
217.9802	0.57321
217.96104	0.57313
217.94189	0.57306
217.92236	0.573
217.90321	0.57296
217.88406	0.57292
217.86492	0.57289
217.84579	0.57287
217.82665	0.57287
217.80752	0.57289
217.78839	0.57292
217.76927	0.57297
217.75015	0.57303
217.73103	0.57309
217.71192	0.57317
217.69281	0.57326
217.6737	0.57336
217.6546	0.57346
217.6355	0.57358
217.6164	0.57371
217.5973	0.57385
217.57821	0.574
217.55913	0.57416
217.54004	0.57433
217.52096	0.57451
217.50189	0.5747
217.48281	0.5749
217.46374	0.57511
217.44467	0.57533
217.42561	0.57557
217.40655	0.57581
217.38749	0.57606
217.36844	0.57632
217.34939	0.5766
217.33034	0.57688
217.3113	0.57717
217.29226	0.57748
217.27322	0.57779
217.25419	0.57811
217.23516	0.57845
217.21613	0.57879
217.19711	0.57915
217.17809	0.57951
217.15869	0.57989
217.13968	0.58027
217.12066	0.58067
217.10166	0.58107
217.08265	0.58149
217.06365	0.58191
217.04466	0.58235
217.02566	0.5828
217.00667	0.58325
216.98769	0.58372
216.9687	0.58418
216.94972	0.58465
216.93074	0.58512
216.91177	0.58558
216.8928	0.58605
216.87383	0.58651
216.85487	0.58698
216.83591	0.58744
216.81695	0.58791
216.798	0.58837
216.77905	0.58884
216.7601	0.5893
216.74116	0.58976
216.72222	0.59022
216.70328	0.59068
216.68435	0.59113
216.66541	0.59158
216.64649	0.59203
216.62756	0.59247
216.60864	0.59291
216.58972	0.59335
216.57081	0.59379
216.5519	0.59422
216.53299	0.59464
216.51409	0.59507
216.49519	0.59549
216.47629	0.59591
216.4574	0.59633
216.4385	0.59674
216.41962	0.59716
216.40035	0.59757
216.38147	0.59797
216.3626	0.59837
216.34372	0.59877
216.32485	0.59917
216.30598	0.59956
216.28712	0.59995
216.26826	0.60034
216.2494	0.60073
216.23054	0.60111
216.21169	0.60149
216.19284	0.60186
216.174	0.60224
216.15516	0.60261
216.13632	0.60298
216.11748	0.60334
216.09865	0.6037
216.07982	0.60406
216.061	0.60442
216.04218	0.60477
216.02336	0.60512
216.00454	0.60547
215.98573	0.60582
215.96692	0.60616
215.94812	0.6065
215.92931	0.60683
215.91052	0.60713
215.89172	0.60742
215.87293	0.6077
215.85414	0.60797
215.83535	0.60822
215.81657	0.60845
215.79779	0.60868
215.77901	0.60889
215.76024	0.60908
215.74147	0.60926
215.72271	0.60943
215.70394	0.60959
215.68518	0.60973
215.66643	0.60986
215.6473	0.60997
215.62855	0.61007
215.6098	0.61016
215.59106	0.61023
215.57232	0.61029
215.55358	0.61034
215.53485	0.61037
215.51612	0.61039
215.49739	0.6104
215.47867	0.61039
215.45995	0.61037
215.44123	0.61033
215.42251	0.61028
215.4038	0.61022
215.3851	0.61014
215.36639	0.61005
215.34769	0.60995
215.32899	0.60983
215.3103	0.6097
215.29161	0.60956
215.27292	0.6094
215.25423	0.60923
215.23555	0.60904
215.21687	0.60884
215.1982	0.60863
215.17953	0.60841
215.16086	0.60816
215.14219	0.60791
215.12353	0.60763
215.10487	0.60735
215.08622	0.60707
215.06756	0.60679
215.04891	0.60651
215.03027	0.60623
215.01163	0.60595
214.99299	0.60567
214.97435	0.60539
214.95572	0.6051
214.93709	0.60482
214.91846	0.60454
214.89947	0.60426
214.88085	0.60398
214.86223	0.6037
214.84361	0.60342
214.825	0.60314
214.8064	0.60285
214.78779	0.60257
214.76919	0.60229
214.75059	0.60201
214.732	0.60173
214.71341	0.60145
214.69482	0.60116
214.67624	0.60088
214.65766	0.6006
214.63908	0.60032
214.6205	0.60003
214.60193	0.59975
214.58336	0.59946
214.5648	0.59917
214.54623	0.59888
214.52768	0.59859
214.50912	0.59829
214.49057	0.598
214.47202	0.5977
214.45347	0.5974
214.43493	0.5971
214.41639	0.5968
214.39785	0.59649
214.37932	0.59618
214.36079	0.59587
214.34226	0.59556
214.32374	0.59525
214.30522	0.59494
214.2867	0.59462
214.26819	0.5943
214.24968	0.59398
214.23117	0.59366
214.21266	0.59333
214.19416	0.59301
214.17567	0.59268
214.1568	0.59235
214.13831	0.59202
214.11982	0.59168
214.10134	0.59134
214.08285	0.59099
214.06437	0.59064
214.0459	0.59029
214.02743	0.58993
214.00896	0.58957
213.99049	0.5892
213.97203	0.58883
213.95357	0.58846
213.93511	0.58808
213.91666	0.5877
213.89821	0.58731
213.87976	0.58692
213.86132	0.58652
213.84288	0.58612
213.82444	0.58572
213.80601	0.58531
213.78757	0.5849
213.76915	0.58449
213.75072	0.58407
213.7323	0.58366
213.71388	0.58324
213.69547	0.58281
213.67705	0.58239
213.65865	0.58196
213.64024	0.58153
213.62184	0.5811
213.60344	0.58067
213.58504	0.58023
213.56665	0.57981
213.54826	0.57939
213.52987	0.57898
213.51149	0.57858
213.49311	0.57819
213.47473	0.57781
213.45636	0.57745
213.43799	0.57709
213.41925	0.57674
213.40089	0.5764
213.38253	0.57607
213.36417	0.57575
213.34581	0.57544
213.32746	0.57515
213.30911	0.57486
213.29077	0.57459
213.27242	0.57432
213.25409	0.57408
213.23575	0.57384
213.21742	0.57361
213.19909	0.5734
213.18076	0.5732
213.16244	0.57301
213.14412	0.57283
213.1258	0.57267
213.10749	0.57252
213.08917	0.57238
213.07087	0.57225
213.05256	0.57214
213.03426	0.57203
213.01596	0.57194
212.99767	0.57187
212.97938	0.5718
212.96109	0.57175
212.9428	0.57171
212.92452	0.57168
212.90624	0.57166
212.88796	0.57165
212.86969	0.57166
212.85142	0.57168
212.83315	0.57171
212.81489	0.57176
212.79663	0.57181
212.77837	0.57188
212.76012	0.57196
212.74187	0.57205
212.72362	0.57213
212.70537	0.57221
212.68677	0.5723
212.66853	0.57238
212.65029	0.57246
212.63206	0.57254
212.61383	0.57263
212.5956	0.57271
212.57738	0.57279
212.55916	0.57288
212.54094	0.57296
212.52273	0.57304
212.50452	0.57313
212.48631	0.57321
212.46811	0.57329
212.44991	0.57338
212.43171	0.57346
212.41351	0.57354
212.39532	0.57362
212.37713	0.57371
212.35895	0.57379
212.34077	0.57387
212.32259	0.57396
212.30441	0.57404
212.28624	0.57412
212.26807	0.57421
212.2499	0.57429
