Wavelength	Extintion_coeff
208.78933	2.53166
212.3803	2.59892
215.97127	2.67549
219.56224	2.76524
223.15321	2.8678
226.74419	2.98118
230.33516	3.10636
233.92613	3.25624
237.5171	3.43753
241.10807	3.67006
244.69904	3.90344
248.29001	4.05191
251.88098	4.05814
255.47196	3.92736
259.06293	3.72408
262.6539	3.51936
266.24487	3.32869
269.83584	3.16298
273.42681	3.00063
277.01778	2.82658
280.60876	2.63533
284.19973	2.4488
287.7907	2.28958
291.38167	2.16958
294.97264	2.07966
298.56361	2.01866
302.15458	1.97402
305.74555	1.94601
309.33653	1.92485
312.9275	1.91365
316.51847	1.90681
320.10944	1.90547
323.70041	1.90707
327.29138	1.91225
330.88235	1.91986
334.47332	1.93
338.0643	1.94165
341.65527	1.95477
345.24624	1.96983
348.83721	1.98609
352.42818	2.00445
356.01915	2.02408
359.61012	2.04478
363.20109	2.06796
366.79207	2.09283
370.38304	2.11945
373.97401	2.1486
377.56498	2.1818
381.15595	2.22491
384.74692	2.25968
388.33789	2.26678
391.92886	2.24348
395.51984	2.19994
399.11081	2.15154
402.70178	2.10504
406.29275	2.05267
409.88372	1.99838
413.47469	1.94354
417.06566	1.88479
420.65663	1.83744
424.24761	1.77938
427.83858	1.68471
431.42955	1.54633
435.02052	1.36355
438.61149	1.17878
442.20246	1.03645
445.79343	0.93365
449.3844	0.86605
452.97538	0.80779
456.56635	0.74371
460.15732	0.69169
463.74829	0.65318
467.33926	0.6225
470.93023	0.59157
474.5212	0.55998
478.11218	0.53396
481.70315	0.51308
485.29412	0.49546
488.88509	0.47709
492.47606	0.45826
496.06703	0.44175
499.658	0.42783
503.24897	0.41587
506.83995	0.40424
510.43092	0.39157
514.02189	0.37968
517.61286	0.36916
521.20383	0.3602
524.7948	0.35222
528.38577	0.34435
531.97674	0.33594
535.56772	0.32776
539.15869	0.32013
542.74966	0.3132
546.34063	0.3068
549.9316	0.30052
553.52257	0.29403
557.11354	0.28745
560.70451	0.28107
564.29549	0.27524
567.88646	0.27006
571.47743	0.2653
575.0684	0.26059
578.65937	0.25576
582.25034	0.25086
585.84131	0.24599
589.43228	0.24144
593.02326	0.2374
596.61423	0.23379
600.2052	0.23036
603.79617	0.22683
607.38714	0.22329
610.97811	0.21976
614.56908	0.21624
618.16005	0.21271
621.75103	0.20919
625.342	0.20566
628.93297	0.20214
632.52394	0.19862
636.11491	0.1951
639.70588	0.19159
643.29685	0.18805
646.88782	0.18448
650.4788	0.18104
654.06977	0.17787
657.66074	0.17498
661.25171	0.17225
664.84268	0.1695
668.43365	0.16672
672.02462	0.16394
675.6156	0.16116
679.20657	0.15839
682.79754	0.15567
686.38851	0.15284
689.97948	0.14977
693.57045	0.14644
697.16142	0.14295
700.75239	0.13946
704.34337	0.13602
707.93434	0.13256
711.52531	0.1291
715.11628	0.12565
718.70725	0.12224
722.29822	0.11862
725.88919	0.11515
729.48016	0.11226
733.07114	0.11011
736.66211	0.10851
740.25308	0.10701
743.84405	0.10529
747.43502	0.10364
751.02599	0.10199
754.61696	0.10033
758.20793	0.09868
761.79891	0.09703
765.38988	0.09537
768.98085	0.09365
772.57182	0.09208
776.16279	0.09082
779.75376	0.08989
783.34473	0.08917
786.9357	0.08845
790.52668	0.08767
794.11765	0.0869
797.70862	0.08614
801.29959	0.08537
804.89056	0.08461
808.48153	0.08384
812.0725	0.08308
815.66347	0.08218
819.25445	0.08177
822.84542	0.08111
826.43639	0.07921
830.02736	0.07566
833.61833	0.07083
837.2093	0.06571
840.80027	0.06107
844.39124	0.05631
847.98222	0.05155
851.57319	0.04679
855.16416	0.04202
858.75513	0.03726
862.3461	0.0325
865.93707	0.02774
869.52804	0.02298
873.11902	0.0183
876.70999	0.01338
880.30096	0.00836
883.89193	0.00427
887.4829	0.00191
891.07387	0.00124
894.66484	0.00143
898.25581	0.00146
901.84679	0.00129
905.43776	0.0012
909.02873	0.00111
912.6197	0.00102
916.21067	9.35333E-4
919.80164	8.45717E-4
923.39261	7.561E-4
926.98358	6.66484E-4
930.57456	5.76868E-4
934.16553	4.87252E-4
937.7565	3.97636E-4
941.34747	3.09784E-4
944.93844	2.16834E-4
948.52941	1.22389E-4
952.12038	4.65583E-5
955.71135	4.10221E-6
959.30233	-6.13547E-6
962.8933	-5.18904E-7
966.48427	1.36963E-6
970.07524	0
973.66621	0
977.25718	0
980.84815	0
984.43912	0
988.0301	0
991.62107	0
995.21204	0
998.80301	0
1002.39398	0
1005.98495	0
1009.57592	0
1013.16689	0
1016.75787	0
1020.34884	0
1023.93981	0
1027.53078	0
1031.12175	0
1034.71272	0
1038.30369	0
1041.89466	0
1045.48564	0
1049.07661	0
1052.66758	0
1056.25855	0
