Wavelength	Index_n
208.78933	1.29402
212.49544	1.27279
216.20155	1.31372
219.90767	1.36127
223.61378	1.39242
227.31989	1.40893
231.02601	1.42957
234.73212	1.48235
238.43823	1.61532
242.14434	1.83201
245.85046	2.12818
249.55657	2.47732
253.26268	2.83839
256.96879	3.17009
260.67491	3.43804
264.38102	3.63195
268.08713	3.76147
271.79324	3.8508
275.49936	3.91491
279.20547	3.9602
282.91158	3.97346
286.6177	3.95492
290.32381	3.90874
294.02992	3.8434
297.73603	3.77291
301.44215	3.7084
305.14826	3.65539
308.85437	3.61389
312.56048	3.57904
316.2666	3.55112
319.97271	3.52861
323.67882	3.51166
327.38493	3.49898
331.09105	3.49131
334.79716	3.48754
338.50327	3.48788
342.20938	3.49277
345.9155	3.50116
349.62161	3.51277
353.32772	3.52941
357.03384	3.54834
360.73995	3.56935
364.44606	3.59727
368.15217	3.62955
371.85829	3.66699
375.5644	3.71144
379.27051	3.76834
382.97662	3.84699
386.68274	3.94577
390.38885	4.06088
394.09496	4.17425
397.80107	4.27187
401.50719	4.35069
405.2133	4.41011
408.91941	4.47403
412.62552	4.55481
416.33164	4.65799
420.03775	4.77284
423.74386	4.88664
427.44998	4.97841
431.15609	5.03017
434.8622	5.03822
438.56831	5.00742
442.27443	4.95692
445.98054	4.89809
449.68665	4.8418
453.39276	4.79169
457.09888	4.73383
460.80499	4.67879
464.5111	4.62957
468.21721	4.58669
471.92333	4.54661
475.62944	4.50929
479.33555	4.47362
483.04166	4.4392
486.74778	4.40692
490.45389	4.37733
494.16	4.34979
497.86612	4.32326
501.57223	4.29747
505.27834	4.27326
508.98445	4.25062
512.69057	4.22916
516.39668	4.20882
520.10279	4.18911
523.8089	4.17034
527.51502	4.15263
531.22113	4.13571
534.92724	4.11943
538.63335	4.10373
542.33947	4.08873
546.04558	4.07468
549.75169	4.06121
553.4578	4.04818
557.16392	4.03549
560.87003	4.02311
564.57614	4.01117
568.28226	4.00018
571.98837	3.9897
575.69448	3.97951
579.40059	3.96949
583.10671	3.95961
586.81282	3.94991
590.51893	3.94062
594.22504	3.93198
597.93116	3.92392
601.63727	3.91611
605.34338	3.90837
609.04949	3.90062
612.75561	3.89288
616.46172	3.88533
620.16783	3.87829
623.87394	3.8717
627.58006	3.86553
631.28617	3.85969
634.99228	3.85389
638.6984	3.84798
642.40451	3.84199
646.11062	3.83608
649.81673	3.83055
653.52285	3.8254
657.22896	3.82066
660.93507	3.81627
664.64118	3.81212
668.3473	3.80807
672.05341	3.80398
675.75952	3.79976
679.46563	3.7955
683.17175	3.79133
686.87786	3.78721
690.58397	3.78314
694.29008	3.77914
697.9962	3.77518
701.70231	3.77126
705.40842	3.76736
709.11454	3.76345
712.82065	3.75948
716.52676	3.7555
720.23287	3.75155
723.93899	3.74766
727.6451	3.74387
731.35121	3.7402
735.05732	3.73665
738.76344	3.7332
742.46955	3.72981
746.17566	3.72644
749.88177	3.72306
753.58789	3.71966
757.294	3.71621
761.00011	3.71271
764.70623	3.70924
768.41234	3.70586
772.11845	3.70266
775.82456	3.69968
779.53068	3.69692
