Wavelength(nm)	k
276	0.56827
277.0501	0.56638
278.1002	0.56448
279.1503	0.56259
280.2004	0.56069
281.2505	0.55879
282.3006	0.55689
283.3507	0.55499
284.4008	0.55309
285.4509	0.55119
286.501	0.54929
287.5511	0.54738
288.6012	0.54548
289.6513	0.54358
290.7014	0.54168
291.7515	0.53977
292.8016	0.53787
293.8517	0.53596
294.9018	0.53406
295.9519	0.53216
297.002	0.53025
298.0521	0.52835
299.1022	0.52645
300.1523	0.52455
301.2024	0.52265
302.25251	0.52074
303.30261	0.51884
304.35271	0.51694
305.40281	0.51505
306.45291	0.51315
307.50301	0.51125
308.55311	0.50935
309.60321	0.50746
310.65331	0.50557
311.70341	0.50367
312.75351	0.50178
313.80361	0.49989
314.85371	0.498
315.90381	0.49612
316.95391	0.49423
318.00401	0.49235
319.05411	0.49047
320.10421	0.48858
321.15431	0.48669
322.20441	0.48478
323.25451	0.48287
324.30461	0.48094
325.35471	0.47899
326.40481	0.47704
327.45491	0.47508
328.50501	0.4731
329.55511	0.47112
330.60521	0.46912
331.65531	0.46711
332.70541	0.46509
333.75551	0.46306
334.80561	0.46101
335.85571	0.45896
336.90581	0.4569
337.95591	0.45482
339.00601	0.45274
340.05611	0.45064
341.10621	0.44854
342.15631	0.44642
343.20641	0.44429
344.25651	0.44215
345.30661	0.43999
346.35671	0.43781
347.40681	0.43561
348.45691	0.43337
349.50701	0.43108
350.55711	0.42873
351.60721	0.42635
352.65731	0.42391
353.70741	0.42143
354.75752	0.4189
355.80762	0.41632
356.85772	0.4137
357.90782	0.41103
358.95792	0.40832
360.00802	0.40556
361.05812	0.40276
362.10822	0.39989
363.15832	0.39694
364.20842	0.39392
365.25852	0.39082
366.30862	0.38766
367.35872	0.38442
368.40882	0.38111
369.45892	0.37774
370.50902	0.3743
371.55912	0.3708
372.60922	0.36723
373.65932	0.3632
374.70942	0.35852
375.75952	0.35318
376.80962	0.3472
377.85972	0.34054
378.90982	0.33318
379.95992	0.32512
381.01002	0.31639
382.06012	0.30698
383.11022	0.29693
384.16032	0.28455
385.21042	0.26804
386.26052	0.24749
387.31062	0.22331
388.36072	0.19842
389.41082	0.17391
390.46092	0.15037
391.51102	0.13029
