Wavelength(nm)	n
276	2.4604
277.0501	2.46088
278.1002	2.46139
279.1503	2.46192
280.2004	2.46249
281.2505	2.46309
282.3006	2.46372
283.3507	2.46437
284.4008	2.46506
285.4509	2.46578
286.501	2.46653
287.5511	2.46731
288.6012	2.46812
289.6513	2.46895
290.7014	2.46982
291.7515	2.47072
292.8016	2.47165
293.8517	2.47261
294.9018	2.4736
295.9519	2.47462
297.002	2.47567
298.0521	2.47675
299.1022	2.47786
300.1523	2.479
301.2024	2.48017
302.25251	2.48137
303.30261	2.48259
304.35271	2.48385
305.40281	2.48514
306.45291	2.48646
307.50301	2.48781
308.55311	2.48919
309.60321	2.49059
310.65331	2.49203
311.70341	2.4935
312.75351	2.49499
313.80361	2.49652
314.85371	2.49808
315.90381	2.49966
316.95391	2.50127
318.00401	2.50292
319.05411	2.50459
320.10421	2.50629
321.15431	2.50802
322.20441	2.50977
323.25451	2.51156
324.30461	2.51336
325.35471	2.5152
326.40481	2.51706
327.45491	2.51894
328.50501	2.52086
329.55511	2.5228
330.60521	2.52476
331.65531	2.52675
332.70541	2.52877
333.75551	2.53082
334.80561	2.53289
335.85571	2.53499
336.90581	2.53711
337.95591	2.53926
339.00601	2.54144
340.05611	2.54364
341.10621	2.54587
342.15631	2.54812
343.20641	2.55042
344.25651	2.55277
345.30661	2.5552
346.35671	2.55769
347.40681	2.56024
348.45691	2.56285
349.50701	2.56552
350.55711	2.56826
351.60721	2.57104
352.65731	2.57389
353.70741	2.5768
354.75752	2.57977
355.80762	2.58279
356.85772	2.58588
357.90782	2.58902
358.95792	2.59223
360.00802	2.59549
361.05812	2.59882
362.10822	2.60236
363.15832	2.60617
364.20842	2.61025
365.25852	2.61461
366.30862	2.61924
367.35872	2.62413
368.40882	2.62929
369.45892	2.63472
370.50902	2.64042
371.55912	2.64638
372.60922	2.6526
373.65932	2.65903
374.70942	2.66564
375.75952	2.67244
376.80962	2.67942
377.85972	2.68682
378.90982	2.69498
379.95992	2.70391
381.01002	2.71362
382.06012	2.7241
383.11022	2.73535
384.16032	2.7471
385.21042	2.75696
