Wavelenght	Extintion_coeficient_10.10631.369398
331.80575	0.25644
333.03892	0.25615
334.2721	0.25594
335.50528	0.25578
336.73846	0.25567
337.97163	0.2556
339.20481	0.25555
340.43799	0.25547
341.67116	0.25539
342.90434	0.25533
344.13752	0.25527
345.3707	0.25522
346.60387	0.2552
347.83705	0.25521
349.07023	0.25524
350.30341	0.25528
351.53658	0.25535
352.76976	0.25544
354.00294	0.25554
355.23612	0.25565
356.46929	0.25581
357.70247	0.25602
358.93565	0.2563
360.16883	0.25664
361.402	0.25704
362.63518	0.25745
363.86836	0.25784
365.10154	0.2582
366.33471	0.25852
367.56789	0.25884
368.80107	0.25918
370.03424	0.2595
371.26742	0.25993
372.5006	0.2602
373.73378	0.25966
374.96695	0.25811
376.20013	0.25532
377.43331	0.25118
378.66649	0.24501
379.89966	0.2356
381.13284	0.22245
382.36602	0.20638
383.5992	0.18749
384.83237	0.16636
386.06555	0.14369
387.29873	0.12034
388.53191	0.09745
389.76508	0.07641
390.99826	0.05839
392.23144	0.04391
393.46462	0.03265
394.69779	0.0239
395.93097	0.01756
397.16415	0.01376
398.39732	0.01141
399.6305	0.00997
400.86368	0.00886
402.09686	0.00805
403.33003	0.00746
404.56321	0.00691
405.79639	0.00648
407.02957	0.00602
408.26274	0.00563
409.49592	0.00525
410.7291	0.00487
411.96228	0.00454
413.19545	0.00425
414.42863	0.00401
415.66181	0.00382
416.89499	0.00368
418.12816	0.00356
419.36134	0.00342
420.59452	0.00323
421.8277	0.00296
423.06087	0.00259
424.29405	0.00215
425.52723	0.00167
426.76041	0.0012
427.99358	7.63879E-4
429.22676	4.03994E-4
430.45994	1.51887E-4
431.69311	-2.92251E-7
432.92629	-7.29261E-5
434.15947	-8.21537E-5
435.39265	-5.13947E-5
436.62582	-1.13496E-5
437.859	-3.24274E-6
439.09218	5.26946E-6
440.32536	1.13496E-5
441.55853	1.21603E-5
442.79171	4.86411E-6
444.02489	0
445.25807	0
446.49124	0
447.72442	0
448.9576	0
450.19078	0
451.42395	0
452.65713	0
453.89031	0
455.12349	0
456.35666	0
457.58984	0
458.82302	0
460.05619	0
461.28937	0
462.52255	0
463.75573	0
464.9889	0
466.22208	0
467.45526	0
468.68844	0
469.92161	0
471.15479	0
472.38797	0
473.62115	0
474.85432	0
476.0875	0
477.32068	0
478.55386	0
479.78703	0
481.02021	0
482.25339	0
483.48657	0
484.71974	0
485.95292	0
487.1861	0
488.41927	0
489.65245	0
490.88563	0
492.11881	0
493.35198	0
494.58516	0
495.81834	0
497.05152	0
498.28469	0
499.51787	0
500.75105	0
501.98423	0
503.2174	0
504.45058	0
505.68376	0
506.91694	0
508.15011	0
509.38329	0
510.61647	0
511.84965	0
513.08282	0
514.316	0
515.54918	0
516.78236	0
518.01553	0
519.24871	0
520.48189	0
521.71506	0
522.94824	0
524.18142	0
525.4146	0
526.64777	0
527.88095	0
529.11413	0
530.34731	0
531.58048	0
532.81366	0
534.04684	0
535.28002	0
536.51319	0
537.74637	0
538.97955	0
540.21273	0
541.4459	0
542.67908	0
543.91226	0
545.14544	0
546.37861	0
547.61179	0
548.84497	0
550.07814	0
551.31132	0
552.5445	0
553.77768	0
555.01085	0
556.24403	0
557.47721	0
558.71039	0
559.94356	0
561.17674	0
562.40992	0
563.6431	0
564.87627	0
566.10945	0
567.34263	0
568.57581	0
569.80898	0
571.04216	0
572.27534	0
573.50852	0
574.74169	0
575.97487	0
577.20805	0
578.44122	0
579.6744	0
580.90758	0
582.14076	0
583.37393	0
584.60711	0
585.84029	0
587.07347	0
588.30664	0
589.53982	0
590.773	0
592.00618	0
593.23935	0
