Wavelenght	Refactive_index_10.10631.369398
337.8819	2.61259
339.15663	2.61393
340.43136	2.61445
341.70609	2.61454
342.98083	2.61454
344.25556	2.61468
345.53029	2.61512
346.80503	2.61594
348.07976	2.61717
349.35449	2.61882
350.62922	2.62082
351.90396	2.62311
353.17869	2.62545
354.45342	2.62794
355.72815	2.63052
357.00289	2.63311
358.27762	2.63585
359.55235	2.63869
360.82708	2.64135
362.10182	2.64369
363.37655	2.64598
364.65128	2.64873
365.92602	2.6525
367.20075	2.65505
368.47548	2.65757
369.75021	2.66104
371.02495	2.66622
372.29968	2.6738
373.57441	2.68387
374.84914	2.69609
376.12388	2.71005
377.39861	2.72547
378.67334	2.74117
379.94807	2.75716
381.22281	2.77208
382.49754	2.78441
383.77227	2.79295
385.04701	2.79693
386.32174	2.79629
387.59647	2.791
388.8712	2.78134
390.14594	2.76828
391.42067	2.75351
392.6954	2.7389
393.97013	2.72521
395.24487	2.71066
396.5196	2.6969
397.79433	2.68435
399.06906	2.67337
400.3438	2.6642
401.61853	2.6565
402.89326	2.6496
404.168	2.64304
405.44273	2.63659
406.71746	2.62988
407.99219	2.62389
409.26693	2.61826
410.54166	2.61287
411.81639	2.6077
413.09112	2.60275
414.36586	2.59806
415.64059	2.5935
416.91532	2.58903
418.19005	2.5847
419.46479	2.58062
420.73952	2.57693
422.01425	2.57348
423.28899	2.57023
424.56372	2.56714
425.83845	2.56417
427.11318	2.56126
428.38792	2.5584
429.66265	2.55553
430.93738	2.55261
432.21211	2.54967
433.48685	2.54671
434.76158	2.54378
436.03631	2.54091
437.31104	2.53811
438.58578	2.53537
439.86051	2.5327
441.13524	2.53011
442.40998	2.52762
443.68471	2.52523
444.95944	2.52297
446.23417	2.52085
447.50891	2.51888
448.78364	2.51708
450.05837	2.5141
451.3331	2.51238
452.60784	2.51068
453.88257	2.50898
455.1573	2.5073
456.43203	2.50564
457.70677	2.50399
458.9815	2.50235
460.25623	2.50072
461.53096	2.49911
462.8057	2.49752
464.08043	2.49593
465.35516	2.49436
466.6299	2.49281
467.90463	2.49126
469.17936	2.48973
470.45409	2.48822
471.72883	2.48672
473.00356	2.48523
474.27829	2.48376
475.55302	2.4823
476.82776	2.48085
478.10249	2.47941
479.37722	2.478
480.65195	2.47659
481.92669	2.4752
483.20142	2.47382
484.47615	2.47245
485.75089	2.4711
487.02562	2.46976
488.30035	2.46844
489.57508	2.46713
490.84982	2.46583
492.12455	2.46455
493.39928	2.46328
494.67401	2.46202
495.94875	2.46078
497.22348	2.45955
498.49821	2.45834
499.77294	2.45714
501.04768	2.45595
502.32241	2.45478
503.59714	2.45366
504.87188	2.45255
506.14661	2.45146
507.42134	2.45038
508.69607	2.44932
509.97081	2.44827
511.24554	2.44723
512.52027	2.4462
513.795	2.44519
515.06974	2.44418
516.34447	2.44318
517.6192	2.44219
518.89393	2.44121
520.16867	2.44023
521.4434	2.43926
522.71813	2.4383
523.99287	2.43735
525.2676	2.43642
526.54233	2.43549
527.81706	2.43458
529.0918	2.43369
530.36653	2.4328
531.64126	2.43192
532.91599	2.43106
534.19073	2.43021
535.46546	2.42937
536.74019	2.42855
538.01492	2.42774
539.28966	2.42694
540.56439	2.42615
541.83912	2.42537
543.11386	2.4246
544.38859	2.42385
545.66332	2.4231
546.93805	2.42236
548.21279	2.42162
549.48752	2.42089
550.76225	2.42016
552.03698	2.41943
553.31172	2.4187
554.58645	2.41798
555.86118	2.41727
557.13591	2.41656
558.41065	2.41586
559.68538	2.41517
560.96011	2.41449
562.23484	2.41382
563.50958	2.41316
