Energy	Refractive_Index
1.51538	1.89199
1.59089	1.90244
1.66168	1.91289
1.74188	1.91812
1.80795	1.92857
1.86929	1.9338
1.93539	1.9547
2.00616	1.95993
2.07222	1.96516
2.12887	1.98084
2.19494	1.99129
2.26576	2.0122
2.33185	2.02787
2.38847	2.0331
2.45459	2.05923
2.52066	2.06969
2.58678	2.09582
2.65765	2.1324
2.73319	2.15331
2.79934	2.1899
2.87023	2.23171
2.93164	2.26307
2.9884	2.3101
3.031	2.35714
3.06886	2.39895
3.10203	2.44599
3.13995	2.50348
3.16366	2.5453
3.19208	2.58188
3.22977	2.5662
3.25324	2.52962
3.26721	2.47213
3.29533	2.41463
3.33765	2.37282
3.37525	2.33101
3.40818	2.29965
3.45523	2.26307
3.4976	2.23693
3.54469	2.2108
