Wavelength	Extintion Coeficient
1268.30549	0
1193.43144	0
1093.65162	0
1037.52272	0
940.93998	0
825.65056	0
714.26648	0
659.21395	0
584.68361	0
502.73055	0
454.44354	0
438.31998	0
429.02364	0.00205
420.91955	0.00822
413.89012	0.01644
407.09673	0.02671
399.80757	0.03904
394.16727	0.05137
387.34374	0.06986
381.39653	0.08425
375.63353	0.10068
369.44416	0.12534
364.03415	0.14178
358.78029	0.15822
354.80453	0.17466
348.17625	0.19521
341.26296	0.2137
337.14155	0.22397
332.12685	0.2363
326.76837	0.24247
322.51924	0.25274
316.11315	0.26096
310.38923	0.26918
304.86319	0.27329
299.9317	0.27534
294.37843	0.27945
289.40063	0.28151
284.58589	0.28151
279.22813	0.28356
271.72187	0.28356
266.51139	0.28356
261.80485	0.28356
