Wavelenght	Reflectance
1100.000000	20.809000 
1098.000000	20.583000 
1096.000000	20.485000 
1094.000000	20.330000 
1092.000000	20.154000 
1090.000000	20.166000 
1088.000000	19.992000 
1086.000000	19.952000 
1084.000000	19.964000 
1082.000000	19.769000 
1080.000000	19.756000 
1078.000000	19.727000 
1076.000000	19.698000 
1074.000000	19.643000 
1072.000000	19.566000 
1070.000000	19.625000 
1068.000000	19.649000 
1066.000000	19.598000 
1064.000000	19.625000 
1062.000000	19.638000 
1060.000000	19.580000 
1058.000000	19.593000 
1056.000000	19.603000 
1054.000000	19.560000 
1052.000000	19.559000 
1050.000000	19.592000 
1048.000000	19.532000 
1046.000000	19.546000 
1044.000000	19.530000 
1042.000000	19.527000 
1040.000000	19.542000 
1038.000000	19.576000 
1036.000000	19.602000 
1034.000000	19.637000 
1032.000000	19.652000 
1030.000000	19.623000 
1028.000000	19.642000 
1026.000000	19.673000 
1024.000000	19.677000 
1022.000000	19.688000 
1020.000000	19.716000 
1018.000000	19.768000 
1016.000000	19.771000 
1014.000000	19.775000 
1012.000000	19.807000 
1010.000000	19.848000 
1008.000000	19.845000 
1006.000000	19.881000 
1004.000000	19.917000 
1002.000000	19.932000 
1000.000000	19.960000 
998.000000	 19.947000 
996.000000	 20.001000 
994.000000	 20.031000 
992.000000	 20.064000 
990.000000	 20.071000 
988.000000	 20.106000 
986.000000	 20.118000 
984.000000	 20.174000 
982.000000	 20.172000 
980.000000	 20.225000 
978.000000	 20.222000 
976.000000	 20.212000 
974.000000	 20.249000 
972.000000	 20.315000 
970.000000	 20.279000 
968.000000	 20.291000 
966.000000	 20.315000 
964.000000	 20.341000 
962.000000	 20.321000 
960.000000	 20.336000 
958.000000	 20.342000 
956.000000	 20.377000 
954.000000	 20.343000 
952.000000	 20.338000 
950.000000	 20.313000 
948.000000	 20.298000 
946.000000	 20.268000 
944.000000	 20.224000 
942.000000	 20.205000 
940.000000	 20.131000 
938.000000	 20.090000 
936.000000	 20.030000 
934.000000	 19.939000 
932.000000	 19.924000 
930.000000	 19.873000 
928.000000	 19.882000 
926.000000	 19.921000 
924.000000	 20.093000 
922.000000	 20.325000 
920.000000	 20.721000 
918.000000	 21.204000 
916.000000	 21.786000 
914.000000	 22.376000 
912.000000	 22.889000 
910.000000	 23.286000 
908.000000	 23.467000 
906.000000	 23.488000 
904.000000	 23.418000 
902.000000	 23.240000 
900.000000	 23.079000 
898.000000	 22.863000 
896.000000	 22.659000 
894.000000	 22.521000 
892.000000	 22.440000 
890.000000	 22.336000 
888.000000	 22.273000 
886.000000	 22.194000 
884.000000	 21.926000 
882.000000	 21.630000 
880.000000	 21.524000 
878.000000	 21.688000 
876.000000	 21.864000 
874.000000	 21.979000 
872.000000	 22.054000 
870.000000	 22.144000 
868.000000	 22.230000 
866.000000	 22.302000 
864.000000	 22.346000 
862.000000	 22.414000 
860.000000	 22.478000 
858.000000	 22.557000 
856.000000	 22.567000 
854.000000	 22.651000 
852.000000	 22.713000 
850.000000	 22.739000 
848.000000	 22.805000 
846.000000	 22.838000 
844.000000	 22.904000 
842.000000	 22.934000 
840.000000	 22.969000 
838.000000	 23.009000 
836.000000	 23.046000 
834.000000	 23.050000 
832.000000	 23.081000 
830.000000	 23.107000 
828.000000	 23.149000 
826.000000	 23.158000 
824.000000	 23.168000 
822.000000	 23.192000 
820.000000	 23.187000 
818.000000	 23.213000 
816.000000	 23.186000 
814.000000	 23.227000 
812.000000	 23.237000 
810.000000	 23.225000 
808.000000	 23.237000 
806.000000	 23.228000 
804.000000	 23.218000 
802.000000	 23.183000 
800.000000	 23.153000 
798.000000	 23.161000 
796.000000	 23.183000 
794.000000	 22.972000 
792.000000	 22.951000 
790.000000	 22.981000 
788.000000	 22.991000 
786.000000	 23.020000 
784.000000	 23.052000 
782.000000	 23.046000 
780.000000	 23.067000 
778.000000	 23.206000 
776.000000	 23.195000 
774.000000	 23.204000 
772.000000	 23.216000 
770.000000	 23.204000 
768.000000	 23.201000 
766.000000	 23.121000 
764.000000	 23.191000 
762.000000	 23.196000 
760.000000	 23.155000 
758.000000	 23.190000 
756.000000	 23.198000 
754.000000	 23.209000 
752.000000	 23.207000 
750.000000	 23.223000 
748.000000	 23.238000 
746.000000	 23.248000 
744.000000	 23.270000 
742.000000	 23.263000 
740.000000	 23.278000 
738.000000	 23.306000 
736.000000	 23.320000 
734.000000	 23.330000 
732.000000	 23.350000 
730.000000	 23.373000 
728.000000	 23.386000 
726.000000	 23.404000 
724.000000	 23.423000 
722.000000	 23.445000 
720.000000	 23.492000 
718.000000	 23.507000 
716.000000	 23.543000 
714.000000	 23.568000 
712.000000	 23.594000 
710.000000	 23.631000 
708.000000	 23.671000 
706.000000	 23.705000 
704.000000	 23.733000 
702.000000	 23.769000 
700.000000	 23.795000 
698.000000	 23.842000 
696.000000	 23.874000 
694.000000	 23.916000 
692.000000	 23.962000 
690.000000	 24.008000 
688.000000	 24.040000 
686.000000	 24.096000 
684.000000	 24.137000 
682.000000	 24.220000 
680.000000	 24.261000 
678.000000	 24.287000 
676.000000	 24.342000 
674.000000	 24.389000 
672.000000	 24.441000 
670.000000	 24.489000 
668.000000	 24.548000 
666.000000	 24.581000 
664.000000	 24.646000 
662.000000	 24.698000 
660.000000	 24.729000 
658.000000	 24.803000 
656.000000	 24.852000 
654.000000	 24.914000 
652.000000	 24.955000 
650.000000	 25.025000 
648.000000	 25.067000 
646.000000	 25.128000 
644.000000	 25.158000 
642.000000	 25.249000 
640.000000	 25.280000 
638.000000	 25.348000 
636.000000	 25.394000 
634.000000	 25.463000 
632.000000	 25.495000 
630.000000	 25.568000 
628.000000	 25.629000 
626.000000	 25.675000 
624.000000	 25.711000 
622.000000	 25.784000 
620.000000	 25.836000 
618.000000	 25.887000 
616.000000	 25.932000 
614.000000	 25.974000 
612.000000	 26.041000 
610.000000	 26.095000 
608.000000	 26.142000 
606.000000	 26.208000 
604.000000	 26.277000 
602.000000	 26.353000 
600.000000	 26.453000 
598.000000	 26.552000 
596.000000	 26.687000 
594.000000	 26.821000 
592.000000	 26.961000 
590.000000	 27.081000 
588.000000	 27.173000 
586.000000	 27.233000 
584.000000	 27.221000 
582.000000	 27.205000 
580.000000	 27.205000 
578.000000	 27.166000 
576.000000	 27.162000 
574.000000	 27.158000 
572.000000	 27.186000 
570.000000	 27.219000 
568.000000	 27.242000 
566.000000	 27.315000 
564.000000	 27.358000 
562.000000	 27.411000 
560.000000	 27.456000 
558.000000	 27.608000 
556.000000	 27.633000 
554.000000	 27.712000 
552.000000	 27.786000 
550.000000	 27.865000 
548.000000	 27.914000 
546.000000	 27.985000 
544.000000	 28.142000 
542.000000	 28.309000 
540.000000	 28.410000 
538.000000	 28.487000 
536.000000	 28.553000 
534.000000	 28.651000 
532.000000	 28.723000 
530.000000	 28.792000 
528.000000	 28.875000 
526.000000	 28.937000 
524.000000	 29.013000 
522.000000	 29.082000 
520.000000	 29.152000 
518.000000	 29.211000 
516.000000	 29.251000 
514.000000	 29.323000 
512.000000	 29.398000 
510.000000	 29.452000 
508.000000	 29.518000 
506.000000	 29.559000 
504.000000	 29.616000 
502.000000	 29.671000 
500.000000	 29.734000 
498.000000	 29.777000 
496.000000	 29.869000 
494.000000	 29.930000 
492.000000	 30.020000 
490.000000	 30.077000 
488.000000	 30.149000 
486.000000	 30.246000 
484.000000	 30.334000 
482.000000	 30.440000 
480.000000	 30.565000 
478.000000	 30.628000 
476.000000	 30.780000 
474.000000	 30.902000 
472.000000	 31.018000 
470.000000	 31.149000 
468.000000	 31.280000 
466.000000	 31.431000 
464.000000	 31.575000 
462.000000	 31.751000 
460.000000	 31.904000 
458.000000	 32.050000 
456.000000	 32.238000 
454.000000	 32.376000 
452.000000	 32.582000 
450.000000	 32.727000 
448.000000	 32.889000 
446.000000	 33.008000 
444.000000	 33.083000 
442.000000	 33.126000 
440.000000	 33.178000 
438.000000	 33.263000 
436.000000	 33.279000 
434.000000	 33.387000 
432.000000	 33.479000 
430.000000	 33.598000 
428.000000	 33.736000 
426.000000	 33.809000 
424.000000	 33.971000 
422.000000	 34.083000 
420.000000	 35.263000 
418.000000	 35.416000 
416.000000	 35.560000 
414.000000	 35.741000 
412.000000	 35.906000 
410.000000	 36.034000 
408.000000	 36.254000 
406.000000	 36.440000 
404.000000	 36.640000 
402.000000	 36.839000 
400.000000	 37.047000 
398.000000	 37.265000 
396.000000	 37.478000 
394.000000	 37.679000 
392.000000	 37.927000 
390.000000	 38.114000 
388.000000	 38.326000 
386.000000	 38.527000 
384.000000	 38.700000 
382.000000	 36.833000 
380.000000	 36.459000 
378.000000	 36.647000 
376.000000	 36.629000 
374.000000	 36.506000 
372.000000	 36.642000 
370.000000	 36.727000 
368.000000	 36.672000 
366.000000	 36.515000 
364.000000	 36.592000 
362.000000	 36.266000 
360.000000	 36.176000 
358.000000	 36.141000 
356.000000	 35.980000 
354.000000	 35.900000 
352.000000	 35.917000 
350.000000	 35.908000 
348.000000	 36.158000 
346.000000	 35.980000 
344.000000	 36.129000 
342.000000	 36.314000 
340.000000	 36.276000 
338.000000	 36.432000 
336.000000	 36.413000 
334.000000	 36.682000 
332.000000	 36.960000 
330.000000	 36.781000 
328.000000	 36.579000 
326.000000	 43.344000 
324.000000	 43.645000 
322.000000	 43.877000 
320.000000	 44.208000 
318.000000	 44.514000 
316.000000	 44.806000 
314.000000	 45.194000 
312.000000	 45.501000 
310.000000	 45.892000 
308.000000	 46.212000 
306.000000	 46.572000 
304.000000	 46.965000 
302.000000	 47.446000 
300.000000	 47.981000 
298.000000	 48.300000 
296.000000	 48.756000 
294.000000	 49.187000 
292.000000	 49.674000 
290.000000	 50.066999 
288.000000	 50.394000 
286.000000	 50.629000 
284.000000	 50.829000 
282.000000	 50.843000 
280.000000	 50.932999 
278.000000	 50.935000 
276.000000	 50.857000 
274.000000	 50.905000 
272.000000	 50.771000 
270.000000	 50.636000 
268.000000	 50.365000 
266.000000	 50.169000 
264.000000	 49.748000 
262.000000	 49.380000 
260.000000	 49.097000 
258.000000	 48.814000 
256.000000	 48.555000 
254.000000	 48.212000 
252.000000	 47.964000 
250.000000	 47.689000 
248.000000	 47.366000 
246.000000	 47.078000 
244.000000	 46.844000 
242.000000	 46.614000 
240.000000	 46.442000 
238.000000	 46.297000 
236.000000	 46.167000 
234.000000	 46.057000 
232.000000	 45.916000 
230.000000	 45.794000 
228.000000	 45.700000 
226.000000	 45.565000 
224.000000	 45.502000 
222.000000	 45.442000 
220.000000	 45.370000 
218.000000	 45.292000 
216.000000	 45.124000 
214.000000	 44.997000 
212.000000	 44.862000 
210.000000	 44.666000 
208.000000	 44.523000 
206.000000	 44.426000 
204.000000	 44.163000 
202.000000	 43.813000 
200.000000	 43.516000 

