Energy	Refractive_Index_101063_1369524
276	3.08762
277.0501	3.08217
278.1002	3.0768
279.1503	3.0715
280.2004	3.06629
281.2505	3.06115
282.3006	3.05609
283.3507	3.0511
284.4008	3.0462
285.4509	3.04137
286.501	3.03662
287.5511	3.03194
288.6012	3.02735
289.6513	3.02283
290.7014	3.01839
291.7515	3.01403
292.8016	3.00974
293.8517	3.00553
294.9018	3.0014
295.9519	2.99735
297.002	2.99337
298.0521	2.98948
299.1022	2.98566
300.1523	2.98192
301.2024	2.97825
302.25251	2.97466
303.30261	2.97115
304.35271	2.96772
305.40281	2.96437
306.45291	2.96109
307.50301	2.95789
308.55311	2.95477
309.60321	2.95173
310.65331	2.94876
311.70341	2.94587
312.75351	2.94306
313.80361	2.94033
314.85371	2.93767
315.90381	2.93509
316.95391	2.93259
318.00401	2.93017
319.05411	2.92782
320.10421	2.92556
321.15431	2.92337
322.20441	2.92125
323.25451	2.91922
324.30461	2.91726
325.35471	2.91538
326.40481	2.91358
327.45491	2.91185
328.50501	2.91021
329.55511	2.90864
330.60521	2.90714
331.65531	2.90573
332.70541	2.90439
333.75551	2.90313
334.80561	2.90195
335.85571	2.90083
336.90581	2.89972
337.95591	2.89861
339.00601	2.8975
340.05611	2.89639
341.10621	2.89529
342.15631	2.89419
343.20641	2.89309
344.25651	2.89199
345.30661	2.8909
346.35671	2.88981
347.40681	2.88872
348.45691	2.88763
349.50701	2.88655
350.55711	2.88547
351.60721	2.88439
352.65731	2.88332
353.70741	2.88225
354.75752	2.88118
355.80762	2.88011
356.85772	2.87905
357.90782	2.87799
358.95792	2.87693
360.00802	2.87587
361.05812	2.87482
362.10822	2.87376
363.15832	2.87272
364.20842	2.87167
365.25852	2.87063
366.30862	2.86959
367.35872	2.86855
368.40882	2.86751
369.45892	2.86648
370.50902	2.86545
371.55912	2.86442
372.60922	2.8634
373.65932	2.86237
374.70942	2.86136
375.75952	2.86034
376.80962	2.85932
377.85972	2.85831
378.90982	2.8573
379.95992	2.8563
381.01002	2.85529
382.06012	2.85429
383.11022	2.85329
384.16032	2.8523
385.21042	2.8513
386.26052	2.85031
387.31062	2.84932
388.36072	2.84834
389.41082	2.84735
390.46092	2.84637
391.51102	2.8454
392.56112	2.84442
393.61122	2.84345
394.66132	2.84248
395.71142	2.84151
396.76152	2.84055
397.81162	2.83959
398.86172	2.83863
399.91182	2.83767
400.96192	2.83672
402.01202	2.83576
403.06212	2.83481
404.11222	2.83387
405.16232	2.83293
406.21242	2.83198
407.26253	2.83105
408.31263	2.83011
409.36273	2.82918
410.41283	2.82825
411.46293	2.82732
412.51303	2.82639
413.56313	2.82547
414.61323	2.82455
415.66333	2.82363
416.71343	2.82272
417.76353	2.82181
418.81363	2.8209
419.86373	2.81999
420.91383	2.81909
421.96393	2.81818
423.01403	2.81729
424.06413	2.81639
425.11423	2.8155
426.16433	2.8146
427.21443	2.81372
428.26453	2.81283
429.31463	2.81195
430.36473	2.81107
431.41483	2.81019
432.46493	2.80931
433.51503	2.80844
434.56513	2.80757
435.61523	2.8067
436.66533	2.80584
437.71543	2.80497
438.76553	2.80412
439.81563	2.80326
440.86573	2.8024
441.91583	2.80155
442.96593	2.8007
444.01603	2.79986
445.06613	2.79901
446.11623	2.79817
447.16633	2.79733
448.21643	2.7965
449.26653	2.79566
450.31663	2.79483
451.36673	2.794
452.41683	2.79318
453.46693	2.79236
454.51703	2.79154
455.56713	2.79072
456.61723	2.7899
457.66733	2.78909
458.71743	2.78828
459.76754	2.78747
460.81764	2.78667
461.86774	2.78587
462.91784	2.78507
463.96794	2.78427
465.01804	2.78348
466.06814	2.78269
467.11824	2.7819
468.16834	2.78111
469.21844	2.78033
470.26854	2.77955
471.31864	2.77877
472.36874	2.77799
473.41884	2.77722
474.46894	2.77645
475.51904	2.77568
476.56914	2.77492
477.61924	2.77415
478.66934	2.77339
479.71944	2.77264
480.76954	2.77188
481.81964	2.77113
482.86974	2.77038
483.91984	2.76963
484.96994	2.76889
486.02004	2.76815
487.07014	2.76741
488.12024	2.76667
489.17034	2.76594
490.22044	2.76521
491.27054	2.76448
492.32064	2.76375
493.37074	2.76303
494.42084	2.76231
495.47094	2.76159
496.52104	2.76088
497.57114	2.76016
498.62124	2.75945
499.67134	2.75875
500.72144	2.75804
501.77154	2.75734
502.82164	2.75664
503.87174	2.75594
504.92184	2.75525
505.97194	2.75456
507.02204	2.75387
508.07214	2.75318
509.12224	2.7525
510.17234	2.75182
511.22244	2.75114
512.27255	2.75046
513.32265	2.74979
514.37275	2.74912
515.42285	2.74845
516.47295	2.74778
517.52305	2.74712
518.57315	2.74646
519.62325	2.7458
520.67335	2.74515
521.72345	2.7445
522.77355	2.74385
523.82365	2.7432
524.87375	2.74256
525.92385	2.74191
526.97395	2.74127
528.02405	2.74064
529.07415	2.74
530.12425	2.73937
531.17435	2.73874
532.22445	2.73812
533.27455	2.73749
534.32465	2.73687
535.37475	2.73626
536.42485	2.73564
537.47495	2.73503
538.52505	2.73442
539.57515	2.73381
540.62525	2.7332
541.67535	2.7326
542.72545	2.732
543.77555	2.7314
544.82565	2.73081
545.87575	2.73022
546.92585	2.72963
547.97595	2.72904
549.02605	2.72846
550.07615	2.72788
551.12625	2.7273
552.17635	2.72672
553.22645	2.72615
554.27655	2.72558
555.32665	2.72501
556.37675	2.72444
557.42685	2.72388
558.47695	2.72332
559.52705	2.72276
560.57715	2.72221
561.62725	2.72165
562.67735	2.7211
563.72745	2.72056
564.77756	2.72001
565.82766	2.71947
566.87776	2.71893
567.92786	2.71839
568.97796	2.71786
570.02806	2.71733
571.07816	2.7168
572.12826	2.71627
573.17836	2.71575
574.22846	2.71523
575.27856	2.71471
576.32866	2.71419
577.37876	2.71368
578.42886	2.71317
579.47896	2.71266
580.52906	2.71216
581.57916	2.71165
582.62926	2.71115
583.67936	2.71066
584.72946	2.71016
585.77956	2.70967
586.82966	2.70918
587.87976	2.70869
588.92986	2.70821
589.97996	2.70773
591.03006	2.70725
592.08016	2.70677
593.13026	2.7063
594.18036	2.70582
595.23046	2.70536
596.28056	2.70489
597.33066	2.70443
598.38076	2.70397
599.43086	2.70351
600.48096	2.70305
601.53106	2.7026
602.58116	2.70215
603.63126	2.7017
604.68136	2.70126
605.73146	2.70081
606.78156	2.70037
607.83166	2.69994
608.88176	2.6995
609.93186	2.69907
610.98196	2.69864
612.03206	2.69821
613.08216	2.69779
614.13226	2.69737
615.18236	2.69695
616.23246	2.69653
617.28257	2.69612
618.33267	2.69571
619.38277	2.6953
620.43287	2.6949
621.48297	2.69449
622.53307	2.69409
623.58317	2.6937
624.63327	2.6933
625.68337	2.69291
626.73347	2.69252
627.78357	2.69213
628.83367	2.69175
629.88377	2.69136
630.93387	2.69098
631.98397	2.69061
633.03407	2.69023
634.08417	2.68986
635.13427	2.68949
636.18437	2.68913
637.23447	2.68876
638.28457	2.6884
639.33467	2.68804
640.38477	2.68769
641.43487	2.68733
642.48497	2.68698
643.53507	2.68664
644.58517	2.68629
645.63527	2.68595
646.68537	2.68561
647.73547	2.68527
648.78557	2.68494
649.83567	2.6846
650.88577	2.68427
651.93587	2.68395
652.98597	2.68362
654.03607	2.6833
655.08617	2.68298
656.13627	2.68267
657.18637	2.68235
658.23647	2.68204
659.28657	2.68173
660.33667	2.68143
661.38677	2.68112
662.43687	2.68082
663.48697	2.68052
664.53707	2.68023
665.58717	2.67994
666.63727	2.67965
667.68737	2.67936
668.73747	2.67907
669.78758	2.67879
670.83768	2.67851
671.88778	2.67823
672.93788	2.67796
673.98798	2.67769
675.03808	2.67742
676.08818	2.67715
677.13828	2.67689
678.18838	2.67663
679.23848	2.67637
680.28858	2.67611
681.33868	2.67586
682.38878	2.67561
683.43888	2.67536
684.48898	2.67511
685.53908	2.67487
686.58918	2.67463
687.63928	2.67439
688.68938	2.67416
689.73948	2.67393
690.78958	2.6737
691.83968	2.67347
692.88978	2.67324
693.93988	2.67302
694.98998	2.6728
696.04008	2.67259
697.09018	2.67237
698.14028	2.67216
699.19038	2.67195
700.24048	2.67175
701.29058	2.67154
702.34068	2.67134
703.39078	2.67114
704.44088	2.67095
705.49098	2.67075
706.54108	2.67056
707.59118	2.67038
708.64128	2.67019
709.69138	2.67001
710.74148	2.66983
711.79158	2.66965
712.84168	2.66948
713.89178	2.6693
714.94188	2.66913
715.99198	2.66897
717.04208	2.6688
718.09218	2.66864
719.14228	2.66848
720.19238	2.66833
721.24248	2.66817
722.29259	2.66802
723.34269	2.66787
724.39279	2.66773
725.44289	2.66758
726.49299	2.66744
727.54309	2.66731
728.59319	2.66717
729.64329	2.66704
730.69339	2.66691
731.74349	2.66678
732.79359	2.66666
733.84369	2.66653
734.89379	2.66641
735.94389	2.6663
736.99399	2.66618
738.04409	2.66607
739.09419	2.66596
740.14429	2.66585
741.19439	2.66575
742.24449	2.66565
743.29459	2.66555
744.34469	2.66546
745.39479	2.66536
746.44489	2.66527
747.49499	2.66518
748.54509	2.6651
749.59519	2.66501
750.64529	2.66493
751.69539	2.66486
752.74549	2.66478
753.79559	2.66471
754.84569	2.66464
755.89579	2.66457
756.94589	2.66451
757.99599	2.66445
759.04609	2.66439
760.09619	2.66433
761.14629	2.66428
762.19639	2.66422
763.24649	2.66418
764.29659	2.66413
765.34669	2.66409
766.39679	2.66405
767.44689	2.66401
768.49699	2.66397
769.54709	2.66394
770.59719	2.66391
771.64729	2.66388
772.69739	2.66386
773.74749	2.66383
774.7976	2.66381
775.8477	2.6638
776.8978	2.66378
777.9479	2.66377
778.998	2.66376
780.0481	2.66375
781.0982	2.66375
782.1483	2.66375
783.1984	2.66375
784.2485	2.66375
785.2986	2.66376
786.3487	2.66377
787.3988	2.66378
788.4489	2.66379
789.499	2.66381
790.5491	2.66383
791.5992	2.66385
792.6493	2.66388
793.6994	2.6639
794.7495	2.66393
795.7996	2.66397
796.8497	2.664
797.8998	2.66404
798.9499	2.66408
800	2.66412
