Wavelength(nm)	k
240.94847	3.38512
241.98936	3.40112
243.03025	3.42231
244.07113	3.44868
245.11202	3.47941
246.15291	3.50874
247.19379	3.54473
248.23468	3.57909
249.27557	3.61103
250.31646	3.64333
251.35734	3.68392
252.39823	3.72455
253.43912	3.76494
254.48	3.80713
255.52089	3.8514
256.56178	3.89819
257.60267	3.94602
258.64355	3.99527
259.68444	4.04604
260.72533	4.10055
261.76621	4.15794
262.8071	4.21779
263.84799	4.28172
264.88887	4.34781
265.92976	4.41686
266.97065	4.48801
268.01154	4.56396
269.05242	4.64186
270.09331	4.71997
271.1342	4.79508
272.17508	4.86851
273.21597	4.94035
274.25686	5.00822
275.29775	5.06955
276.33863	5.12498
277.37952	5.17612
278.42041	5.22369
279.46129	5.26653
280.50218	5.30369
281.54307	5.33645
282.58395	5.36644
283.62484	5.39444
284.66573	5.41856
285.70662	5.43582
286.7475	5.4367
287.78839	5.41228
288.82928	5.3608
289.87016	5.27884
290.91105	5.16961
291.95194	5.04338
292.99283	4.9139
294.03371	4.78289
295.0746	4.65528
296.11549	4.53472
297.15637	4.422
298.19726	4.31923
299.23815	4.22557
300.27904	4.13851
301.31992	4.05615
302.36081	3.98235
303.4017	3.91573
304.44258	3.85328
305.48347	3.7941
306.52436	3.73935
307.56524	3.68873
308.60613	3.64258
309.64702	3.60032
310.68791	3.56021
311.72879	3.52213
312.76968	3.4875
313.81057	3.45552
314.85145	3.42519
315.89234	3.39684
316.93323	3.37002
317.97412	3.34457
319.015	3.32081
320.05589	3.29853
321.09678	3.2772
322.13766	3.2567
323.17855	3.23697
324.21944	3.21796
325.26032	3.19969
326.30121	3.18201
327.3421	3.16479
328.38299	3.14814
329.42387	3.13231
330.46476	3.1173
331.50565	3.10295
332.54653	3.08897
333.58742	3.07577
334.62831	3.06346
335.6692	3.05195
336.71008	3.0411
337.75097	3.03074
338.79186	3.02132
339.83274	3.01279
340.87363	3.00535
341.91452	2.99866
342.9554	2.9931
343.99629	2.98875
345.03718	2.98551
346.07807	2.98371
347.11895	2.98316
348.15984	2.98418
349.20073	2.98607
350.24161	2.98955
351.2825	2.99407
352.32339	3.00032
353.36428	3.0076
354.40516	3.01506
355.44605	3.02155
356.48694	3.02519
357.52782	3.02505
358.56871	3.0164
359.6096	2.99933
360.65048	2.96733
361.69137	2.92277
362.73226	2.85901
363.77315	2.78367
364.81403	2.68582
365.85492	2.57189
366.89581	2.44167
367.93669	2.30915
368.97758	2.17098
370.01847	2.03104
371.05936	1.88913
372.10024	1.74582
373.14113	1.60923
374.18202	1.48456
375.2229	1.3732
376.26379	1.26925
377.30468	1.17309
378.34556	1.08681
379.38645	1.00835
380.42734	0.94066
381.46823	0.8796
382.50911	0.82667
383.55	0.7767
384.59089	0.73255
385.63177	0.69285
386.67266	0.65727
387.71355	0.62417
388.75444	0.59091
389.79532	0.5646
390.83621	0.54004
391.8771	0.51713
392.91798	0.49577
393.95887	0.47585
394.99976	0.45727
396.04064	0.43995
397.08153	0.42381
398.12242	0.40874
399.16331	0.39469
400.20419	0.38157
401.24508	0.36932
402.28597	0.35786
403.32685	0.34714
404.36774	0.33709
405.40863	0.32767
406.44952	0.31882
407.4904	0.31048
408.53129	0.30262
409.57218	0.29519
410.61306	0.28816
411.65395	0.28149
412.69484	0.27514
413.73572	0.26908
414.77661	0.26329
415.8175	0.25773
416.85839	0.2524
417.89927	0.24726
418.94016	0.24229
419.98105	0.23749
421.02193	0.23284
422.06282	0.22831
423.10371	0.22391
424.1446	0.21962
425.18548	0.21544
426.22637	0.21135
427.26726	0.20736
428.30814	0.20346
429.34903	0.19965
430.38992	0.19593
431.43081	0.19229
432.47169	0.18873
433.51258	0.18503
434.55347	0.18167
435.59435	0.17852
436.63524	0.17558
437.67613	0.17277
438.71701	0.17007
439.7579	0.16751
440.79879	0.16506
441.83968	0.16279
442.88056	0.16061
443.92145	0.15848
444.96234	0.15643
446.00322	0.15448
447.04411	0.15266
448.085	0.1509
449.12589	0.1492
450.16677	0.14754
451.20766	0.14586
452.24855	0.14414
453.28943	0.14242
454.33032	0.14072
455.37121	0.13903
456.41209	0.13736
457.45298	0.13569
458.49387	0.134
459.53476	0.13228
460.57564	0.13055
461.61653	0.12882
462.65742	0.12708
463.6983	0.1253
464.73919	0.12348
465.78008	0.12158
466.82097	0.11964
467.86185	0.11768
468.90274	0.11577
469.94363	0.11391
470.98451	0.11208
472.0254	0.11028
473.06629	0.10849
474.10717	0.10671
475.14806	0.10494
476.18895	0.10319
477.22984	0.10146
478.27072	0.09977
479.31161	0.09803
480.3525	0.09624
481.39338	0.09438
482.43427	0.09251
483.47516	0.09067
484.51605	0.08887
485.55693	0.08708
486.59782	0.08531
487.63871	0.08361
488.67959	0.08203
489.72048	0.08056
490.76137	0.07922
491.80225	0.07791
492.84314	0.07661
493.88403	0.07531
494.92492	0.0741
495.9658	0.07299
497.00669	0.07201
498.04758	0.0711
499.08846	0.07025
500.12935	0.06946
501.17024	0.06875
502.21113	0.06811
503.25201	0.06753
504.2929	0.067
505.33379	0.06648
506.37467	0.06593
507.41556	0.06536
508.45645	0.06473
509.49733	0.06403
510.53822	0.0633
511.57911	0.06261
512.62	0.06198
513.66088	0.06139
514.70177	0.06081
515.74266	0.06011
516.78354	0.05927
517.82443	0.05828
518.86532	0.05729
519.90621	0.05638
520.94709	0.05563
521.98798	0.055
523.02887	0.05434
524.06975	0.05365
525.11064	0.05289
526.15153	0.0521
527.19241	0.05132
528.2333	0.05057
529.27419	0.04986
530.31508	0.04915
531.35596	0.04846
532.39685	0.0478
533.43774	0.04716
534.47862	0.04654
535.51951	0.04593
536.5604	0.04536
537.60129	0.04482
538.64217	0.04433
539.68306	0.04387
540.72395	0.04345
541.76483	0.04302
542.80572	0.04259
543.84661	0.04214
544.8875	0.04167
545.92838	0.04124
546.96927	0.04082
548.01016	0.04044
549.05104	0.04008
550.09193	0.03968
551.13282	0.03923
552.1737	0.03871
553.21459	0.03815
554.25548	0.03762
555.29637	0.03712
556.33725	0.03668
557.37814	0.03628
558.41903	0.03589
559.45991	0.0355
560.5008	0.0351
561.54169	0.0347
562.58258	0.03431
563.62346	0.03392
564.66435	0.03353
565.70524	0.03314
566.74612	0.03303
567.78701	0.0333
568.8279	0.03265
569.86878	0.03208
570.90967	0.03158
571.95056	0.03114
572.99145	0.03075
574.03233	0.03041
575.07322	0.03012
576.11411	0.02986
577.15499	0.02964
578.19588	0.02944
579.23677	0.02927
580.27766	0.02912
581.31854	0.02899
582.35943	0.02887
583.40032	0.02876
584.4412	0.02866
585.48209	0.02856
586.52298	0.02846
587.56386	0.02837
588.60475	0.02827
589.64564	0.02817
590.68653	0.02807
591.72741	0.02796
592.7683	0.02784
593.80919	0.02771
594.85007	0.02758
595.89096	0.02744
596.93185	0.02728
597.97274	0.02712
599.01362	0.02695
600.05451	0.02677
601.0954	0.02658
602.13628	0.02638
603.17717	0.02617
604.21806	0.02596
605.25894	0.02573
606.29983	0.0255
607.34072	0.02527
608.38161	0.02506
609.42249	0.02483
610.46338	0.02456
611.50427	0.02429
612.54515	0.02401
613.58604	0.02373
614.62693	0.02345
615.66782	0.02318
616.7087	0.02292
617.74959	0.02266
618.79048	0.02243
619.83136	0.02221
620.87225	0.02201
621.91314	0.02183
622.95402	0.02164
623.99491	0.02145
625.0358	0.02126
626.07669	0.02105
627.11757	0.02084
628.15846	0.02062
629.19935	0.0204
630.24023	0.02017
631.28112	0.01992
632.32201	0.01968
633.3629	0.01943
634.40378	0.01918
635.44467	0.01894
636.48556	0.0187
637.52644	0.01848
638.56733	0.01826
639.60822	0.01805
640.6491	0.01786
641.68999	0.01767
642.73088	0.01751
643.77177	0.01736
644.81265	0.01722
645.85354	0.01708
646.89443	0.01695
647.93531	0.01682
648.9762	0.0167
650.01709	0.01657
651.05798	0.01645
652.09886	0.01633
653.13975	0.01621
654.18064	0.0161
655.22152	0.01598
656.26241	0.01586
657.3033	0.01575
658.34418	0.01563
659.38507	0.01552
660.42596	0.01542
661.46685	0.01533
662.50773	0.01523
663.54862	0.01514
664.58951	0.01504
665.63039	0.01494
666.67128	0.01483
667.71217	0.01472
668.75306	0.0146
669.79394	0.01448
670.83483	0.01437
671.87572	0.01426
672.9166	0.01416
673.95749	0.01407
674.99838	0.01398
676.03927	0.0139
677.08015	0.01382
678.12104	0.01374
679.16193	0.01366
680.20281	0.01359
681.2437	0.01351
682.28459	0.01343
683.32547	0.01335
684.36636	0.01327
685.40725	0.01319
686.44814	0.01311
687.48902	0.01304
688.52991	0.01296
689.5708	0.01289
690.61168	0.01283
691.65257	0.01277
692.69346	0.01271
693.73435	0.01266
694.77523	0.01261
695.81612	0.01256
696.85701	0.01252
697.89789	0.01246
698.93878	0.01241
699.97967	0.01234
701.02055	0.01228
702.06144	0.0122
703.10233	0.01213
704.14322	0.01205
705.1841	0.01197
706.22499	0.01189
707.26588	0.01181
708.30676	0.01173
709.34765	0.01165
710.38854	0.01157
711.42943	0.01149
712.47031	0.01141
713.5112	0.01132
714.55209	0.01124
715.59297	0.01115
716.63386	0.01107
717.67475	0.01098
718.71563	0.0109
719.75652	0.01081
720.79741	0.01075
721.8383	0.01068
722.87918	0.01061
723.92007	0.01055
724.96096	0.01049
726.00184	0.01042
727.04273	0.01036
728.08362	0.0103
729.12451	0.01024
730.16539	0.01018
731.20628	0.01011
732.24717	0.01005
733.28805	0.00999
734.32894	0.00993
735.36983	0.00987
736.41071	0.00981
737.4516	0.00975
738.49249	0.00969
739.53338	0.00963
740.57426	0.00957
741.61515	0.00951
742.65604	0.00945
743.69692	0.00939
744.73781	0.00934
745.7787	0.00928
746.81959	0.00923
747.86047	0.00918
748.90136	0.00913
749.94225	0.00909
750.98313	0.00905
752.02402	0.00902
753.06491	0.00899
754.10579	0.00897
755.14668	0.00895
756.18757	0.00894
757.22846	0.00894
758.26934	0.00896
759.31023	0.00898
760.35112	0.00902
774.9	0.008
784.7	0.007
794.8	0.007
805.1	0.006
815.7	0.006
826.6	0.01
1120	0
