Wavelength(nm)	n
262.2435	1.7258
264.11537	1.7726
265.98724	1.82752
267.85911	1.90311
269.73098	2.00167
271.60285	2.11994
273.47472	2.26679
275.34659	2.43668
277.21846	2.61664
279.09033	2.82084
280.9622	3.02591
282.83407	3.24488
284.70594	3.48871
286.57781	3.77918
288.44968	4.1108
290.32155	4.41697
292.19342	4.66224
294.06529	4.82073
295.93715	4.91591
297.80902	4.97209
299.68089	5.00068
301.55276	5.01548
303.42463	5.02068
305.2965	5.02007
307.16837	5.01746
309.04024	5.013
310.91211	5.00939
312.78398	5.0098
314.65585	5.00903
316.52772	5.01257
318.39959	5.01756
320.27146	5.02463
322.14333	5.0351
324.0152	5.04787
325.88707	5.06184
327.75894	5.07701
329.63081	5.09435
331.50268	5.11503
333.37455	5.13491
335.24642	5.15787
337.11829	5.18187
338.99016	5.20685
340.86203	5.23514
342.73389	5.26531
344.60576	5.30033
346.47763	5.34017
348.3495	5.38454
350.22137	5.44278
352.09324	5.5111
353.96511	5.59884
355.83698	5.70588
357.70885	5.84641
359.58072	6.01292
361.45259	6.19877
363.32446	6.3882
365.19633	6.56289
367.0682	6.70731
368.94007	6.79325
370.81194	6.82318
372.68381	6.80877
374.55568	6.75378
376.42755	6.66978
378.29942	6.56769
380.17129	6.45944
382.04316	6.35322
383.91503	6.2468
385.7869	6.14628
387.65876	6.05446
389.53063	5.96554
391.4025	5.88429
393.27437	5.80772
395.14624	5.73514
397.01811	5.66775
398.88998	5.60586
400.76185	5.54653
402.63372	5.48938
404.50559	5.43877
406.37746	5.38785
408.24933	5.33818
410.1212	5.29312
411.99307	5.25094
413.86494	5.2103
415.73681	5.17152
417.60868	5.13437
419.48055	5.09843
421.35242	5.06433
423.22429	5.03224
425.09616	5.00079
426.96803	4.96981
428.8399	4.9409
430.71177	4.91289
432.58364	4.88544
434.4555	4.85936
436.32737	4.83461
438.19924	4.81036
440.07111	4.78645
441.94298	4.76351
443.81485	4.7419
445.68672	4.72143
447.55859	4.70047
449.43046	4.67963
451.30233	4.66034
453.1742	4.64126
455.04607	4.62254
456.91794	4.60448
458.78981	4.58686
460.66168	4.5701
462.53355	4.55359
464.40542	4.53701
466.27729	4.52063
468.14916	4.50619
470.02103	4.49161
471.8929	4.47653
473.76477	4.46234
475.63664	4.45019
477.50851	4.43772
479.38037	4.42457
481.25224	4.41159
483.12411	4.39895
484.99598	4.3866
486.86785	4.37478
488.73972	4.36306
490.61159	4.35154
492.48346	4.34015
494.35533	4.32911
496.2272	4.3182
498.09907	4.30791
499.97094	4.29764
501.84281	4.28805
503.71468	4.27846
505.58655	4.26849
507.45842	4.25844
509.33029	4.24914
511.20216	4.24023
513.07403	4.2314
514.9459	4.22269
516.81777	4.21404
518.68964	4.20577
520.56151	4.1975
522.43338	4.18953
524.30525	4.18162
526.17711	4.17389
528.04898	4.1664
529.92085	4.15891
531.79272	4.15101
533.66459	4.14311
535.53646	4.13589
537.40833	4.12912
539.2802	4.12235
541.15207	4.11558
543.02394	4.10881
544.89581	4.10212
546.76768	4.09549
548.63955	4.08887
550.51142	4.08276
552.38329	4.07665
554.25516	4.07058
556.12703	4.06459
557.9989	4.0586
559.87077	4.05297
561.74264	4.04746
563.61451	4.04195
565.48638	4.03608
567.35825	4.03021
569.23012	4.0246
571.10199	4.01966
572.97385	4.01471
574.84572	4.00965
576.71759	4.00445
578.58946	3.99925
580.46133	3.99425
582.3332	3.9894
584.20507	3.98454
586.07694	3.97981
587.94881	3.97513
589.82068	3.97045
591.69255	3.96605
593.56442	3.96178
595.43629	3.95751
597.30816	3.95329
599.18003	3.9491
601.0519	3.9449
602.92377	3.94092
604.79564	3.93711
606.66751	3.9333
608.53938	3.9294
610.41125	3.92534
612.28312	3.92129
614.15499	3.9173
616.02686	3.91362
617.89872	3.90994
619.77059	3.90625
621.64246	3.9024
623.51433	3.89854
625.3862	3.89468
627.25807	3.89118
629.12994	3.88796
631.00181	3.88475
632.87368	3.88149
634.74555	3.87804
636.61742	3.87458
638.48929	3.87113
640.36116	3.86774
642.23303	3.86439
644.1049	3.86104
645.97677	3.85771
647.84864	3.85469
649.72051	3.85166
651.59238	3.84863
653.46425	3.84575
655.33612	3.84303
657.20799	3.84032
659.07986	3.83761
660.95173	3.83475
662.8236	3.83185
664.69546	3.82895
666.56733	3.82605
668.4392	3.82319
670.31107	3.82033
672.18294	3.81747
