# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: AlN (hexagonal) | Input: 500.00 nm | Optimized: 511.04 nm
# Layer 2: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
2.600000000000000000e+02	4.884141201209016003e+01
2.610000000000000000e+02	4.856597190433839728e+01
2.620000000000000000e+02	4.750913737340559351e+01
2.630000000000000000e+02	4.557192007200990247e+01
2.640000000000000000e+02	4.250967855444969246e+01
2.650000000000000000e+02	3.803403498187682885e+01
2.660000000000000000e+02	3.190962966509494336e+01
2.670000000000000000e+02	2.407961838863856840e+01
2.680000000000000000e+02	1.499027621098919028e+01
2.690000000000000000e+02	5.968528591089285129e+00
2.700000000000000000e+02	-6.697908229853730688e-01
2.710000000000000000e+02	-2.689584173366897701e+00
2.720000000000000000e+02	5.480202952801178640e-01
2.730000000000000000e+02	7.690625881852337642e+00
2.740000000000000000e+02	1.645236174889039305e+01
2.750000000000000000e+02	2.489678010710599310e+01
2.760000000000000000e+02	3.214913863109576653e+01
2.770000000000000000e+02	3.803772022418648646e+01
2.780000000000000000e+02	4.265281723565178140e+01
2.790000000000000000e+02	4.615826210654675776e+01
2.800000000000000000e+02	4.871712581161585831e+01
2.810000000000000000e+02	5.044960768838575405e+01
2.820000000000000000e+02	5.146087212913342057e+01
2.830000000000000000e+02	5.185412056070835263e+01
2.840000000000000000e+02	5.168686844016981752e+01
2.850000000000000000e+02	5.096611174283283674e+01
2.860000000000000000e+02	4.963440725544027998e+01
2.870000000000000000e+02	4.757386149185316526e+01
2.880000000000000000e+02	4.468892779285374672e+01
2.890000000000000000e+02	4.093345722756218663e+01
2.900000000000000000e+02	3.623384511714247935e+01
2.910000000000000000e+02	3.056438869347552512e+01
2.920000000000000000e+02	2.402259271106793292e+01
2.930000000000000000e+02	1.686120989352506783e+01
2.940000000000000000e+02	9.435795373045440471e+00
2.950000000000000000e+02	2.333485095436298451e+00
2.960000000000000000e+02	-3.689313295019708505e+00
2.970000000000000000e+02	-7.882991576712143456e+00
2.980000000000000000e+02	-9.720049639671412223e+00
2.990000000000000000e+02	-9.105725555530831627e+00
3.000000000000000000e+02	-6.382089582264534044e+00
3.010000000000000000e+02	-2.166614110906911250e+00
3.020000000000000000e+02	2.883794701067554200e+00
3.030000000000000000e+02	8.208825255685919586e+00
3.040000000000000000e+02	1.341099970570949651e+01
3.050000000000000000e+02	1.825406339285077095e+01
3.060000000000000000e+02	2.262788675840007002e+01
3.070000000000000000e+02	2.649140152953692606e+01
3.080000000000000000e+02	2.983901172350280362e+01
3.090000000000000000e+02	3.267701257920877822e+01
3.100000000000000000e+02	3.501445284835858729e+01
3.110000000000000000e+02	3.687127313479210500e+01
3.120000000000000000e+02	3.828206683889295903e+01
3.130000000000000000e+02	3.928016712215314499e+01
3.140000000000000000e+02	3.988764383248008016e+01
3.150000000000000000e+02	4.013012556231686290e+01
3.160000000000000000e+02	4.003238525986273544e+01
3.170000000000000000e+02	3.960791635313059089e+01
3.180000000000000000e+02	3.886870428126030674e+01
3.190000000000000000e+02	3.782470789889221408e+01
3.200000000000000000e+02	3.647804016693348217e+01
3.210000000000000000e+02	3.482513634422157622e+01
3.220000000000000000e+02	3.286125300077357281e+01
3.230000000000000000e+02	3.057813670173339560e+01
3.240000000000000000e+02	2.796839750733836993e+01
3.250000000000000000e+02	2.502967768146721639e+01
3.260000000000000000e+02	2.176680096543094223e+01
3.270000000000000000e+02	1.819859345388728045e+01
3.280000000000000000e+02	1.436553143855030967e+01
3.290000000000000000e+02	1.033263825965083527e+01
3.300000000000000000e+02	6.191290555298522236e+00
3.310000000000000000e+02	2.063689868126591165e+00
3.320000000000000000e+02	-1.897107719802740178e+00
3.330000000000000000e+02	-5.513995169222386750e+00
3.340000000000000000e+02	-8.599712708087491109e+00
3.350000000000000000e+02	-1.097589902161997166e+01
3.360000000000000000e+02	-1.249533096154716105e+01
3.370000000000000000e+02	-1.306527811494456870e+01
3.380000000000000000e+02	-1.265999778378366969e+01
3.390000000000000000e+02	-1.132237755213355967e+01
3.400000000000000000e+02	-9.157571771524292359e+00
3.410000000000000000e+02	-6.317709189054200536e+00
3.420000000000000000e+02	-2.979118129741925358e+00
3.430000000000000000e+02	6.878105865952015563e-01
3.440000000000000000e+02	4.526739559969726656e+00
3.450000000000000000e+02	8.402174189535376314e+00
3.460000000000000000e+02	1.220588880813183152e+01
3.470000000000000000e+02	1.585347945860250363e+01
3.480000000000000000e+02	1.929765292344988481e+01
3.490000000000000000e+02	2.251374204753626529e+01
3.500000000000000000e+02	2.548094629551800594e+01
3.510000000000000000e+02	2.817809772645069799e+01
3.520000000000000000e+02	3.061185374817023686e+01
3.530000000000000000e+02	3.278970255538840206e+01
3.540000000000000000e+02	3.470572321856811016e+01
3.550000000000000000e+02	3.636064164914968444e+01
3.560000000000000000e+02	3.776984739297596150e+01
3.570000000000000000e+02	3.895030434764683491e+01
3.580000000000000000e+02	3.989348797796635893e+01
3.590000000000000000e+02	4.060139833199235682e+01
3.600000000000000000e+02	4.107790497388147344e+01
3.610000000000000000e+02	4.132292622797729109e+01
3.620000000000000000e+02	4.133648217003643310e+01
3.630000000000000000e+02	4.110769706689458758e+01
3.640000000000000000e+02	4.064504073144590279e+01
3.650000000000000000e+02	3.990548863115871825e+01
3.660000000000000000e+02	3.890090096618570215e+01
3.670000000000000000e+02	3.760428520428149568e+01
3.680000000000000000e+02	3.603348560394508127e+01
3.690000000000000000e+02	3.415893707173242433e+01
3.700000000000000000e+02	3.198986140773282827e+01
3.710000000000000000e+02	2.952467262576242391e+01
3.720000000000000000e+02	2.676884057253029781e+01
3.730000000000000000e+02	2.376143192352297362e+01
3.740000000000000000e+02	2.054863880936763465e+01
3.750000000000000000e+02	1.718359350559920173e+01
3.760000000000000000e+02	1.369205525741492124e+01
3.770000000000000000e+02	1.012077252505126523e+01
3.780000000000000000e+02	6.544627677468639604e+00
3.790000000000000000e+02	3.028543981628086357e+00
3.800000000000000000e+02	-3.417788552781253486e-01
3.810000000000000000e+02	-3.497053811448104454e+00
3.820000000000000000e+02	-6.370513833811552118e+00
3.830000000000000000e+02	-8.907022664147470792e+00
3.840000000000000000e+02	-1.105218956821611620e+01
3.850000000000000000e+02	-1.275377369297312313e+01
3.860000000000000000e+02	-1.398572232784826852e+01
3.870000000000000000e+02	-1.473436758949005920e+01
3.880000000000000000e+02	-1.500672797219752042e+01
3.890000000000000000e+02	-1.481546647275485640e+01
3.900000000000000000e+02	-1.418546124411867737e+01
3.910000000000000000e+02	-1.315233349870467805e+01
3.920000000000000000e+02	-1.176307109334606338e+01
3.930000000000000000e+02	-1.007015342410793224e+01
3.940000000000000000e+02	-8.132456913907589069e+00
3.950000000000000000e+02	-6.010580422430386704e+00
3.960000000000000000e+02	-3.763178975651650049e+00
3.970000000000000000e+02	-1.444403095001629111e+00
3.980000000000000000e+02	8.973722527322038900e-01
3.990000000000000000e+02	3.217785401406160872e+00
4.000000000000000000e+02	5.479169769534141921e+00
4.010000000000000000e+02	7.652128703713479752e+00
4.020000000000000000e+02	9.717938206444106441e+00
4.030000000000000000e+02	1.167151755614760589e+01
4.040000000000000000e+02	1.350519884838648466e+01
4.050000000000000000e+02	1.520390562763483544e+01
4.060000000000000000e+02	1.676368710451503929e+01
4.070000000000000000e+02	1.819154073977862751e+01
4.080000000000000000e+02	1.949622301587183060e+01
4.090000000000000000e+02	2.068675808197631127e+01
4.100000000000000000e+02	2.176730048713111998e+01
4.110000000000000000e+02	2.273951502447016182e+01
4.120000000000000000e+02	2.360629771069205773e+01
4.130000000000000000e+02	2.437099537588232678e+01
4.140000000000000000e+02	2.503813980005503126e+01
4.150000000000000000e+02	2.561199427251856164e+01
4.160000000000000000e+02	2.609552945551225278e+01
