# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: AlN (hexagonal) | Input: 300.00 nm | Optimized: 311.75 nm
# Layer 2: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
2.500000000000000000e+02	6.402130000848136149e+01
2.510000000000000000e+02	5.926412626088858815e+01
2.520000000000000000e+02	5.435413398310382149e+01
2.530000000000000000e+02	4.902088326860699397e+01
2.540000000000000000e+02	4.314557088062251466e+01
2.550000000000000000e+02	3.671751106794508246e+01
2.560000000000000000e+02	2.971160363752134259e+01
2.570000000000000000e+02	2.265483474888334570e+01
2.580000000000000000e+02	1.587739529629079804e+01
2.590000000000000000e+02	9.815938458599626770e+00
2.600000000000000000e+02	5.217545694875058260e+00
2.610000000000000000e+02	2.819097436960975145e+00
2.620000000000000000e+02	3.087307698158864966e+00
2.630000000000000000e+02	6.011304325630758782e+00
2.640000000000000000e+02	1.110012110396306717e+01
2.650000000000000000e+02	1.753300347998698783e+01
2.660000000000000000e+02	2.443081546595738729e+01
2.670000000000000000e+02	3.107911995744611033e+01
2.680000000000000000e+02	3.708113048783188503e+01
2.690000000000000000e+02	4.220127583179460373e+01
2.700000000000000000e+02	4.642547300329242432e+01
2.710000000000000000e+02	4.985672744664809386e+01
2.720000000000000000e+02	5.264178060506819179e+01
2.730000000000000000e+02	5.491264448020953637e+01
2.740000000000000000e+02	5.672943437089190866e+01
2.750000000000000000e+02	5.808902696588664583e+01
2.760000000000000000e+02	5.906719028356390311e+01
2.770000000000000000e+02	5.973907589012863184e+01
2.780000000000000000e+02	6.014341242789598141e+01
2.790000000000000000e+02	6.031224063662779145e+01
2.800000000000000000e+02	6.026306050472052789e+01
2.810000000000000000e+02	5.997750239791703564e+01
2.820000000000000000e+02	5.944347564510256632e+01
2.830000000000000000e+02	5.867424467884303851e+01
2.840000000000000000e+02	5.766925939061326289e+01
2.850000000000000000e+02	5.640375373979389906e+01
2.860000000000000000e+02	5.482119009982078239e+01
2.870000000000000000e+02	5.283216866291353142e+01
2.880000000000000000e+02	5.039360356185797940e+01
2.890000000000000000e+02	4.752606999728691051e+01
2.900000000000000000e+02	4.422018943911260180e+01
2.910000000000000000e+02	4.049154720611846869e+01
2.920000000000000000e+02	3.641416202282016457e+01
