# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: GaN (cubico) v2 | Input: 440.00 nm | Optimized: 442.21 nm
# Layer 2: SiC | Input: 1550.00 nm | Optimized: 1524.73 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
4.000000000000000000e+02	1.048850789124067440e+01
4.010000000000000000e+02	1.529319374864872394e+01
4.020000000000000000e+02	2.137768421151885434e+01
4.030000000000000000e+02	2.661673826183583458e+01
4.040000000000000000e+02	2.971973694091180818e+01
4.050000000000000000e+02	3.014881062892132491e+01
4.060000000000000000e+02	2.775350732477971860e+01
4.070000000000000000e+02	2.271263576032423970e+01
4.080000000000000000e+02	1.578330465158392748e+01
4.090000000000000000e+02	8.471289921224641972e+00
4.100000000000000000e+02	3.238097571554026999e+00
4.110000000000000000e+02	2.478544328376175443e+00
4.120000000000000000e+02	6.550743094282431400e+00
4.130000000000000000e+02	1.340083269836758539e+01
4.140000000000000000e+02	2.040478033660443913e+01
4.150000000000000000e+02	2.585772767058779920e+01
4.160000000000000000e+02	2.904981137145192349e+01
4.170000000000000000e+02	2.982029310658446519e+01
4.180000000000000000e+02	2.820019283791595655e+01
4.190000000000000000e+02	2.429733945368457171e+01
4.200000000000000000e+02	1.842647836499629221e+01
4.210000000000000000e+02	1.140119009948482720e+01
4.220000000000000000e+02	4.816580077308238117e+00
4.230000000000000000e+02	8.992786066729205885e-01
4.240000000000000000e+02	1.319752691434085357e+00
4.250000000000000000e+02	5.914125240035778219e+00
4.260000000000000000e+02	1.285538491876488898e+01
4.270000000000000000e+02	2.001425396587723071e+01
4.280000000000000000e+02	2.601780981535090120e+01
4.290000000000000000e+02	3.023602960673472495e+01
4.300000000000000000e+02	3.248553180827768472e+01
4.310000000000000000e+02	3.274221812737046378e+01
4.320000000000000000e+02	3.102055669809976024e+01
4.330000000000000000e+02	2.736361677049807639e+01
4.340000000000000000e+02	2.194069604489628489e+01
4.350000000000000000e+02	1.524389088450877772e+01
4.360000000000000000e+02	8.367579588045945371e+00
4.370000000000000000e+02	3.082755852723551904e+00
4.380000000000000000e+02	1.286550864193586996e+00
4.390000000000000000e+02	3.761265102590956033e+00
4.400000000000000000e+02	9.556448103201701016e+00
4.410000000000000000e+02	1.675007126899802756e+01
4.420000000000000000e+02	2.366483040351582190e+01
4.430000000000000000e+02	2.934464302008660752e+01
4.440000000000000000e+02	3.339878634820201597e+01
4.450000000000000000e+02	3.573869844940521290e+01
4.460000000000000000e+02	3.638172542438395141e+01
4.470000000000000000e+02	3.537250975888004945e+01
4.480000000000000000e+02	3.272806262431207358e+01
4.490000000000000000e+02	2.846429736695310453e+01
4.500000000000000000e+02	2.270586091224477343e+01
4.510000000000000000e+02	1.589410571519194626e+01
4.520000000000000000e+02	9.003941688255270748e+00
4.530000000000000000e+02	3.544688368795609890e+00
4.540000000000000000e+02	1.072679433365973267e+00
4.550000000000000000e+02	2.338316247584176111e+00
4.560000000000000000e+02	6.790705459965309387e+00
4.570000000000000000e+02	1.298571274026118694e+01
4.580000000000000000e+02	1.942605949756693917e+01
4.590000000000000000e+02	2.510327963790636829e+01
4.600000000000000000e+02	2.950877230945528140e+01
4.610000000000000000e+02	3.246851078869489982e+01
4.620000000000000000e+02	3.396923767542800476e+01
4.630000000000000000e+02	3.403527330523171202e+01
4.640000000000000000e+02	3.270203042415042205e+01
4.650000000000000000e+02	2.998354198429665018e+01
4.660000000000000000e+02	2.591956453142655192e+01
4.670000000000000000e+02	2.063829054313513467e+01
4.680000000000000000e+02	1.449162467334144999e+01
4.690000000000000000e+02	8.192728373908790829e+00
4.700000000000000000e+02	2.787601009388523288e+00
4.710000000000000000e+02	-5.849732423068187970e-01
4.720000000000000000e+02	-1.150269221379734752e+00
4.730000000000000000e+02	1.123764523327221099e+00
4.740000000000000000e+02	5.526813225047051858e+00
4.750000000000000000e+02	1.096432701666621412e+01
4.760000000000000000e+02	1.639427927745028768e+01
4.770000000000000000e+02	2.111678878481802712e+01
4.780000000000000000e+02	2.477317227660302734e+01
4.790000000000000000e+02	2.723749232267577014e+01
4.800000000000000000e+02	2.849947306612165931e+01
4.810000000000000000e+02	2.857029607065624077e+01
4.820000000000000000e+02	2.746164999647544391e+01
4.830000000000000000e+02	2.520192044346412530e+01
4.840000000000000000e+02	2.185850101097801002e+01
4.850000000000000000e+02	1.759260487435076925e+01
4.860000000000000000e+02	1.267764940451648137e+01
4.870000000000000000e+02	7.582663538059204456e+00
4.880000000000000000e+02	2.967763292150393362e+00
