# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: GaN (cubico) v2 | Input: 394.00 nm | Optimized: 394.62 nm
# Layer 2: SiC | Input: 1480.00 nm | Optimized: 1479.85 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
4.000000000000000000e+02	2.462211913702255472e+01
4.010000000000000000e+02	3.006544226863681502e+01
4.020000000000000000e+02	3.397618948766999125e+01
4.030000000000000000e+02	3.557949742535571858e+01
4.040000000000000000e+02	3.455575588160007783e+01
4.050000000000000000e+02	3.084379072870850891e+01
4.060000000000000000e+02	2.474237454626472399e+01
4.070000000000000000e+02	1.739429552635049347e+01
4.080000000000000000e+02	1.101058111501943770e+01
4.090000000000000000e+02	8.232790936416979122e+00
4.100000000000000000e+02	1.044967078705445473e+01
4.110000000000000000e+02	1.655002676291472596e+01
4.120000000000000000e+02	2.399482367845189756e+01
4.130000000000000000e+02	3.066686351027401614e+01
4.140000000000000000e+02	3.551679538595044505e+01
4.150000000000000000e+02	3.822826863287532717e+01
4.160000000000000000e+02	3.877654523770451789e+01
4.170000000000000000e+02	3.720436120964298965e+01
4.180000000000000000e+02	3.355990552731964982e+01
4.190000000000000000e+02	2.798525002295929198e+01
4.200000000000000000e+02	2.097871537420564891e+01
4.210000000000000000e+02	1.372926272002535342e+01
4.220000000000000000e+02	8.189437737396364270e+00
4.230000000000000000e+02	6.391987407095347962e+00
4.240000000000000000e+02	9.021548554670912878e+00
4.250000000000000000e+02	1.485833937671493032e+01
4.260000000000000000e+02	2.181629751959022911e+01
4.270000000000000000e+02	2.817356075897662393e+01
4.280000000000000000e+02	3.305672429665074930e+01
4.290000000000000000e+02	3.614724654083414634e+01
4.300000000000000000e+02	3.739486277642066625e+01
4.310000000000000000e+02	3.682235515959499850e+01
4.320000000000000000e+02	3.446206109689822483e+01
4.330000000000000000e+02	3.037333263802137040e+01
4.340000000000000000e+02	2.474440806716330243e+01
4.350000000000000000e+02	1.805516776547586133e+01
4.360000000000000000e+02	1.128595612261556447e+01
4.370000000000000000e+02	5.949466226041653094e+00
4.380000000000000000e+02	3.665045722569024278e+00
4.390000000000000000e+02	5.206153745316263404e+00
4.400000000000000000e+02	9.942846527572079651e+00
4.410000000000000000e+02	1.630366005591782752e+01
4.420000000000000000e+02	2.273812331256394614e+01
4.430000000000000000e+02	2.823143416477201839e+01
4.440000000000000000e+02	3.227968458519558936e+01
4.450000000000000000e+02	3.470615215701792522e+01
4.460000000000000000e+02	3.548094456463655888e+01
4.470000000000000000e+02	3.464129019462644266e+01
4.480000000000000000e+02	3.222944809167152869e+01
4.490000000000000000e+02	2.830719009980475676e+01
4.500000000000000000e+02	2.304377688651680955e+01
4.510000000000000000e+02	1.687951853035765737e+01
4.520000000000000000e+02	1.067508659871869092e+01
4.530000000000000000e+02	5.690557368814863182e+00
4.540000000000000000e+02	3.231124548108458505e+00
4.550000000000000000e+02	4.036306414021622047e+00
4.560000000000000000e+02	7.849617767820454617e+00
4.570000000000000000e+02	1.358946391987758062e+01
4.580000000000000000e+02	1.994160922745670916e+01
4.590000000000000000e+02	2.588469870223512004e+01
4.600000000000000000e+02	3.081298289863308071e+01
4.610000000000000000e+02	3.445706591621701165e+01
4.620000000000000000e+02	3.674818699307033398e+01
4.630000000000000000e+02	3.769006891510939994e+01
4.640000000000000000e+02	3.731626029897810071e+01
4.650000000000000000e+02	3.564666879533267263e+01
4.660000000000000000e+02	3.270697711418056031e+01
4.670000000000000000e+02	2.856017314962862130e+01
4.680000000000000000e+02	2.340151397800238087e+01
4.690000000000000000e+02	1.767678771318318809e+01
4.700000000000000000e+02	1.212610497204739701e+01
4.710000000000000000e+02	7.727697163862217167e+00
4.720000000000000000e+02	5.446718371547182080e+00
4.730000000000000000e+02	5.868824031720225598e+00
4.740000000000000000e+02	8.909030286367595863e+00
4.750000000000000000e+02	1.383538672678769110e+01
4.760000000000000000e+02	1.960122486549828835e+01
4.770000000000000000e+02	2.528716317821680448e+01
4.780000000000000000e+02	3.029770670018264056e+01
4.790000000000000000e+02	3.434600881954372653e+01
4.800000000000000000e+02	3.734671873736705550e+01
4.810000000000000000e+02	3.929151897555040307e+01
4.820000000000000000e+02	4.018633973388801905e+01
4.830000000000000000e+02	4.004775941887061208e+01
4.840000000000000000e+02	3.889172459357409650e+01
4.850000000000000000e+02	3.674381891617910867e+01
4.860000000000000000e+02	3.363808363885596719e+01
4.870000000000000000e+02	2.965395059594305849e+01
4.880000000000000000e+02	2.495679753454977501e+01
