# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: GaN (cubico) v2 | Input: 330.00 nm | Optimized: 311.12 nm
# Layer 2: SiC | Input: 1576.00 nm | Optimized: 1563.98 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
3.900000000000000000e+02	1.984352954404471703e+01
3.910000000000000000e+02	2.145558964817044867e+01
3.920000000000000000e+02	2.467793678836380167e+01
3.930000000000000000e+02	2.847060386564276158e+01
3.940000000000000000e+02	3.135108889679104038e+01
3.950000000000000000e+02	3.230907341714392089e+01
3.960000000000000000e+02	3.114501792839882555e+01
3.970000000000000000e+02	2.821808121709310413e+01
3.980000000000000000e+02	2.377720086644568198e+01
3.990000000000000000e+02	1.843476195102727999e+01
4.000000000000000000e+02	1.353389629236866831e+01
4.010000000000000000e+02	1.136504386577125558e+01
4.020000000000000000e+02	1.362091990426119459e+01
4.030000000000000000e+02	1.955130074781682836e+01
4.040000000000000000e+02	2.668685091211765936e+01
4.050000000000000000e+02	3.287645161924773163e+01
4.060000000000000000e+02	3.704574238042377488e+01
4.070000000000000000e+02	3.887221816620646564e+01
4.080000000000000000e+02	3.847952107702908364e+01
4.090000000000000000e+02	3.595867346520763164e+01
4.100000000000000000e+02	3.137351283597080709e+01
4.110000000000000000e+02	2.499558612389458645e+01
4.120000000000000000e+02	1.766458379953284563e+01
4.130000000000000000e+02	1.116186420426138604e+01
4.140000000000000000e+02	7.903454641835000238e+00
4.150000000000000000e+02	9.383371765164339351e+00
4.160000000000000000e+02	1.476483632401791368e+01
4.170000000000000000e+02	2.171698307444367515e+01
4.180000000000000000e+02	2.822476222915027577e+01
4.190000000000000000e+02	3.322973883899709335e+01
4.200000000000000000e+02	3.637588526427209246e+01
4.210000000000000000e+02	3.762316301017318665e+01
4.220000000000000000e+02	3.702163217904028869e+01
4.230000000000000000e+02	3.462409059429481317e+01
4.240000000000000000e+02	3.049740806719639252e+01
4.250000000000000000e+02	2.484894084108694301e+01
4.260000000000000000e+02	1.819314342209928625e+01
4.270000000000000000e+02	1.164994793143445762e+01
4.280000000000000000e+02	6.890647145372446047e+00
4.290000000000000000e+02	5.576962309669008633e+00
4.300000000000000000e+02	8.196863643427059642e+00
4.310000000000000000e+02	1.365472836547590951e+01
4.320000000000000000e+02	2.013927450279506104e+01
4.330000000000000000e+02	2.617923960393610017e+01
4.340000000000000000e+02	3.097754290657354659e+01
4.350000000000000000e+02	3.423866915172554570e+01
4.360000000000000000e+02	3.589873632542457926e+01
4.370000000000000000e+02	3.596879393947808268e+01
4.380000000000000000e+02	3.446646270572845339e+01
4.390000000000000000e+02	3.143387184977354210e+01
4.400000000000000000e+02	2.696091604691291366e+01
4.410000000000000000e+02	2.132052961929425905e+01
4.420000000000000000e+02	1.509164899305419105e+01
4.430000000000000000e+02	9.319745177202623410e+00
4.440000000000000000e+02	5.458374589306011160e+00
4.450000000000000000e+02	4.777030679000068503e+00
4.460000000000000000e+02	7.513252081581883957e+00
4.470000000000000000e+02	1.268351158940897783e+01
4.480000000000000000e+02	1.882203043378261498e+01
4.490000000000000000e+02	2.474528958041413418e+01
4.500000000000000000e+02	2.973868580675863171e+01
4.510000000000000000e+02	3.347129589886447576e+01
4.520000000000000000e+02	3.583465737305699861e+01
4.530000000000000000e+02	3.683109769129322331e+01
4.540000000000000000e+02	3.649421073995473108e+01
4.550000000000000000e+02	3.485414957748587028e+01
4.560000000000000000e+02	3.194017777837418492e+01
4.570000000000000000e+02	2.782535672510440961e+01
4.580000000000000000e+02	2.271268305903741336e+01
4.590000000000000000e+02	1.702795649022753466e+01
4.600000000000000000e+02	1.155067891381104417e+01
4.610000000000000000e+02	7.381770845415045024e+00
4.620000000000000000e+02	5.610816202756784499e+00
4.630000000000000000e+02	6.780547974396455402e+00
4.640000000000000000e+02	1.052913635668205039e+01
4.650000000000000000e+02	1.584377840085537414e+01
4.660000000000000000e+02	2.163305473478315477e+01
4.670000000000000000e+02	2.707593552050883190e+01
4.680000000000000000e+02	3.168217016896938176e+01
4.690000000000000000e+02	3.522049747654965302e+01
4.700000000000000000e+02	3.763566373708404456e+01
4.710000000000000000e+02	3.894568552572486198e+01
4.720000000000000000e+02	3.918787520646903744e+01
4.730000000000000000e+02	3.838188064437053981e+01
4.740000000000000000e+02	3.652777465992041073e+01
4.750000000000000000e+02	3.363551618184973080e+01
4.760000000000000000e+02	2.978235215099902078e+01
4.770000000000000000e+02	2.514425251209861401e+01
4.780000000000000000e+02	2.005483211191166504e+01
4.790000000000000000e+02	1.505038602493682021e+01
4.800000000000000000e+02	1.083988726374958311e+01
4.810000000000000000e+02	8.218031217378163333e+00
4.820000000000000000e+02	7.800123841435048888e+00
4.830000000000000000e+02	9.682240922788787785e+00
4.840000000000000000e+02	1.338643040478254775e+01
4.850000000000000000e+02	1.810599507171599143e+01
4.860000000000000000e+02	2.308123486307642125e+01
4.870000000000000000e+02	2.775417215230436696e+01
4.880000000000000000e+02	3.179726298081513391e+01
4.890000000000000000e+02	3.504587328698919180e+01
4.900000000000000000e+02	3.744339770612457841e+01
4.910000000000000000e+02	3.898681310641041620e+01
4.920000000000000000e+02	3.968862230228648258e+01
4.930000000000000000e+02	3.956572378977600835e+01
4.940000000000000000e+02	3.863297115636420642e+01
4.950000000000000000e+02	3.690617230443428554e+01
4.960000000000000000e+02	3.441412678511993306e+01
4.970000000000000000e+02	3.120117314942628539e+01
4.980000000000000000e+02	2.736118411585824006e+01
4.990000000000000000e+02	2.308142925213087082e+01
5.000000000000000000e+02	1.864257351269000651e+01
5.010000000000000000e+02	1.446985045139543224e+01
5.020000000000000000e+02	1.110931777070525328e+01
5.030000000000000000e+02	9.074745232099068915e+00
5.040000000000000000e+02	8.699068546378279976e+00
5.050000000000000000e+02	9.990206479527204309e+00
5.060000000000000000e+02	1.264939769170169370e+01
5.070000000000000000e+02	1.620792379322620391e+01
5.080000000000000000e+02	2.017712606960112609e+01
5.090000000000000000e+02	2.413893215192112862e+01
5.100000000000000000e+02	2.779584349946179245e+01
5.110000000000000000e+02	3.094940423025080989e+01
5.120000000000000000e+02	3.349433688037678536e+01
5.130000000000000000e+02	3.538253527066584070e+01
5.140000000000000000e+02	3.661301030963250014e+01
5.150000000000000000e+02	3.719392469724918726e+01
5.160000000000000000e+02	3.713624520372372473e+01
5.170000000000000000e+02	3.645144214590099097e+01
5.180000000000000000e+02	3.514980729904429779e+01
5.190000000000000000e+02	3.324611080740039881e+01
5.200000000000000000e+02	3.077418860746027818e+01
5.210000000000000000e+02	2.779339485703815527e+01
5.220000000000000000e+02	2.439892182354205730e+01
5.230000000000000000e+02	2.073991857856204035e+01
5.240000000000000000e+02	1.703581521576267832e+01
5.250000000000000000e+02	1.357596060039107932e+01
5.260000000000000000e+02	1.068630254029349658e+01
5.270000000000000000e+02	8.705782228995389005e+00
5.280000000000000000e+02	7.868795616484498545e+00
5.290000000000000000e+02	8.252629333919626831e+00
5.300000000000000000e+02	9.750224467764716962e+00
5.310000000000000000e+02	1.211010691005830253e+01
5.320000000000000000e+02	1.501028781462879280e+01
5.330000000000000000e+02	1.815018570117355523e+01
5.340000000000000000e+02	2.126713658012286245e+01
5.350000000000000000e+02	2.416645242819878803e+01
5.360000000000000000e+02	2.672952231339035123e+01
5.370000000000000000e+02	2.887169660478809519e+01
5.380000000000000000e+02	3.054590011781593262e+01
5.390000000000000000e+02	3.173155487510031492e+01
5.400000000000000000e+02	3.241847445940436501e+01
5.410000000000000000e+02	3.260509885775802275e+01
5.420000000000000000e+02	3.229728304197693944e+01
5.430000000000000000e+02	3.150529558850313450e+01
5.440000000000000000e+02	3.024720358483726912e+01
5.450000000000000000e+02	2.854876931949138097e+01
5.460000000000000000e+02	2.644038877068560822e+01
5.470000000000000000e+02	2.397255915437149909e+01
5.480000000000000000e+02	2.121601003290632548e+01
5.490000000000000000e+02	1.827909006591901431e+01
5.500000000000000000e+02	1.529909776363976270e+01
5.510000000000000000e+02	1.246356399787135238e+01
5.520000000000000000e+02	9.980944173720436297e+00
5.530000000000000000e+02	8.061898451350293371e+00
5.540000000000000000e+02	6.868277911286374326e+00
5.550000000000000000e+02	6.492485431677630814e+00
5.560000000000000000e+02	6.938786283864424753e+00
5.570000000000000000e+02	8.126620045101308420e+00
5.580000000000000000e+02	9.913266075212305850e+00
5.590000000000000000e+02	1.212517957704566030e+01
5.600000000000000000e+02	1.457359490579580097e+01
5.610000000000000000e+02	1.708659491648816342e+01
5.620000000000000000e+02	1.952068502062978439e+01
5.630000000000000000e+02	2.175636840004258232e+01
5.640000000000000000e+02	2.371964588692529574e+01
5.650000000000000000e+02	2.536307524800602664e+01
5.660000000000000000e+02	2.665397257356350735e+01
5.670000000000000000e+02	2.758157928487446853e+01
5.680000000000000000e+02	2.813909953952694565e+01
5.690000000000000000e+02	2.832565942762508371e+01
5.700000000000000000e+02	2.814427894367152305e+01
5.710000000000000000e+02	2.760096418008767216e+01
5.720000000000000000e+02	2.670611879243874398e+01
5.730000000000000000e+02	2.547630510234356649e+01
5.740000000000000000e+02	2.393640210067741592e+01
5.750000000000000000e+02	2.212045146652996408e+01
5.760000000000000000e+02	2.007687610870081585e+01
5.770000000000000000e+02	1.787089638895363919e+01
5.780000000000000000e+02	1.558392820365485143e+01
5.790000000000000000e+02	1.331248929657752278e+01
5.800000000000000000e+02	1.117410783213192538e+01
5.810000000000000000e+02	9.286736033217051656e+00
5.820000000000000000e+02	7.767668148509448756e+00
5.830000000000000000e+02	6.723200732531409152e+00
5.840000000000000000e+02	6.221744067440807768e+00
5.850000000000000000e+02	6.293947919169980310e+00
5.860000000000000000e+02	6.923570453267367419e+00
5.870000000000000000e+02	8.051625224077339382e+00
5.880000000000000000e+02	9.586352842240794203e+00
5.890000000000000000e+02	1.141341932836239614e+01
5.900000000000000000e+02	1.342116432390737302e+01
5.910000000000000000e+02	1.550132413668754161e+01
5.920000000000000000e+02	1.755995618867595809e+01
5.930000000000000000e+02	1.951529200330907088e+01
5.940000000000000000e+02	2.131518846709118620e+01
5.950000000000000000e+02	2.290684109233350796e+01
5.960000000000000000e+02	2.426459133320384964e+01
5.970000000000000000e+02	2.537460154135174406e+01
5.980000000000000000e+02	2.621390506679738763e+01
5.990000000000000000e+02	2.677576230274761926e+01
6.000000000000000000e+02	2.706380249218927503e+01
6.010000000000000000e+02	2.707788778677864983e+01
6.020000000000000000e+02	2.682378932069066124e+01
6.030000000000000000e+02	2.630869567517250118e+01
6.040000000000000000e+02	2.554356166098539305e+01
6.050000000000000000e+02	2.454176501553799383e+01
6.060000000000000000e+02	2.331934943729525855e+01
6.070000000000000000e+02	2.190468845800693387e+01
6.080000000000000000e+02	2.032794434119647420e+01
6.090000000000000000e+02	1.862374194266525151e+01
6.100000000000000000e+02	1.684620862188503310e+01
6.110000000000000000e+02	1.504980769096218829e+01
6.120000000000000000e+02	1.330191998882039250e+01
6.130000000000000000e+02	1.167718705473578744e+01
6.140000000000000000e+02	1.024757335182804852e+01
6.150000000000000000e+02	9.085834191698703322e+00
6.160000000000000000e+02	8.254564949499551219e+00
6.170000000000000000e+02	7.802013807132354373e+00
6.180000000000000000e+02	7.752521216070606513e+00
6.190000000000000000e+02	8.107288840032806476e+00
6.200000000000000000e+02	8.841890932847288553e+00
6.210000000000000000e+02	9.913173514311171886e+00
6.220000000000000000e+02	1.126199912055309227e+01
6.230000000000000000e+02	1.281538281939121937e+01
6.240000000000000000e+02	1.450701252322325097e+01
6.250000000000000000e+02	1.627075856547601873e+01
6.260000000000000000e+02	1.804204897472816072e+01
6.270000000000000000e+02	1.977339884475183496e+01
6.280000000000000000e+02	2.141806309185848534e+01
6.290000000000000000e+02	2.294103856732554547e+01
