# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: GaN (cubico) v2 | Input: 340.00 nm | Optimized: 342.61 nm
# Layer 2: SiC | Input: 1560.00 nm | Optimized: 1543.02 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
3.900000000000000000e+02	1.056979425205943279e+01
3.910000000000000000e+02	9.606457572680033863e+00
3.920000000000000000e+02	1.042439952372296297e+01
3.930000000000000000e+02	1.336887515423213024e+01
3.940000000000000000e+02	1.729927959819855232e+01
3.950000000000000000e+02	2.053358507416073309e+01
3.960000000000000000e+02	2.209735454808140531e+01
3.970000000000000000e+02	2.193240219904561172e+01
3.980000000000000000e+02	2.001154366230686321e+01
3.990000000000000000e+02	1.639172842777232830e+01
4.000000000000000000e+02	1.133409351134075216e+01
4.010000000000000000e+02	5.824744483311453891e+00
4.020000000000000000e+02	2.000355996433631489e+00
4.030000000000000000e+02	2.170991951037622769e+00
4.040000000000000000e+02	6.744515966007357477e+00
4.050000000000000000e+02	1.370306211354034609e+01
4.060000000000000000e+02	2.049257350065692407e+01
4.070000000000000000e+02	2.552510848964531931e+01
4.080000000000000000e+02	2.835155234510522604e+01
4.090000000000000000e+02	2.892297307605328172e+01
4.100000000000000000e+02	2.726031630439563003e+01
4.110000000000000000e+02	2.343770875929079267e+01
4.120000000000000000e+02	1.770469017415712187e+01
4.130000000000000000e+02	1.079525118103802050e+01
4.140000000000000000e+02	4.277570521725698072e+00
4.150000000000000000e+02	4.473556421741111677e-01
4.160000000000000000e+02	1.078789917832571277e+00
4.170000000000000000e+02	5.866222921697483272e+00
4.180000000000000000e+02	1.276604516525205035e+01
4.190000000000000000e+02	1.967105224051300638e+01
4.200000000000000000e+02	2.533113106304744377e+01
4.210000000000000000e+02	2.925268106816140090e+01
4.220000000000000000e+02	3.133879524929869831e+01
4.230000000000000000e+02	3.160834710423760896e+01
4.240000000000000000e+02	3.009369463121308996e+01
4.250000000000000000e+02	2.682779966316578424e+01
4.260000000000000000e+02	2.189364331992978663e+01
4.270000000000000000e+02	1.562549548618881623e+01
4.280000000000000000e+02	8.805266680145914293e+00
4.290000000000000000e+02	2.923243638230932362e+00
4.300000000000000000e+02	-1.323888264274160065e-01
4.310000000000000000e+02	8.614755561506015624e-01
4.320000000000000000e+02	5.444353117443069934e+00
4.330000000000000000e+02	1.188072884683938746e+01
4.340000000000000000e+02	1.842674973730044030e+01
4.350000000000000000e+02	2.402135924461129690e+01
4.360000000000000000e+02	2.820631381961588602e+01
4.370000000000000000e+02	3.085817860474215735e+01
4.380000000000000000e+02	3.197289892974153958e+01
4.390000000000000000e+02	3.157862716956141469e+01
4.400000000000000000e+02	2.969436142585600891e+01
4.410000000000000000e+02	2.634379175955036345e+01
4.420000000000000000e+02	2.158886575393548668e+01
4.430000000000000000e+02	1.564528328286646008e+01
4.440000000000000000e+02	9.079169228850259898e+00
4.450000000000000000e+02	2.976484659308670899e+00
4.460000000000000000e+02	-1.128497135382734662e+00
4.470000000000000000e+02	-1.977736110129608704e+00
4.480000000000000000e+02	6.046033232225056508e-01
4.490000000000000000e+02	5.624142143337079958e+00
4.500000000000000000e+02	1.162008401583899619e+01
4.510000000000000000e+02	1.738054419478944368e+01
4.520000000000000000e+02	2.218570064894144167e+01
4.530000000000000000e+02	2.572809182839021247e+01
4.540000000000000000e+02	2.793320676620704290e+01
4.550000000000000000e+02	2.881589211455288080e+01
4.560000000000000000e+02	2.840650208645141106e+01
4.570000000000000000e+02	2.672541265272480615e+01
4.580000000000000000e+02	2.380219149032458859e+01
4.590000000000000000e+02	1.969637303548455520e+01
4.600000000000000000e+02	1.458443286421034379e+01
4.610000000000000000e+02	8.863502455314717920e+00
4.620000000000000000e+02	3.228174898266336967e+00
4.630000000000000000e+02	-1.306861388500441201e+00
4.640000000000000000e+02	-3.685732076968578852e+00
4.650000000000000000e+02	-3.303106063482845300e+00
4.660000000000000000e+02	-3.602355749892902637e-01
4.670000000000000000e+02	4.283398548168614539e+00
4.680000000000000000e+02	9.565233882635849838e+00
4.690000000000000000e+02	1.461224211658368155e+01
4.700000000000000000e+02	1.890269861738473622e+01
4.710000000000000000e+02	2.219495770079797126e+01
4.720000000000000000e+02	2.441528275549411831e+01
4.730000000000000000e+02	2.555149563887586339e+01
4.740000000000000000e+02	2.560758772691919916e+01
4.750000000000000000e+02	2.458765299948211691e+01
4.760000000000000000e+02	2.252073155867313403e+01
4.770000000000000000e+02	1.947240131556593923e+01
4.780000000000000000e+02	1.556944661651697892e+01
4.790000000000000000e+02	1.104185274024718133e+01
4.800000000000000000e+02	6.247554193700372238e+00
4.810000000000000000e+02	1.735068955262153878e+00
4.820000000000000000e+02	-1.753804039621688737e+00
4.830000000000000000e+02	-3.499714475164259042e+00
4.840000000000000000e+02	-3.097137762814027973e+00
4.850000000000000000e+02	-6.746655155506777746e-01
4.860000000000000000e+02	3.199941252687873217e+00
4.870000000000000000e+02	7.790684898526540891e+00
4.880000000000000000e+02	1.244863388542790794e+01
4.890000000000000000e+02	1.671077584938989702e+01
4.900000000000000000e+02	2.030942583027898252e+01
4.910000000000000000e+02	2.311449455803435171e+01
4.920000000000000000e+02	2.507402525772465651e+01
4.930000000000000000e+02	2.617813362578844050e+01
4.940000000000000000e+02	2.643732794031493682e+01
4.950000000000000000e+02	2.586982397008384282e+01
4.960000000000000000e+02	2.450007988381914714e+01
4.970000000000000000e+02	2.235807895390775712e+01
4.980000000000000000e+02	1.949611920484937855e+01
4.990000000000000000e+02	1.601957208892983431e+01
5.000000000000000000e+02	1.208979303041095399e+01
5.010000000000000000e+02	7.980980197948364108e+00
5.020000000000000000e+02	4.110662964520455986e+00
5.030000000000000000e+02	9.739808912359944060e-01
5.040000000000000000e+02	-9.332851476814578717e-01
5.050000000000000000e+02	-1.279797486696991449e+00
5.060000000000000000e+02	-2.159377893571168272e-02
5.070000000000000000e+02	2.605843383588441142e+00
5.080000000000000000e+02	6.181982478164318451e+00
5.090000000000000000e+02	1.022505425242682797e+01
5.100000000000000000e+02	1.431393829496809467e+01
5.110000000000000000e+02	1.812225871554783652e+01
5.120000000000000000e+02	2.144371357847562365e+01
5.130000000000000000e+02	2.416080858007261156e+01
5.140000000000000000e+02	2.623528889146420795e+01
5.150000000000000000e+02	2.765713154076957636e+01
5.160000000000000000e+02	2.843116387651113541e+01
5.170000000000000000e+02	2.856732922162398580e+01
5.180000000000000000e+02	2.807581852605915884e+01
5.190000000000000000e+02	2.696727197690307065e+01
5.200000000000000000e+02	2.526123429714627378e+01
5.210000000000000000e+02	2.299143256413429270e+01
5.220000000000000000e+02	2.021128632433565286e+01
5.230000000000000000e+02	1.700936918786535301e+01
5.240000000000000000e+02	1.352796512933681505e+01
5.250000000000000000e+02	9.977080363020837339e+00
5.260000000000000000e+02	6.626168789792554747e+00
5.270000000000000000e+02	3.821590138140889437e+00
5.280000000000000000e+02	1.894442805567475574e+00
5.290000000000000000e+02	1.095138322093511363e+00
5.300000000000000000e+02	1.525982714284618069e+00
5.310000000000000000e+02	3.097898012554193059e+00
5.320000000000000000e+02	5.568299933626317255e+00
5.330000000000000000e+02	8.630169706276481278e+00
5.340000000000000000e+02	1.196354655314573812e+01
5.350000000000000000e+02	1.529635538735759503e+01
5.360000000000000000e+02	1.843861602624020435e+01
5.370000000000000000e+02	2.124922532003078146e+01
5.380000000000000000e+02	2.364120430820221230e+01
5.390000000000000000e+02	2.557012682966235673e+01
5.400000000000000000e+02	2.701263442204589893e+01
5.410000000000000000e+02	2.795872549036139532e+01
5.420000000000000000e+02	2.840967338069074088e+01
5.430000000000000000e+02	2.837298863879387056e+01
5.440000000000000000e+02	2.785835273597548678e+01
5.450000000000000000e+02	2.688009498700333211e+01
5.460000000000000000e+02	2.545170883137863882e+01
5.470000000000000000e+02	2.359392006124294738e+01
5.480000000000000000e+02	2.133670545593494694e+01
5.490000000000000000e+02	1.873317102792442768e+01
5.500000000000000000e+02	1.585681648239059349e+01
5.510000000000000000e+02	1.282844996678953997e+01
5.520000000000000000e+02	9.807400312488924854e+00
5.530000000000000000e+02	6.995094741388596660e+00
5.540000000000000000e+02	4.599121528046870466e+00
5.550000000000000000e+02	2.816846604856969805e+00
5.560000000000000000e+02	1.799706009458027722e+00
5.570000000000000000e+02	1.627587819624649157e+00
5.580000000000000000e+02	2.292431014400170497e+00
5.590000000000000000e+02	3.705364687571227833e+00
5.600000000000000000e+02	5.708828520693801423e+00
5.610000000000000000e+02	8.110621937917803947e+00
5.620000000000000000e+02	1.071603055734221677e+01
5.630000000000000000e+02	1.334115561644465409e+01
5.640000000000000000e+02	1.585011561337646135e+01
5.650000000000000000e+02	1.814484460822423273e+01
5.660000000000000000e+02	2.015265602216810237e+01
5.670000000000000000e+02	2.183766082134702913e+01
5.680000000000000000e+02	2.317505501586918371e+01
5.690000000000000000e+02	2.415113422820417100e+01
5.700000000000000000e+02	2.476241443393595176e+01
5.710000000000000000e+02	2.500628169310351012e+01
5.720000000000000000e+02	2.488426470464963813e+01
5.730000000000000000e+02	2.440076537797843770e+01
