Wavelength(nm)	Response
3.000000000000000000e+02	1.082392836803731662e+01
3.010000000000000000e+02	3.540208049067015850e+01
3.020000000000000000e+02	5.203636429023004695e+01
3.030000000000000000e+02	5.444305048428931570e+01
3.040000000000000000e+02	4.780448219304123825e+01
3.050000000000000000e+02	3.291595684398751587e+01
3.060000000000000000e+02	1.385554082439371371e+01
3.070000000000000000e+02	1.328506814813207981e+01
3.080000000000000000e+02	3.338282088774445810e+01
3.090000000000000000e+02	4.657762927353615368e+01
3.100000000000000000e+02	4.889743933730394332e+01
3.110000000000000000e+02	4.362802958969585632e+01
3.120000000000000000e+02	3.235617867422087102e+01
3.130000000000000000e+02	1.769877113423201109e+01
3.140000000000000000e+02	9.745905146409524988e+00
3.150000000000000000e+02	1.873448561122814482e+01
3.160000000000000000e+02	3.379491509741448141e+01
3.170000000000000000e+02	4.246475443746412992e+01
3.180000000000000000e+02	4.357221259305464400e+01
3.190000000000000000e+02	3.887555720393549308e+01
3.200000000000000000e+02	2.977966590096938404e+01
3.210000000000000000e+02	1.848384093344776957e+01
3.220000000000000000e+02	1.044566780774880854e+01
3.230000000000000000e+02	1.255660748402334015e+01
3.240000000000000000e+02	2.334290395848620392e+01
3.250000000000000000e+02	3.391196610058963756e+01
3.260000000000000000e+02	3.921175475976073699e+01
3.270000000000000000e+02	3.896085247512763772e+01
3.280000000000000000e+02	3.421811753163600400e+01
3.290000000000000000e+02	2.624698327173167911e+01
3.300000000000000000e+02	1.711401914767027321e+01
3.310000000000000000e+02	1.062502393428501080e+01
3.320000000000000000e+02	1.107702612317151925e+01
3.330000000000000000e+02	1.862516384970797390e+01
3.340000000000000000e+02	2.820639688098158615e+01
3.350000000000000000e+02	3.491957605130502884e+01
3.360000000000000000e+02	3.700756913543180104e+01
3.370000000000000000e+02	3.469536490819380958e+01
3.380000000000000000e+02	2.889067862136153053e+01
3.390000000000000000e+02	2.101767362950858242e+01
3.400000000000000000e+02	1.349986374572451275e+01
3.410000000000000000e+02	9.779234168627052526e+00
3.420000000000000000e+02	1.236267719236248297e+01
3.430000000000000000e+02	2.003513413772515861e+01
3.440000000000000000e+02	2.860835422609127932e+01
3.450000000000000000e+02	3.449443517417651606e+01
3.460000000000000000e+02	3.626361405284826844e+01
3.470000000000000000e+02	3.396107509561522875e+01
3.480000000000000000e+02	2.833581647825387506e+01
3.490000000000000000e+02	2.075494337290222546e+01
3.500000000000000000e+02	1.352912864034664864e+01
3.510000000000000000e+02	9.750877609639690746e+00
3.520000000000000000e+02	1.166090833776145530e+01
3.530000000000000000e+02	1.855879428218217697e+01
3.540000000000000000e+02	2.713459830814575469e+01
3.550000000000000000e+02	3.402157863516154634e+01
3.560000000000000000e+02	3.739084097501969950e+01
3.570000000000000000e+02	3.676631290508288430e+01
3.580000000000000000e+02	3.244213930488313480e+01
3.590000000000000000e+02	2.535359795925020876e+01
3.600000000000000000e+02	1.732590902626276375e+01
3.610000000000000000e+02	1.118297380040693767e+01
3.620000000000000000e+02	9.826042245444540413e+00
3.630000000000000000e+02	1.418135061879041281e+01
3.640000000000000000e+02	2.224991952513796889e+01
3.650000000000000000e+02	3.071344242504481414e+01
3.660000000000000000e+02	3.697503725160272836e+01
3.670000000000000000e+02	3.977992759459520755e+01
3.680000000000000000e+02	3.884950506218655875e+01
3.690000000000000000e+02	3.445943902722422081e+01
3.700000000000000000e+02	2.739022757006152986e+01
3.710000000000000000e+02	1.920485139384239659e+01
3.720000000000000000e+02	1.240579118184680496e+01
3.730000000000000000e+02	9.689615024115820319e+00
3.740000000000000000e+02	1.222488014456399696e+01
3.750000000000000000e+02	1.874186460459470993e+01
3.760000000000000000e+02	2.663142227436325626e+01
3.770000000000000000e+02	3.358255318271351086e+01
3.780000000000000000e+02	3.825793947748124424e+01
3.790000000000000000e+02	4.012201658332595855e+01
3.800000000000000000e+02	3.907724607491235957e+01
3.810000000000000000e+02	3.528404889737107908e+01
3.820000000000000000e+02	2.921643030541041597e+01
3.830000000000000000e+02	2.189539433118079614e+01
3.840000000000000000e+02	1.506299108283831423e+01
3.850000000000000000e+02	1.083984286023538246e+01
3.860000000000000000e+02	1.070261330938278377e+01
3.870000000000000000e+02	1.455925057980575588e+01
3.880000000000000000e+02	2.089666029439152695e+01
3.890000000000000000e+02	2.780286632814486225e+01
3.900000000000000000e+02	3.381859660883766594e+01
3.910000000000000000e+02	3.813110525524406569e+01
3.920000000000000000e+02	4.038098587087885960e+01
3.930000000000000000e+02	4.044552493896114242e+01
3.940000000000000000e+02	3.833137006361973675e+01
3.950000000000000000e+02	3.418489344547544562e+01
3.960000000000000000e+02	2.840771046175784420e+01
3.970000000000000000e+02	2.183382852101816951e+01
3.980000000000000000e+02	1.580935487842394949e+01
3.990000000000000000e+02	1.192620855820497283e+01
4.000000000000000000e+02	1.135269162633335327e+01
4.010000000000000000e+02	1.418095914592756657e+01
4.020000000000000000e+02	1.941522188437237872e+01
4.030000000000000000e+02	2.561753051694369177e+01
