Wavelength(nm)	Response
3.500000000000000000e+02	3.999634361969749818e+01
3.510000000000000000e+02	5.384416090127123766e+01
3.520000000000000000e+02	6.281677106029077606e+01
3.530000000000000000e+02	6.732241391541104747e+01
3.540000000000000000e+02	6.802084112269402283e+01
3.550000000000000000e+02	6.504931968651450802e+01
3.560000000000000000e+02	5.795815514051955120e+01
3.570000000000000000e+02	4.607414245608302394e+01
3.580000000000000000e+02	3.026553237645998706e+01
3.590000000000000000e+02	1.691795210283635598e+01
3.600000000000000000e+02	1.668018909272462125e+01
3.610000000000000000e+02	2.992320712690138862e+01
3.620000000000000000e+02	4.606691325379392765e+01
3.630000000000000000e+02	5.837935052795195645e+01
3.640000000000000000e+02	6.588886761189041863e+01
3.650000000000000000e+02	6.934537095386401973e+01
3.660000000000000000e+02	6.935076965635079205e+01
3.670000000000000000e+02	6.599277555153929598e+01
3.680000000000000000e+02	5.887731324744447647e+01
3.690000000000000000e+02	4.748544519179921508e+01
3.700000000000000000e+02	3.254234850864544626e+01
3.710000000000000000e+02	1.886093090028721875e+01
3.720000000000000000e+02	1.510668004006732446e+01
3.730000000000000000e+02	2.393323034120997050e+01
3.740000000000000000e+02	3.808072290695157847e+01
3.750000000000000000e+02	5.064731988989336742e+01
3.760000000000000000e+02	5.944410136977170112e+01
3.770000000000000000e+02	6.462389561636850033e+01
3.780000000000000000e+02	6.676356458718436215e+01
3.790000000000000000e+02	6.623834104251551480e+01
3.800000000000000000e+02	6.311192037558940626e+01
3.810000000000000000e+02	5.720340338420018611e+01
3.820000000000000000e+02	4.831077990935541777e+01
3.830000000000000000e+02	3.682357635129247342e+01
3.840000000000000000e+02	2.486889883099051701e+01
3.850000000000000000e+02	1.688712745869191423e+01
3.860000000000000000e+02	1.701975721973984079e+01
3.870000000000000000e+02	2.480326121189156297e+01
3.880000000000000000e+02	3.584917012508482514e+01
3.890000000000000000e+02	4.623190435496064765e+01
3.900000000000000000e+02	5.425917427982234642e+01
3.910000000000000000e+02	5.968439917433080666e+01
3.920000000000000000e+02	6.273885610484335018e+01
3.930000000000000000e+02	6.367361670888513459e+01
3.940000000000000000e+02	6.261944451554046509e+01
3.950000000000000000e+02	5.957135001959628084e+01
3.960000000000000000e+02	5.443684435384966491e+01
3.970000000000000000e+02	4.717813660069539594e+01
3.980000000000000000e+02	3.811335833284469743e+01
3.990000000000000000e+02	2.838946107972131472e+01
4.000000000000000000e+02	2.033359130693647288e+01
4.010000000000000000e+02	1.680560843652339642e+01
4.020000000000000000e+02	1.922026093918844225e+01
4.030000000000000000e+02	2.628755917237990047e+01
4.040000000000000000e+02	3.525675303342293887e+01
4.050000000000000000e+02	4.384035213473021741e+01
4.060000000000000000e+02	5.087982413194868059e+01
4.070000000000000000e+02	5.605363084435747112e+01
4.080000000000000000e+02	5.941824215920462393e+01
4.090000000000000000e+02	6.111709059809419387e+01
4.100000000000000000e+02	6.125649509397851489e+01
4.110000000000000000e+02	5.987834329928067234e+01
4.120000000000000000e+02	5.696664815048148967e+01
4.130000000000000000e+02	5.248378006665178930e+01
4.140000000000000000e+02	4.645254696355438284e+01
4.150000000000000000e+02	3.910868701828290739e+01
4.160000000000000000e+02	3.112605978222767789e+01
4.170000000000000000e+02	2.379699972600219837e+01
4.180000000000000000e+02	1.886682625185328988e+01
4.190000000000000000e+02	1.779243949614948761e+01
4.200000000000000000e+02	2.083094547891107240e+01
4.210000000000000000e+02	2.687503685717347679e+01
4.220000000000000000e+02	3.422228365214566992e+01
4.230000000000000000e+02	4.143577367123231880e+01
4.240000000000000000e+02	4.767162671574247668e+01
4.250000000000000000e+02	5.258355730400933226e+01
4.260000000000000000e+02	5.611335272731490420e+01
4.270000000000000000e+02	5.832175357478028843e+01
4.280000000000000000e+02	5.928751157414365025e+01
4.290000000000000000e+02	5.906269249005050881e+01
4.300000000000000000e+02	5.766236440319099188e+01
4.310000000000000000e+02	5.507464028763327235e+01
4.320000000000000000e+02	5.129002565889138054e+01
4.330000000000000000e+02	4.635151488256553876e+01
4.340000000000000000e+02	4.042797232225652238e+01
4.350000000000000000e+02	3.390377704462203212e+01
4.360000000000000000e+02	2.747154423727717543e+01
4.370000000000000000e+02	2.214556494691647970e+01
4.380000000000000000e+02	1.904559159645236477e+01
4.390000000000000000e+02	1.891766681358512159e+01
4.400000000000000000e+02	2.171477729501593501e+01
4.410000000000000000e+02	2.664928233146651593e+01
4.420000000000000000e+02	3.264493830922604900e+01
4.430000000000000000e+02	3.875284849977967383e+01
4.440000000000000000e+02	4.432543377172672194e+01
4.450000000000000000e+02	4.900041353447021208e+01
4.460000000000000000e+02	5.263257994078192326e+01
4.470000000000000000e+02	5.520527931409340283e+01
4.480000000000000000e+02	5.676173056152869378e+01
4.490000000000000000e+02	5.734492723572327577e+01
4.500000000000000000e+02	5.697539172531958229e+01
4.510000000000000000e+02	5.565398289415898603e+01
4.520000000000000000e+02	5.337950343650858542e+01
4.530000000000000000e+02	5.016628162115384271e+01
4.540000000000000000e+02	4.606268081461243469e+01
4.550000000000000000e+02	4.118337496622967109e+01
4.560000000000000000e+02	3.576841458008929919e+01
4.570000000000000000e+02	3.024233993591765923e+01
4.580000000000000000e+02	2.523469435357863944e+01
4.590000000000000000e+02	2.149185214484786499e+01
4.600000000000000000e+02	1.967407273856775873e+01
4.610000000000000000e+02	2.010831683810736337e+01
4.620000000000000000e+02	2.264882444003115580e+01
4.630000000000000000e+02	2.675008131593434513e+01
4.640000000000000000e+02	3.169940025632636704e+01
4.650000000000000000e+02	3.684589898565759114e+01
4.660000000000000000e+02	4.170980132980944433e+01
4.670000000000000000e+02	4.598983883846088361e+01
4.680000000000000000e+02	4.951423328166531235e+01
4.690000000000000000e+02	5.220994811732084884e+01
4.700000000000000000e+02	5.406737872925950228e+01
4.710000000000000000e+02	5.511321546791367609e+01
4.720000000000000000e+02	5.537964497531442021e+01
4.730000000000000000e+02	5.488069720928756112e+01
4.740000000000000000e+02	5.361096524569542510e+01
4.750000000000000000e+02	5.156474523692119760e+01
4.760000000000000000e+02	4.876100296702799142e+01
4.770000000000000000e+02	4.526195004918356801e+01
4.780000000000000000e+02	4.118668608097338790e+01
4.790000000000000000e+02	3.670653367497740760e+01
4.800000000000000000e+02	3.208006518643007610e+01
4.810000000000000000e+02	2.767475551539690315e+01
4.820000000000000000e+02	2.396539186180405068e+01
4.830000000000000000e+02	2.145393255269187094e+01
4.840000000000000000e+02	2.051333592051500077e+01
4.850000000000000000e+02	2.126073033735214324e+01
4.860000000000000000e+02	2.352563597122606254e+01
4.870000000000000000e+02	2.692750313023210751e+01
4.880000000000000000e+02	3.099801409575358591e+01
4.890000000000000000e+02	3.529298236409567835e+01
4.900000000000000000e+02	3.945722366209446363e+01
4.910000000000000000e+02	4.324495155402802737e+01
4.920000000000000000e+02	4.650786480714543814e+01
4.930000000000000000e+02	4.916925183121647080e+01
4.940000000000000000e+02	5.119792477309457013e+01
4.950000000000000000e+02	5.258972965429185820e+01
4.960000000000000000e+02	5.335388350084059539e+01
4.970000000000000000e+02	5.350434957149072090e+01
4.980000000000000000e+02	5.305387963564184872e+01
4.990000000000000000e+02	5.201128066223088808e+01
5.000000000000000000e+02	5.038362335907454792e+01
5.010000000000000000e+02	4.818326423216399235e+01
5.020000000000000000e+02	4.544245894541464992e+01
5.030000000000000000e+02	4.222518792277097077e+01
5.040000000000000000e+02	3.863997262064314953e+01
5.050000000000000000e+02	3.484835783145337018e+01
5.060000000000000000e+02	3.106000688744252969e+01
5.070000000000000000e+02	2.753578253167536616e+01
5.080000000000000000e+02	2.457276208219557745e+01
5.090000000000000000e+02	2.246797253312997356e+01
5.100000000000000000e+02	2.146297311552834941e+01
5.110000000000000000e+02	2.166992099076227873e+01
5.120000000000000000e+02	2.303666304001583498e+01
5.130000000000000000e+02	2.536447879957093221e+01
5.140000000000000000e+02	2.837205676368820662e+01
5.150000000000000000e+02	3.176354682294079268e+01
5.160000000000000000e+02	3.527257538822402694e+01
5.170000000000000000e+02	3.868560103825065255e+01
5.180000000000000000e+02	4.184378236595728850e+01
5.190000000000000000e+02	4.463736504813122252e+01
5.200000000000000000e+02	4.700014034883567149e+01
5.210000000000000000e+02	4.889801758744381743e+01
5.220000000000000000e+02	5.031885933441178338e+01
5.230000000000000000e+02	5.126390692148966366e+01
5.240000000000000000e+02	5.173907502554598636e+01
5.250000000000000000e+02	5.175102898196489321e+01
5.260000000000000000e+02	5.130565145187632936e+01
5.270000000000000000e+02	5.040911760726399393e+01
5.280000000000000000e+02	4.907152243212756559e+01
5.290000000000000000e+02	4.731014314136800181e+01
5.300000000000000000e+02	4.515349615382024240e+01
5.310000000000000000e+02	4.264539565928258469e+01
5.320000000000000000e+02	3.984726061479393877e+01
5.330000000000000000e+02	3.684414359119766402e+01
5.340000000000000000e+02	3.374933502777260230e+01
5.350000000000000000e+02	3.070547798904995318e+01
5.360000000000000000e+02	2.788095826901153629e+01
5.370000000000000000e+02	2.545835707031381290e+01
5.380000000000000000e+02	2.361411365785084371e+01
5.390000000000000000e+02	2.249325222547908965e+01
5.400000000000000000e+02	2.218476105838107770e+01
5.410000000000000000e+02	2.270361098071399653e+01
5.420000000000000000e+02	2.398661654859317949e+01
5.430000000000000000e+02	2.590606448879258394e+01
5.440000000000000000e+02	2.829447787361936761e+01
5.450000000000000000e+02	3.097387319051712495e+01
5.460000000000000000e+02	3.378121408023176286e+01
5.470000000000000000e+02	3.657839728535899582e+01
5.480000000000000000e+02	3.925603686532225822e+01
5.490000000000000000e+02	4.173235879514243862e+01
5.500000000000000000e+02	4.394636551086819054e+01
5.510000000000000000e+02	4.585410234616843184e+01
5.520000000000000000e+02	4.742933240296207487e+01
5.530000000000000000e+02	4.865962130672740216e+01
5.540000000000000000e+02	4.954274121333286018e+01
5.550000000000000000e+02	5.008459706779446208e+01
5.560000000000000000e+02	5.029396957945422741e+01
5.570000000000000000e+02	5.017838483247406600e+01
5.580000000000000000e+02	4.974353930272498303e+01
5.590000000000000000e+02	4.899353486383095913e+01
5.600000000000000000e+02	4.793357774784301739e+01
5.610000000000000000e+02	4.657404377348696300e+01
5.620000000000000000e+02	4.493205570246279024e+01
5.630000000000000000e+02	4.303343732965534230e+01
5.640000000000000000e+02	4.091475516248976874e+01
5.650000000000000000e+02	3.862276328262430525e+01
5.660000000000000000e+02	3.621378768918016533e+01
5.670000000000000000e+02	3.375677221468443889e+01
5.680000000000000000e+02	3.133353149723732400e+01
5.690000000000000000e+02	2.903712162386755580e+01
5.700000000000000000e+02	2.696915508778853621e+01
5.710000000000000000e+02	2.523349964024562553e+01
5.720000000000000000e+02	2.392425383113943838e+01
5.730000000000000000e+02	2.311473581326686855e+01
5.740000000000000000e+02	2.284813879203927200e+01
5.750000000000000000e+02	2.313174907601278818e+01
5.760000000000000000e+02	2.393641627566228536e+01
5.770000000000000000e+02	2.520190204426673120e+01
5.780000000000000000e+02	2.684548522447978058e+01
5.790000000000000000e+02	2.877211261644698226e+01
5.800000000000000000e+02	3.088422820665253354e+01
5.810000000000000000e+02	3.309025699350889482e+01
5.820000000000000000e+02	3.530958543215103873e+01
5.830000000000000000e+02	3.747456294851775738e+01
5.840000000000000000e+02	3.953098249571753797e+01
5.850000000000000000e+02	4.143721906268388011e+01
5.860000000000000000e+02	4.316244271423348522e+01
5.870000000000000000e+02	4.468468819392927571e+01
5.880000000000000000e+02	4.598944514521836879e+01
5.890000000000000000e+02	4.706794080667476976e+01
5.900000000000000000e+02	4.791560886030779898e+01
5.910000000000000000e+02	4.853084423263240410e+01
5.920000000000000000e+02	4.891391977458222584e+01
5.930000000000000000e+02	4.906638315337653466e+01
5.940000000000000000e+02	4.899080073757980358e+01
5.950000000000000000e+02	4.869060922364623423e+01
5.960000000000000000e+02	4.817016627417696384e+01
5.970000000000000000e+02	4.743501396501685008e+01
5.980000000000000000e+02	4.649237014991706474e+01
5.990000000000000000e+02	4.535150122208366952e+01
6.000000000000000000e+02	4.402432659710559903e+01
6.010000000000000000e+02	4.252619072058669758e+01
6.020000000000000000e+02	4.087669329366762838e+01
6.030000000000000000e+02	3.910041163325665536e+01
6.040000000000000000e+02	3.722747721618196692e+01
6.050000000000000000e+02	3.529440370603356314e+01
6.060000000000000000e+02	3.334430510505142564e+01
6.070000000000000000e+02	3.142647873643020873e+01
6.080000000000000000e+02	2.959524540989726660e+01
6.090000000000000000e+02	2.790793115430380666e+01
6.100000000000000000e+02	2.642185371681202000e+01
6.110000000000000000e+02	2.519064167848233637e+01
6.120000000000000000e+02	2.426041009859334707e+01
6.130000000000000000e+02	2.366614710286495082e+01
6.140000000000000000e+02	2.342882976355542368e+01
6.150000000000000000e+02	2.355381569678443299e+01
6.160000000000000000e+02	2.403058307790967518e+01
6.170000000000000000e+02	2.483361650538707366e+01
6.180000000000000000e+02	2.592485693218769782e+01
6.190000000000000000e+02	2.725710096183211562e+01
6.200000000000000000e+02	2.877778508193492968e+01
6.210000000000000000e+02	3.043278631630958131e+01
6.220000000000000000e+02	3.216999566470251892e+01
6.230000000000000000e+02	3.394149684384226617e+01
6.240000000000000000e+02	3.570490540570681048e+01
6.250000000000000000e+02	3.742401699931447467e+01
6.260000000000000000e+02	3.906886901723348160e+01
6.270000000000000000e+02	4.061529471877170039e+01
6.280000000000000000e+02	4.204374465135084904e+01
6.290000000000000000e+02	4.333898581026873842e+01
6.300000000000000000e+02	4.448972644987425440e+01
6.310000000000000000e+02	4.548794989499049279e+01
6.320000000000000000e+02	4.632829333671516281e+01
6.330000000000000000e+02	4.700750842082135250e+01
6.340000000000000000e+02	4.752422105885386827e+01
6.350000000000000000e+02	4.787852344757560275e+01
6.360000000000000000e+02	4.807132765770863614e+01
6.370000000000000000e+02	4.810413633858613025e+01
6.380000000000000000e+02	4.797892268478868516e+01
6.390000000000000000e+02	4.769808876736274783e+01
6.400000000000000000e+02	4.726449002321768944e+01
6.410000000000000000e+02	4.668153664977779727e+01
6.420000000000000000e+02	4.595343547576375443e+01
6.430000000000000000e+02	4.508543120980560559e+01
6.440000000000000000e+02	4.408407668935436163e+01
6.450000000000000000e+02	4.295754444075488721e+01
6.460000000000000000e+02	4.171596702554766978e+01
6.470000000000000000e+02	4.037179851859991686e+01
6.480000000000000000e+02	3.894016280875798941e+01
6.490000000000000000e+02	3.743911667925188169e+01
6.500000000000000000e+02	3.588983868294259594e+01
6.510000000000000000e+02	3.431668259950670574e+01
6.520000000000000000e+02	3.274704139185389806e+01
6.530000000000000000e+02	3.121097218807114615e+01
6.540000000000000000e+02	2.974049628654465494e+01
6.550000000000000000e+02	2.836871502000006373e+01
6.560000000000000000e+02	2.712873747196431395e+01
6.570000000000000000e+02	2.605226102244249375e+01
6.580000000000000000e+02	2.516802281415786524e+01
6.590000000000000000e+02	2.450024474130585617e+01
6.600000000000000000e+02	2.406722005634957995e+01
6.610000000000000000e+02	2.388014604464104451e+01
6.620000000000000000e+02	2.394236523572756425e+01
6.630000000000000000e+02	2.424922300293704325e+01
6.640000000000000000e+02	2.478847505726263734e+01
6.650000000000000000e+02	2.554118439784886263e+01
6.660000000000000000e+02	2.648299553568533327e+01
6.670000000000000000e+02	2.758563811556326684e+01
6.680000000000000000e+02	2.881853940900282396e+01
6.690000000000000000e+02	3.015034361492413950e+01
6.700000000000000000e+02	3.155017060362662207e+01
6.710000000000000000e+02	3.298865567887959571e+01
6.720000000000000000e+02	3.443871393683176052e+01
6.730000000000000000e+02	3.587603185050078025e+01
6.740000000000000000e+02	3.727931528060262423e+01
6.750000000000000000e+02	3.863031310740544200e+01
6.760000000000000000e+02	3.991368542026292943e+01
6.770000000000000000e+02	4.111684724339906438e+01
6.780000000000000000e+02	4.222970735312559043e+01
6.790000000000000000e+02	4.324436621286449167e+01
6.800000000000000000e+02	4.415480637398768238e+01
6.810000000000000000e+02	4.495659410589662741e+01
6.820000000000000000e+02	4.564660392204136485e+01
6.830000000000000000e+02	4.622276143999901876e+01
6.840000000000000000e+02	4.668381828402108624e+01
6.850000000000000000e+02	4.702918042988200398e+01
6.860000000000000000e+02	4.725877500715179735e+01
6.870000000000000000e+02	4.737295169828023234e+01
6.880000000000000000e+02	4.737241679417306273e+01
6.890000000000000000e+02	4.725819803447109280e+01
6.900000000000000000e+02	4.703166508417282898e+01
6.910000000000000000e+02	4.669458235869147700e+01
6.920000000000000000e+02	4.624909830512898168e+01
6.930000000000000000e+02	4.569780130750405078e+01
6.940000000000000000e+02	4.504380573353493133e+01
6.950000000000000000e+02	4.429085793967792739e+01
6.960000000000000000e+02	4.344345962966094987e+01
6.970000000000000000e+02	4.250700373422604628e+01
6.980000000000000000e+02	4.148789787922632399e+01
6.990000000000000000e+02	4.039374356641576469e+01
7.000000000000000000e+02	3.923352684329486806e+01
7.010000000000000000e+02	3.801775280756119457e+01
7.020000000000000000e+02	3.675854767610957197e+01
7.030000000000000000e+02	3.546971443399251456e+01
7.040000000000000000e+02	3.416672510380836059e+01
7.050000000000000000e+02	3.286663301802572335e+01
7.060000000000000000e+02	3.158788347007855535e+01
7.070000000000000000e+02	3.034994812790834118e+01
7.080000000000000000e+02	2.917287819640363367e+01
7.090000000000000000e+02	2.807680024533085827e+01
7.100000000000000000e+02	2.708133140526232197e+01
7.110000000000000000e+02	2.620493931932256970e+01
7.120000000000000000e+02	2.546428305329040853e+01
7.130000000000000000e+02	2.487358076141792651e+01
7.140000000000000000e+02	2.444415452138488476e+01
7.150000000000000000e+02	2.418407239855293511e+01
7.160000000000000000e+02	2.409771876138697522e+01
7.170000000000000000e+02	2.418559160251044915e+01
7.180000000000000000e+02	2.444428968924921008e+01
7.190000000000000000e+02	2.486668360418786961e+01
7.200000000000000000e+02	2.544225537088959754e+01
7.210000000000000000e+02	2.615757674390837906e+01
7.220000000000000000e+02	2.699679910097416524e+01
7.230000000000000000e+02	2.794221807122499257e+01
7.240000000000000000e+02	2.897516321013890916e+01
7.250000000000000000e+02	3.007668014107703058e+01
7.260000000000000000e+02	3.122810468194646205e+01
7.270000000000000000e+02	3.241153748868273965e+01
7.280000000000000000e+02	3.361020999299427103e+01
