Wavelength	Reflectance
2.000000e+02	0.474267
2.002500e+02	0.470106
2.005000e+02	0.465351
2.007500e+02	0.460040
2.010000e+02	0.454214
2.012500e+02	0.447924
2.015000e+02	0.441232
2.017500e+02	0.434219
2.020000e+02	0.426993
2.022500e+02	0.419707
2.025000e+02	0.412590
2.027500e+02	0.406001
2.030000e+02	0.400546
2.032500e+02	0.397412
2.035000e+02	0.399697
2.037500e+02	0.407805
2.040000e+02	0.393806
2.042500e+02	0.401053
2.045000e+02	0.384676
2.047500e+02	0.315891
2.050000e+02	0.255415
2.052500e+02	0.203200
2.055000e+02	0.161906
2.057500e+02	0.134240
2.060000e+02	0.121765
2.062500e+02	0.124306
2.065000e+02	0.140015
2.067500e+02	0.165970
2.070000e+02	0.198926
2.072500e+02	0.235924
2.075000e+02	0.274594
2.077500e+02	0.313220
2.080000e+02	0.350668
2.082500e+02	0.386252
2.085000e+02	0.419605
2.087500e+02	0.450572
2.090000e+02	0.479138
2.092500e+02	0.505370
2.095000e+02	0.529384
2.097500e+02	0.551321
2.100000e+02	0.571331
2.102500e+02	0.589563
2.105000e+02	0.606164
2.107500e+02	0.621270
2.110000e+02	0.635009
2.112500e+02	0.647498
2.115000e+02	0.658845
2.117500e+02	0.669147
2.120000e+02	0.678491
2.122500e+02	0.686956
2.125000e+02	0.694612
2.127500e+02	0.701524
2.130000e+02	0.707747
2.132500e+02	0.713333
2.135000e+02	0.718327
2.137500e+02	0.722768
2.140000e+02	0.726695
2.142500e+02	0.730139
2.145000e+02	0.733128
2.147500e+02	0.735687
2.150000e+02	0.737837
2.152500e+02	0.739600
2.155000e+02	0.740993
2.157500e+02	0.742030
2.160000e+02	0.742724
2.162500e+02	0.743086
2.165000e+02	0.743126
2.167500e+02	0.742852
2.170000e+02	0.742269
2.172500e+02	0.741383
2.175000e+02	0.740197
2.177500e+02	0.738713
2.180000e+02	0.736934
2.182500e+02	0.734860
2.185000e+02	0.732489
2.187500e+02	0.729817
2.190000e+02	0.726844
2.192500e+02	0.723565
2.195000e+02	0.719976
2.197500e+02	0.716070
2.200000e+02	0.711840
2.202500e+02	0.707279
2.205000e+02	0.702378
2.207500e+02	0.697129
2.210000e+02	0.691520
2.212500e+02	0.685541
2.215000e+02	0.679181
2.217500e+02	0.672426
2.220000e+02	0.665264
2.222500e+02	0.657682
2.225000e+02	0.649664
2.227500e+02	0.641196
2.230000e+02	0.632262
2.232500e+02	0.622848
