Wavelength	der_dw	dei_dw	der_dG	dei_dG
-1.000000e+01	0.222774	0.011111	-0.011111	0.222774
-9.797980e+00	0.225024	0.011453	-0.011453	0.225024
-9.595960e+00	0.227343	0.011814	-0.011814	0.227343
-9.393939e+00	0.229735	0.012193	-0.012193	0.229735
-9.191919e+00	0.232202	0.012594	-0.012594	0.232202
-8.989899e+00	0.234750	0.013016	-0.013016	0.234750
-8.787879e+00	0.237383	0.013463	-0.013463	0.237383
-8.585859e+00	0.240104	0.013935	-0.013935	0.240104
-8.383838e+00	0.242921	0.014436	-0.014436	0.242921
-8.181818e+00	0.245837	0.014968	-0.014968	0.245837
-7.979798e+00	0.248859	0.015532	-0.015532	0.248859
-7.777778e+00	0.251993	0.016133	-0.016133	0.251993
-7.575758e+00	0.255247	0.016774	-0.016774	0.255247
-7.373737e+00	0.258628	0.017457	-0.017457	0.258628
-7.171717e+00	0.262144	0.018188	-0.018188	0.262144
-6.969697e+00	0.265804	0.018971	-0.018971	0.265804
-6.767677e+00	0.269619	0.019812	-0.019812	0.269619
-6.565657e+00	0.273599	0.020716	-0.020716	0.273599
-6.363636e+00	0.277756	0.021691	-0.021691	0.277756
-6.161616e+00	0.282103	0.022743	-0.022743	0.282103
-5.959596e+00	0.286655	0.023883	-0.023883	0.286655
-5.757576e+00	0.291428	0.025120	-0.025120	0.291428
-5.555556e+00	0.296439	0.026467	-0.026467	0.296439
-5.353535e+00	0.301708	0.027937	-0.027937	0.301708
-5.151515e+00	0.307258	0.029546	-0.029546	0.307258
-4.949495e+00	0.313112	0.031314	-0.031314	0.313112
-4.747475e+00	0.319298	0.033263	-0.033263	0.319298
-4.545455e+00	0.325847	0.035420	-0.035420	0.325847
-4.343434e+00	0.332793	0.037815	-0.037815	0.332793
-4.141414e+00	0.340176	0.040488	-0.040488	0.340176
-3.939394e+00	0.348038	0.043484	-0.043484	0.348038
-3.737374e+00	0.356429	0.046860	-0.046860	0.356429
-3.535354e+00	0.365404	0.050684	-0.050684	0.365404
-3.333333e+00	0.375026	0.055042	-0.055042	0.375026
-3.131313e+00	0.385363	0.060040	-0.060040	0.385363
-2.929293e+00	0.396491	0.065812	-0.065812	0.396491
-2.727273e+00	0.408493	0.072529	-0.072529	0.408493
-2.525253e+00	0.421456	0.080411	-0.080411	0.421456
-2.323232e+00	0.435464	0.089739	-0.089739	0.435464
-2.121212e+00	0.450590	0.100886	-0.100886	0.450590
-1.919192e+00	0.466873	0.114338	-0.114338	0.466873
-1.717172e+00	0.484281	0.130735	-0.130735	0.484281
-1.515152e+00	0.502638	0.150917	-0.150917	0.502638
-1.313131e+00	0.521503	0.175965	-0.175965	0.521503
-1.111111e+00	0.539954	0.207200	-0.207200	0.539954
-9.090909e-01	0.556255	0.246070	-0.246070	0.556255
-7.070707e-01	0.567430	0.293732	-0.293732	0.567430
-5.050505e-01	0.568995	0.350075	-0.350075	0.568995
-3.030303e-01	0.555556	0.412153	-0.412153	0.555556
-1.010101e-01	0.523194	0.473008	-0.473008	0.523194
1.010101e-01	0.473008	0.523194	-0.523194	0.473008
3.030303e-01	0.412153	0.555556	-0.555556	0.412153
5.050505e-01	0.350075	0.568995	-0.568995	0.350075
7.070707e-01	0.293732	0.567430	-0.567430	0.293732
9.090909e-01	0.246070	0.556255	-0.556255	0.246070
1.111111e+00	0.207200	0.539954	-0.539954	0.207200
1.313131e+00	0.175965	0.521503	-0.521503	0.175965
1.515152e+00	0.150917	0.502638	-0.502638	0.150917
1.717172e+00	0.130735	0.484281	-0.484281	0.130735
1.919192e+00	0.114338	0.466873	-0.466873	0.114338
2.121212e+00	0.100886	0.450590	-0.450590	0.100886
