Wavelength	Reflectance
2.000000e+02	0.349995
2.001000e+02	0.348545
2.002000e+02	0.347054
2.003000e+02	0.345532
2.004000e+02	0.343983
2.005000e+02	0.342414
2.006000e+02	0.340838
2.007000e+02	0.339255
2.008000e+02	0.337667
2.009000e+02	0.336074
2.010000e+02	0.334478
2.011000e+02	0.331647
2.012000e+02	0.328713
2.013000e+02	0.325676
2.014000e+02	0.322536
2.015000e+02	0.319294
2.016000e+02	0.316052
2.017000e+02	0.312922
2.018000e+02	0.309902
2.019000e+02	0.306992
2.020000e+02	0.304194
2.021000e+02	0.301507
2.022000e+02	0.298931
2.023000e+02	0.296465
2.024000e+02	0.294110
2.025000e+02	0.291867
2.026000e+02	0.288883
2.027000e+02	0.285151
2.028000e+02	0.280671
2.029000e+02	0.275443
2.030000e+02	0.269467
2.031000e+02	0.262743
2.032000e+02	0.255271
2.033000e+02	0.247051
2.034000e+02	0.238084
2.035000e+02	0.228368
2.036000e+02	0.218503
2.037000e+02	0.208384
2.038000e+02	0.198013
2.039000e+02	0.187390
2.040000e+02	0.176513
2.041000e+02	0.165383
2.042000e+02	0.154001
2.043000e+02	0.142365
2.044000e+02	0.130477
2.045000e+02	0.118336
2.046000e+02	0.106249
2.047000e+02	0.095066
2.048000e+02	0.084789
2.049000e+02	0.075417
2.050000e+02	0.066950
2.051000e+02	0.059388
2.052000e+02	0.052731
2.053000e+02	0.046979
2.054000e+02	0.042132
2.055000e+02	0.038190
2.056000e+02	0.035052
2.057000e+02	0.032120
2.058000e+02	0.029395
2.059000e+02	0.026875
2.060000e+02	0.024561
2.061000e+02	0.022454
2.062000e+02	0.020552
2.063000e+02	0.018856
2.064000e+02	0.017367
2.065000e+02	0.016083
2.066000e+02	0.015103
2.067000e+02	0.014122
2.068000e+02	0.013137
2.069000e+02	0.012151
2.070000e+02	0.011162
2.071000e+02	0.010171
2.072000e+02	0.009177
2.073000e+02	0.008181
2.074000e+02	0.007182
2.075000e+02	0.006182
2.076000e+02	0.005179
2.077000e+02	0.004274
2.078000e+02	0.003468
2.079000e+02	0.002760
2.080000e+02	0.002150
2.081000e+02	0.001639
2.082000e+02	0.001226
2.083000e+02	0.000911
2.084000e+02	0.000695
2.085000e+02	0.000577
2.086000e+02	0.000558
2.087000e+02	0.000540
2.088000e+02	0.000522
2.089000e+02	0.000506
2.090000e+02	0.000489
2.091000e+02	0.000474
2.092000e+02	0.000460
2.093000e+02	0.000446
2.094000e+02	0.000433
2.095000e+02	0.000420
2.096000e+02	0.000409
2.097000e+02	0.000398
2.098000e+02	0.000387
2.099000e+02	0.000378
2.100000e+02	0.000369
2.101000e+02	0.000361
2.102000e+02	0.000353
2.103000e+02	0.000346
2.104000e+02	0.000340
2.105000e+02	0.000335
2.106000e+02	0.000330
2.107000e+02	0.000325
2.108000e+02	0.000321
2.109000e+02	0.000316
2.110000e+02	0.000312
2.111000e+02	0.000308
2.112000e+02	0.000303
2.113000e+02	0.000299
2.114000e+02	0.000295
2.115000e+02	0.000291
2.116000e+02	0.000287
2.117000e+02	0.000283
2.118000e+02	0.000279
2.119000e+02	0.000275
2.120000e+02	0.000271
2.121000e+02	0.000267
2.122000e+02	0.000263
2.123000e+02	0.000260
2.124000e+02	0.000256
2.125000e+02	0.000253
2.126000e+02	0.000249
2.127000e+02	0.000246
2.128000e+02	0.000243
2.129000e+02	0.000240
2.130000e+02	0.000236
2.131000e+02	0.000233
2.132000e+02	0.000230
2.133000e+02	0.000227
2.134000e+02	0.000224
2.135000e+02	0.000221
2.136000e+02	0.000219
2.137000e+02	0.000216
2.138000e+02	0.000213
2.139000e+02	0.000211
2.140000e+02	0.000208
2.141000e+02	0.000205
2.142000e+02	0.000203
2.143000e+02	0.000200
2.144000e+02	0.000198
2.145000e+02	0.000196
2.146000e+02	0.000193
2.147000e+02	0.000191
2.148000e+02	0.000189
2.149000e+02	0.000187
2.150000e+02	0.000184
2.151000e+02	0.000182
2.152000e+02	0.000180
2.153000e+02	0.000178
2.154000e+02	0.000176
2.155000e+02	0.000174
2.156000e+02	0.000172
2.157000e+02	0.000171
2.158000e+02	0.000169
2.159000e+02	0.000167
2.160000e+02	0.000165
2.161000e+02	0.000163
2.162000e+02	0.000162
2.163000e+02	0.000160
2.164000e+02	0.000158
2.165000e+02	0.000157
2.166000e+02	0.000155
2.167000e+02	0.000154
2.168000e+02	0.000152
2.169000e+02	0.000151
2.170000e+02	0.000149
2.171000e+02	0.000148
2.172000e+02	0.000146
2.173000e+02	0.000145
2.174000e+02	0.000144
2.175000e+02	0.000142
2.176000e+02	0.000141
2.177000e+02	0.000140
2.178000e+02	0.000138
2.179000e+02	0.000137
2.180000e+02	0.000136
2.181000e+02	0.000135
2.182000e+02	0.000133
2.183000e+02	0.000132
2.184000e+02	0.000131
2.185000e+02	0.000130
2.186000e+02	0.000129
2.187000e+02	0.000128
2.188000e+02	0.000127
2.189000e+02	0.000126
2.190000e+02	0.000124
2.191000e+02	0.000123
2.192000e+02	0.000122
2.193000e+02	0.000121
2.194000e+02	0.000120
2.195000e+02	0.000119
2.196000e+02	0.000118
2.197000e+02	0.000117
2.198000e+02	0.000117
2.199000e+02	0.000116
2.200000e+02	0.000115
