Wavelength	Reflectance
1.500000e+02	33.781424
1.503338e+02	33.799190
1.506676e+02	33.821468
1.510013e+02	33.848228
1.513351e+02	33.870665
1.516689e+02	33.899974
1.520027e+02	33.962718
1.523364e+02	34.042297
1.526702e+02	34.113815
1.530040e+02	34.187266
1.533378e+02	34.284867
1.536716e+02	34.407684
1.540053e+02	34.535751
1.543391e+02	34.674606
1.546729e+02	34.820081
1.550067e+02	34.941193
1.553405e+02	35.018525
1.556742e+02	35.070910
1.560080e+02	35.123300
1.563418e+02	35.176660
1.566756e+02	35.226537
1.570093e+02	35.285877
1.573431e+02	35.395716
1.576769e+02	35.521022
1.580107e+02	35.553071
1.583445e+02	35.485236
1.586782e+02	35.387392
1.590120e+02	35.271072
1.593458e+02	35.131459
1.596796e+02	34.961906
1.600134e+02	34.768492
1.603471e+02	34.546778
1.606809e+02	34.300578
1.610147e+02	34.022938
1.613485e+02	33.738402
1.616822e+02	33.481149
1.620160e+02	33.252711
1.623498e+02	33.062808
1.626836e+02	32.882830
1.630174e+02	32.663998
1.633511e+02	32.314076
1.636849e+02	31.899226
1.640187e+02	31.579566
1.643525e+02	31.395984
1.646862e+02	31.245441
1.650200e+02	31.045870
1.653538e+02	30.642697
1.656876e+02	30.147617
1.660214e+02	29.837601
1.663551e+02	29.727894
1.666889e+02	29.653241
1.670227e+02	29.555984
1.673565e+02	29.378198
1.676903e+02	29.146839
1.680240e+02	28.924989
1.683578e+02	28.727565
1.686916e+02	28.535125
1.690254e+02	28.347029
1.693591e+02	28.153434
1.696929e+02	27.960015
1.700267e+02	27.784581
1.703605e+02	27.631663
1.706943e+02	27.489902
1.710280e+02	27.348042
1.713618e+02	27.156155
1.716956e+02	26.943825
1.720294e+02	26.795999
1.723632e+02	26.722085
1.726969e+02	26.665923
1.730307e+02	26.592889
1.733645e+02	26.467010
1.736983e+02	26.317890
1.740320e+02	26.203712
1.743658e+02	26.128741
1.746996e+02	26.059116
1.750334e+02	25.978105
1.753672e+02	25.868760
1.757009e+02	25.735741
1.760347e+02	25.591736
1.763685e+02	25.404019
1.767023e+02	25.212036
1.770360e+02	25.105651
1.773698e+02	25.058923
1.777036e+02	25.014239
1.780374e+02	24.964006
1.783712e+02	24.837462
1.787049e+02	24.666496
1.790387e+02	24.544909
1.793725e+02	24.470112
1.797063e+02	24.408935
1.800401e+02	24.363770
1.803738e+02	24.327282
1.807076e+02	24.292086
1.810414e+02	24.256360
1.813752e+02	24.227292
1.817089e+02	24.201654
1.820427e+02	24.174920
1.823765e+02	24.148038
1.827103e+02	24.120114
1.830441e+02	24.086986
1.833778e+02	24.015227
1.837116e+02	23.935179
1.840454e+02	23.911442
1.843792e+02	23.925405
1.847130e+02	23.939409
1.850467e+02	23.950942
1.853805e+02	23.936311
1.857143e+02	23.896311
1.860481e+02	23.852278
1.863818e+02	23.798191
1.867156e+02	23.740412
1.870494e+02	23.704912
1.873832e+02	23.684448
1.877170e+02	23.668092
1.880507e+02	23.658897
1.883845e+02	23.659825
1.887183e+02	23.666642
1.890521e+02	23.670209
1.893858e+02	23.669877
1.897196e+02	23.667334
1.900534e+02	23.660220
1.903872e+02	23.647992
1.907210e+02	23.632714
1.910547e+02	23.617482
1.913885e+02	23.629046
1.917223e+02	23.663557
1.920561e+02	23.696951
1.923899e+02	23.727228
1.927236e+02	23.760425
1.930574e+02	23.795484
1.933912e+02	23.827573
1.937250e+02	23.862638
1.940587e+02	23.911841
1.943925e+02	23.989715
1.947263e+02	24.088673
1.950601e+02	24.193887
1.953939e+02	24.309670
1.957276e+02	24.434034
1.960614e+02	24.557229
1.963952e+02	24.679524
1.967290e+02	24.805659
1.970628e+02	24.937193
1.973965e+02	25.076219
1.977303e+02	25.244392
1.980641e+02	25.457100
1.983979e+02	25.737617
1.987316e+02	26.061421
1.990654e+02	26.356593
1.993992e+02	26.638203
1.997330e+02	26.854410
2.000668e+02	27.026524
2.004005e+02	28.445386
2.007343e+02	34.351746
2.010681e+02	43.680538
2.014019e+02	51.357031
2.017356e+02	52.766203
2.020694e+02	46.087401
2.024032e+02	38.929456
2.027370e+02	31.796918
2.030708e+02	21.669974
2.034045e+02	8.768930
2.037383e+02	11.474515
2.040721e+02	26.010636
2.044059e+02	34.141534
2.047397e+02	40.525741
2.050734e+02	46.440068
2.054072e+02	52.066470
2.057410e+02	56.608239
2.060748e+02	59.713334
2.064085e+02	61.878428
2.067423e+02	63.639409
2.070761e+02	65.244124
2.074099e+02	66.700314
2.077437e+02	67.988917
2.080774e+02	69.133019
2.084112e+02	70.144561
2.087450e+02	71.032631
2.090788e+02	71.806808
2.094126e+02	72.475570
2.097463e+02	73.046312
2.100801e+02	73.525301
2.104139e+02	73.917917
2.107477e+02	74.228623
2.110814e+02	74.461097
2.114152e+02	74.618316
2.117490e+02	74.702495
2.120828e+02	74.715165
2.124166e+02	74.657239
2.127503e+02	74.529020
2.130841e+02	74.330156
2.134179e+02	74.059695
2.137517e+02	73.716139
2.140854e+02	73.297582
2.144192e+02	72.801338
2.147530e+02	72.223816
2.150868e+02	71.561287
2.154206e+02	70.809140
2.157543e+02	69.961978
2.160881e+02	69.013920
2.164219e+02	67.958188
2.167557e+02	66.787297
2.170895e+02	65.493191
2.174232e+02	64.066961
2.177570e+02	62.499193
2.180908e+02	60.780306
2.184246e+02	58.900068
2.187583e+02	56.848113
2.190921e+02	54.615654
2.194259e+02	52.194803
2.197597e+02	49.580256
2.200935e+02	46.770866
2.204272e+02	43.771322
2.207610e+02	40.595531
2.210948e+02	37.269353
2.214286e+02	33.833779
2.217623e+02	30.349455
2.220961e+02	26.898739
2.224299e+02	23.585735
2.227637e+02	20.534060
2.230975e+02	17.878255
2.234312e+02	15.749723
2.237650e+02	14.260669
2.240988e+02	13.486501
2.244326e+02	13.453662
2.247664e+02	14.136382
2.251001e+02	15.462270
2.254339e+02	17.326304
2.257677e+02	19.607128
2.261015e+02	22.182333
2.264352e+02	24.940140
2.267690e+02	27.785314
2.271028e+02	30.642009
2.274366e+02	33.453264
2.277704e+02	36.177948
2.281041e+02	38.788390
2.284379e+02	41.267245
2.287717e+02	43.605305
2.291055e+02	45.798915
2.294393e+02	47.848615
2.297730e+02	49.757844
2.301068e+02	51.531204
2.304406e+02	53.175228
2.307744e+02	54.697212
2.311081e+02	56.103856
2.314419e+02	57.402444
2.317757e+02	58.600534
2.321095e+02	59.703053
2.324433e+02	60.719531
2.327770e+02	61.654067
2.331108e+02	62.513154
2.334446e+02	63.301384
2.337784e+02	64.024582
2.341121e+02	64.686704
2.344459e+02	65.291703
2.347797e+02	65.844201
2.351135e+02	66.347045
2.354473e+02	66.803462
2.357810e+02	67.216863
2.361148e+02	67.588435
2.364486e+02	67.921871
2.367824e+02	68.218290
2.371162e+02	68.479585
2.374499e+02	68.707649
2.377837e+02	68.903383
2.381175e+02	69.069447
2.384513e+02	69.202975
2.387850e+02	69.308815
2.391188e+02	69.385586
2.394526e+02	69.434628
2.397864e+02	69.455279
2.401202e+02	69.448280
2.404539e+02	69.413958
2.407877e+02	69.351733
2.411215e+02	69.261921
2.414553e+02	69.144147
2.417891e+02	68.998089
2.421228e+02	68.823416
2.424566e+02	68.619472
2.427904e+02	68.386101
2.431242e+02	68.122420
2.434579e+02	67.827785
2.437917e+02	67.501782
2.441255e+02	67.143237
2.444593e+02	66.751845
2.447931e+02	66.325846
2.451268e+02	65.865746
2.454606e+02	65.369376
2.457944e+02	64.836878
2.461282e+02	64.266121
2.464619e+02	63.656856
2.467957e+02	63.007616
2.471295e+02	62.317575
2.474633e+02	61.585736
2.477971e+02	60.810934
2.481308e+02	59.992137
2.484646e+02	59.128073
2.487984e+02	58.218152
2.491322e+02	57.261303
2.494660e+02	56.256422
2.497997e+02	55.203166
2.501335e+02	54.100903
2.504673e+02	52.949171
2.508011e+02	51.747830
2.511348e+02	50.497211
2.514686e+02	49.197738
2.518024e+02	47.850363
2.521362e+02	46.456883
2.524700e+02	45.019287
2.528037e+02	43.540590
2.531375e+02	42.024729
2.534713e+02	40.476541
2.538051e+02	38.901908
2.541389e+02	37.308059
2.544726e+02	35.703928
2.548064e+02	34.099649
2.551402e+02	32.506797
2.554740e+02	30.938594
2.558077e+02	29.409971
2.561415e+02	27.937061
2.564753e+02	26.537042
2.568091e+02	25.228040
2.571429e+02	24.028531
2.574766e+02	22.956618
2.578104e+02	22.029658
2.581442e+02	21.263444
2.584780e+02	20.671493
2.588117e+02	20.264561
2.591455e+02	20.050107
2.594793e+02	20.031866
2.598131e+02	20.209280
2.601469e+02	20.578277
2.604806e+02	21.131376
2.608144e+02	21.857251
2.611482e+02	22.741544
2.614820e+02	23.768946
2.618158e+02	24.922617
2.621495e+02	26.184008
2.624833e+02	27.535071
2.628171e+02	28.957705
2.631509e+02	30.435235
2.634846e+02	31.952743
2.638184e+02	33.495442
2.641522e+02	35.049817
2.644860e+02	36.604686
2.648198e+02	38.150216
2.651535e+02	39.677942
2.654873e+02	41.180887
2.658211e+02	42.653227
2.661549e+02	44.090252
2.664887e+02	45.487763
2.668224e+02	46.843033
2.671562e+02	48.154121
2.674900e+02	49.419374
2.678238e+02	50.637566
2.681575e+02	51.808466
2.684913e+02	52.932190
2.688251e+02	54.008601
2.691589e+02	55.038152
2.694927e+02	56.021760
2.698264e+02	56.960378
2.701602e+02	57.854916
2.704940e+02	58.706538
2.708278e+02	59.516271
2.711615e+02	60.285531
2.714953e+02	61.015748
2.718291e+02	61.708215
2.721629e+02	62.364186
2.724967e+02	62.985098
2.728304e+02	63.572421
2.731642e+02	64.127494
2.734980e+02	64.651652
2.738318e+02	65.146175
2.741656e+02	65.612428
2.744993e+02	66.051730
2.748331e+02	66.465394
2.751669e+02	66.854508
2.755007e+02	67.220261
2.758344e+02	67.563978
2.761682e+02	67.886785
2.765020e+02	68.189701
2.768358e+02	68.473782
2.771696e+02	68.740093
2.775033e+02	68.989602
2.778371e+02	69.223348
2.781709e+02	69.442145
2.785047e+02	69.646736
2.788385e+02	69.837983
2.791722e+02	70.016640
2.795060e+02	70.183234
2.798398e+02	70.338256
2.801736e+02	70.482161
2.805073e+02	70.615391
2.808411e+02	70.737933
2.811749e+02	70.850098
2.815087e+02	70.951585
2.818425e+02	71.042662
2.821762e+02	71.122768
2.825100e+02	71.192199
2.828438e+02	71.249553
2.831776e+02	71.295118
2.835113e+02	71.327666
2.838451e+02	71.347678
2.841789e+02	71.353258
2.845127e+02	71.345275
2.848465e+02	71.321390
2.851802e+02	71.283249
2.855140e+02	71.226728
2.858478e+02	71.156822
2.861816e+02	71.066693
2.865154e+02	70.962055
2.868491e+02	70.843613
2.871829e+02	70.703160
2.875167e+02	70.549027
2.878505e+02	70.375896
2.881842e+02	70.188606
2.885180e+02	69.983749
2.888518e+02	69.764797
2.891856e+02	69.529448
2.895194e+02	69.281141
2.898531e+02	69.018056
2.901869e+02	68.743106
2.905207e+02	68.454811
2.908545e+02	68.155350
2.911883e+02	67.843833
2.915220e+02	67.523354
2.918558e+02	67.192797
2.921896e+02	66.853941
2.925234e+02	66.506128
2.928571e+02	66.151605
2.931909e+02	65.789602
2.935247e+02	65.421728
2.938585e+02	65.047381
2.941923e+02	64.668096
2.945260e+02	64.283360
2.948598e+02	63.895021
2.951936e+02	63.502391
2.955274e+02	63.105878
2.958611e+02	62.705084
2.961949e+02	62.301597
2.965287e+02	61.894880
2.968625e+02	61.485189
2.971963e+02	61.072101
2.975300e+02	60.656120
2.978638e+02	60.236853
2.981976e+02	59.814801
2.985314e+02	59.389637
2.988652e+02	58.961516
2.991989e+02	58.530150
2.995327e+02	58.095488
2.998665e+02	57.657220
3.002003e+02	57.215503
3.005340e+02	56.770160
3.008678e+02	56.321109
3.012016e+02	55.868180
3.015354e+02	55.411202
3.018692e+02	54.949975
3.022029e+02	54.484396
3.025367e+02	54.014294
3.028705e+02	53.539666
3.032043e+02	53.060636
3.035381e+02	52.576883
3.038718e+02	52.088173
3.042056e+02	51.594349
3.045394e+02	51.095418
3.048732e+02	50.591292
3.052069e+02	50.081949
3.055407e+02	49.567296
3.058745e+02	49.047227
3.062083e+02	48.521664
3.065421e+02	47.990482
3.068758e+02	47.453603
3.072096e+02	46.911052
3.075434e+02	46.362795
3.078772e+02	45.808765
3.082109e+02	45.248952
3.085447e+02	44.683257
3.088785e+02	44.111631
3.092123e+02	43.534102
3.095461e+02	42.950705
3.098798e+02	42.361530
3.102136e+02	41.766537
3.105474e+02	41.165680
3.108812e+02	40.559021
3.112150e+02	39.946601
3.115487e+02	39.328591
3.118825e+02	38.705076
3.122163e+02	38.076097
3.125501e+02	37.441743
3.128838e+02	36.802229
3.132176e+02	36.157750
3.135514e+02	35.508416
3.138852e+02	34.854385
3.142190e+02	34.195918
3.145527e+02	33.533302
3.148865e+02	32.866755
3.152203e+02	32.196453
3.155541e+02	31.522714
3.158879e+02	30.845893
3.162216e+02	30.166342
3.165554e+02	29.484493
3.168892e+02	28.800783
3.172230e+02	28.115542
3.175567e+02	27.429170
3.178905e+02	26.742177
3.182243e+02	26.055066
3.185581e+02	25.368363
3.188919e+02	24.682668
3.192256e+02	23.998537
3.195594e+02	23.316467
3.198932e+02	22.637099
3.202270e+02	21.961163
3.205607e+02	21.289333
3.208945e+02	20.622232
3.212283e+02	19.960516
3.215621e+02	19.304994
3.218959e+02	18.656509
3.222296e+02	18.015760
3.225634e+02	17.383434
3.228972e+02	16.760344
3.232310e+02	16.147330
3.235648e+02	15.545175
3.238985e+02	14.954682
3.242323e+02	14.376653
3.245661e+02	13.811886
3.248999e+02	13.261179
3.252336e+02	12.725341
3.255674e+02	12.205167
3.259012e+02	11.701413
3.262350e+02	11.214817
3.265688e+02	10.746088
3.269025e+02	10.295940
3.272363e+02	9.865034
3.275701e+02	9.454027
3.279039e+02	9.063543
3.282377e+02	8.694139
3.285714e+02	8.346337
3.289052e+02	8.020620
3.292390e+02	7.717443
3.295728e+02	7.437184
3.299065e+02	7.180190
3.302403e+02	6.946736
3.305741e+02	6.737088
3.309079e+02	6.551455
3.312417e+02	6.389958
3.315754e+02	6.252689
3.319092e+02	6.139662
3.322430e+02	6.050865
3.325768e+02	5.986203
3.329105e+02	5.945558
3.332443e+02	5.928735
3.335781e+02	5.935521
3.339119e+02	5.965665
3.342457e+02	6.018825
3.345794e+02	6.094646
3.349132e+02	6.192704
3.352470e+02	6.312587
3.355808e+02	6.453819
3.359146e+02	6.615893
3.362483e+02	6.798266
3.365821e+02	7.000372
3.369159e+02	7.221669
3.372497e+02	7.461526
3.375834e+02	7.719347
3.379172e+02	7.994473
3.382510e+02	8.286271
3.385848e+02	8.594104
3.389186e+02	8.917286
3.392523e+02	9.255179
3.395861e+02	9.607090
3.399199e+02	9.972400
3.402537e+02	10.350437
3.405874e+02	10.740560
3.409212e+02	11.142127
3.412550e+02	11.554475
3.415888e+02	11.977015
3.419226e+02	12.409082
3.422563e+02	12.850144
3.425901e+02	13.299613
3.429239e+02	13.756906
3.432577e+02	14.221473
3.435915e+02	14.692737
3.439252e+02	15.170246
3.442590e+02	15.653418
3.445928e+02	16.141870
3.449266e+02	16.635133
3.452603e+02	17.132736
3.455941e+02	17.634309
3.459279e+02	18.139327
3.462617e+02	18.647597
3.465955e+02	19.158562
3.469292e+02	19.672067
3.472630e+02	20.187818
3.475968e+02	20.705255
3.479306e+02	21.224499
3.482644e+02	21.745067
3.485981e+02	22.266496
3.489319e+02	22.788927
3.492657e+02	23.312271
3.495995e+02	23.836087
3.499332e+02	24.360517
3.502670e+02	24.885165
3.506008e+02	25.410004
3.509346e+02	25.934942
3.512684e+02	26.459854
3.516021e+02	26.984755
3.519359e+02	27.509428
3.522697e+02	28.033935
3.526035e+02	28.558114
3.529372e+02	29.081948
3.532710e+02	29.605406
3.536048e+02	30.128251
3.539386e+02	30.650636
3.542724e+02	31.172193
3.546061e+02	31.693015
3.549399e+02	32.212928
3.552737e+02	32.731599
3.556075e+02	33.249372
3.559413e+02	33.765132
3.562750e+02	34.279702
3.566088e+02	34.791891
3.569426e+02	35.300530
3.572764e+02	35.807992
3.576101e+02	36.313611
