Wavelength	Reflectance
6.200000e+00	-0.831149
6.196902e+00	-0.832273
6.193806e+00	-0.832517
6.190714e+00	-0.831655
6.187625e+00	-0.829444
6.184539e+00	-0.825620
6.181456e+00	-0.819903
6.178376e+00	-0.811811
6.175299e+00	-0.800994
6.172225e+00	-0.787193
6.169154e+00	-0.770188
6.166087e+00	-0.747369
6.163022e+00	-0.720704
6.159960e+00	-0.689928
6.156902e+00	-0.654840
6.153846e+00	-0.615314
6.150794e+00	-0.571304
6.147744e+00	-0.522872
6.144698e+00	-0.469842
6.141654e+00	-0.412350
6.138614e+00	-0.350740
6.135576e+00	-0.285435
6.132542e+00	-0.216941
6.129511e+00	-0.145808
6.126482e+00	-0.072628
6.123457e+00	0.001978
6.120434e+00	0.077363
6.117415e+00	0.152348
6.114398e+00	0.227028
6.111385e+00	0.301499
6.108374e+00	0.375640
6.105367e+00	0.449338
6.102362e+00	0.522513
6.099361e+00	0.595101
6.096362e+00	0.667052
6.093366e+00	0.738320
6.090373e+00	0.808851
6.087383e+00	0.878558
6.084396e+00	0.947546
6.081412e+00	1.015838
6.078431e+00	1.083379
6.075453e+00	1.150099
6.072478e+00	1.215918
6.069506e+00	1.280748
6.066536e+00	1.344492
6.063570e+00	1.407031
6.060606e+00	1.468240
6.057645e+00	1.527987
6.054688e+00	1.587623
6.051733e+00	1.647649
6.048780e+00	1.708045
6.045831e+00	1.768770
6.042885e+00	1.829758
6.039942e+00	1.890915
6.037001e+00	1.952114
6.034063e+00	2.013180
6.031128e+00	2.073903
6.028196e+00	2.134023
6.025267e+00	2.193280
6.022341e+00	2.251313
6.019417e+00	2.307665
6.016497e+00	2.361797
6.013579e+00	2.413071
6.010664e+00	2.460742
6.007752e+00	2.503950
6.004843e+00	2.541711
6.001936e+00	2.572900
5.999032e+00	2.596252
5.996132e+00	2.610348
5.993233e+00	2.613654
5.990338e+00	2.604503
5.987446e+00	2.581142
5.984556e+00	2.541755
5.981669e+00	2.484545
5.978785e+00	2.407853
5.975904e+00	2.310206
5.973025e+00	2.190471
5.970149e+00	2.047986
5.967276e+00	1.882716
5.964406e+00	1.695369
5.961538e+00	1.487487
5.958674e+00	1.261487
5.955812e+00	1.020632
5.952952e+00	0.768947
5.950096e+00	0.511006
5.947242e+00	0.251693
5.944391e+00	-0.004078
5.941543e+00	-0.251616
5.938697e+00	-0.486769
5.935854e+00	-0.706083
5.933014e+00	-0.906918
5.930177e+00	-1.087486
5.927342e+00	-1.246815
5.924510e+00	-1.384732
5.921681e+00	-1.501664
5.918854e+00	-1.598536
5.916031e+00	-1.676612
5.913209e+00	-1.737399
5.910391e+00	-1.782569
5.907575e+00	-1.813809
5.904762e+00	-1.832780
5.901951e+00	-1.841047
5.899144e+00	-1.840102
5.896339e+00	-1.831328
5.893536e+00	-1.815957
5.890736e+00	-1.795088
5.887939e+00	-1.769677
5.885145e+00	-1.740590
5.882353e+00	-1.708577
5.879564e+00	-1.674279
5.876777e+00	-1.638245
5.873993e+00	-1.600931
5.871212e+00	-1.562749
5.868434e+00	-1.524039
5.865658e+00	-1.485084
5.862884e+00	-1.446119
5.860113e+00	-1.407322
5.857345e+00	-1.368878
5.854580e+00	-1.330916
5.851817e+00	-1.293542
5.849057e+00	-1.256839
5.846299e+00	-1.220867
5.843544e+00	-1.185686
5.840791e+00	-1.151332
5.838041e+00	-1.117831
5.835294e+00	-1.085198
5.832549e+00	-1.053439
5.829807e+00	-1.022565
5.827068e+00	-0.992574
5.824331e+00	-0.963457
5.821596e+00	-0.935200
5.818864e+00	-0.907790
5.816135e+00	-0.881215
5.813408e+00	-0.855457
5.810684e+00	-0.830497
5.807963e+00	-0.806312
5.805243e+00	-0.782882
5.802527e+00	-0.760189
5.799813e+00	-0.738212
5.797101e+00	-0.716926
5.794393e+00	-0.696311
5.791686e+00	-0.676342
5.788982e+00	-0.657002
5.786281e+00	-0.638267
5.783582e+00	-0.620119
5.780886e+00	-0.602533
5.778192e+00	-0.585492
5.775501e+00	-0.568979
5.772812e+00	-0.552974
5.770126e+00	-0.537458
5.767442e+00	-0.522413
5.764761e+00	-0.507822
5.762082e+00	-0.493669
5.759405e+00	-0.479937
5.756732e+00	-0.466611
5.754060e+00	-0.453675
5.751391e+00	-0.441116
5.748725e+00	-0.428921
5.746061e+00	-0.417076
5.743400e+00	-0.405567
5.740741e+00	-0.394382
5.738084e+00	-0.383508
5.735430e+00	-0.372935
5.732779e+00	-0.362652
5.730129e+00	-0.352647
5.727483e+00	-0.342910
5.724838e+00	-0.333431
5.722197e+00	-0.324203
5.719557e+00	-0.315214
5.716920e+00	-0.306457
5.714286e+00	-0.297922
5.711654e+00	-0.289602
5.709024e+00	-0.281487
5.706397e+00	-0.273573
5.703772e+00	-0.265849
5.701149e+00	-0.258310
5.698529e+00	-0.250949
5.695912e+00	-0.243761
5.693297e+00	-0.236738
5.690684e+00	-0.229875
5.688073e+00	-0.223165
5.685465e+00	-0.216603
5.682860e+00	-0.210184
5.680257e+00	-0.203902
5.677656e+00	-0.197753
5.675057e+00	-0.191731
5.672461e+00	-0.185831
5.669867e+00	-0.180051
5.667276e+00	-0.174386
5.664687e+00	-0.168831
5.662100e+00	-0.163382
5.659516e+00	-0.159145
5.656934e+00	-0.154975
5.654355e+00	-0.150869
5.651778e+00	-0.146825
5.649203e+00	-0.142842
5.646630e+00	-0.138917
5.644060e+00	-0.135050
5.641492e+00	-0.131239
5.638927e+00	-0.127481
5.636364e+00	-0.123774
