Wavelength	Reflectance
1.500000e+02	33.523041
1.503338e+02	33.546660
1.506676e+02	33.575348
1.510013e+02	33.609012
1.513351e+02	33.638931
1.516689e+02	33.676353
1.520027e+02	33.747656
1.523364e+02	33.835102
1.526702e+02	33.913533
1.530040e+02	33.993951
1.533378e+02	34.099678
1.536716e+02	34.231653
1.540053e+02	34.369107
1.543391e+02	34.517587
1.546729e+02	34.672987
1.550067e+02	34.803695
1.553405e+02	34.890338
1.556742e+02	34.952147
1.560080e+02	35.014004
1.563418e+02	35.076254
1.566756e+02	35.135000
1.570093e+02	35.204715
1.573431e+02	35.330831
1.576769e+02	35.474400
1.580107e+02	35.516583
1.583445e+02	35.450047
1.586782e+02	35.351143
1.590120e+02	35.233418
1.593458e+02	35.092581
1.596796e+02	34.921038
1.600134e+02	34.724470
1.603471e+02	34.499013
1.606809e+02	34.247836
1.610147e+02	33.961203
1.613485e+02	33.665201
1.616822e+02	33.397317
1.620160e+02	33.159317
1.623498e+02	32.961306
1.626836e+02	32.773395
1.630174e+02	32.544807
1.633511e+02	32.178857
1.636849e+02	31.744481
1.640187e+02	31.409192
1.643525e+02	31.216112
1.646862e+02	31.057364
1.650200e+02	30.846471
1.653538e+02	30.418811
1.656876e+02	29.891520
1.660214e+02	29.560468
1.663551e+02	29.443093
1.666889e+02	29.363348
1.670227e+02	29.260037
1.673565e+02	29.072914
1.676903e+02	28.832202
1.680240e+02	28.604354
1.683578e+02	28.404253
1.686916e+02	28.211062
1.690254e+02	28.023792
1.693591e+02	27.833113
1.696929e+02	27.645312
1.700267e+02	27.477905
1.703605e+02	27.336822
1.706943e+02	27.209360
1.710280e+02	27.075260
1.713618e+02	26.872918
1.716956e+02	26.632034
1.720294e+02	26.454552
1.723632e+02	26.359546
1.726969e+02	26.282697
1.730307e+02	26.182637
1.733645e+02	26.013566
1.736983e+02	25.813527
1.740320e+02	25.656908
1.743658e+02	25.547278
1.746996e+02	25.440577
1.750334e+02	25.317837
1.753672e+02	25.161333
1.757009e+02	24.979663
