Wavelength	Reflectance
1100.000000	33.381000 
1098.000000	33.433000 
1096.000000	33.459000 
1094.000000	33.526000 
1092.000000	33.486000 
1090.000000	33.632000 
1088.000000	33.578000 
1086.000000	33.736000 
1084.000000	33.903000 
1082.000000	33.790000 
1080.000000	33.893000 
1078.000000	33.883000 
1076.000000	33.835000 
1074.000000	33.863000 
1072.000000	33.908000 
1070.000000	33.925000 
1068.000000	34.032000 
1066.000000	34.095000 
1064.000000	33.989000 
1062.000000	34.048000 
1060.000000	34.111999 
1058.000000	34.021000 
1056.000000	34.043000 
1054.000000	33.998000 
1052.000000	34.059000 
1050.000000	34.039000 
1048.000000	33.985000 
1046.000000	33.956000 
1044.000000	34.003000 
1042.000000	34.003000 
1040.000000	34.022000 
1038.000000	33.930000 
1036.000000	33.968000 
1034.000000	34.031000 
1032.000000	34.028000 
1030.000000	34.005000 
1028.000000	34.018000 
1026.000000	34.067000 
1024.000000	34.078000 
1022.000000	34.102000 
1020.000000	34.149000 
1018.000000	34.168000 
1016.000000	34.249000 
1014.000000	34.244000 
1012.000000	34.337000 
1010.000000	34.325000 
1008.000000	34.422000 
1006.000000	34.430000 
1004.000000	34.498000 
1002.000000	34.523000 
1000.000000	34.586000 
998.000000	 34.620000 
996.000000	 34.639000 
994.000000	 34.753000 
992.000000	 34.823000 
990.000000	 34.900000 
988.000000	 34.920000 
986.000000	 34.964000 
984.000000	 35.050000 
982.000000	 35.065000 
980.000000	 35.177000 
978.000000	 35.229000 
976.000000	 35.195000 
974.000000	 35.309000 
972.000000	 35.367000 
970.000000	 35.462000 
968.000000	 35.465999 
966.000000	 35.455000 
964.000000	 35.573000 
962.000000	 35.550000 
960.000000	 35.584000 
958.000000	 35.587000 
956.000000	 35.609000 
954.000000	 35.655000 
952.000000	 35.664000 
950.000000	 35.658000 
948.000000	 35.628000 
946.000000	 35.649000 
944.000000	 35.578000 
942.000000	 35.494000 
940.000000	 35.529000 
938.000000	 35.471000 
936.000000	 35.395000 
934.000000	 35.368000 
932.000000	 35.295000 
930.000000	 35.302000 
928.000000	 35.276999 
926.000000	 35.336000 
924.000000	 35.460000 
922.000000	 35.640000 
920.000000	 35.985000 
918.000000	 36.357000 
916.000000	 36.824000 
914.000000	 37.291000 
912.000000	 37.656000 
910.000000	 37.922000 
908.000000	 38.140000 
906.000000	 38.180000 
904.000000	 38.256000 
902.000000	 38.210000 
900.000000	 38.118000 
898.000000	 38.062000 
896.000000	 38.057000 
894.000000	 38.007000 
892.000000	 38.028000 
890.000000	 38.024000 
888.000000	 38.078000 
886.000000	 38.034000 
884.000000	 37.797000 
882.000000	 37.509000 
880.000000	 37.679000 
878.000000	 38.009000 
876.000000	 38.156000 
874.000000	 38.232000 
872.000000	 38.354000 
870.000000	 38.422000 
868.000000	 38.523000 
866.000000	 38.586000 
864.000000	 38.699000 
862.000000	 38.787000 
860.000000	 38.833000 
858.000000	 38.922000 
856.000000	 38.961000 
854.000000	 39.064000 
852.000000	 39.091000 
850.000000	 39.126000 
848.000000	 39.188000 
846.000000	 39.208000 
844.000000	 39.271000 
842.000000	 39.293000 
840.000000	 39.297000 
838.000000	 39.279000 
836.000000	 39.339000 
834.000000	 39.301000 
832.000000	 39.304000 
830.000000	 39.314000 
828.000000	 39.300000 
826.000000	 39.263000 
824.000000	 39.219000 
822.000000	 39.205000 
820.000000	 39.172000 
818.000000	 39.117000 
816.000000	 39.059000 
814.000000	 39.007000 
812.000000	 38.964000 
810.000000	 38.874000 
808.000000	 38.822000 
806.000000	 38.736000 
804.000000	 38.645000 
802.000000	 38.519000 
800.000000	 38.401999 
798.000000	 38.299000 
796.000000	 38.318000 
794.000000	 38.009000 
792.000000	 37.994000 
790.000000	 37.913999 
788.000000	 37.856000 
786.000000	 37.780000 
784.000000	 37.678000 
782.000000	 37.513000 
780.000000	 37.398000 
778.000000	 37.471000 
776.000000	 37.299000 
774.000000	 37.215000 
772.000000	 37.086000 
770.000000	 36.954000 
768.000000	 36.803000 
766.000000	 36.621000 
764.000000	 36.511000 
762.000000	 36.384000 
760.000000	 36.236000 
758.000000	 36.104000 
756.000000	 35.970000 
754.000000	 35.851000 
752.000000	 35.709000 
750.000000	 35.578000 
748.000000	 35.447000 
746.000000	 35.299000 
744.000000	 35.164000 
742.000000	 35.014000 
740.000000	 34.871000 
738.000000	 34.736000 
736.000000	 34.590000 
734.000000	 34.427000 
732.000000	 34.291000 
730.000000	 34.148000 
728.000000	 33.996000 
726.000000	 33.854000 
724.000000	 33.694000 
722.000000	 33.527000 
720.000000	 33.378000 
718.000000	 33.212000 
716.000000	 33.061000 
714.000000	 32.907000 
712.000000	 32.732000 
710.000000	 32.563000 
708.000000	 32.410000 
706.000000	 32.243000 
704.000000	 32.059000 
702.000000	 31.900000 
700.000000	 31.731000 
698.000000	 31.555000 
696.000000	 31.377000 
694.000000	 31.194000 
692.000000	 31.016000 
690.000000	 30.834000 
688.000000	 30.654000 
686.000000	 30.470000 
684.000000	 30.289000 
682.000000	 30.025000 
680.000000	 29.838000 
678.000000	 29.642000 
676.000000	 29.441000 
674.000000	 29.244000 
672.000000	 29.044000 
670.000000	 28.843000 
668.000000	 28.655000 
666.000000	 28.451000 
664.000000	 28.228000 
662.000000	 28.056000 
660.000000	 27.838000 
658.000000	 27.637000 
656.000000	 27.412000 
654.000000	 27.213000 
652.000000	 27.031000 
650.000000	 26.798000 
648.000000	 26.600000 
646.000000	 26.368000 
644.000000	 26.177000 
642.000000	 25.943000 
640.000000	 25.741000 
638.000000	 25.537000 
636.000000	 25.345000 
634.000000	 25.132000 
632.000000	 24.912000 
630.000000	 24.703000 
628.000000	 24.503000 
626.000000	 24.278000 
624.000000	 24.102000 
622.000000	 23.903000 
620.000000	 23.716000 
618.000000	 23.509000 
616.000000	 23.319000 
614.000000	 23.129000 
612.000000	 22.938000 
610.000000	 22.756000 
608.000000	 22.593000 
606.000000	 22.418000 
604.000000	 22.279000 
602.000000	 22.134000 
600.000000	 22.015000 
598.000000	 21.918000 
596.000000	 21.834000 
594.000000	 21.748000 
592.000000	 21.671000 
590.000000	 21.600000 
588.000000	 21.507000 
586.000000	 21.405000 
584.000000	 21.299000 
