Wavelength(nm)	n	k
190.7	1	0
198.4	1	0
206.6	1	0
207.3	1	0
208	1	0
208.7	1	0
209.4	1	0
210.1	1	0
210.9	1	0
211.6	1	0
212.3	1	0
213	1	0
213.8	1	0
214.5	1	0
215.3	1	0
216	1	0
216.8	1	0
217.5	1	0
218.3	1	0
219.1	1	0
219.8	1	0
220.6	1	0
221.4	1	0
222.2	1	0
223	1	0
223.8	1	0
224.6	1	0
225.4	1	0
226.3	1	0
227.1	1	0
227.9	1	0
228.8	1	0
229.6	1	0
230.5	1	0
231.3	1	0
232.2	1	0
233.1	1	0
233.9	1	0
234.8	1	0
235.7	1	0
236.6	1	0
237.5	1	0
238.4	1	0
239.4	1	0
240.3	1	0
241.2	1	0
242.2	1	0
243.1	1	0
244.1	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	1	0
252	1	0
253	1	0
254.1	1	0
255.1	1	0
256.2	1	0
257.2	1	0
258.3	1	0
259.4	1	0
260.5	1	0
261.6	1	0
262.7	1	0
263.8	1	0
264.9	1	0
266.1	1	0
267.2	1	0
268.4	1	0
269.5	1	0
270.7	1	0
271.9	1	0
273.1	1	0
274.3	1	0
275.5	1	0
276.8	1	0
278	1	0
279.2	1	0
280.5	1	0
281.8	1	0
283.1	1	0
284.4	1	0
285.7	1	0
287	1	0
288.3	1	0
289.7	1	0
291	1	0
292.4	1	0
293.8	1	0
295.2	1	0
296.6	1	0
298	1	0
299.5	1	0
300.9	1	0
302.4	1	0
303.9	1	0
305.4	1	0
306.9	1	0
308.4	1	0
310	1	0
311.5	1	0
313.1	1	0
314.7	1	0
316.3	1	0
317.9	1	0
319.5	1	0
321.2	1	0
322.9	1	0
324.6	1	0
326.3	1	0
328	1	0
329.7	1	0
331.5	1	0
333.3	1	0
335.1	1	0
336.9	1	0
338.8	1	0
340.6	1	0
342.5	1	0
344.4	1	0
346.3	1	0
348.3	1	0
350.2	1	0
352.2	1	0
354.2	1	0
356.3	1	0
358.3	1	0
360.4	1	0
362.5	1	0
364.7	1	0
366.8	1	0
369	1	0
371.2	1	0
373.4	1	0
375.7	1	0
378	1	0
380.3	1	0
382.7	1	0
385	1	0
387.5	1	0
389.9	1	0
392.4	1	0
394.9	1	0
397.4	1	0
400	1	0
402.5	1	0
405.2	1	0
407.8	1	0
410.5	1	0
413.3	1	0
416.1	1	0
418.9	1	0
421.7	1	0
424.6	1	0
427.5	1	0
430.5	1	0
433.5	1	0
436.6	1	0
439.7	1	0
442.8	1	0
446	1	0
449.2	1	0
452.5	1	0
455.8	1	0
459.2	1	0
462.6	1	0
466.1	1	0
469.6	1	0
473.2	1	0
476.9	1	0
480.6	1	0
484.3	1	0
488.1	1	0
492	1	0
495.9	1	0
499.9	1	0
504	1	0
508.1	1	0
512.3	1	0
516.6	1	0
520.9	1	0
525.4	1	0
529.9	1	0
534.4	1	0
539.1	1	0
543.8	1	0
548.6	1	0
553.5	1	0
558.5	1	0
563.6	1	0
568.7	1	0
574	1	0
579.4	1	0
584.8	1	0
590.4	1	0
596.1	1	0
601.9	1	0
607.8	1	0
613.8	1	0
619.9	1	0
626.2	1	0
632.6	1	0
639.1	1	0
645.8	1	0
652.6	1	0
659.5	1	0
666.6	1	0
673.8	1	0
681.2	1	0
688.8	1	0
696.5	1	0
704.5	1	0
712.6	1	0
720.8	1	0
729.3	1	0
738	1	0
746.9	1	0
756	1	0
765.3	1	0
774.9	1	0
784.7	1	0
794.8	1	0
805.1	1	0
815.7	1	0
826.6	1	0
1120	1	0
1144	1	0
1200	1	0
1372	1	0
1400	1	0
1532	1	0
1600	1	0
1696	1	0
1800	1	0
2000	1	0
2437.3	1	0
2500	1	0
