Wavelength	n_Cardona	
225.45455	1.99747
225.43405	2.00332
225.41356	2.00917
225.39307	2.01503
225.37259	2.02089
225.35211	2.02675
225.33164	2.03261
225.31117	2.03847
225.2907	2.04434
225.27023	2.0502
225.24977	2.05607
225.22932	2.06193
225.20886	2.06785
225.18841	2.07389
225.16797	2.08002
225.14753	2.08622
225.12709	2.09247
225.10665	2.09867
225.08622	2.10464
225.0658	2.11043
225.04496	2.11606
225.02454	2.12156
225.00413	2.12693
224.98372	2.13249
224.96331	2.138
224.9429	2.14348
224.9225	2.14885
224.9021	2.15411
224.88171	2.15925
224.86132	2.16427
224.84093	2.16917
224.82055	2.17396
224.80017	2.17863
224.7798	2.18318
224.75943	2.18761
224.73906	2.19193
224.71869	2.19613
224.69833	2.20022
224.67798	2.20419
224.65762	2.20804
224.63727	2.21179
224.61693	2.21541
224.59659	2.21892
224.57625	2.22232
224.55591	2.2256
224.53558	2.22877
224.51526	2.23182
224.49493	2.23475
224.47461	2.23754
224.4543	2.24021
224.43398	2.24275
224.41367	2.24516
224.39337	2.24745
224.37307	2.24961
224.35277	2.25165
224.33248	2.25356
224.31218	2.25535
224.2919	2.25708
224.27161	2.25873
224.25134	2.2603
224.23065	2.26181
224.21038	2.26323
224.19011	2.26459
224.16985	2.26587
224.14959	2.26708
224.12933	2.26821
224.10908	2.26928
224.08883	2.27027
224.06858	2.27118
224.04834	2.27203
224.0281	2.2728
224.00786	2.27355
223.98763	2.2743
223.9674	2.27505
223.94718	2.2758
223.92696	2.27656
223.90674	2.27731
223.88653	2.27806
223.86632	2.27882
223.84611	2.27957
223.82591	2.28032
223.80571	2.28108
223.78551	2.28183
223.76532	2.28259
223.74513	2.28335
223.72495	2.2841
223.70477	2.28486
223.68459	2.28562
223.66442	2.28638
223.64425	2.28713
223.62408	2.28789
223.60392	2.28865
223.58376	2.28941
223.5636	2.29017
223.54345	2.29093
223.5233	2.29169
223.50316	2.29246
223.48302	2.29322
223.46288	2.29397
223.44275	2.29473
223.42222	2.29549
223.40209	2.29624
223.38197	2.29699
223.36185	2.29773
223.34173	2.29848
223.32162	2.29922
223.30151	2.29996
223.28141	2.3007
223.26131	2.30143
223.24121	2.30217
223.22112	2.3029
223.20103	2.30362
223.18094	2.30435
223.16086	2.30508
223.14078	2.3058
223.1207	2.30652
223.10063	2.30723
223.08056	2.30795
223.0605	2.30866
223.04044	2.30937
223.02038	2.31008
223.00033	2.31078
222.98028	2.31148
222.96023	2.31218
222.94019	2.31287
222.92015	2.31357
222.90011	2.31426
222.88008	2.31494
222.86005	2.31562
222.84002	2.31631
222.82	2.31698
222.79998	2.31766
222.77997	2.31833
222.75996	2.319
222.73995	2.31966
222.71995	2.32032
222.69995	2.32098
222.67995	2.32164
