Wavelength (nm)	k
213.79	2.4
215.65	2.4075
217.54	2.42
219.47	2.4375
221.43	2.46
223.42	2.4888
225.45	2.52
227.52	2.5531
229.63	2.58
231.78	2.5894
233.96	2.59
236.19	2.585
238.46	2.58
240.78	2.5813
243.14	2.59
245.54	2.6106
248	2.64
250.51	2.6756
253.06	2.72
255.67	2.7756
258.33	2.84
261.05	2.9119
263.83	2.99
266.67	3.07
269.57	3.16
272.53	3.2663
275.56	3.39
278.65	3.5363
281.82	3.7
285.06	3.895
288.37	4.07
291.76	4.1819
295.24	4.22
298.8	4.1375
302.44	4
306.17	3.8606
310	3.71
313.92	3.5519
317.95	3.4
322.08	3.2725
326.32	3.16
330.67	3.06
335.14	2.97
339.73	2.8856
344.44	2.81
349.3	2.7431
354.29	2.69
359.42	2.6544
364.71	2.64
370.15	2.6756
375.76	2.69
381.54	2.605
387.5	2.47
393.65	2.2906
400	2.12
406.56	2.0175
413.33	1.97
420.34	2.0356
427.59	2.06
435.09	1.8669
442.86	1.58
450.91	1.2381
459.26	0.92
467.92	0.7444
476.92	0.63
486.27	0.535
496	0.46
506.12	0.39
516.67	0.33
527.66	0.2913
539.13	0.24
551.11	0.1196
563.64	0.01
576.74	0.0063
590.48	0.006
604.88	0.0048
620	0.004
635.9	0.0034
652.63	0.003
670.27	0.0025
688.89	0.002
708.57	0.0015
729.41	0.001
751.52	0.0006
775	0.0003
800	0.0002
826.67	0.0002
855.17	0.0002
885.71	0.0001
918.52	0
953.85	0
992	0
1033.33	0
1078.26	0
1127.27	0
1180.95	0
1240	0
1305.26	0
1377.78	0
1458.82	0
1550	0
1653.33	0
1771.43	0
1907.69	0
2066.67	0
2254.55	0
2480	0
