Wavelength (nm)	n
213.79	1
215.65	1.0025
217.54	1.01
219.47	1.0225
221.43	1.04
223.42	1.0619
225.45	1.09
227.52	1.1275
229.63	1.17
231.78	1.2169
233.96	1.26
236.19	1.2906
238.46	1.31
240.78	1.3138
243.14	1.31
245.54	1.3056
248	1.3
250.51	1.2938
253.06	1.29
255.67	1.2925
258.33	1.3
261.05	1.3125
263.83	1.33
266.67	1.3525
269.57	1.38
272.53	1.4094
275.56	1.45
278.65	1.5013
281.82	1.59
285.06	1.7438
288.37	1.96
291.76	2.2688
295.24	2.6
298.8	2.8931
302.44	3.15
306.17	3.3462
310	3.5
313.92	3.6206
317.95	3.71
322.08	3.7656
326.32	3.81
330.67	3.8744
335.14	3.93
339.73	3.9531
344.44	3.96
349.3	3.9556
354.29	3.95
359.42	3.9488
364.71	3.97
370.15	4.0331
375.76	4.14
381.54	4.3319
387.5	4.51
393.65	4.5663
400	4.57
406.56	4.54
413.33	4.52
420.34	4.5488
427.59	4.66
435.09	4.9856
442.86	5.27
450.91	5.23
459.26	5.08
467.92	4.9456
476.92	4.81
486.27	4.7038
496	4.61
506.12	4.5206
516.67	4.44
527.66	4.3713
539.13	4.31
551.11	4.2587
563.64	4.2
576.74	4.1048
590.48	4.01
604.88	3.9505
620	3.9036
635.9	3.8573
652.63	3.8143
670.27	3.7732
688.89	3.7343
708.57	3.6975
729.41	3.6626
751.52	3.6297
775	3.5985
800	3.569
826.67	3.5412
855.17	3.5149
885.71	3.4901
918.52	3.4667
953.85	3.4447
992	3.4239
1033.33	3.4044
1078.26	3.386
1127.27	3.3687
1180.95	3.3525
1240	3.3373
1305.26	3.3231
1377.78	3.3099
1458.82	3.2975
1550	3.286
1653.33	3.2753
1771.43	3.2654
1907.69	3.2562
2066.67	3.2477
2254.55	3.2399
2480	3.2327
