Wavelenght	DR/R
325	4.58586E-4
326	4.3442E-4
327	4.58338E-4
328	4.56284E-4
329	4.48468E-4
330	4.60122E-4
331	4.71754E-4
332	4.60242E-4
333	4.78953E-4
334	4.56292E-4
335	4.72768E-4
336	4.68383E-4
337	4.59293E-4
338	4.74478E-4
339	4.60308E-4
340	4.3659E-4
341	4.5763E-4
342	4.52241E-4
343	4.51367E-4
344	4.41189E-4
345	4.3123E-4
346	4.44865E-4
347	4.43814E-4
348	4.50394E-4
349	4.32189E-4
350	4.52243E-4
351	4.53336E-4
352	4.33166E-4
353	4.43765E-4
354	4.50481E-4
355	4.35781E-4
356	4.27518E-4
357	4.47227E-4
358	4.7058E-4
359	4.63924E-4
360	4.60785E-4
361	4.79778E-4
362	4.83792E-4
363	4.58911E-4
364	4.68416E-4
365	4.46091E-4
366	4.58145E-4
367	4.69794E-4
368	4.62715E-4
369	4.57675E-4
370	4.57947E-4
371	4.66969E-4
372	4.39995E-4
373	4.37863E-4
374	4.7232E-4
375	4.76135E-4
376	4.95864E-4
377	5.02853E-4
378	5.23298E-4
379	5.50723E-4
380	6.06097E-4
381	6.22903E-4
382	6.99851E-4
383	6.84386E-4
384	7.44531E-4
385	7.90588E-4
386	8.56266E-4
387	7.61766E-4
388	8.13531E-4
389	7.84945E-4
390	7.3125E-4
391	6.34332E-4
392	5.1323E-4
393	3.73564E-4
394	2.28523E-4
395	1.52089E-4
396	1.91372E-5
397	-1.78367E-4
398	-2.66564E-4
399	-3.80998E-4
400	-3.42799E-4
401	-3.18116E-4
402	-2.84807E-4
403	-2.14587E-4
404	-1.79991E-4
405	-4.20062E-5
406	7.71778E-5
407	1.77501E-4
408	2.37122E-4
409	4.70086E-4
410	4.283E-4
411	4.96043E-4
412	5.49224E-4
413	6.06643E-4
414	6.83428E-4
415	7.48344E-4
416	7.56776E-4
417	7.70744E-4
418	8.25828E-4
419	8.35417E-4
420	8.99072E-4
421	9.42051E-4
422	0.00102
423	0.00102
424	0.00111
425	0.00114
426	0.00119
427	0.00119
428	0.00113
429	0.00131
430	0.00126
431	0.0012
432	0.00121
433	0.00111
434	0.00103
435	9.49056E-4
436	9.0084E-4
437	7.5873E-4
438	6.54761E-4
439	5.67288E-4
440	5.16923E-4
441	4.68892E-4
442	3.75754E-4
443	3.10019E-4
444	2.54058E-4
445	2.05021E-4
446	1.6373E-4
447	1.41414E-4
448	8.97986E-5
449	9.66617E-5
450	6.39638E-5
451	6.26904E-5
452	6.88404E-5
453	7.88232E-5
454	7.21477E-5
455	9.12965E-5
456	1.89165E-4
457	1.34619E-4
458	1.64569E-4
459	1.93219E-4
460	2.06295E-4
461	1.39871E-4
462	2.70356E-4
463	2.83096E-4
464	3.16547E-4
465	3.61464E-4
466	3.21844E-4
467	3.8804E-4
468	4.12776E-4
469	4.29995E-4
470	4.40359E-4
471	4.63728E-4
472	4.88451E-4
473	5.13818E-4
474	5.07835E-4
475	5.40529E-4
476	5.54673E-4
477	5.97136E-4
478	6.1156E-4
479	6.44702E-4
480	6.65301E-4
481	6.65494E-4
482	7.48225E-4
483	8.06612E-4
484	8.90536E-4
485	0.00108
486	9.57393E-4
487	0.00101
488	9.99897E-4
489	8.99573E-4
490	8.76778E-4
491	7.77604E-4
492	7.73013E-4
493	7.2105E-4
494	6.94236E-4
495	7.10531E-4
496	6.95389E-4
497	7.13378E-4
498	6.68058E-4
499	6.64753E-4
500	6.70072E-4
