Wavelength	Refractive Index
1265.88235	2.12525
1191.28571	2.12521
1124.99157	2.12517
1045.64263	2.12512
989.79228	2.12508
927.84423	2.12502
883.60265	2.12498
840.20151	2.12494
803.75904	2.12489
770.34642	2.12771
732.29418	2.13051
700.02099	2.13046
670.47236	2.13613
641.46154	2.13893
616.56192	2.13888
596.70841	2.13884
578.09359	2.15022
557.79264	2.15589
538.86914	2.16155
522.4119	2.17008
508.08835	2.18718
494.52928	2.19571
479.59741	2.20423
466.51748	2.22704
455.06139	2.24129
445.93583	2.26125
438.0302	2.2755
430.4	2.29547
423.03107	2.30687
415.13379	2.32683
406.78049	2.34965
398.04296	2.36675
390.35693	2.381
382.96211	2.39239
376.47856	2.40092
367.76185	2.40945
360.02159	2.40654
358.8596	2.40939
350.37815	2.40077
343.34534	2.39215
336.5893	2.38353
330.09401	2.3692
324.79065	2.36345
319.19617	2.35198
313.34899	2.3405
308.56614	2.33475
303.51228	2.32042
297.42309	2.3118
293.11072	2.30033
287.79983	2.29457
283.39847	2.28595
279.12971	2.27734
274.648	2.27158
269.65238	2.2601
264.52022	2.25718
261.10372	2.25714
