wl	Reflectancia
1100.000000	16.473000 
1098.000000	16.487000 
1096.000000	16.491000 
1094.000000	16.311000 
1092.000000	16.335000 
1090.000000	16.258000 
1088.000000	16.150000 
1086.000000	16.031000 
1084.000000	16.098000 
1082.000000	15.927000 
1080.000000	15.778000 
1078.000000	15.700000 
1076.000000	15.605000 
1074.000000	15.586000 
1072.000000	15.490000 
1070.000000	15.452000 
1068.000000	15.330000 
1066.000000	15.190000 
1064.000000	15.173000 
1062.000000	14.988000 
1060.000000	14.945000 
1058.000000	14.771000 
1056.000000	14.734000 
1054.000000	14.592000 
1052.000000	14.546000 
1050.000000	14.360000 
1048.000000	14.278000 
1046.000000	14.135000 
1044.000000	14.020000 
1042.000000	13.896000 
1040.000000	13.751000 
1038.000000	13.679000 
1036.000000	13.553000 
1034.000000	13.453000 
1032.000000	13.313000 
1030.000000	13.147000 
1028.000000	13.036000 
1026.000000	12.881000 
1024.000000	12.762000 
1022.000000	12.640000 
1020.000000	12.496000 
1018.000000	12.350000 
1016.000000	12.209000 
1014.000000	12.085000 
1012.000000	11.949000 
1010.000000	11.789000 
1008.000000	11.649000 
1006.000000	11.495000 
1004.000000	11.351000 
1002.000000	11.218000 
1000.000000	11.050000 
998.000000	 10.916000 
996.000000	 10.774000 
994.000000	 10.627000 
992.000000	 10.477000 
990.000000	 10.318000 
988.000000	 10.172000 
986.000000	 10.016000 
984.000000	 9.849000  
982.000000	 9.711000  
980.000000	 9.583000  
978.000000	 9.446999  
976.000000	 9.281000  
974.000000	 9.151000  
972.000000	 9.004000  
970.000000	 8.843000  
968.000000	 8.651999  
966.000000	 8.543000  
964.000000	 8.369999  
962.000000	 8.225999  
960.000000	 8.077000  
958.000000	 7.936000  
956.000000	 7.799000  
954.000000	 7.624000  
952.000000	 7.499000  
950.000000	 7.335000  
948.000000	 7.215000  
946.000000	 7.061000  
944.000000	 6.927000  
942.000000	 6.773000  
940.000000	 6.633999  
938.000000	 6.505000  
936.000000	 6.357000  
934.000000	 6.247000  
