wl	n_Synowicki _Tiwald
130.1	2.1355
130.75	2.1343
131.41	2.1327
132.07	2.1309
132.75	2.129
133.43	2.1271
134.11	2.1254
134.8	2.1239
135.5	2.1228
136.21	2.1221
136.93	2.122
137.65	2.1224
138.38	2.1233
139.12	2.1247
139.86	2.1265
140.62	2.1285
141.38	2.1307
142.15	2.133
142.93	2.135
143.72	2.1367
144.51	2.138
145.32	2.1387
146.13	2.1388
146.95	2.1381
147.79	2.1367
148.63	2.1345
149.48	2.1318
150.34	2.1286
151.21	2.1251
152.09	2.1216
152.99	2.1183
153.89	2.1156
154.8	2.1139
155.72	2.1131
156.66	2.1116
157.61	2.1056
158.56	2.0978
159.53	2.1176
160.52	2.1786
161.51	2.2932
162.51	2.5709
163.53	2.7781
164.57	2.802
165.61	2.6971
166.67	2.5624
167.74	2.455
168.82	2.3804
169.92	2.3267
171.04	2.285
172.17	2.2506
173.31	2.2213
174.47	2.1957
175.64	2.173
176.83	2.1526
178.04	2.1341
179.26	2.1171
180.51	2.1015
181.76	2.0869
183.04	2.0734
184.33	2.0606
185.64	2.0487
186.97	2.0374
188.32	2.0267
189.69	2.0166
191.08	2.0069
192.49	1.9977
193.92	1.9889
195.37	1.9805
196.85	1.9724
198.34	1.9647
199.86	1.9572
201.41	1.9501
202.97	1.9432
204.57	1.9365
206.18	1.9301
207.82	1.9238
209.49	1.9178
211.19	1.912
212.91	1.9063
214.66	1.9008
216.45	1.8955
218.26	1.8903
220.1	1.8853
221.97	1.8804
223.87	1.8757
225.81	1.8711
227.78	1.8666
229.79	1.8622
231.83	1.858
233.91	1.8538
236.03	1.8498
238.18	1.8458
240.38	1.842
242.61	1.8382
244.89	1.8346
247.21	1.831
249.57	1.8275
251.98	1.8241
254.44	1.8207
256.95	1.8175
259.5	1.8143
262.11	1.8112
264.77	1.8081
267.49	1.8052
270.26	1.8022
273.09	1.7994
275.97	1.7966
278.92	1.7939
281.94	1.7912
285.02	1.7886
288.17	1.786
291.39	1.7835
294.68	1.7811
298.04	1.7787
301.49	1.7763
305.01	1.774
308.62	1.7717
312.31	1.7695
316.1	1.7674
319.97	1.7652
323.95	1.7632
328.02	1.7611
332.2	1.7591
336.48	1.7572
340.88	1.7553
345.39	1.7534
350.03	1.7516
354.79	1.7498
359.68	1.748
364.7	1.7463
369.87	1.7446
375.19	1.7429
380.67	1.7413
386.3	1.7397
392.11	1.7382
398.09	1.7367
404.26	1.7352
410.62	1.7337
417.19	1.7323
423.97	1.7309
430.97	1.7295
438.21	1.7282
445.7	1.7269
453.45	1.7256
461.47	1.7244
469.78	1.7232
478.39	1.722
487.33	1.7208
496.6	1.7197
506.24	1.7185
516.25	1.7175
526.68	1.7164
537.53	1.7154
548.84	1.7144
560.63	1.7134
572.94	1.7124
585.81	1.7115
599.26	1.7106
613.35	1.7097
628.12	1.7088
643.61	1.708
659.89	1.7072
677.01	1.7064
695.05	1.7056
714.07	1.7049
734.17	1.7041
755.43	1.7034
777.95	1.7028
801.86	1.7021
827.29	1.7015
854.38	1.7008
883.31	1.7002
914.26	1.6997
947.47	1.6991
983.17	1.6986
1021.7	1.6981
1063.3	1.6976
