Wavelength (nm)	k
400	0
400.47	0
401.23	0
401.98	0
402.73	0
403.48	0
404.24	0
404.99	0
405.74	0
406.5	0
407.25	0
408	0
408.75	0
409.5	0
410.26	0
411.01	0
411.76	0
412.51	0
413.26	0
414.02	0
414.77	0
415.52	0
416.27	0
417.02	0
417.77	0
418.52	0
419.27	0
420.02	0
420.78	0
421.53	0
422.28	0
423.03	0
423.78	0
424.53	0
425.28	0
426.03	0
426.78	0
427.53	0
428.28	0
429.03	0
429.78	0
430.53	0
431.28	0
432.03	0
432.78	0
433.53	0
434.28	0
435.02	0
435.77	0
436.52	0
437.27	0
438.02	0
438.77	0
439.52	0
440.27	0
441.01	0
441.76	0
442.51	0
443.26	0
444.01	0
444.76	0
445.5	0
446.25	0
447	0
447.75	0
448.49	0
449.24	0
449.99	0
450.74	0
451.48	0
452.23	0
452.98	0
453.72	0
454.47	0
455.22	0
455.96	0
456.71	0
457.46	0
458.2	0
458.95	0
459.7	0
460.44	0
461.19	0
461.94	0
462.68	0
463.43	0
464.17	0
464.92	0
465.66	0
466.41	0
467.15	0
467.9	0
468.65	0
469.39	0
470.14	0
470.88	0
471.63	0
472.37	0
473.11	0
473.86	0
474.6	0
475.35	0
476.09	0
476.84	0
477.58	0
478.33	0
479.07	0
479.81	0
480.56	0
481.3	0
482.04	0
482.79	0
483.53	0
484.27	0
485.02	0
485.76	0
486.5	0
487.25	0
487.99	0
488.73	0
489.48	0
490.22	0
490.96	0
491.7	0
492.45	0
493.19	0
493.93	0
494.67	0
495.41	0
496.16	0
496.9	0
497.64	0
498.38	0
499.12	0
499.86	0
500.61	0
501.35	0
502.09	0
502.83	0
503.57	0
504.31	0
505.05	0
505.79	0
506.53	0
507.28	0
508.02	0
508.76	0
509.5	0
510.24	0
510.98	0
511.72	0
512.46	0
513.2	0
513.94	0
514.68	0
515.42	0
516.16	0
516.9	0
517.64	0
518.37	0
519.11	0
519.85	0
520.59	0
521.33	0
522.07	0
522.81	0
523.55	0
524.29	0
525.02	0
525.76	0
526.5	0
527.24	0
527.98	0
528.72	0
529.45	0
530.19	0
530.93	0
531.67	0
532.41	0
533.14	0
533.88	0
534.62	0
535.36	0
536.09	0
536.83	0
537.57	0
538.3	0
539.04	0
539.78	0
540.51	0
541.25	0
541.99	0
542.72	0
543.46	0
544.2	0
544.93	0
545.67	0
546.4	0
547.14	0
547.88	0
548.61	0
549.35	0
550.08	0
550.82	0
551.55	0
552.29	0
553.02	0
553.76	0
554.49	0
555.23	0
555.96	0
556.7	0
557.43	0
558.17	0
558.9	0
559.64	0
560.37	0
561.11	0
561.84	0
562.57	0
563.31	0
564.04	0
564.78	0
565.51	0
566.24	0
566.98	0
567.71	0
568.44	0
569.18	0
569.91	0
570.64	0
571.38	0
572.11	0
572.84	0
573.57	0
574.31	0
575.04	0
575.77	0
576.51	0
577.24	0
577.97	0
578.7	0
579.43	0
580.17	0
580.9	0
581.63	0
582.36	0
583.09	0
583.82	0
584.56	0
585.29	0
586.02	0
586.75	0
587.48	0
588.21	0
588.94	0
589.67	0
590.4	0
591.14	0
591.87	0
592.6	0
593.33	0
594.06	0
594.79	0
595.52	0
596.25	0
596.98	0
597.71	0
598.44	0
599.17	0
599.9	0
600.63	0
601.36	0
602.08	0
602.81	0
603.54	0
604.27	0
605	0
605.73	0
606.46	0
607.19	0
607.92	0
608.64	0
609.37	0
610.1	0
610.83	0
611.56	0
612.29	0
613.01	0
613.74	0
614.47	0
615.2	0
615.93	0
616.65	0
617.38	0
618.11	0
618.84	0
619.56	0
620.29	0
621.02	0
621.74	0
622.47	0
623.2	0
623.92	0
624.65	0
625.38	0
626.1	0
626.83	0
627.56	0
628.28	0
629.01	0
629.73	0
630.46	0
631.19	0
631.91	0
632.64	0
633.36	0
634.09	0
634.81	0
635.54	0
636.27	0
636.99	0
637.72	0
638.44	0
639.17	0
639.89	0
640.61	0
641.34	0
642.06	0
642.79	0
643.51	0
644.24	0
644.96	0
645.69	0
646.41	0
647.13	0
647.86	0
648.58	0
649.3	0
650.03	0
650.75	0
651.47	0
652.2	0
652.92	0
653.64	0
654.37	0
655.09	0
655.81	0
656.54	0
657.26	0
657.98	0
658.7	0
659.43	0
660.15	0
660.87	0
661.59	0
662.32	0
663.04	0
663.76	0
664.48	0
665.2	0
665.92	0
666.65	0
667.37	0
668.09	0
668.81	0
669.53	0
670.25	0
670.97	0
671.69	0
672.41	0
673.14	0
673.86	0
674.58	0
675.3	0
676.02	0
676.74	0
677.46	0
678.18	0
678.9	0
679.62	0
680.34	0
681.06	0
681.78	0
682.5	0
683.22	0
683.94	0
684.66	0
685.38	0
686.09	0
686.81	0
687.53	0
688.25	0
688.97	0
689.69	0
690.41	0
691.13	0
691.84	0
692.56	0
693.28	0
694	0
694.72	0
695.44	0
696.15	0
696.87	0
697.59	0
698.31	0
699.02	0
699.74	0
700	0
