"Wavelength (nm)"	Reflectance
200	0.3022369
201	0.3022373
202	0.3022379
203	0.3022386
204	0.3008193
205	0.2988682
206	0.296941
207	0.2950379
208	0.2931596
209	0.2913069
210	0.289481
211	0.2879341
212	0.2864585
213	0.2850028
214	0.283567
215	0.2821503
216	0.2807505
217	0.2793642
218	0.2779545
219	0.2765095
220	0.2750669
221	0.2736314
222	0.2722099
223	0.2708104
224	0.26944
225	0.2681041
226	0.2668092
227	0.2655572
228	0.2643383
229	0.2631392
230	0.2619415
231	0.2607223
232	0.2594552
233	0.258113
234	0.2566795
235	0.2552594
236	0.2537811
237	0.2523267
238	0.2510225
239	0.2500075
240	0.2493702
241	0.2490875
242	0.2490217
243	0.2489591
244	0.2486409
245	0.2478634
246	0.2465513
247	0.2447132
248	0.2424388
249	0.2400235
250	0.2376289
251	0.2355633
252	0.234179
253	0.2338175
254	0.2348234
255	0.2367984
256	0.2391255
257	0.2409724
258	0.2415448
259	0.2403935
260	0.2375138
261	0.2332833
262	0.2282705
263	0.2231245
264	0.2184788
265	0.2150781
266	0.2129854
267	0.2123477
268	0.2131966
269	0.2154284
270	0.2188252
271	0.2230525
272	0.2276911
273	0.2322529
274	0.2361972
275	0.238988
276	0.2401173
277	0.2394405
278	0.2368994
279	0.2324898
280	0.2263723
281	0.2188926
282	0.2105679
283	0.2020617
284	0.1941251
285	0.1875067
286	0.1828597
287	0.1806111
288	0.180957
289	0.1838139
290	0.1887236
291	0.1951348
292	0.2024871
293	0.2102546
294	0.2179626
295	0.2252113
296	0.2316718
297	0.2371104
298	0.2413506
299	0.244262
300	0.2457591
301	0.2457988
302	0.2443731
303	0.241505
304	0.2373304
305	0.2319865
306	0.2256359
307	0.2184775
308	0.2107727
309	0.2028487
310	0.1951112
311	0.1883702
312	0.1826495
313	0.1783943
314	0.1760139
315	0.1758166
316	0.1779653
317	0.182425
318	0.18894
319	0.1969399
320	0.2058996
321	0.215204
322	0.2242883
323	0.2326454
324	0.2398563
325	0.2456297
326	0.24978
327	0.2522515
328	0.2530533
329	0.2522505
330	0.2499564
331	0.246317
332	0.241497
333	0.2356785
334	0.2290552
335	0.2218298
336	0.2151128
337	0.2083826
338	0.2016666
339	0.1951369
340	0.1889547
341	0.1832818
342	0.1782936
343	0.1741528
344	0.1710144
345	0.1690223
346	0.168302
347	0.1689507
348	0.171033
349	0.1745729
350	0.1795499
351	0.1858793
352	0.1934511
353	0.202101
354	0.2116321
355	0.2205536
356	0.2299679
357	0.2404055
358	0.2517744
359	0.2639419
360	0.2767424
361	0.2899835
362	0.3034796
363	0.3170114
364	0.3303905
365	0.3459442
366	0.3666298
367	0.3858156
368	0.4031817
369	0.4186566
370	0.4322334
371	0.4640148
372	0.5051724
373	0.5550223
374	0.6167183
375	0.69478
376	0.7663562
377	0.7542169
