Wavelenght	Refractive Index
200	4.22239579
200.1666667	4.220989361
200.3333333	4.219455382
200.5	4.217855843
200.6666667	4.21625199
200.8333333	4.214704176
201	4.213271761
201.1666667	4.212013101
201.3333333	4.210985591
201.5	4.210245791
201.6666667	4.209849637
201.8333333	4.209852715
202	4.210303755
202.1666667	4.210966967
202.3333333	4.21179121
202.5	4.21296532
202.6666667	4.21447349
202.8333333	4.216292653
203	4.21839972
203.1666667	4.220771598
203.3333333	4.223385204
203.5	4.226217481
203.6666667	4.229245411
203.8333333	4.232446025
204	4.23579642
204.1666667	4.23927376
204.3333333	4.24285529
204.5	4.246518342
204.6666667	4.250368355
204.8333333	4.254790231
205	4.259755865
205.1666667	4.26520076
205.3333333	4.27105587
205.5	4.277253568
205.6666667	4.283726704
205.8333333	4.290408576
206	4.297232959
206.1666667	4.30413413
206.3333333	4.311046884
206.5	4.317906536
206.6666667	4.324648916
206.8333333	4.331419902
207	4.338787646
207.1666667	4.346621112
207.3333333	4.353833845
207.5	4.358664525
207.6666667	4.362197305
207.8333333	4.365560336
208	4.369637203
208.1666667	4.373408495
208.3333333	4.376612774
208.5	4.379567012
208.6666667	4.383620206
208.8333333	4.38889486
209	4.394738078
209.1666667	4.400832998
209.3333333	4.406874187
209.5	4.412561873
209.6666667	4.41760132
209.8333333	4.421702141
210	4.424577577
210.1666667	4.425943763
210.3333333	4.425579438
210.5	4.423429058
210.6666667	4.420265973
210.8333333	4.416387788
211	4.411878574
211.1666667	4.406821539
211.3333333	4.401299136
211.5	4.395393148
211.6666667	4.389184787
211.8333333	4.382754789
212	4.376181388
212.1666667	4.369491257
212.3333333	4.362731726
212.5	4.355942498
212.6666667	4.347933472
212.8333333	4.33829076
213	4.327356138
213.1666667	4.315474473
213.3333333	4.302994533
213.5	4.290269568
213.6666667	4.277657646
213.8333333	4.265513068
214	4.254134113
214.1666667	4.243895071
214.3333333	4.235135688
214.5	4.227130723
214.6666667	4.219528491
214.8333333	4.212312211
215	4.205463304
215.1666667	4.198961458
215.3333333	4.192784759
215.5	4.186909889
215.6666667	4.181312395
215.8333333	4.175967025
216	4.170848136
216.1666667	4.165927313
216.3333333	4.161089026
216.5	4.156253355
216.6666667	4.151379224
216.8333333	4.146425473
217	4.141350838
217.1666667	4.136113931
217.3333333	4.13067321
217.5	4.124986953
217.6666667	4.11901322
217.8333333	4.112693547
218	4.105950134
218.1666667	4.098825953
218.3333333	4.091376807
218.5	4.083658846
218.6666667	4.075728603
218.8333333	4.067643033
219	4.059459542
219.1666667	4.051236016
219.3333333	4.043030847
219.5	4.034902952
219.6666667	4.026911903
219.8333333	4.01912615
220	4.011613827
220.1666667	4.004439255
220.3333333	3.997667173
220.5	3.991356714
220.6666667	3.98530275
220.8333333	3.97937336
221	3.973563448
221.1666667	3.967867863
221.3333333	3.962281398
221.5	3.956798791
221.6666667	3.951414723
221.8333333	3.94612382
222	3.940920651
222.1666667	3.935799728
222.3333333	3.930755505
222.5	3.92578238
222.6666667	3.920874696
222.8333333	3.916026738
223	3.911232735
223.1666667	3.906486862
223.3333333	3.901783237
223.5	3.897115926
223.6666667	3.892478941
223.8333333	3.887866241
224	3.883271736
224.1666667	3.878689282
224.3333333	3.874112689
224.5	3.869535718
224.6666667	3.864952085
224.8333333	3.860355458
225	3.855739434
225.1666667	3.851090729
225.3333333	3.846398884
225.5	3.841674315
225.6666667	3.836926274
225.8333333	3.832161068
226	3.827385016
226.1666667	3.82260445
226.3333333	3.817825719
226.5	3.813055184
226.6666667	3.808299219
226.8333333	3.803564214
227	3.798856573
227.1666667	3.794182714
227.3333333	3.789549068
227.5	3.784962084
227.6666667	3.780428223
227.8333333	3.775953963
228	3.771545797
228.1666667	3.767210235
228.3333333	3.762953803
228.5	3.758783047
228.6666667	3.754704527
228.8333333	3.750724826
229	3.746850545
229.1666667	3.743088305
229.3333333	3.73944475
229.5	3.735919171
229.6666667	3.732486673
229.8333333	3.729137361
230	3.725860119
230.1666667	3.722650509
230.3333333	3.719504222
230.5	3.716416929
230.6666667	3.713384284
230.8333333	3.710401925
231	3.707465472
231.1666667	3.704570527
231.3333333	3.701712681
231.5	3.698887504
231.6666667	3.696090556
231.8333333	3.693317379
232	3.690563502
232.1666667	3.68782444
232.3333333	3.685095694
232.5	3.682372752
232.6666667	3.679651086
232.8333333	3.676926158
