Wavelenght	Imaginary Dialectric Function
350.74939	0.68799
341.21303	0.60164
330.93017	0.51567
321.8374	0.42952
312.67351	0.43261
304.01704	0.52476
295.82697	0.61692
286.1897	0.44267
276.72401	0.53579
268.68368	0.71758
262.26662	0.89879
256.14893	1.08
251.02539	1.34989
243.03894	1.53245
236.81493	1.53612
229.69429	1.71869
224.98818	2.25614
219.6442	3.1504
216.13172	3.5982
213.76509	4.84676
211.95991	6.00588
210.18496	7.34311
208.68707	8.32391
207.9461	9.21508
207.21038	10.10624
205.03411	10.46422
201.97011	10.55579
199.90198	11.18094
197.43107	11.71742
195.67206	12.60955
193.09155	13.32434

