Wavelenght	Reflectance
1100.000000	35.562000 
1098.000000	34.540000 
1096.000000	33.492000 
1094.000000	32.579000 
1092.000000	31.545000 
1090.000000	30.593000 
1088.000000	29.740000 
1086.000000	28.759000 
1084.000000	28.216000 
1082.000000	27.508000 
1080.000000	26.901000 
1078.000000	26.397000 
1076.000000	26.000000 
1074.000000	25.615000 
1072.000000	25.466000 
1070.000000	25.352000 
1068.000000	25.426000 
1066.000000	25.440000 
1064.000000	25.683000 
1062.000000	26.057000 
1060.000000	26.318000 
1058.000000	26.731000 
1056.000000	27.293000 
1054.000000	27.944000 
1052.000000	28.684000 
1050.000000	29.578000 
1048.000000	30.510000 
1046.000000	31.427000 
1044.000000	32.414000 
1042.000000	33.374000 
1040.000000	34.385000 
1038.000000	35.331000 
1036.000000	36.343000 
1034.000000	37.241000 
1032.000000	38.125000 
1030.000000	38.892000 
1028.000000	39.617999 
1026.000000	40.300999 
1024.000000	40.868000 
1022.000000	41.370000 
1020.000000	41.750000 
1018.000000	42.079000 
1016.000000	42.227000 
1014.000000	42.284000 
1012.000000	42.292000 
1010.000000	42.189000 
1008.000000	41.943000 
1006.000000	41.629000 
1004.000000	41.203000 
1002.000000	40.653000 
1000.000000	40.061000 
998.000000	 39.339000 
996.000000	 38.551000 
994.000000	 37.696000 
992.000000	 36.775000 
990.000000	 35.756000 
988.000000	 34.723000 
986.000000	 33.615000 
984.000000	 32.475000 
982.000000	 31.353000 
980.000000	 30.184000 
978.000000	 28.999000 
976.000000	 27.803000 
974.000000	 26.649000 
972.000000	 25.578000 
970.000000	 24.536000 
968.000000	 23.529000 
966.000000	 22.648000 
964.000000	 21.827000 
962.000000	 21.138000 
960.000000	 20.587000 
958.000000	 20.172000 
956.000000	 19.967000 
954.000000	 19.867000 
952.000000	 19.964000 
950.000000	 20.257000 
948.000000	 20.727000 
946.000000	 21.355000 
944.000000	 22.145000 
942.000000	 23.053000 
940.000000	 24.149000 
938.000000	 25.329000 
936.000000	 26.624000 
934.000000	 27.936000 
932.000000	 29.341000 
930.000000	 30.742000 
928.000000	 32.232000 
926.000000	 33.758000 
924.000000	 35.357000 
922.000000	 37.016000 
920.000000	 38.791000 
918.000000	 40.697000 
916.000000	 42.679000 
914.000000	 44.577000 
912.000000	 46.255000 
910.000000	 47.617000 
908.000000	 48.543000 
906.000000	 49.022000 
904.000000	 49.118000 
902.000000	 48.908000 
900.000000	 48.450000 
898.000000	 47.803000 
896.000000	 47.014000 
894.000000	 46.027000 
892.000000	 45.023000 
890.000000	 43.891000 
888.000000	 42.661000 
886.000000	 41.250000 
884.000000	 39.494000 
882.000000	 37.559000 
880.000000	 35.830000 
878.000000	 34.480000 
876.000000	 33.100000 
874.000000	 31.601000 
872.000000	 30.089000 
870.000000	 28.608000 
868.000000	 27.229000 
866.000000	 25.964000 
864.000000	 24.884000 
862.000000	 24.010000 
860.000000	 23.374000 
858.000000	 22.995000 
856.000000	 22.931000 
854.000000	 23.171000 
852.000000	 23.762000 
850.000000	 24.664000 
848.000000	 25.905000 
846.000000	 27.356000 
844.000000	 29.133000 
842.000000	 31.050000 
840.000000	 33.076000 
838.000000	 35.237000 
836.000000	 37.378000 
834.000000	 39.477000 
832.000000	 41.484000 
830.000000	 43.387000 
828.000000	 45.122000 
826.000000	 46.658000 
824.000000	 47.923000 
822.000000	 48.954000 
820.000000	 49.669999 
818.000000	 50.083000 
816.000000	 50.248000 
814.000000	 50.138000 
812.000000	 49.741000 
810.000000	 49.037000 
808.000000	 48.176000 
806.000000	 47.023000 
804.000000	 45.635000 
802.000000	 44.016000 
800.000000	 42.158000 
798.000000	 40.244000 
796.000000	 38.288000 
794.000000	 35.826000 
792.000000	 33.698000 
790.000000	 31.634000 
788.000000	 29.656000 
786.000000	 27.819000 
784.000000	 26.187000 
782.000000	 24.810000 
780.000000	 23.871000 
778.000000	 23.466000 
776.000000	 23.398000 
774.000000	 23.848000 
772.000000	 24.796000 
770.000000	 26.159000 
768.000000	 27.955000 
