"Wavelength (nm)"	Reflectance
200	0.5907786
201	0.5879928
202	0.5823853
203	0.5739604
204	0.562661
205	0.5484153
206	0.531097
207	0.510581
208	0.4867072
209	0.4593456
210	0.428394
211	0.3937934
212	0.3556427
213	0.3142555
214	0.270202
215	0.2244748
216	0.1785945
217	0.1345619
218	0.0949913
219	0.0627011
220	0.0403718
221	0.029978
222	0.0322961
223	0.046689
224	0.0712903
225	0.1034938
226	0.153038
227	0.2173589
228	0.2814493
229	0.3413097
230	0.3950889
231	0.4422188
232	0.4828409
233	0.5174398
234	0.5468185
235	0.5716978
236	0.5926915
237	0.6104263
238	0.6255997
239	0.6383311
240	0.6488687
241	0.6575892
242	0.6643895
243	0.6691771
244	0.6719545
245	0.6725021
246	0.6707581
247	0.6666536
248	0.6598292
249	0.6446721
250	0.6267489
251	0.6057354
252	0.5816352
253	0.5542092
254	0.5233949
255	0.4891351
256	0.4515586
257	0.411211
258	0.3687497
259	0.3258664
260	0.2847037
261	0.2484676
262	0.2193413
263	0.2027666
264	0.2015768
265	0.2163209
266	0.244199
267	0.2820245
268	0.324975
269	0.3699735
270	0.4136818
271	0.4541976
272	0.491137
273	0.5239899
274	0.55268
275	0.5776132
276	0.5983097
277	0.6152168
278	0.6298917
279	0.6425598
280	0.6536137
281	0.6630828
282	0.6711963
283	0.6781392
284	0.683922
285	0.6884097
286	0.6913281
287	0.6928658
288	0.6920345
289	0.6895429
290	0.6852342
291	0.6798442
292	0.6736113
293	0.6668761
294	0.6597575
295	0.6523523
296	0.6448266
297	0.6370569
298	0.6290595
299	0.6208729
300	0.6123512
301	0.6034796
302	0.5942483
303	0.5846775
304	0.5746451
305	0.5641541
306	0.5531461
307	0.5416281
308	0.5295871
309	0.517008
310	0.503829
311	0.4913007
312	0.4782937
313	0.4648351
314	0.4509213
315	0.4365454
316	0.421661
317	0.4063033
318	0.3905
319	0.374229
320	0.3575073
321	0.3403309
322	0.3227563
323	0.3047815
324	0.2865876
325	0.2682124
326	0.2496635
327	0.2311054
328	0.2126568
329	0.1943881
330	0.1764521
331	0.1590279
332	0.142267
333	0.1263376
334	0.111417
335	0.097686
336	0.085328
337	0.0744241
338	0.0651401
339	0.0576276
340	0.0519658
341	0.0482246
342	0.0464166
343	0.0465544
344	0.0486273
345	0.0525857
346	0.0583508
347	0.0658387
348	0.0749391
349	0.0855281
350	0.0975049
351	0.1107081
352	0.1250839
353	0.140533
354	0.1569065
355	0.173708
356	0.1910524
357	0.2089443
358	0.2272557
359	0.2456524
360	0.2640297
361	0.2820899
362	0.2997672
363	0.3167028
364	0.3326656
365	0.3476434
366	0.3613624
367	0.3739655
368	0.3852584
369	0.3955232
370	0.4046383
371	0.4129052
372	0.4202807
373	0.4268434
374	0.4325158
375	0.4374793
376	0.4418846
377	0.4456657
378	0.4491078
379	0.4522027
380	0.4549636
381	0.4574278
382	0.4596046
383	0.4615698
384	0.4633861
385	0.4649309
386	0.4664262
387	0.4676695
388	0.4687845
389	0.469752
390	0.4705091
391	0.4712354
392	0.471734
393	0.4721623
394	0.4724534
395	0.4725698
396	0.4726762
397	0.4725827
398	0.4724098
399	0.4721168
400	0.4716485
401	0.4711546
402	0.4704818
403	0.4697124
404	0.4688623
405	0.467845
406	0.4667256
407	0.4654601
408	0.4640634
409	0.4626319
410	0.4610478
411	0.4593663
412	0.4575965
413	0.4556803
414	0.4537497
415	0.4517486
416	0.4496307
417	0.4474969
418	0.4452551
419	0.4429151
420	0.4405365
421	0.4380486
422	0.4354766
423	0.4328536
424	0.4301241
425	0.4273264
426	0.4244821
427	0.4215405
428	0.418531
429	0.4154566
430	0.412288
431	0.4090605
432	0.4057741
433	0.4023972
434	0.3989962
435	0.3955766
436	0.3920761
437	0.3884652
438	0.3847322
439	0.3809138
440	0.3770512
441	0.3731827
442	0.369237
443	0.3652167
444	0.3611229
445	0.3569529
446	0.3527126
447	0.3485472
448	0.3443177
449	0.3400257
450	0.33558
451	0.3310444
452	0.3264433
453	0.3218758
454	0.3173415
455	0.3127544
456	0.3081267
457	0.3034937
458	0.298814
459	0.2940897
460	0.2893708
461	0.2846232
462	0.2798381
463	0.2750356
464	0.270229
465	0.2653932
466	0.2605307
467	0.255437
468	0.2502936
469	0.2451237
470	0.2400206
471	0.2350478
472	0.2300623
473	0.225067
474	0.2197345
475	0.214302
476	0.2088602
477	0.2034903
478	0.198562
479	0.1936423
480	0.1887348
481	0.183747
482	0.1786632
483	0.1735984
484	0.1685563
485	0.1636244
486	0.158758
487	0.153925
488	0.1491288
