Wavelenght	Reflectance
200.0	54.175
202.0	54.379
204.0	54.676
206.0	55.086
208.0	55.013
210.0	53.434
212.0	50.846999
214.0	48.029
216.0	45.173
218.0	42.394
220.0	39.894
222.0	37.577
224.0	35.533
226.0	33.791
228.0	32.398
230.0	31.384
232.0	30.57
234.0	29.981
236.0	29.761
238.0	29.639
240.0	29.49
242.0	29.626
244.0	30.593
246.0	30.709
248.0	30.442
250.0	32.966
252.0	31.598
254.0	33.219
256.0	34.878
258.0	32.798
260.0	37.897
262.0	33.222
264.0	39.855
266.0	35.146
268.0	39.239
270.0	40.896
272.0	34.372
274.0	48.595
276.0	31.059
278.0	48.613
280.0	42.298
282.0	34.416
284.0	55.728999
286.0	34.222
288.0	41.951
290.0	57.729
292.0	32.925
294.0	42.162
296.0	60.763
298.0	38.912
300.0	34.055
302.0	60.607
304.0	54.14
306.0	28.695
308.0	47.551
310.0	65.193
312.0	45.357
314.0	28.268
316.0	55.062
318.0	66.466
320.0	43.811
322.0	25.994
324.0	50.459
326.0	67.14
328.0	52.124
330.0	26.165
332.0	32.867
334.0	58.702
336.0	63.982
338.0	43.773
340.0	22.115
342.0	35.989
344.0	60.182
346.0	64.054
348.0	44.37
350.0	21.44
352.0	29.42
354.0	54.962999
356.0	66.696999
358.0	56.985
360.0	31.919
362.0	19.039
364.0	36.214
366.0	60.146
368.0	67.288
370.0	54.134
372.0	29.459
374.0	19.259
376.0	33.717
378.0	54.496
380.0	63.2
382.0	55.605
384.0	36.712
386.0	21.813
388.0	21.854
390.0	34.425
392.0	48.942
394.0	54.847
396.0	50.172
398.0	37.251
400.0	24.544
402.0	20.604
404.0	26.247
406.0	37.977
408.0	47.178
410.0	49.246
412.0	43.764
414.0	33.518
416.0	24.541
418.0	21.034
420.0	23.451
422.0	30.362
424.0	38.965
426.0	44.255
428.0	43.805
430.0	38.147
432.0	30.231
434.0	24.083
436.0	21.581
438.0	22.488
440.0	26.694
442.0	33.029
444.0	38.212
446.0	39.989999
448.0	37.706
450.0	32.792
452.0	27.224
454.0	23.337
456.0	21.56
458.0	21.586
460.0	23.535
462.0	27.348
464.0	31.687
466.0	34.507
468.0	34.59
470.0	32.268
472.0	28.659
474.0	25.253
476.0	22.975
478.0	21.718
480.0	21.243
482.0	21.534
484.0	23.021
486.0	25.616
488.0	28.385
490.0	30.154
492.0	30.18
494.0	28.673
496.0	26.391
498.0	24.276
500.0	22.886
502.0	22.153
504.0	21.738
506.0	21.382
508.0	21.288
510.0	21.876
512.0	23.244
514.0	24.975
516.0	26.35
518.0	26.878
520.0	26.381
522.0	25.246
524.0	24.037
526.0	23.178
528.0	22.807
530.0	22.754
532.0	22.61
534.0	22.272
536.0	21.755
538.0	21.339
540.0	21.35
542.0	21.838
544.0	22.629
546.0	23.368
548.0	23.77
550.0	23.696
552.0	23.269
554.0	22.822
556.0	22.518
558.0	22.648
560.0	23.462
562.0	23.807
564.0	23.882
566.0	23.637
568.0	23.017
570.0	22.2
572.0	21.404
574.0	20.882
576.0	20.732
578.0	20.898
580.0	21.293
582.0	21.648
584.0	21.853
586.0	21.955
588.0	22.037
590.0	22.149
592.0	22.457
594.0	22.928
596.0	23.507
598.0	24.064
600.0	24.429
602.0	24.462
604.0	24.133
606.0	23.436
608.0	22.509
610.0	21.498
612.0	20.557
614.0	19.86
616.0	19.425
618.0	19.233
620.0	19.204
622.0	19.257
624.0	19.365
626.0	19.543
628.0	19.799
630.0	20.201
632.0	20.8
634.0	21.598
636.0	22.527
638.0	23.527
640.0	24.453
642.0	25.206
644.0	25.64
646.0	25.737
648.0	25.441
650.0	24.835
652.0	23.964
654.0	22.9
656.0	21.831
658.0	20.775
660.0	19.868
662.0	19.15
664.0	18.625
666.0	18.261
668.0	18.082
670.0	18.051
672.0	18.172
674.0	18.427
676.0	18.849
678.0	19.499
680.0	20.287
682.0	21.277
684.0	22.265
686.0	23.385
688.0	24.469
690.0	25.484
692.0	26.314
694.0	26.872
696.0	27.169
698.0	27.156
700.0	26.828
702.0	26.246
704.0	25.405
706.0	24.429
708.0	23.326
710.0	22.199
712.0	21.11
714.0	20.09
716.0	19.237
718.0	18.506
720.0	17.952
722.0	17.541
724.0	17.328
726.0	17.293
728.0	17.425
730.0	17.749
732.0	18.256
734.0	18.916
736.0	19.764
738.0	20.754
740.0	21.85
742.0	23.005
744.0	24.19
746.0	25.344
748.0	26.426
750.0	27.343
752.0	28.107
754.0	28.679
756.0	29.005
758.0	29.091
760.0	28.942
762.0	28.603
764.0	28.033
766.0	27.233
768.0	26.377
770.0	25.371
772.0	24.293
774.0	23.198
776.0	22.163
778.0	21.142
780.0	20.11
782.0	19.342
784.0	18.657
786.0	18.105
788.0	17.685
790.0	17.402
792.0	17.285
794.0	17.331
796.0	17.556
798.0	18.013
800.0	18.574
802.0	19.323
804.0	20.179
806.0	21.159
808.0	22.166
810.0	23.253
812.0	24.407
814.0	25.553
816.0	26.657
818.0	27.71
820.0	28.653
822.0	29.509
824.0	30.204
826.0	30.72
828.0	31.078
830.0	31.235
832.0	31.242
834.0	31.035
836.0	30.664
838.0	30.171
840.0	29.508
842.0	28.706
844.0	27.806
846.0	26.799
848.0	25.765
850.0	24.641
852.0	23.529
854.0	22.456
856.0	21.377
858.0	20.409
860.0	19.522
862.0	18.686
864.0	17.972
866.0	17.388
868.0	16.908
870.0	16.571
872.0	16.37
874.0	16.32
876.0	16.376
878.0	16.565
880.0	16.855
882.0	17.342
884.0	18.071
886.0	18.83
888.0	19.64
890.0	20.469
892.0	21.381
894.0	22.316
896.0	23.301
898.0	24.284
900.0	25.266
902.0	26.128
904.0	27.035
906.0	27.793
908.0	28.388
910.0	28.763
912.0	29.051
914.0	29.151
916.0	29.106
918.0	28.984
920.0	28.811
922.0	28.591
924.0	28.363
926.0	28.122
928.0	27.777
930.0	27.398
932.0	26.917
934.0	26.374
936.0	25.775
938.0	25.113
940.0	24.381
942.0	23.601
944.0	22.814
946.0	22.005
948.0	21.175
950.0	20.391
952.0	19.619
954.0	18.854
956.0	18.172
958.0	17.477
960.0	16.886
962.0	16.356
964.0	15.922
966.0	15.568
968.0	15.277
970.0	15.098
972.0	15.036
974.0	14.993
976.0	15.074
978.0	15.269
980.0	15.567
982.0	15.891
984.0	16.31
986.0	16.814
988.0	17.391
990.0	18.019
992.0	18.645
994.0	19.365
996.0	20.081
998.0	20.818
1000.0	21.595
1002.0	22.36
1004.0	23.086
1006.0	23.81
1008.0	24.517
1010.0	25.2
1012.0	25.847
1014.0	26.458
1016.0	26.982
1018.0	27.523
1020.0	27.968
1022.0	28.358
1024.0	28.679
1026.0	28.949
1028.0	29.188
1030.0	29.313
1032.0	29.458
1034.0	29.415
1036.0	29.456
1038.0	29.322
1040.0	29.171
1042.0	28.977
1044.0	28.799
1046.0	28.5
1048.0	28.216
1050.0	27.937
1052.0	27.635
1054.0	27.234
1056.0	26.935
1058.0	26.654
1060.0	26.396
1062.0	26.069
1064.0	25.789
1066.0	25.398
1068.0	25.149
1070.0	24.803
1072.0	24.601
1074.0	24.339
1076.0	24.11
1078.0	23.983
1080.0	23.877
1082.0	23.791
1084.0	23.919
1086.0	23.86
1088.0	24.022
1090.0	24.135
1092.0	24.251
1094.0	24.52
1096.0	24.873
1098.0	25.239
1100.0	25.544


