Valence band:


-250.75292247316554, -5.584411252980841
-219.37198094486357, -5.512537590536912
-177.48403270724128, -5.380463482287283
-128.8578591320686, -5.2563382787008255
-87.60582326750011, -5.141662821916743
-58.675145498307415, -5.066898648686207
-24.82059377761965, -4.97979421786669
4.745996364626819, -4.887631393170613
5.539775096026119, -4.271507901655928
26.54155943056935, -5.112980061034246
59.800221235248614, -6.440780660259366
100.05947781810903, -8.04907197927726
99.24235265343327, -8.68331674995414
141.1303008910554, -8.551242641704512
181.13385844279298, -8.453243208689319
244.53165387245065, -8.292097232335921


Conduction band


-253.58451130912349, 0.7891650314898904
-209.88221168544572, 0.9009499774873673
-168.06430274765285, 0.9786602482504061
-139.1569714117366, 1.035303142318745
-73.35560508952244, 1.1573160495611416
-33.375393971061555, 1.2371942034141372
11.575383965447315, 1.3656551731805062
10.110117343620573, -0.24786129995164075
31.60773545155888, -1.180662482837592
59.58676813100681, -2.320746641170879
105.62148761249375, -4.20808342458824
108.1251146476634, -2.740982440146972
130.3175670793056, -2.6582693622532645
170.32112463104295, -2.560269929238072
217.1096003868838, -2.433976842561659
258.92750932467675, -2.3562665717986206
