Energía	OFF	ON	Delta R/R		
6.52632	0.01461	0.01455	-0.42621
6.52288	0.01498	0.01498	0.02258
6.51945	0.01506	0.01509	0.17117
6.51603	0.01443	0.01445	0.15888
6.51261	0.01272	0.01275	0.2527
6.50919	0.01134	0.0114	0.55953
6.50577	0.01025	0.01028	0.22673
6.50236	0.01047	0.01051	0.37923
6.49895	0.01185	0.0119	0.43377
6.49555	0.01282	0.01287	0.42291
6.49215	0.01432	0.01453	1.43588
6.48875	0.016	0.01618	1.1566
6.48536	0.01718	0.0173	0.70168
6.48197	0.0185	0.01864	0.78518
6.47858	0.01961	0.01983	1.08327
6.4752	0.02109	0.02125	0.71856
6.47182	0.02181	0.02199	0.8169
6.46844	0.0235	0.02363	0.52726
6.46507	0.02442	0.02445	0.1185
6.4617	0.02552	0.02558	0.21471
6.45833	0.02633	0.02632	-0.01086
6.45497	0.02694	0.02693	-0.0574
6.45161	0.02717	0.02715	-0.07477
6.44826	0.02726	0.02729	0.10786
6.44491	0.02734	0.02738	0.1327
6.44156	0.02683	0.02691	0.28231
6.43821	0.02429	0.0243	0.04736
6.43487	0.02308	0.02313	0.23497
6.43154	0.02044	0.02043	-0.05079
6.4282	0.02117	0.02114	-0.1328
6.42487	0.02277	0.02276	-0.05264
6.42154	0.02518	0.02533	0.61226
6.41822	0.02701	0.02712	0.38681
6.4149	0.02916	0.02925	0.29917
6.41158	0.03057	0.03067	0.32826
6.40827	0.03285	0.03295	0.31393
6.40496	0.0336	0.0338	0.60858
6.40165	0.03555	0.03573	0.4985
6.39835	0.03666	0.037	0.93962
6.39505	0.03764	0.03794	0.79478
6.39175	0.0385	0.03886	0.9062
6.38846	0.03888	0.03935	1.2134
6.38517	0.03917	0.03965	1.21188
6.38188	0.03954	0.04006	1.28939
6.3786	0.04034	0.04087	1.28047
6.37532	0.0408	0.04134	1.30553
6.37205	0.04166	0.04234	1.59616
6.36877	0.04185	0.04259	1.74241
6.3655	0.04154	0.04248	2.19304
6.36224	0.0402	0.04127	2.59473
6.35897	0.03821	0.03938	2.96489
6.35572	0.03693	0.03819	3.28166
6.35246	0.03701	0.03842	3.66212
6.34921	0.03844	0.03982	3.45861
6.34596	0.0395	0.04099	3.62885
6.34271	0.04205	0.04345	3.22008
6.33947	0.04375	0.04491	2.59379
6.33623	0.04625	0.04717	1.94407
6.33299	0.04879	0.0494	1.22443
6.32976	0.05021	0.05073	1.03189
6.32653	0.05168	0.05204	0.69321
6.3233	0.05276	0.05303	0.51384
6.32008	0.05385	0.05408	0.4278
6.31686	0.05429	0.05452	0.41697
6.31365	0.05526	0.05539	0.232
6.31043	0.056	0.05611	0.20338
6.30722	0.05704	0.05721	0.29269
6.30402	0.0579	0.05802	0.22211
6.30081	0.05922	0.05927	0.08632
6.29761	0.06004	0.06007	0.0375
6.29442	0.06088	0.0608	-0.12628
6.29122	0.06191	0.06195	0.06776
6.28803	0.0624	0.0624	0.01188
6.28485	0.06313	0.06309	-0.07386
6.28166	0.06323	0.06322	-0.02296
6.27848	0.06307	0.06298	-0.14286
6.2753	0.06333	0.06325	-0.13639
6.27213	0.06411	0.06394	-0.26405
6.26896	0.06547	0.06544	-0.04859
6.26579	0.06658	0.06638	-0.30055
6.26263	0.06805	0.06797	-0.12661
6.25946	0.06901	0.06889	-0.18422
6.25631	0.07075	0.07061	-0.19586
6.25315	0.07147	0.07126	-0.29261
6.25	0.07308	0.07292	-0.21753
6.24685	0.07402	0.07388	-0.18912
6.24371	0.07484	0.07478	-0.07575
6.24056	0.07602	0.0759	-0.15817
6.23742	0.07681	0.07671	-0.12599
6.23429	0.07809	0.07793	-0.21621
6.23116	0.07892	0.07871	-0.26492
6.22803	0.08035	0.08021	-0.18218
6.2249	0.08102	0.08091	-0.1382
6.22178	0.0828	0.08258	-0.26797
6.21866	0.08399	0.08379	-0.23112
6.21554	0.08504	0.08482	-0.25061
6.21242	0.08641	0.08635	-0.07968
6.20931	0.08749	0.08729	-0.23171
6.20621	0.08887	0.08857	-0.3434
6.2031	0.08969	0.08951	-0.19419
6.2	0.09133	0.09112	-0.23031
6.1969	0.09185	0.09166	-0.20557
6.19381	0.09359	0.09329	-0.32435
6.19071	0.09498	0.09463	-0.37341
6.18762	0.09643	0.09619	-0.24913
6.18454	0.09853	0.09816	-0.37422
6.18146	0.10016	0.09978	-0.38529
6.17838	0.10251	0.10211	-0.38535
6.1753	0.1043	0.10377	-0.50888
6.17222	0.10716	0.10659	-0.53512
6.16915	0.10814	0.10761	-0.49083
6.16609	0.11127	0.11066	-0.55106
6.16302	0.11293	0.11231	-0.55635
6.15996	0.1144	0.11376	-0.56533
6.1569	0.11635	0.11573	-0.53735
6.15385	0.11777	0.11703	-0.62829
6.15079	0.11946	0.11865	-0.68187
6.14774	0.12077	0.11982	-0.79451
6.1447	0.12294	0.12189	-0.86397
6.14165	0.12371	0.12276	-0.77027
6.13861	0.12606	0.12498	-0.85738
6.13558	0.12741	0.12625	-0.91615
6.13254	0.12874	0.12762	-0.87762
6.12951	0.13038	0.12912	-0.96981
6.12648	0.13145	0.13035	-0.84651
6.12346	0.13283	0.13158	-0.94448
6.12043	0.13371	0.13249	-0.91875
6.11741	0.13496	0.13389	-0.79901
6.1144	0.13532	0.1344	-0.68637
6.11138	0.13635	0.1354	-0.70589
6.10837	0.13677	0.13582	-0.69842
6.10537	0.13702	0.13625	-0.56784
6.10236	0.13708	0.13643	-0.47412
6.09936	0.13678	0.13645	-0.24176
6.09636	0.13618	0.13598	-0.14354
6.09337	0.13575	0.13562	-0.09869
6.09037	0.13444	0.13453	0.06313
6.08738	0.13308	0.13347	0.29832
6.0844	0.13138	0.13191	0.40204
6.08141	0.12954	0.13027	0.55624
6.07843	0.12667	0.12779	0.87675
6.07545	0.12425	0.12557	1.04849
6.07248	0.12183	0.12338	1.25098
6.06951	0.11781	0.11974	1.61212
6.06654	0.11546	0.11741	1.65684
6.06357	0.11033	0.11258	1.99703
6.06061	0.10697	0.10952	2.32259
6.05765	0.1023	0.10505	2.61485
6.05469	0.09654	0.09942	2.90003
6.05173	0.09271	0.09581	3.22747
6.04878	0.08739	0.09068	3.6193
6.04583	0.08303	0.08647	3.97718
6.04288	0.07692	0.0804	4.31893
6.03994	0.07379	0.07741	4.67058
6.037	0.06642	0.07022	5.4101
6.03406	0.06244	0.06611	5.54984
6.03113	0.05649	0.06017	6.1157
6.0282	0.05176	0.05541	6.57827
6.02527	0.0464	0.04985	6.92288
6.02234	0.04178	0.04493	7.01493
6.01942	0.03849	0.04165	7.594
6.0165	0.03381	0.03686	8.2681
6.01358	0.03156	0.03429	7.97405
6.01066	0.02724	0.02977	8.50759
6.00775	0.02525	0.02748	8.12931
6.00484	0.02253	0.02431	7.34296
6.00194	0.02081	0.02237	6.99034
5.99903	0.01996	0.02123	5.96376
5.99613	0.01954	0.02034	3.9547
5.99323	0.01963	0.02015	2.61049
5.99034	0.02063	0.02065	0.08542
5.98745	0.02124	0.02108	-0.73375
5.98456	0.02398	0.02326	-3.08949
5.98167	0.02653	0.02545	-4.23846
5.97878	0.02942	0.02806	-4.8513
5.9759	0.03399	0.03224	-5.41327
5.97303	0.03719	0.03532	-5.30061
5.97015	0.04224	0.03996	-5.71865
5.96728	0.04574	0.04333	-5.55782
5.96441	0.0534	0.05073	-5.24881
5.96154	0.05917	0.05624	-5.20704
5.95867	0.06556	0.06247	-4.94232
5.95581	0.07158	0.06825	-4.87959
5.95295	0.07977	0.07646	-4.32786
5.9501	0.08587	0.08255	-4.02216
5.94724	0.09135	0.08801	-3.79614
5.94439	0.10122	0.09757	-3.7452
5.94154	0.10656	0.10291	-3.5479
5.9387	0.11683	0.11346	-2.97325
5.93585	0.12355	0.11982	-3.11489
5.93301	0.13176	0.12807	-2.8753
5.93018	0.14123	0.13731	-2.85682
5.92734	0.14725	0.14367	-2.48922
5.92451	0.15707	0.15359	-2.26585
5.92168	0.16352	0.15999	-2.20827
5.91885	0.17269	0.16935	-1.9706
5.91603	0.1783	0.17487	-1.95814
5.91321	0.18875	0.18529	-1.86218
5.91039	0.19688	0.19355	-1.71784
