Energía	OFF	ON	Delta R/R
6.52632	0.01807	0.01968	5.33584
6.52288	0.01851	0.0202	5.53095
6.51945	0.01855	0.02029	5.7068
6.51603	0.01751	0.01913	5.60209
6.51261	0.01545	0.01685	5.4375
6.50919	0.01349	0.01474	5.60131
6.50577	0.0122	0.01331	5.43512
6.50236	0.01243	0.0136	5.74959
6.49895	0.01407	0.01552	6.48358
6.49555	0.01506	0.01668	6.82566
6.49215	0.01703	0.01881	6.60258
6.48875	0.01908	0.02106	6.55655
6.48536	0.02048	0.02266	6.77566
6.48197	0.02186	0.02435	7.36283
6.47858	0.02337	0.02598	7.17287
6.4752	0.02518	0.02771	6.27318
6.47182	0.02616	0.02872	6.05781
6.46844	0.02834	0.03096	5.61514
6.46507	0.0295	0.0321	5.25852
6.4617	0.03111	0.03364	4.63909
6.45833	0.03211	0.03463	4.41532
6.45497	0.03298	0.03542	4.03364
6.45161	0.03328	0.03568	3.86789
6.44826	0.03347	0.03579	3.61738
6.44491	0.03337	0.03571	3.70568
6.44156	0.03259	0.03479	3.46464
6.43821	0.02935	0.03109	2.72393
6.43487	0.02791	0.0296	2.8754
6.43154	0.02496	0.02654	3.10658
6.4282	0.02603	0.02777	3.38956
6.42487	0.02815	0.03008	3.58312
6.42154	0.03127	0.03335	3.36911
6.41822	0.03364	0.03575	3.0345
6.4149	0.03614	0.03839	3.00019
6.41158	0.03799	0.04033	2.9354
6.40827	0.04063	0.04313	2.92963
6.40496	0.04151	0.04412	3.05785
6.40165	0.04379	0.04655	3.06492
6.39835	0.04512	0.048	3.13759
6.39505	0.04611	0.04919	3.40551
6.39175	0.04703	0.05014	3.33518
6.38846	0.04751	0.05066	3.35716
6.38517	0.04719	0.05104	4.68952
6.38188	0.04777	0.05156	4.48894
6.3786	0.04871	0.05252	4.40884
6.37532	0.04935	0.05307	4.14951
6.37205	0.05034	0.05407	4.03743
6.36877	0.05022	0.05409	4.30695
6.3655	0.04941	0.05322	4.29523
6.36224	0.04709	0.05101	4.81262
6.35897	0.04475	0.04847	4.7989
6.35572	0.04307	0.04704	5.5858
6.35246	0.04334	0.04751	5.92704
6.34921	0.04497	0.04934	5.98545
6.34596	0.04691	0.05092	5.02053
6.34271	0.05054	0.05472	4.78485
6.33947	0.05297	0.05695	4.11316
6.33623	0.05706	0.06068	3.0983
6.33299	0.06099	0.06427	2.24735
6.32976	0.06311	0.06629	1.94555
6.32653	0.065	0.06824	1.87749
6.3233	0.0665	0.06955	1.52316
6.32008	0.06805	0.07104	1.35011
6.31686	0.06862	0.07161	1.31056
6.31365	0.06991	0.07302	1.39896
6.31043	0.0709	0.07386	1.15587
6.30722	0.07238	0.07542	1.16809
6.30402	0.07357	0.07653	1.00976
