Wavelength(nm)	Response
2.500000000000000000e+02	5.358421305226852382e+01
2.510000000000000000e+02	2.385521973600246426e+01
2.520000000000000000e+02	2.188713757925451020e+01
2.530000000000000000e+02	4.582023181686856361e+01
2.540000000000000000e+02	3.055895836984263170e+01
2.550000000000000000e+02	8.985162816714808542e+00
2.560000000000000000e+02	3.353674184169378947e+01
2.570000000000000000e+02	3.633786814987238500e+01
2.580000000000000000e+02	1.815405543351546314e+01
2.590000000000000000e+02	1.192855529590435992e+01
2.600000000000000000e+02	3.206408978997333747e+01
2.610000000000000000e+02	3.421539108753310643e+01
2.620000000000000000e+02	1.999303728120221990e+01
2.630000000000000000e+02	8.680481522348937773e+00
2.640000000000000000e+02	2.255600806281858084e+01
2.650000000000000000e+02	3.596972285799655822e+01
2.660000000000000000e+02	3.011511369555585205e+01
2.670000000000000000e+02	1.324719025106166370e+01
2.680000000000000000e+02	9.107846403071869545e+00
2.690000000000000000e+02	2.916443883377861468e+01
2.700000000000000000e+02	4.056073657451970149e+01
2.710000000000000000e+02	3.028600047773154458e+01
2.720000000000000000e+02	1.058820453558538688e+01
2.730000000000000000e+02	1.086094992338046161e+01
2.740000000000000000e+02	3.358034984952932689e+01
2.750000000000000000e+02	4.734301225400467672e+01
2.760000000000000000e+02	4.036970416892887670e+01
2.770000000000000000e+02	1.834275695000840756e+01
2.780000000000000000e+02	6.875255788411534397e+00
2.790000000000000000e+02	2.342274888272959998e+01
2.800000000000000000e+02	4.523531430555456012e+01
2.810000000000000000e+02	5.458942243577723019e+01
2.820000000000000000e+02	4.565554452865132617e+01
2.830000000000000000e+02	1.931662268708344499e+01
2.840000000000000000e+02	7.920092047184144946e+00
2.850000000000000000e+02	2.931944682481157827e+01
2.860000000000000000e+02	5.070908438439318644e+01
2.870000000000000000e+02	5.822423720305331329e+01
2.880000000000000000e+02	4.621663888485869620e+01
2.890000000000000000e+02	1.489916153866370863e+01
2.900000000000000000e+02	1.193624937731210167e+01
2.910000000000000000e+02	3.681774252982428663e+01
2.920000000000000000e+02	5.322148517979449167e+01
2.930000000000000000e+02	5.635064877743510436e+01
2.940000000000000000e+02	4.280074441383025885e+01
2.950000000000000000e+02	1.374871533473598717e+01
2.960000000000000000e+02	1.122065446859804361e+01
2.970000000000000000e+02	3.393486113316354391e+01
2.980000000000000000e+02	4.945226097923815445e+01
2.990000000000000000e+02	5.410343978936739973e+01
3.000000000000000000e+02	4.710510304461929820e+01
3.010000000000000000e+02	2.565725860957532944e+01
3.020000000000000000e+02	7.235667405906563765e+00
3.030000000000000000e+02	2.008633390414114572e+01
3.040000000000000000e+02	3.918915690906758442e+01
3.050000000000000000e+02	4.941235950812157540e+01
3.060000000000000000e+02	5.092491474801133933e+01
3.070000000000000000e+02	4.335854277598720330e+01
3.080000000000000000e+02	2.560714357396959784e+01
3.090000000000000000e+02	9.155147517969346893e+00
3.100000000000000000e+02	1.578665569362373233e+01
3.110000000000000000e+02	3.278166014646463111e+01
3.120000000000000000e+02	4.424845146441690247e+01
3.130000000000000000e+02	4.863494959163854503e+01
3.140000000000000000e+02	4.670880092332547662e+01
3.150000000000000000e+02	3.810757525258315326e+01
3.160000000000000000e+02	2.326705454818784702e+01
3.170000000000000000e+02	1.076253948188783838e+01
3.180000000000000000e+02	1.421044352837141034e+01
3.190000000000000000e+02	2.791380568013748587e+01
3.200000000000000000e+02	3.938866172056310688e+01
3.210000000000000000e+02	4.535689014815073961e+01
3.220000000000000000e+02	4.627668885683546307e+01
3.230000000000000000e+02	4.247963527401490325e+01
3.240000000000000000e+02	3.382682267575577839e+01
3.250000000000000000e+02	2.147099365487299849e+01
3.260000000000000000e+02	1.171678813710979838e+01
3.270000000000000000e+02	1.339451227012878576e+01
3.280000000000000000e+02	2.423752831193962365e+01
3.290000000000000000e+02	3.509383701821673895e+01
3.300000000000000000e+02	4.185201028799107803e+01
3.310000000000000000e+02	4.429202488010618310e+01
3.320000000000000000e+02	4.284602785988366236e+01
3.330000000000000000e+02	3.764493364864071623e+01
3.340000000000000000e+02	2.884627175097358531e+01
3.350000000000000000e+02	1.819931064721424363e+01
3.360000000000000000e+02	1.117784377251930650e+01
3.370000000000000000e+02	1.367011528708040480e+01
3.380000000000000000e+02	2.339057675688971472e+01
3.390000000000000000e+02	3.329613481818334719e+01
3.400000000000000000e+02	3.974952485007955971e+01
3.410000000000000000e+02	4.230545303100937105e+01
3.420000000000000000e+02	4.132386115397796544e+01
3.430000000000000000e+02	3.702869867920573199e+01
3.440000000000000000e+02	2.958861916763323308e+01
3.450000000000000000e+02	2.001949571056768207e+01
3.460000000000000000e+02	1.180769802790339185e+01
3.470000000000000000e+02	1.044674536414431465e+01
3.480000000000000000e+02	1.737048166212703748e+01
3.490000000000000000e+02	2.743200475419382656e+01
3.500000000000000000e+02	3.552837713806073339e+01
3.510000000000000000e+02	3.995842041351701823e+01
3.520000000000000000e+02	4.082066761575762115e+01
3.530000000000000000e+02	3.849403547251681346e+01
3.540000000000000000e+02	3.322500990740405058e+01
3.550000000000000000e+02	2.539122255416550900e+01
3.560000000000000000e+02	1.634176173039768187e+01
3.570000000000000000e+02	9.508443272026777748e+00
3.580000000000000000e+02	9.404021770151992143e+00
3.590000000000000000e+02	1.663047210807994247e+01
3.600000000000000000e+02	2.645050410535491991e+01
3.610000000000000000e+02	3.429846012220178864e+01
3.620000000000000000e+02	3.857736260196383427e+01
3.630000000000000000e+02	3.939362375019896945e+01
3.640000000000000000e+02	3.720624524359847385e+01
3.650000000000000000e+02	3.237699424365133183e+01
3.660000000000000000e+02	2.531712107825396174e+01
3.670000000000000000e+02	1.705459569678843579e+01
3.680000000000000000e+02	9.950734031751810704e+00
3.690000000000000000e+02	7.460412675442470665e+00
3.700000000000000000e+02	1.145224068793636540e+01
3.710000000000000000e+02	1.970283059149184268e+01
3.720000000000000000e+02	2.808449868875266375e+01
3.730000000000000000e+02	3.399985825862830069e+01
3.740000000000000000e+02	3.680645618351094583e+01
3.750000000000000000e+02	3.674286287864603651e+01
3.760000000000000000e+02	3.420469870163709913e+01
3.770000000000000000e+02	2.957838543439825330e+01
3.780000000000000000e+02	2.337333491033386323e+01
3.790000000000000000e+02	1.648828831610906320e+01
3.800000000000000000e+02	1.046072888926402555e+01
3.810000000000000000e+02	7.284591171656749964e+00
3.820000000000000000e+02	8.364318575856289684e+00
3.830000000000000000e+02	1.327814914749051312e+01
3.840000000000000000e+02	1.994504623928237663e+01
3.850000000000000000e+02	2.613145363634182772e+01
3.860000000000000000e+02	3.051193370073288946e+01
3.870000000000000000e+02	3.264917051207488186e+01
3.880000000000000000e+02	3.259221861408900622e+01
3.890000000000000000e+02	3.059085925606323642e+01
3.900000000000000000e+02	2.698452862966077603e+01
3.910000000000000000e+02	2.220632243728009669e+01
3.920000000000000000e+02	1.686274518366283459e+01
3.930000000000000000e+02	1.182343521587887381e+01
3.940000000000000000e+02	8.178512561703501049e+00
3.950000000000000000e+02	6.934529467208260911e+00
3.960000000000000000e+02	8.517055116186970309e+00
3.970000000000000000e+02	1.245519220878220779e+01
3.980000000000000000e+02	1.759188046173979814e+01
3.990000000000000000e+02	2.265408595490969645e+01
4.000000000000000000e+02	2.669646915567758327e+01
4.010000000000000000e+02	2.921456347031808676e+01
4.020000000000000000e+02	3.005691983734654826e+01
4.030000000000000000e+02	2.929047071566956006e+01
4.040000000000000000e+02	2.709914967868266089e+01
4.050000000000000000e+02	2.375142585403256845e+01
4.060000000000000000e+02	1.962146006631485662e+01
4.070000000000000000e+02	1.521671076762317298e+01
4.080000000000000000e+02	1.117529665300155450e+01
4.090000000000000000e+02	8.202886953919849233e+00
4.100000000000000000e+02	6.916206261123690524e+00
4.110000000000000000e+02	7.622764806983880703e+00
4.120000000000000000e+02	1.017214180107061239e+01
4.130000000000000000e+02	1.399687127985266422e+01
4.140000000000000000e+02	1.832337471428164122e+01
4.150000000000000000e+02	2.241496090271514774e+01
4.160000000000000000e+02	2.572082937836628957e+01
4.170000000000000000e+02	2.790989779792728243e+01
4.180000000000000000e+02	2.883654011819109897e+01
4.190000000000000000e+02	2.848806405436020484e+01
4.200000000000000000e+02	2.694678362642933678e+01
4.210000000000000000e+02	2.437676868141540965e+01
4.220000000000000000e+02	2.102811736313580582e+01
4.230000000000000000e+02	1.724804642764286911e+01
4.240000000000000000e+02	1.348215241121477348e+01
4.250000000000000000e+02	1.024208420296406707e+01
4.260000000000000000e+02	8.025147837405310014e+00
4.270000000000000000e+02	7.202572219793381691e+00
4.280000000000000000e+02	7.918114341221161645e+00
4.290000000000000000e+02	1.004167849937359946e+01
4.300000000000000000e+02	1.320621920974162222e+01
4.310000000000000000e+02	1.691353481907296441e+01
4.320000000000000000e+02	2.065544158819703924e+01
4.330000000000000000e+02	2.400494241740308965e+01
4.340000000000000000e+02	2.665708955074115494e+01
4.350000000000000000e+02	2.842633204469145980e+01
4.360000000000000000e+02	2.921737840994509483e+01
4.370000000000000000e+02	2.899917718890447915e+01
4.380000000000000000e+02	2.779821686191606744e+01
4.390000000000000000e+02	2.570833282841302747e+01
4.400000000000000000e+02	2.289665052484405905e+01
4.410000000000000000e+02	1.960354052587309681e+01
4.420000000000000000e+02	1.613611051868448953e+01
4.430000000000000000e+02	1.286514542139716610e+01
4.440000000000000000e+02	1.019753877795533548e+01
4.450000000000000000e+02	8.511607336135021740e+00
4.460000000000000000e+02	8.058310297758035645e+00
4.470000000000000000e+02	8.892735376171970074e+00
4.480000000000000000e+02	1.087396239622515282e+01
4.490000000000000000e+02	1.371910218286655336e+01
4.500000000000000000e+02	1.707025383929111584e+01
4.510000000000000000e+02	2.054947288711137432e+01
4.520000000000000000e+02	2.381738192280537803e+01
4.530000000000000000e+02	2.661153453856456252e+01
4.540000000000000000e+02	2.875708677861538121e+01
4.550000000000000000e+02	3.015048315294012227e+01
4.560000000000000000e+02	3.073609548644449063e+01
4.570000000000000000e+02	3.049458002313657445e+01
4.580000000000000000e+02	2.944152993348893332e+01
4.590000000000000000e+02	2.763202802656874368e+01
4.600000000000000000e+02	2.516867863824319684e+01
4.610000000000000000e+02	2.221218985826137882e+01
4.620000000000000000e+02	1.899027338407976728e+01
4.630000000000000000e+02	1.579538090109682358e+01
4.640000000000000000e+02	1.296021375920522800e+01
4.650000000000000000e+02	1.081484293919851325e+01
4.660000000000000000e+02	9.634442716426821818e+00
4.670000000000000000e+02	9.582575241007420530e+00
4.680000000000000000e+02	1.066680016327684655e+01
4.690000000000000000e+02	1.272782583182611305e+01
4.700000000000000000e+02	1.548529312374007461e+01
4.710000000000000000e+02	1.861973420467543505e+01
4.720000000000000000e+02	2.184225243630937996e+01
4.730000000000000000e+02	2.491333803774470823e+01
4.740000000000000000e+02	2.764382280710833228e+01
4.750000000000000000e+02	2.987880682317361547e+01
4.760000000000000000e+02	3.150918545520431735e+01
4.770000000000000000e+02	3.247471175807423549e+01
4.780000000000000000e+02	3.275748926109189085e+01
4.790000000000000000e+02	3.236705799189225985e+01
