Wavelength(nm)	Response
2.500000000000000000e+02	4.471416691639345942e+01
2.510000000000000000e+02	8.821053904153512093e+00
2.520000000000000000e+02	3.389482290940240716e+01
2.530000000000000000e+02	4.165229233894587679e+01
2.540000000000000000e+02	1.736599329093876420e+01
2.550000000000000000e+02	1.198895039489721093e+01
2.560000000000000000e+02	3.597148832011360753e+01
2.570000000000000000e+02	2.764221081549244019e+01
2.580000000000000000e+02	8.677417903761078577e+00
2.590000000000000000e+02	1.773021688563827780e+01
2.600000000000000000e+02	3.351541349215823118e+01
2.610000000000000000e+02	2.635116705851738317e+01
2.620000000000000000e+02	9.939428983203754342e+00
2.630000000000000000e+02	1.132411070113151297e+01
2.640000000000000000e+02	2.941984173560167903e+01
2.650000000000000000e+02	3.399079336705475640e+01
2.660000000000000000e+02	2.013448099590338813e+01
2.670000000000000000e+02	6.246175922836701311e+00
2.680000000000000000e+02	1.751606864837514621e+01
2.690000000000000000e+02	3.686748011962831839e+01
2.700000000000000000e+02	3.815781839317438084e+01
2.710000000000000000e+02	1.918484248638659651e+01
2.720000000000000000e+02	5.553070000034869835e+00
2.730000000000000000e+02	2.245681087528861042e+01
2.740000000000000000e+02	4.318077119675144360e+01
2.750000000000000000e+02	4.756675997777200138e+01
2.760000000000000000e+02	3.115342787618580189e+01
2.770000000000000000e+02	7.413525163995450917e+00
2.780000000000000000e+02	1.377003190020517920e+01
2.790000000000000000e+02	3.733420211509837827e+01
2.800000000000000000e+02	5.267316932009338615e+01
2.810000000000000000e+02	5.417924766451953644e+01
2.820000000000000000e+02	3.659290230535400923e+01
2.830000000000000000e+02	7.913309134790264210e+00
2.840000000000000000e+02	1.688329397999818937e+01
2.850000000000000000e+02	4.266550292918709886e+01
2.860000000000000000e+02	5.690336360437385821e+01
2.870000000000000000e+02	5.724568548651988209e+01
2.880000000000000000e+02	3.668496921337104766e+01
2.890000000000000000e+02	6.074206925659026979e+00
2.900000000000000000e+02	2.382892250434496617e+01
2.910000000000000000e+02	4.748622647913978057e+01
2.920000000000000000e+02	5.720336915171728975e+01
2.930000000000000000e+02	5.431074288789766058e+01
2.940000000000000000e+02	3.346900191514595235e+01
2.950000000000000000e+02	5.961362022702447305e+00
2.960000000000000000e+02	2.121818613998207326e+01
2.970000000000000000e+02	4.365197029989040090e+01
2.980000000000000000e+02	5.363235327064086277e+01
2.990000000000000000e+02	5.330072554423163211e+01
3.000000000000000000e+02	4.089351818425236473e+01
3.010000000000000000e+02	1.538137260704455045e+01
3.020000000000000000e+02	8.411284778312747790e+00
3.030000000000000000e+02	2.970612537270562115e+01
3.040000000000000000e+02	4.556930056714003996e+01
3.050000000000000000e+02	5.132461733471409104e+01
3.060000000000000000e+02	4.879586867167733288e+01
3.070000000000000000e+02	3.693100511666244046e+01
3.080000000000000000e+02	1.650398981504389440e+01
3.090000000000000000e+02	7.697901021894546503e+00
3.100000000000000000e+02	2.291782955662029053e+01
3.110000000000000000e+02	3.887689088032173856e+01
3.120000000000000000e+02	4.677128427077998651e+01
3.130000000000000000e+02	4.781171167962794044e+01
3.140000000000000000e+02	4.268315393294130899e+01
3.150000000000000000e+02	3.091729159462985876e+01
3.160000000000000000e+02	1.512786987242795256e+01
3.170000000000000000e+02	8.531219293485728272e+00
3.180000000000000000e+02	1.897629696058135096e+01
3.190000000000000000e+02	3.308564801347446149e+01
3.200000000000000000e+02	4.193066816677472275e+01
3.210000000000000000e+02	4.505427352799238605e+01
3.220000000000000000e+02	4.332683809188542057e+01
3.230000000000000000e+02	3.695283095878329505e+01
3.240000000000000000e+02	2.612379044916605864e+01
3.250000000000000000e+02	1.389746139405066749e+01
3.260000000000000000e+02	8.963906734427871115e+00
3.270000000000000000e+02	1.633746034962077687e+01
3.280000000000000000e+02	2.833322672163986766e+01
3.290000000000000000e+02	3.731830870909703179e+01
3.300000000000000000e+02	4.160979392178547442e+01
3.310000000000000000e+02	4.169366379696144520e+01
3.320000000000000000e+02	3.801270035711741713e+01
3.330000000000000000e+02	3.075063937967071581e+01
3.340000000000000000e+02	2.071403296616067990e+01
3.350000000000000000e+02	1.133837083898323783e+01
3.360000000000000000e+02	9.010414526939863222e+00
3.370000000000000000e+02	1.604579819629423554e+01
3.380000000000000000e+02	2.658720461283012781e+01
3.390000000000000000e+02	3.479208513570691252e+01
3.400000000000000000e+02	3.894288915538670892e+01
3.410000000000000000e+02	3.926401855121072515e+01
3.420000000000000000e+02	3.618232141077190533e+01
3.430000000000000000e+02	2.998033651973557312e+01
3.440000000000000000e+02	2.128378175280252549e+01
3.450000000000000000e+02	1.230434619954564646e+01
3.460000000000000000e+02	7.693091979498284161e+00
3.470000000000000000e+02	1.122413133852229805e+01
3.480000000000000000e+02	2.045751519258039153e+01
3.490000000000000000e+02	2.965762572057660407e+01
3.500000000000000000e+02	3.558568322650711480e+01
3.510000000000000000e+02	3.771293518512067777e+01
3.520000000000000000e+02	3.642059451336780285e+01
3.530000000000000000e+02	3.211542675282344561e+01
3.540000000000000000e+02	2.522021000557245429e+01
3.550000000000000000e+02	1.673559088194934219e+01
3.560000000000000000e+02	9.156212627333067289e+00
3.570000000000000000e+02	6.487620175888213936e+00
3.580000000000000000e+02	1.108117275789675560e+01
3.590000000000000000e+02	2.020951593378340050e+01
3.600000000000000000e+02	2.893776874029247637e+01
3.610000000000000000e+02	3.448132148673020225e+01
3.620000000000000000e+02	3.635645648696051069e+01
3.630000000000000000e+02	3.495890915877770766e+01
3.640000000000000000e+02	3.078745180460116870e+01
3.650000000000000000e+02	2.436011722273563151e+01
3.660000000000000000e+02	1.659211216369567765e+01
3.670000000000000000e+02	9.405734215913636120e+00
3.680000000000000000e+02	5.769997326580898367e+00
3.690000000000000000e+02	7.964449773230967367e+00
3.700000000000000000e+02	1.505999732508682598e+01
3.710000000000000000e+02	2.347396820352145141e+01
3.720000000000000000e+02	3.009247551323613834e+01
3.730000000000000000e+02	3.366670611678991776e+01
3.740000000000000000e+02	3.418622599917698324e+01
3.750000000000000000e+02	3.204698600918010243e+01
3.760000000000000000e+02	2.770937301336442005e+01
3.770000000000000000e+02	2.174887997290625208e+01
3.780000000000000000e+02	1.508489542725351207e+01
3.790000000000000000e+02	9.172833504706161989e+00
3.800000000000000000e+02	5.838574959916135398e+00
3.810000000000000000e+02	6.439252536958142592e+00
3.820000000000000000e+02	1.080097523089756884e+01
3.830000000000000000e+02	1.717541221304378496e+01
3.840000000000000000e+02	2.340966179537382175e+01
3.850000000000000000e+02	2.803025797741295122e+01
3.860000000000000000e+02	3.043666885227170837e+01
3.870000000000000000e+02	3.057814145238167924e+01
3.880000000000000000e+02	2.866448999351237603e+01
3.890000000000000000e+02	2.504951153716840651e+01
3.900000000000000000e+02	2.023080382659236420e+01
3.910000000000000000e+02	1.489980962288160526e+01
3.920000000000000000e+02	9.983797670385875733e+00
3.930000000000000000e+02	6.567460399803704441e+00
3.940000000000000000e+02	5.580106998055483380e+00
3.950000000000000000e+02	7.348288941493336779e+00
3.960000000000000000e+02	1.136188165564606578e+01
3.970000000000000000e+02	1.650338811550014029e+01
3.980000000000000000e+02	2.155861211538874755e+01
3.990000000000000000e+02	2.561170713035587454e+01
4.000000000000000000e+02	2.814842985283248566e+01
4.010000000000000000e+02	2.897917756700077518e+01
4.020000000000000000e+02	2.813631885202749316e+01
4.030000000000000000e+02	2.579826051811297560e+01
4.040000000000000000e+02	2.225607979011468274e+01
4.050000000000000000e+02	1.792898420904651857e+01
4.060000000000000000e+02	1.339479588319689185e+01
