Wavelength(nm)	Response
3.500000000000000000e+02	3.320364950109821223e+01
3.510000000000000000e+02	3.969754878438187973e+01
3.520000000000000000e+02	4.254627166504225499e+01
3.530000000000000000e+02	4.206641730481322838e+01
3.540000000000000000e+02	3.851801888029918075e+01
3.550000000000000000e+02	3.205571682380855236e+01
3.560000000000000000e+02	2.325293996414784914e+01
3.570000000000000000e+02	1.428752992212352169e+01
3.580000000000000000e+02	9.732689748799121077e+00
3.590000000000000000e+02	1.327688468571647817e+01
3.600000000000000000e+02	2.255703591384001072e+01
3.610000000000000000e+02	3.199339546512958776e+01
3.620000000000000000e+02	3.839262154500542579e+01
3.630000000000000000e+02	4.121848075042410642e+01
3.640000000000000000e+02	4.085139424683259790e+01
3.650000000000000000e+02	3.766748638857860954e+01
3.660000000000000000e+02	3.191874656326210058e+01
3.670000000000000000e+02	2.408665488424288625e+01
3.680000000000000000e+02	1.560356624582970753e+01
3.690000000000000000e+02	9.535600803097915801e+00
3.700000000000000000e+02	9.439584457429262443e+00
3.710000000000000000e+02	1.570289172805314415e+01
3.720000000000000000e+02	2.463147697245321766e+01
3.730000000000000000e+02	3.233349369892162173e+01
3.740000000000000000e+02	3.713944448151467270e+01
3.750000000000000000e+02	3.893243358812117094e+01
3.760000000000000000e+02	3.805734182583719161e+01
3.770000000000000000e+02	3.486860699662369001e+01
3.780000000000000000e+02	2.971282053432223336e+01
3.790000000000000000e+02	2.311666074197746923e+01
3.800000000000000000e+02	1.610510775333925793e+01
3.810000000000000000e+02	1.044356680769175760e+01
3.820000000000000000e+02	8.234103165441959860e+00
3.830000000000000000e+02	1.055086142703147445e+01
3.840000000000000000e+02	1.633527918275839141e+01
3.850000000000000000e+02	2.317835324433448108e+01
3.860000000000000000e+02	2.901721599884780645e+01
3.870000000000000000e+02	3.283829894688449258e+01
3.880000000000000000e+02	3.441728917300338253e+01
3.890000000000000000e+02	3.390182155010630538e+01
3.900000000000000000e+02	3.156503762983111372e+01
3.910000000000000000e+02	2.772526295872334146e+01
3.920000000000000000e+02	2.278635586347068909e+01
3.930000000000000000e+02	1.735330823363913311e+01
3.940000000000000000e+02	1.232861905573381200e+01
3.950000000000000000e+02	8.848124179184837956e+00
3.960000000000000000e+02	7.923802742580923208e+00
3.970000000000000000e+02	9.895866667498141922e+00
3.980000000000000000e+02	1.414449114659244522e+01
3.990000000000000000e+02	1.940560098237017428e+01
4.000000000000000000e+02	2.439753611813681999e+01
4.010000000000000000e+02	2.823765737489030059e+01
4.020000000000000000e+02	3.050864046512480243e+01
4.030000000000000000e+02	3.112995791358917330e+01
4.040000000000000000e+02	3.020078091663104658e+01
4.050000000000000000e+02	2.791012967206114936e+01
4.060000000000000000e+02	2.452168953523259987e+01
4.070000000000000000e+02	2.039493738581144555e+01
4.080000000000000000e+02	1.601167178632792343e+01
4.090000000000000000e+02	1.198804817241386189e+01
4.100000000000000000e+02	9.022703166365435123e+00
4.110000000000000000e+02	7.734711213185175183e+00
4.120000000000000000e+02	8.436826358118056035e+00
4.130000000000000000e+02	1.097799734920922177e+01
4.140000000000000000e+02	1.478087529074606188e+01
4.150000000000000000e+02	1.906066501779750411e+01
4.160000000000000000e+02	2.307648083546647300e+01
4.170000000000000000e+02	2.628443904323675540e+01
4.180000000000000000e+02	2.837010868739895741e+01
4.190000000000000000e+02	2.920704368219184133e+01
4.200000000000000000e+02	2.879977833085989758e+01
4.210000000000000000e+02	2.724399748342411343e+01
4.220000000000000000e+02	2.470978320748936596e+01
4.230000000000000000e+02	2.144289216426821199e+01
4.240000000000000000e+02	1.777489650223177620e+01
4.250000000000000000e+02	1.412409198627085516e+01
4.260000000000000000e+02	1.096646506257847520e+01
4.270000000000000000e+02	8.768901679860631404e+00
4.280000000000000000e+02	7.893598119605218066e+00
4.290000000000000000e+02	8.498564025029390123e+00
4.300000000000000000e+02	1.048076935765906548e+01
4.310000000000000000e+02	1.349962556467285779e+01
4.320000000000000000e+02	1.707255094502492199e+01
4.330000000000000000e+02	2.069714316105845953e+01
4.340000000000000000e+02	2.394795804342005852e+01
4.350000000000000000e+02	2.652134138470362146e+01
4.360000000000000000e+02	2.822891892809979453e+01
4.370000000000000000e+02	2.897171761927729250e+01
4.380000000000000000e+02	2.872245816064739898e+01
4.390000000000000000e+02	2.752283628856264741e+01
4.400000000000000000e+02	2.548107362540308785e+01
4.410000000000000000e+02	2.276693085607710287e+01
4.420000000000000000e+02	1.960639392692952043e+01
4.430000000000000000e+02	1.628885081874210528e+01
4.440000000000000000e+02	1.316570258599792709e+01
4.450000000000000000e+02	1.062292234416289638e+01
4.460000000000000000e+02	9.007200876264285228e+00
4.470000000000000000e+02	8.545912126078642146e+00
4.480000000000000000e+02	9.296883794661228606e+00
4.490000000000000000e+02	1.114949666337581391e+01
4.500000000000000000e+02	1.385406533035724053e+01
4.510000000000000000e+02	1.706554192065049591e+01
4.520000000000000000e+02	2.041134875524081238e+01
4.530000000000000000e+02	2.355748676177822531e+01
4.540000000000000000e+02	2.624913156134168091e+01
4.550000000000000000e+02	2.831360836517461266e+01
4.560000000000000000e+02	2.964207565036569392e+01
4.570000000000000000e+02	3.017517431916076731e+01
4.580000000000000000e+02	2.989528941127785799e+01
4.590000000000000000e+02	2.882482322569934396e+01
4.600000000000000000e+02	2.702753912602017294e+01
4.610000000000000000e+02	2.461416461435157643e+01
4.620000000000000000e+02	2.175089285197145017e+01
4.630000000000000000e+02	1.866428359487651534e+01
4.640000000000000000e+02	1.563289538001336609e+01
4.650000000000000000e+02	1.296540696634563083e+01
4.660000000000000000e+02	1.096793751035937348e+01
4.670000000000000000e+02	9.895727239535826669e+00
4.680000000000000000e+02	9.898245482015521901e+00
4.690000000000000000e+02	1.097052523987029460e+01
4.700000000000000000e+02	1.295455988390667557e+01
4.710000000000000000e+02	1.559355935593206155e+01
4.720000000000000000e+02	1.860482598101513219e+01
4.730000000000000000e+02	2.171945072310478864e+01
4.740000000000000000e+02	2.470172677755721935e+01
4.750000000000000000e+02	2.734444618459123433e+01
4.760000000000000000e+02	2.948796234858618703e+01
4.770000000000000000e+02	3.102936634797439552e+01
4.780000000000000000e+02	3.191857515771150844e+01
4.790000000000000000e+02	3.214438187989668450e+01
4.800000000000000000e+02	3.171110684186842121e+01
4.810000000000000000e+02	3.063429123089420614e+01
4.820000000000000000e+02	2.895066815150025619e+01
