Wavelength(nm)	n	k
1.500000e+02	2.564563	1.291411
1.510000e+02	2.594081	1.285097
1.520000e+02	2.624919	1.278168
1.530000e+02	2.657312	1.270538
1.540000e+02	2.691565	1.262098
1.550000e+02	2.728091	1.252702
1.560000e+02	2.767461	1.242150
1.570000e+02	2.810504	1.230155
1.580000e+02	2.858487	1.216283
1.590000e+02	2.913507	1.199829
1.600000e+02	2.979426	1.179516
1.610000e+02	3.064704	1.152615
1.620000e+02	3.195243	1.111066
1.630000e+02	3.708098	0.962047
1.640000e+02	3.106830	0.545181
1.650000e+02	2.989632	0.564256
1.660000e+02	2.927000	0.573756
1.670000e+02	2.886609	0.578937
1.680000e+02	2.858400	0.581525
1.690000e+02	2.837895	0.582320
1.700000e+02	2.822700	0.581758
1.710000e+02	2.811388	0.580104
1.720000e+02	2.803033	0.577533
1.730000e+02	2.797007	0.574159
1.740000e+02	2.792858	0.570067
1.750000e+02	2.790255	0.565313
1.760000e+02	2.788945	0.559939
1.770000e+02	2.788732	0.553975
1.780000e+02	2.789462	0.547439
1.790000e+02	2.791008	0.540343
1.800000e+02	2.793269	0.532692
1.810000e+02	2.796160	0.524485
1.820000e+02	2.799610	0.515716
1.830000e+02	2.803560	0.506373
1.840000e+02	2.807959	0.496440
1.850000e+02	2.812763	0.485895
1.860000e+02	2.817934	0.474709
1.870000e+02	2.823439	0.462847
1.880000e+02	2.829250	0.450266
1.890000e+02	2.835341	0.436914
1.900000e+02	2.841689	0.422727
1.910000e+02	2.848275	0.407626
1.920000e+02	2.855081	0.391511
1.930000e+02	2.862090	0.374261
1.940000e+02	2.869289	0.355716
1.950000e+02	2.876664	0.335667
1.960000e+02	2.884203	0.313834
1.970000e+02	2.891896	0.289817
1.980000e+02	2.899733	0.263020
1.990000e+02	2.907703	0.232482
2.000000e+02	2.915797	0.196438
2.010000e+02	2.923998	0.150818
2.020000e+02	2.928640	0.068718
2.030000e+02	2.847969	0.000000
2.040000e+02	2.789328	0.000000
2.050000e+02	2.751619	0.000000
2.060000e+02	2.722157	0.000000
2.070000e+02	2.697501	0.000000
2.080000e+02	2.676092	0.000000
2.090000e+02	2.657067	0.000000
2.100000e+02	2.639886	0.000000
2.110000e+02	2.624188	0.000000
2.120000e+02	2.609713	0.000000
2.130000e+02	2.596270	0.000000
2.140000e+02	2.583714	0.000000
2.150000e+02	2.571928	0.000000
2.160000e+02	2.560820	0.000000
2.170000e+02	2.550315	0.000000
2.180000e+02	2.540350	0.000000
2.190000e+02	2.530872	0.000000
2.200000e+02	2.521835	0.000000
2.210000e+02	2.513203	0.000000
2.220000e+02	2.504940	0.000000
2.230000e+02	2.497019	0.000000
2.240000e+02	2.489413	0.000000
2.250000e+02	2.482099	0.000000
2.260000e+02	2.475058	0.000000
2.270000e+02	2.468271	0.000000
2.280000e+02	2.461723	0.000000
2.290000e+02	2.455397	0.000000
2.300000e+02	2.449282	0.000000
2.310000e+02	2.443365	0.000000
2.320000e+02	2.437634	0.000000
2.330000e+02	2.432081	0.000000
2.340000e+02	2.426694	0.000000
2.350000e+02	2.421467	0.000000
2.360000e+02	2.416390	0.000000
2.370000e+02	2.411458	0.000000
2.380000e+02	2.406662	0.000000
2.390000e+02	2.401996	0.000000
2.400000e+02	2.397456	0.000000
2.410000e+02	2.393034	0.000000
2.420000e+02	2.388726	0.000000
2.430000e+02	2.384528	0.000000
2.440000e+02	2.380434	0.000000
2.450000e+02	2.376441	0.000000
2.460000e+02	2.372544	0.000000
2.470000e+02	2.368740	0.000000
2.480000e+02	2.365025	0.000000
2.490000e+02	2.361396	0.000000
2.500000e+02	2.357850	0.000000
2.510000e+02	2.354383	0.000000
2.520000e+02	2.350993	0.000000
2.530000e+02	2.347677	0.000000
2.540000e+02	2.344433	0.000000
2.550000e+02	2.341258	0.000000
2.560000e+02	2.338149	0.000000
2.570000e+02	2.335106	0.000000
2.580000e+02	2.332125	0.000000
2.590000e+02	2.329204	0.000000
2.600000e+02	2.326342	0.000000
2.610000e+02	2.323537	0.000000
2.620000e+02	2.320787	0.000000
2.630000e+02	2.318090	0.000000
2.640000e+02	2.315445	0.000000
2.650000e+02	2.312850	0.000000
2.660000e+02	2.310305	0.000000
2.670000e+02	2.307806	0.000000
2.680000e+02	2.305354	0.000000
2.690000e+02	2.302946	0.000000
2.700000e+02	2.300582	0.000000
2.710000e+02	2.298260	0.000000
2.720000e+02	2.295979	0.000000
2.730000e+02	2.293739	0.000000
2.740000e+02	2.291537	0.000000
2.750000e+02	2.289374	0.000000
2.760000e+02	2.287247	0.000000
2.770000e+02	2.285157	0.000000
2.780000e+02	2.283101	0.000000
2.790000e+02	2.281080	0.000000
