Wavelength	Reflectance
6.200000e+00	0.000112
6.196902e+00	0.000112
6.193806e+00	0.000112
6.190714e+00	0.000111
6.187625e+00	0.000111
6.184539e+00	0.000111
6.181456e+00	0.000111
6.178376e+00	0.000110
6.175299e+00	0.000110
6.172225e+00	0.000109
6.169154e+00	0.000108
6.166087e+00	0.000104
6.163022e+00	0.000099
6.159960e+00	0.000093
6.156902e+00	0.000088
6.153846e+00	0.000081
6.150794e+00	0.000074
6.147744e+00	0.000067
6.144698e+00	0.000059
6.141654e+00	0.000051
6.138614e+00	0.000043
6.135576e+00	0.000034
6.132542e+00	0.000025
6.129511e+00	0.000015
6.126482e+00	0.000006
6.123457e+00	-0.000004
6.120434e+00	-0.000015
6.117415e+00	-0.000028
6.114398e+00	-0.000043
6.111385e+00	-0.000060
6.108374e+00	-0.000080
6.105367e+00	-0.000102
6.102362e+00	-0.000129
6.099361e+00	-0.000160
6.096362e+00	-0.000196
6.093366e+00	-0.000238
6.090373e+00	-0.000282
6.087383e+00	-0.000329
6.084396e+00	-0.000379
6.081412e+00	-0.000431
6.078431e+00	-0.000485
6.075453e+00	-0.000540
6.072478e+00	-0.000595
6.069506e+00	-0.000651
6.066536e+00	-0.000705
6.063570e+00	-0.000758
6.060606e+00	-0.000811
6.057645e+00	-0.000856
6.054688e+00	-0.000894
6.051733e+00	-0.000924
6.048780e+00	-0.000943
6.045831e+00	-0.000951
6.042885e+00	-0.000943
6.039942e+00	-0.000916
6.037001e+00	-0.000863
6.034063e+00	-0.000776
6.031128e+00	-0.000643
6.028196e+00	-0.000484
6.025267e+00	-0.000295
6.022341e+00	-0.000067
6.019417e+00	0.000206
6.016497e+00	0.000534
6.013579e+00	0.000929
6.010664e+00	0.001402
6.007752e+00	0.001968
6.004843e+00	0.002639
6.001936e+00	0.003407
5.999032e+00	0.004291
5.996132e+00	0.005299
5.993233e+00	0.006432
5.990338e+00	0.007679
5.987446e+00	0.009001
5.984556e+00	0.010320
5.981669e+00	0.011493
5.978785e+00	0.012291
5.975904e+00	0.012396
5.973025e+00	0.011457
5.970149e+00	0.009335
5.967276e+00	0.006218
5.964406e+00	0.002582
5.961538e+00	-0.001018
5.958674e+00	-0.004166
5.955812e+00	-0.006671
5.952952e+00	-0.008522
5.950096e+00	-0.009807
5.947242e+00	-0.010643
5.944391e+00	-0.011135
5.941543e+00	-0.011440
5.938697e+00	-0.011598
5.935854e+00	-0.011642
5.933014e+00	-0.011601
5.930177e+00	-0.011494
5.927342e+00	-0.011340
5.924510e+00	-0.011152
5.921681e+00	-0.010940
5.918854e+00	-0.010712
5.916031e+00	-0.010474
5.913209e+00	-0.010230
5.910391e+00	-0.009984
5.907575e+00	-0.009738
5.904762e+00	-0.009495
5.901951e+00	-0.009256
5.899144e+00	-0.009023
5.896339e+00	-0.008795
5.893536e+00	-0.008574
5.890736e+00	-0.008360
5.887939e+00	-0.008153
5.885145e+00	-0.007950
5.882353e+00	-0.007750
5.879564e+00	-0.007553
5.876777e+00	-0.007360
5.873993e+00	-0.007170
5.871212e+00	-0.006985
5.868434e+00	-0.006804
5.865658e+00	-0.006627
5.862884e+00	-0.006454
5.860113e+00	-0.006285
5.857345e+00	-0.006120
5.854580e+00	-0.005959
5.851817e+00	-0.005803
5.849057e+00	-0.005650
5.846299e+00	-0.005501
5.843544e+00	-0.005356
5.840791e+00	-0.005215
5.838041e+00	-0.005077
5.835294e+00	-0.004944
5.832549e+00	-0.004813
5.829807e+00	-0.004687
5.827068e+00	-0.004563
5.824331e+00	-0.004443
5.821596e+00	-0.004327
5.818864e+00	-0.004213
5.816135e+00	-0.004103
5.813408e+00	-0.003996
5.810684e+00	-0.003891
5.807963e+00	-0.003790
5.805243e+00	-0.003691
5.802527e+00	-0.003595
5.799813e+00	-0.003502
5.797101e+00	-0.003411
5.794393e+00	-0.003322
5.791686e+00	-0.003236
5.788982e+00	-0.003153
5.786281e+00	-0.003071
5.783582e+00	-0.002992
5.780886e+00	-0.002915
5.778192e+00	-0.002839
5.775501e+00	-0.002766
5.772812e+00	-0.002695
5.770126e+00	-0.002625
5.767442e+00	-0.002558
5.764761e+00	-0.002492
5.762082e+00	-0.002427
5.759405e+00	-0.002365
5.756732e+00	-0.002304
5.754060e+00	-0.002244
5.751391e+00	-0.002186
5.748725e+00	-0.002129
5.746061e+00	-0.002074
5.743400e+00	-0.002019
5.740741e+00	-0.001967
5.738084e+00	-0.001915
5.735430e+00	-0.001865
5.732779e+00	-0.001815
5.730129e+00	-0.001767
5.727483e+00	-0.001720
5.724838e+00	-0.001674
5.722197e+00	-0.001629
5.719557e+00	-0.001585
5.716920e+00	-0.001542
5.714286e+00	-0.001500
5.711654e+00	-0.001458
5.709024e+00	-0.001418
5.706397e+00	-0.001378
5.703772e+00	-0.001339
5.701149e+00	-0.001301
5.698529e+00	-0.001264
5.695912e+00	-0.001227
5.693297e+00	-0.001191
5.690684e+00	-0.001155
5.688073e+00	-0.001121
5.685465e+00	-0.001087
5.682860e+00	-0.001053
5.680257e+00	-0.001020
5.677656e+00	-0.000988
5.675057e+00	-0.000956
5.672461e+00	-0.000924
5.669867e+00	-0.000893
5.667276e+00	-0.000863
5.664687e+00	-0.000833
5.662100e+00	-0.000803
5.659516e+00	-0.000779
5.656934e+00	-0.000756
5.654355e+00	-0.000732
5.651778e+00	-0.000709
5.649203e+00	-0.000687
5.646630e+00	-0.000664
5.644060e+00	-0.000642
5.641492e+00	-0.000620
5.638927e+00	-0.000598
5.636364e+00	-0.000577
