Energy	Dialectric_function
-2.000000e+01	0.003947
-1.995996e+01	0.003959
-1.991992e+01	0.003970
-1.987988e+01	0.003982
-1.983984e+01	0.003994
-1.979980e+01	0.004007
-1.975976e+01	0.004019
-1.971972e+01	0.004031
-1.967968e+01	0.004043
-1.963964e+01	0.004056
-1.959960e+01	0.004068
-1.955956e+01	0.004080
-1.951952e+01	0.004093
-1.947948e+01	0.004106
-1.943944e+01	0.004118
-1.939940e+01	0.004131
-1.935936e+01	0.004144
-1.931932e+01	0.004157
-1.927928e+01	0.004170
-1.923924e+01	0.004183
-1.919920e+01	0.004196
-1.915916e+01	0.004209
-1.911912e+01	0.004222
-1.907908e+01	0.004235
-1.903904e+01	0.004249
-1.899900e+01	0.004262
-1.895896e+01	0.004275
-1.891892e+01	0.004289
-1.887888e+01	0.004303
-1.883884e+01	0.004316
-1.879880e+01	0.004330
-1.875876e+01	0.004344
-1.871872e+01	0.004358
-1.867868e+01	0.004372
-1.863864e+01	0.004386
-1.859860e+01	0.004400
-1.855856e+01	0.004414
-1.851852e+01	0.004428
-1.847848e+01	0.004443
-1.843844e+01	0.004457
-1.839840e+01	0.004472
-1.835836e+01	0.004486
-1.831832e+01	0.004501
-1.827828e+01	0.004516
-1.823824e+01	0.004531
-1.819820e+01	0.004546
-1.815816e+01	0.004561
-1.811812e+01	0.004576
-1.807808e+01	0.004591
-1.803804e+01	0.004606
-1.799800e+01	0.004621
-1.795796e+01	0.004637
-1.791792e+01	0.004652
-1.787788e+01	0.004668
-1.783784e+01	0.004684
-1.779780e+01	0.004699
-1.775776e+01	0.004715
-1.771772e+01	0.004731
-1.767768e+01	0.004747
-1.763764e+01	0.004763
-1.759760e+01	0.004780
-1.755756e+01	0.004796
-1.751752e+01	0.004812
-1.747748e+01	0.004829
-1.743744e+01	0.004846
-1.739740e+01	0.004862
-1.735736e+01	0.004879
-1.731732e+01	0.004896
-1.727728e+01	0.004913
-1.723724e+01	0.004930
-1.719720e+01	0.004947
-1.715716e+01	0.004964
-1.711712e+01	0.004982
-1.707708e+01	0.004999
-1.703704e+01	0.005017
-1.699700e+01	0.005035
-1.695696e+01	0.005052
-1.691692e+01	0.005070
-1.687688e+01	0.005088
-1.683684e+01	0.005106
-1.679680e+01	0.005125
-1.675676e+01	0.005143
-1.671672e+01	0.005161
-1.667668e+01	0.005180
-1.663664e+01	0.005198
-1.659660e+01	0.005217
-1.655656e+01	0.005236
-1.651652e+01	0.005255
-1.647648e+01	0.005274
-1.643644e+01	0.005293
-1.639640e+01	0.005313
-1.635636e+01	0.005332
-1.631632e+01	0.005352
-1.627628e+01	0.005372
-1.623624e+01	0.005391
-1.619620e+01	0.005411
-1.615616e+01	0.005431
-1.611612e+01	0.005452
-1.607608e+01	0.005472
-1.603604e+01	0.005492
-1.599600e+01	0.005513
-1.595596e+01	0.005534
-1.591592e+01	0.005554
-1.587588e+01	0.005575
-1.583584e+01	0.005596
-1.579580e+01	0.005618
-1.575576e+01	0.005639
-1.571572e+01	0.005661
-1.567568e+01	0.005682
-1.563564e+01	0.005704
-1.559560e+01	0.005726
-1.555556e+01	0.005748
-1.551552e+01	0.005770
-1.547548e+01	0.005792
-1.543544e+01	0.005815
-1.539540e+01	0.005837
-1.535536e+01	0.005860
-1.531532e+01	0.005883
-1.527528e+01	0.005906
-1.523524e+01	0.005929
-1.519520e+01	0.005953
-1.515516e+01	0.005976
-1.511512e+01	0.006000
-1.507508e+01	0.006024
-1.503504e+01	0.006048
-1.499499e+01	0.006072
-1.495495e+01	0.006096
-1.491491e+01	0.006121
-1.487487e+01	0.006145
-1.483483e+01	0.006170
-1.479479e+01	0.006195
-1.475475e+01	0.006220
-1.471471e+01	0.006246
-1.467467e+01	0.006271
-1.463463e+01	0.006297
-1.459459e+01	0.006323
-1.455455e+01	0.006349
-1.451451e+01	0.006375
-1.447447e+01	0.006401
-1.443443e+01	0.006428
-1.439439e+01	0.006454
-1.435435e+01	0.006481
-1.431431e+01	0.006508
-1.427427e+01	0.006536
-1.423423e+01	0.006563
-1.419419e+01	0.006591
-1.415415e+01	0.006619
-1.411411e+01	0.006647
-1.407407e+01	0.006675
-1.403403e+01	0.006704
-1.399399e+01	0.006732
-1.395395e+01	0.006761
-1.391391e+01	0.006790
-1.387387e+01	0.006819
-1.383383e+01	0.006849
-1.379379e+01	0.006879
-1.375375e+01	0.006909
-1.371371e+01	0.006939
-1.367367e+01	0.006969
-1.363363e+01	0.007000
-1.359359e+01	0.007031
-1.355355e+01	0.007062
-1.351351e+01	0.007093
-1.347347e+01	0.007124
-1.343343e+01	0.007156
-1.339339e+01	0.007188
-1.335335e+01	0.007220
-1.331331e+01	0.007253
-1.327327e+01	0.007285
-1.323323e+01	0.007318
-1.319319e+01	0.007351
-1.315315e+01	0.007385
-1.311311e+01	0.007419
-1.307307e+01	0.007453
-1.303303e+01	0.007487
-1.299299e+01	0.007521
-1.295295e+01	0.007556
-1.291291e+01	0.007591
-1.287287e+01	0.007626
-1.283283e+01	0.007662
-1.279279e+01	0.007698
-1.275275e+01	0.007734
-1.271271e+01	0.007770
-1.267267e+01	0.007807
-1.263263e+01	0.007844
-1.259259e+01	0.007881
-1.255255e+01	0.007918
-1.251251e+01	0.007956
-1.247247e+01	0.007994
-1.243243e+01	0.008033
-1.239239e+01	0.008072
