Wavelength	Reflectance
1.500000e+02	33.781424
1.503338e+02	33.799190
1.506676e+02	33.821468
1.510013e+02	33.848228
1.513351e+02	33.870665
1.516689e+02	33.899974
1.520027e+02	33.962718
1.523364e+02	34.042297
1.526702e+02	34.113815
1.530040e+02	34.187266
1.533378e+02	34.284867
1.536716e+02	34.407684
1.540053e+02	34.535751
1.543391e+02	34.674606
1.546729e+02	34.820081
1.550067e+02	34.941193
1.553405e+02	35.018525
1.556742e+02	35.070910
1.560080e+02	35.123300
1.563418e+02	35.176660
1.566756e+02	35.226537
1.570093e+02	35.285877
1.573431e+02	35.395716
1.576769e+02	35.521022
1.580107e+02	35.553071
1.583445e+02	35.485236
1.586782e+02	35.387392
1.590120e+02	35.271072
1.593458e+02	35.131459
1.596796e+02	34.961907
1.600134e+02	34.768492
1.603471e+02	34.546778
1.606809e+02	34.300577
1.610147e+02	34.022936
1.613485e+02	33.738400
1.616822e+02	33.481150
1.620160e+02	33.252719
1.623498e+02	33.062829
1.626836e+02	32.882873
1.630174e+02	32.664082
1.633511e+02	32.314271
1.636849e+02	31.899676
1.640187e+02	31.580351
1.643525e+02	31.397014
1.646862e+02	31.246667
1.650200e+02	31.047308
1.653538e+02	30.644190
1.656876e+02	30.148090
1.660214e+02	29.836311
1.663551e+02	29.725374
1.666889e+02	29.649530
1.670227e+02	29.550718
1.673565e+02	29.370525
1.676903e+02	29.136506
1.680240e+02	28.912682
1.683578e+02	28.714387
1.686916e+02	28.522180
1.690254e+02	28.335133
1.693591e+02	28.143314
1.696929e+02	27.952836
1.700267e+02	27.781722
1.703605e+02	27.634235
1.706943e+02	27.499863
1.710280e+02	27.368141
1.713618e+02	27.190280
1.716956e+02	26.992048
1.720294e+02	26.853647
1.723632e+02	26.785363
1.726969e+02	26.733346
1.730307e+02	26.663800
1.733645e+02	26.539532
1.736983e+02	26.388914
1.740320e+02	26.272545
1.743658e+02	26.197868
1.746996e+02	26.129141
1.750334e+02	26.045793
1.753672e+02	25.928261
1.757009e+02	25.781485
1.760347e+02	25.619005
1.763685e+02	25.403686
1.767023e+02	25.180255
1.770360e+02	25.052053
1.773698e+02	24.990644
1.777036e+02	24.930247
1.780374e+02	24.861957
1.783712e+02	24.703709
1.787049e+02	24.493513
1.790387e+02	24.340323
1.793725e+02	24.238170
1.797063e+02	24.150551
1.800401e+02	24.086519
1.803738e+02	24.038140
1.807076e+02	23.994542
1.810414e+02	23.954953
1.813752e+02	23.939400
1.817089e+02	23.938990
1.820427e+02	23.929962
1.823765e+02	23.906291
1.827103e+02	23.876991
1.830441e+02	23.849986
1.833778e+02	23.804484
1.837116e+02	23.766471
1.840454e+02	23.774707
1.843792e+02	23.811427
1.847130e+02	23.849926
1.850467e+02	23.885574
1.853805e+02	23.905295
1.857143e+02	23.908413
1.860481e+02	23.906535
1.863818e+02	23.897922
1.867156e+02	23.888887
1.870494e+02	23.894978
1.873832e+02	23.912843
1.877170e+02	23.934705
1.880507e+02	23.956010
1.883845e+02	23.971991
1.887183e+02	23.985787
1.890521e+02	24.000992
1.893858e+02	24.016566
1.897196e+02	24.030618
1.900534e+02	24.042276
1.903872e+02	24.055358
1.907210e+02	24.070736
1.910547e+02	24.086101
1.913885e+02	24.122392
1.917223e+02	24.177732
1.920561e+02	24.231854
1.923899e+02	24.285091
1.927236e+02	24.339589
1.930574e+02	24.388580
1.933912e+02	24.431231
1.937250e+02	24.475665
1.940587e+02	24.530456
1.943925e+02	24.598607
1.947263e+02	24.676780
1.950601e+02	24.761834
1.953939e+02	24.855044
1.957276e+02	24.955804
1.960614e+02	25.061795
1.963952e+02	25.179733
1.967290e+02	25.310054
1.970628e+02	25.448299
1.973965e+02	25.615146
1.977303e+02	25.821698
1.980641e+02	26.047272
1.983979e+02	26.296180
1.987316e+02	26.531474
1.990654e+02	26.683226
1.993992e+02	26.718786
1.997330e+02	26.706062
2.000668e+02	26.826663
2.004005e+02	28.011790
2.007343e+02	33.104655
2.010681e+02	42.115412
2.014019e+02	54.020294
2.017356e+02	63.200003
2.020694e+02	64.142536
2.024032e+02	62.347550
2.027370e+02	60.340825
2.030708e+02	57.224768
2.034045e+02	54.277008
2.037383e+02	50.760058
2.040721e+02	44.661771
2.044059e+02	38.017400
2.047397e+02	32.080645
2.050734e+02	25.974763
2.054072e+02	19.958804
2.057410e+02	15.666844
2.060748e+02	13.723798
2.064085e+02	13.314711
2.067423e+02	13.849820
2.070761e+02	15.218011
2.074099e+02	17.329559
2.077437e+02	19.985916
2.080774e+02	23.031577
2.084112e+02	26.312922
2.087450e+02	29.694689
2.090788e+02	33.075064
2.094126e+02	36.380414
2.097463e+02	39.560466
2.100801e+02	42.583082
2.104139e+02	45.430480
2.107477e+02	48.094325
2.110814e+02	50.573182
2.114152e+02	52.870719
2.117490e+02	54.993487
2.120828e+02	56.949341
2.124166e+02	58.747522
2.127503e+02	60.397714
2.130841e+02	61.909268
2.134179e+02	63.291614
2.137517e+02	64.553617
2.140854e+02	65.703792
2.144192e+02	66.750136
2.147530e+02	67.699583
2.150868e+02	68.558774
2.154206e+02	69.333915
2.157543e+02	70.030623
2.160881e+02	70.653684
2.164219e+02	71.207618
2.167557e+02	71.696438
2.170895e+02	72.123591
2.174232e+02	72.492259
2.177570e+02	72.805205
2.180908e+02	73.064813
2.184246e+02	73.273124
2.187583e+02	73.431613
2.190921e+02	73.541789
2.194259e+02	73.604824
2.197597e+02	73.621502
2.200935e+02	73.592296
2.204272e+02	73.517521
2.207610e+02	73.397265
2.210948e+02	73.231328
2.214286e+02	73.019309
2.217623e+02	72.760525
2.220961e+02	72.454181
2.224299e+02	72.099206
2.227637e+02	71.694194
2.230975e+02	71.237663
2.234312e+02	70.727850
2.237650e+02	70.162906
2.240988e+02	69.540786
2.244326e+02	68.859123
2.247664e+02	68.115634
2.251001e+02	67.307745
2.254339e+02	66.432510
2.257677e+02	65.487141
2.261015e+02	64.468748
2.264352e+02	63.374266
2.267690e+02	62.200788
2.271028e+02	60.945403
2.274366e+02	59.604916
2.277704e+02	58.176948
2.281041e+02	56.659369
2.284379e+02	55.049970
2.287717e+02	53.347352
2.291055e+02	51.550920
2.294393e+02	49.661218
2.297730e+02	47.679542
2.301068e+02	45.608570
2.304406e+02	43.453337
2.307744e+02	41.220680
2.311081e+02	38.920201
2.314419e+02	36.563522
2.317757e+02	34.165846
2.321095e+02	31.746263
2.324433e+02	29.327585
2.327770e+02	26.935767
2.331108e+02	24.600993
2.334446e+02	22.355061
2.337784e+02	20.233908
2.341121e+02	18.273205
2.344459e+02	16.508014
2.347797e+02	14.973134
2.351135e+02	13.697829
2.354473e+02	12.706498
2.357810e+02	12.017038
2.361148e+02	11.637804
2.364486e+02	11.571224
2.367824e+02	11.809201
2.371162e+02	12.337127
2.374499e+02	13.134230
2.377837e+02	14.174317
2.381175e+02	15.429090
2.384513e+02	16.864395
2.387850e+02	18.452689
2.391188e+02	20.161428
2.394526e+02	21.963322
2.397864e+02	23.830749
2.401202e+02	25.740848
2.404539e+02	27.673830
2.407877e+02	29.610940
2.411215e+02	31.537858
2.414553e+02	33.442329
2.417891e+02	35.314059
2.421228e+02	37.144797
2.424566e+02	38.928397
2.427904e+02	40.660614
2.431242e+02	42.337146
2.434579e+02	43.955952
2.437917e+02	45.515845
2.441255e+02	47.015365
2.444593e+02	48.455146
2.447931e+02	49.834518
2.451268e+02	51.155409
2.454606e+02	52.418056
2.457944e+02	53.624553
2.461282e+02	54.775473
2.464619e+02	55.872992
2.467957e+02	56.918584
2.471295e+02	57.914173
2.474633e+02	58.861812
2.477971e+02	59.763299
2.481308e+02	60.620208
2.484646e+02	61.434450
2.487984e+02	62.208259
2.491322e+02	62.943011
2.494660e+02	63.640216
2.497997e+02	64.302020
2.501335e+02	64.929943
2.504673e+02	65.525403
2.508011e+02	66.089897
2.511348e+02	66.624925
2.514686e+02	67.131856
2.518024e+02	67.611907
2.521362e+02	68.066312
2.524700e+02	68.496220
2.528037e+02	68.902828
2.531375e+02	69.287147
2.534713e+02	69.650219
2.538051e+02	69.992919
2.541389e+02	70.316044
2.544726e+02	70.620720
2.548064e+02	70.907657
2.551402e+02	71.177474
2.554740e+02	71.430854
2.558077e+02	71.668413
2.561415e+02	71.890782
2.564753e+02	72.098533
2.568091e+02	72.292133
2.571429e+02	72.472049
2.574766e+02	72.638781
2.578104e+02	72.792689
2.581442e+02	72.934103
2.584780e+02	73.063286
2.588117e+02	73.180487
2.591455e+02	73.286037
2.594793e+02	73.380194
2.598131e+02	73.462923
2.601469e+02	73.534433
2.604806e+02	73.594979
2.608144e+02	73.644469
2.611482e+02	73.682694
2.614820e+02	73.709877
2.618158e+02	73.726115
2.621495e+02	73.731134
2.624833e+02	73.724844
2.628171e+02	73.706922
2.631509e+02	73.677293
2.634846e+02	73.636031
2.638184e+02	73.582762
2.641522e+02	73.517037
2.644860e+02	73.438665
2.648198e+02	73.347368
2.651535e+02	73.242813
2.654873e+02	73.124596
2.658211e+02	72.992496
2.661549e+02	72.846085
2.664887e+02	72.684943
2.668224e+02	72.508654
2.671562e+02	72.316916
2.674900e+02	72.109245
2.678238e+02	71.885181
2.681575e+02	71.644409
2.684913e+02	71.386493
2.688251e+02	71.111071
2.691589e+02	70.817643
2.694927e+02	70.505946
2.698264e+02	70.175447
2.701602e+02	69.825915
2.704940e+02	69.456849
2.708278e+02	69.068065
2.711615e+02	68.659140
2.714953e+02	68.229895
2.718291e+02	67.779927
2.721629e+02	67.308862
2.724967e+02	66.816734
2.728304e+02	66.303626
2.731642e+02	65.769037
2.734980e+02	65.212473
2.738318e+02	64.634331
2.741656e+02	64.034502
2.744993e+02	63.413197
2.748331e+02	62.770304
2.751669e+02	62.105648
2.755007e+02	61.419209
2.758344e+02	60.712006
2.761682e+02	59.983991
2.765020e+02	59.235239
2.768358e+02	58.465973
2.771696e+02	57.676703
2.775033e+02	56.867807
2.778371e+02	56.040014
2.781709e+02	55.193511
2.785047e+02	54.328619
2.788385e+02	53.445965
2.791722e+02	52.546251
2.795060e+02	51.629591
2.798398e+02	50.696340
2.801736e+02	49.746836
2.805073e+02	48.781808
2.808411e+02	47.800820
2.811749e+02	46.804481
2.815087e+02	45.792390
2.818425e+02	44.765350
2.821762e+02	43.723151
2.825100e+02	42.667082
2.828438e+02	41.595396
2.831776e+02	40.509482
2.835113e+02	39.409422
2.838451e+02	38.297284
2.841789e+02	37.172539
2.845127e+02	36.038240
2.848465e+02	34.893935
2.851802e+02	33.744135
2.855140e+02	32.587552
2.858478e+02	31.433221
2.861816e+02	30.276694
2.865154e+02	29.128572
2.868491e+02	27.994631
2.871829e+02	26.868441
2.875167e+02	25.765064
2.878505e+02	24.681804
2.881842e+02	23.629603
2.885180e+02	22.607768
2.888518e+02	21.624752
2.891856e+02	20.680805
2.895194e+02	19.783811
2.898531e+02	18.933724
2.901869e+02	18.136589
2.905207e+02	17.391885
2.908545e+02	16.703518
2.911883e+02	16.070887
2.915220e+02	15.498046
2.918558e+02	14.983044
2.921896e+02	14.527188
2.925234e+02	14.128461
2.928571e+02	13.787880
2.931909e+02	13.502729
2.935247e+02	13.272651
2.938585e+02	13.094811
2.941923e+02	12.968336
2.945260e+02	12.890317
2.948598e+02	12.859887
2.951936e+02	12.873958
2.955274e+02	12.930207
2.958611e+02	13.025953
2.961949e+02	13.159979
2.965287e+02	13.329600
2.968625e+02	13.532497
2.971963e+02	13.766315
2.975300e+02	14.029103
2.978638e+02	14.318732
2.981976e+02	14.633468
2.985314e+02	14.971411
2.988652e+02	15.330691
2.991989e+02	15.709631
2.995327e+02	16.106423
2.998665e+02	16.519538
3.002003e+02	16.947517
3.005340e+02	17.389051
3.008678e+02	17.842705
3.012016e+02	18.307309
3.015354e+02	18.781530
3.018692e+02	19.264264
3.022029e+02	19.754418
3.025367e+02	20.250959
3.028705e+02	20.753076
3.032043e+02	21.260044
3.035381e+02	21.770963
3.038718e+02	22.284671
3.042056e+02	22.800944
3.045394e+02	23.318895
3.048732e+02	23.837750
3.052069e+02	24.357301
3.055407e+02	24.876756
3.058745e+02	25.395745
3.062083e+02	25.913689
3.065421e+02	26.430207
3.068758e+02	26.944825
3.072096e+02	27.457290
3.075434e+02	27.967221
3.078772e+02	28.474340
3.082109e+02	28.978312
3.085447e+02	29.478868
3.088785e+02	29.975606
3.092123e+02	30.468490
3.095461e+02	30.957464
3.098798e+02	31.441884
3.102136e+02	31.921763
3.105474e+02	32.397225
3.108812e+02	32.867700
3.112150e+02	33.333281
3.115487e+02	33.793759
3.118825e+02	34.249153
3.122163e+02	34.699202
3.125501e+02	35.143909
3.128838e+02	35.583161
3.132176e+02	36.016953
3.135514e+02	36.445183
3.138852e+02	36.867785
3.142190e+02	37.284748
3.145527e+02	37.696037
3.148865e+02	38.101634
3.152203e+02	38.501394
3.155541e+02	38.895387
3.158879e+02	39.283559
3.162216e+02	39.665957
3.165554e+02	40.042592
3.168892e+02	40.413521
3.172230e+02	40.778664
3.175567e+02	41.138051
3.178905e+02	41.491686
3.182243e+02	41.839563
3.185581e+02	42.181757
3.188919e+02	42.518306
3.192256e+02	42.849251
3.195594e+02	43.174555
3.198932e+02	43.494283
3.202270e+02	43.808485
3.205607e+02	44.117240
3.208945e+02	44.420537
3.212283e+02	44.718405
3.215621e+02	45.010942
3.218959e+02	45.298232
3.222296e+02	45.580298
3.225634e+02	45.857147
3.228972e+02	46.128851
3.232310e+02	46.395479
3.235648e+02	46.657106
3.238985e+02	46.913750
3.242323e+02	47.165457
3.245661e+02	47.412319
3.248999e+02	47.654406
3.252336e+02	47.891765
3.255674e+02	48.124450
3.259012e+02	48.352519
3.262350e+02	48.576035
3.265688e+02	48.795060
3.269025e+02	49.009668
3.272363e+02	49.219918
3.275701e+02	49.425874
3.279039e+02	49.627591
3.282377e+02	49.825125
3.285714e+02	50.018539
3.289052e+02	50.207887
3.292390e+02	50.393260
3.295728e+02	50.574714
3.299065e+02	50.752287
3.302403e+02	50.926012
3.305741e+02	51.095991
3.309079e+02	51.262305
3.312417e+02	51.424994
3.315754e+02	51.584138
3.319092e+02	51.739771
3.322430e+02	51.891963
3.325768e+02	52.040751
3.329105e+02	52.186208
3.332443e+02	52.328371
3.335781e+02	52.467318
3.339119e+02	52.603143
3.342457e+02	52.735866
3.345794e+02	52.865555
3.349132e+02	52.992229
3.352470e+02	53.115988
3.355808e+02	53.236875
3.359146e+02	53.354942
3.362483e+02	53.470241
3.365821e+02	53.582809
3.369159e+02	53.692759
3.372497e+02	53.800098
3.375834e+02	53.904909
3.379172e+02	54.007205
3.382510e+02	54.107058
3.385848e+02	54.204539
3.389186e+02	54.299658
3.392523e+02	54.392503
3.395861e+02	54.483070
3.399199e+02	54.571458
3.402537e+02	54.657676
3.405874e+02	54.741794
3.409212e+02	54.823881
3.412550e+02	54.903933
3.415888e+02	54.982055
3.419226e+02	55.058216
3.422563e+02	55.132532
3.425901e+02	55.205011
3.429239e+02	55.275700
3.432577e+02	55.344671
3.435915e+02	55.411892
3.439252e+02	55.477513
3.442590e+02	55.541456
3.445928e+02	55.603884
3.449266e+02	55.664804
3.452603e+02	55.724234
3.455941e+02	55.782321
3.459279e+02	55.838918
3.462617e+02	55.894336
3.465955e+02	55.948317
3.469292e+02	56.001194
3.472630e+02	56.053058
3.475968e+02	56.103559
3.479306e+02	56.153328
3.482644e+02	56.202093
3.485981e+02	56.249549
3.489319e+02	56.296310
3.492657e+02	56.342543
3.495995e+02	56.387840
3.499332e+02	56.432713
3.502670e+02	56.476868
3.506008e+02	56.520541
3.509346e+02	56.563747
3.512684e+02	56.606454
3.516021e+02	56.648867
3.519359e+02	56.690814
3.522697e+02	56.732502
3.526035e+02	56.773815
3.529372e+02	56.814786
3.532710e+02	56.855466
3.536048e+02	56.895642
3.539386e+02	56.935520
3.542724e+02	56.974745
3.546061e+02	57.013441
3.549399e+02	57.051446
3.552737e+02	57.088436
3.556075e+02	57.124792
3.559413e+02	57.159425
3.562750e+02	57.193373
3.566088e+02	57.225227
3.569426e+02	57.253618
3.572764e+02	57.281515
3.576101e+02	57.308582
