Wavelength	Reflectance
6.200000e+00	0.000282
6.199429e+00	0.000285
6.198858e+00	0.000290
6.198287e+00	0.000296
6.197716e+00	0.000304
6.197146e+00	0.000314
6.196575e+00	0.000325
6.196004e+00	0.000339
6.195434e+00	0.000354
6.194864e+00	0.000370
6.194294e+00	0.000389
6.193724e+00	0.000410
6.193154e+00	0.000432
6.192584e+00	0.000456
6.192014e+00	0.000483
6.191444e+00	0.000512
6.190875e+00	0.000542
6.190305e+00	0.000575
6.189736e+00	0.000611
6.189167e+00	0.000648
6.188598e+00	0.000688
6.188029e+00	0.000730
6.187460e+00	0.000775
6.186891e+00	0.000822
6.186322e+00	0.000871
6.185754e+00	0.000922
6.185185e+00	0.000976
6.184617e+00	0.001031
6.184049e+00	0.001088
6.183480e+00	0.001147
6.182912e+00	0.001207
6.182344e+00	0.001268
6.181777e+00	0.001330
6.181209e+00	0.001392
6.180641e+00	0.001455
6.180074e+00	0.001517
6.179506e+00	0.001578
6.178939e+00	0.001638
6.178372e+00	0.001696
6.177804e+00	0.001751
6.177237e+00	0.001804
6.176670e+00	0.001854
6.176104e+00	0.001900
6.175537e+00	0.001943
6.174970e+00	0.001981
6.174404e+00	0.002015
6.173837e+00	0.002044
6.173271e+00	0.002069
6.172705e+00	0.002090
6.172139e+00	0.002105
6.171573e+00	0.002117
6.171007e+00	0.002125
6.170441e+00	0.002128
6.169876e+00	0.002129
6.169310e+00	0.002126
6.168744e+00	0.002119
6.168179e+00	0.002106
6.167614e+00	0.002087
6.167049e+00	0.002061
6.166484e+00	0.002029
6.165919e+00	0.001991
6.165354e+00	0.001948
6.164789e+00	0.001899
6.164224e+00	0.001846
6.163660e+00	0.001789
6.163095e+00	0.001729
6.162531e+00	0.001665
6.161967e+00	0.001598
6.161403e+00	0.001529
6.160839e+00	0.001459
6.160275e+00	0.001387
6.159711e+00	0.001315
6.159147e+00	0.001242
6.158584e+00	0.001169
6.158020e+00	0.001097
6.157457e+00	0.001025
6.156894e+00	0.000954
6.156330e+00	0.000885
6.155767e+00	0.000817
6.155204e+00	0.000750
6.154641e+00	0.000685
6.154079e+00	0.000622
6.153516e+00	0.000561
6.152953e+00	0.000502
6.152391e+00	0.000445
6.151828e+00	0.000390
6.151266e+00	0.000337
6.150704e+00	0.000286
6.150142e+00	0.000237
6.149580e+00	0.000190
6.149018e+00	0.000145
6.148456e+00	0.000102
6.147895e+00	0.000060
6.147333e+00	0.000021
6.146772e+00	-0.000017
6.146210e+00	-0.000054
6.145649e+00	-0.000088
6.145088e+00	-0.000122
6.144527e+00	-0.000154
6.143966e+00	-0.000184
6.143405e+00	-0.000213
6.142844e+00	-0.000241
6.142284e+00	-0.000267
6.141723e+00	-0.000293
6.141163e+00	-0.000316
6.140603e+00	-0.000339
6.140042e+00	-0.000361
6.139482e+00	-0.000381
6.138922e+00	-0.000400
6.138362e+00	-0.000417
6.137803e+00	-0.000435
6.137243e+00	-0.000451
6.136683e+00	-0.000468
6.136124e+00	-0.000484
6.135564e+00	-0.000500
6.135005e+00	-0.000516
6.134446e+00	-0.000531
6.133887e+00	-0.000547
6.133328e+00	-0.000561
6.132769e+00	-0.000576
6.132210e+00	-0.000591
6.131651e+00	-0.000605
6.131093e+00	-0.000619
6.130534e+00	-0.000633
6.129976e+00	-0.000647
6.129418e+00	-0.000661
6.128859e+00	-0.000674
6.128301e+00	-0.000688
6.127743e+00	-0.000701
6.127185e+00	-0.000714
6.126628e+00	-0.000728
6.126070e+00	-0.000741
6.125512e+00	-0.000754
6.124955e+00	-0.000767
6.124398e+00	-0.000780
6.123840e+00	-0.000794
6.123283e+00	-0.000807
6.122726e+00	-0.000820
6.122169e+00	-0.000834
6.121612e+00	-0.000847
6.121056e+00	-0.000861
6.120499e+00	-0.000875
6.119942e+00	-0.000889
6.119386e+00	-0.000903
6.118830e+00	-0.000918
6.118273e+00	-0.000933
6.117717e+00	-0.000948
6.117161e+00	-0.000963
6.116605e+00	-0.000979
6.116049e+00	-0.000995
6.115494e+00	-0.001011
6.114938e+00	-0.001028
6.114382e+00	-0.001046
6.113827e+00	-0.001064
6.113272e+00	-0.001082
6.112716e+00	-0.001101
6.112161e+00	-0.001121
6.111606e+00	-0.001142
6.111051e+00	-0.001163
6.110496e+00	-0.001185
6.109942e+00	-0.001207
6.109387e+00	-0.001231
6.108832e+00	-0.001255
6.108278e+00	-0.001281
6.107724e+00	-0.001307
6.107169e+00	-0.001335
6.106615e+00	-0.001363
6.106061e+00	-0.001393
6.105507e+00	-0.001423
6.104953e+00	-0.001454
6.104400e+00	-0.001486
6.103846e+00	-0.001519
6.103293e+00	-0.001553
6.102739e+00	-0.001588
6.102186e+00	-0.001624
6.101633e+00	-0.001661
6.101079e+00	-0.001699
6.100526e+00	-0.001738
6.099973e+00	-0.001777
6.099421e+00	-0.001818
6.098868e+00	-0.001859
6.098315e+00	-0.001902
6.097763e+00	-0.001945
6.097210e+00	-0.001989
6.096658e+00	-0.002034
6.096106e+00	-0.002080
6.095554e+00	-0.002126
6.095002e+00	-0.002174
6.094450e+00	-0.002222
6.093898e+00	-0.002271
6.093346e+00	-0.002321
6.092794e+00	-0.002371
6.092243e+00	-0.002423
6.091692e+00	-0.002475
6.091140e+00	-0.002527
6.090589e+00	-0.002581
6.090038e+00	-0.002635
6.089487e+00	-0.002689
6.088936e+00	-0.002744
6.088385e+00	-0.002800
6.087834e+00	-0.002856
6.087284e+00	-0.002913
6.086733e+00	-0.002971
6.086183e+00	-0.003029
6.085632e+00	-0.003087
6.085082e+00	-0.003146
6.084532e+00	-0.003206
6.083982e+00	-0.003266
6.083432e+00	-0.003327
6.082882e+00	-0.003388
6.082332e+00	-0.003450
6.081783e+00	-0.003513
6.081233e+00	-0.003576
6.080684e+00	-0.003640
6.080134e+00	-0.003704
6.079585e+00	-0.003770
6.079036e+00	-0.003835
6.078487e+00	-0.003902
6.077938e+00	-0.003969
6.077389e+00	-0.004035
6.076841e+00	-0.004102
6.076292e+00	-0.004169
6.075743e+00	-0.004236
6.075195e+00	-0.004304
6.074647e+00	-0.004371
6.074098e+00	-0.004438
6.073550e+00	-0.004505
6.073002e+00	-0.004572
6.072454e+00	-0.004640
6.071906e+00	-0.004707
6.071359e+00	-0.004774
6.070811e+00	-0.004842
6.070263e+00	-0.004909
6.069716e+00	-0.004977
6.069168e+00	-0.005044
6.068621e+00	-0.005112
6.068074e+00	-0.005180
6.067527e+00	-0.005248
6.066980e+00	-0.005316
6.066433e+00	-0.005384
6.065886e+00	-0.005452
6.065340e+00	-0.005521
6.064793e+00	-0.005590
6.064247e+00	-0.005659
6.063700e+00	-0.005728
6.063154e+00	-0.005798
6.062608e+00	-0.005867
6.062062e+00	-0.005938
