Wavelength	Reflectance
6.200000e+00	-0.012868
6.196902e+00	-0.014074
6.193806e+00	-0.015317
6.190714e+00	-0.016597
6.187625e+00	-0.017856
6.184539e+00	-0.019087
6.181456e+00	-0.020295
6.178376e+00	-0.021487
6.175299e+00	-0.022667
6.172225e+00	-0.023839
6.169154e+00	-0.025006
6.166087e+00	-0.027872
6.163022e+00	-0.030757
6.159960e+00	-0.033648
6.156902e+00	-0.036998
6.153846e+00	-0.041003
6.150794e+00	-0.045765
6.147744e+00	-0.051406
6.144698e+00	-0.058077
6.141654e+00	-0.065956
6.138614e+00	-0.075264
6.135576e+00	-0.086261
6.132542e+00	-0.099269
6.129511e+00	-0.114672
6.126482e+00	-0.132021
6.123457e+00	-0.151432
6.120434e+00	-0.173179
6.117415e+00	-0.197487
6.114398e+00	-0.224555
6.111385e+00	-0.254559
6.108374e+00	-0.287643
6.105367e+00	-0.323948
6.102362e+00	-0.363643
6.099361e+00	-0.406998
6.096362e+00	-0.453842
6.093366e+00	-0.501670
6.090373e+00	-0.549518
6.087383e+00	-0.597162
6.084396e+00	-0.644339
6.081412e+00	-0.690658
6.078431e+00	-0.735496
6.075453e+00	-0.777865
6.072478e+00	-0.816230
6.069506e+00	-0.848285
6.066536e+00	-0.871213
6.063570e+00	-0.888816
6.060606e+00	-0.901110
6.057645e+00	-0.905531
6.054688e+00	-0.898610
6.051733e+00	-0.875696
6.048780e+00	-0.830640
6.045831e+00	-0.755402
6.042885e+00	-0.639637
6.039942e+00	-0.470311
6.037001e+00	-0.234235
6.034063e+00	0.080189
6.031128e+00	0.490376
6.028196e+00	1.015962
6.025267e+00	1.675099
6.022341e+00	2.479409
6.019417e+00	3.425927
6.016497e+00	4.485783
6.013579e+00	5.590609
6.010664e+00	6.619472
6.007752e+00	7.390727
6.004843e+00	7.674740
6.001936e+00	7.284262
5.999032e+00	6.147255
5.996132e+00	4.367931
5.993233e+00	2.218951
5.990338e+00	0.042945
5.987446e+00	-1.875691
5.984556e+00	-3.384308
5.981669e+00	-4.456777
5.978785e+00	-5.136923
5.975904e+00	-5.553715
5.973025e+00	-5.775702
5.970149e+00	-5.849774
5.967276e+00	-5.816270
5.964406e+00	-5.707698
5.961538e+00	-5.549119
5.958674e+00	-5.359264
5.955812e+00	-5.151730
5.952952e+00	-4.936316
5.950096e+00	-4.719890
5.947242e+00	-4.506765
5.944391e+00	-4.299862
5.941543e+00	-4.101059
5.938697e+00	-3.911537
5.935854e+00	-3.731873
5.933014e+00	-3.562260
5.930177e+00	-3.402620
5.927342e+00	-3.252693
5.924510e+00	-3.112135
5.921681e+00	-2.980512
5.918854e+00	-2.855708
5.916031e+00	-2.736932
5.913209e+00	-2.623913
5.910391e+00	-2.516386
5.907575e+00	-2.414084
5.904762e+00	-2.316744
5.901951e+00	-2.224106
5.899144e+00	-2.135927
5.896339e+00	-2.051976
5.893536e+00	-1.972029
5.890736e+00	-1.895832
5.887939e+00	-1.823174
5.885145e+00	-1.753868
5.882353e+00	-1.687736
5.879564e+00	-1.624611
5.876777e+00	-1.564331
5.873993e+00	-1.506744
5.871212e+00	-1.451708
5.868434e+00	-1.399089
5.865658e+00	-1.348760
5.862884e+00	-1.300602
5.860113e+00	-1.254499
5.857345e+00	-1.210348
5.854580e+00	-1.168046
5.851817e+00	-1.127499
5.849057e+00	-1.088617
5.846299e+00	-1.051314
5.843544e+00	-1.015513
5.840791e+00	-0.981136
5.838041e+00	-0.948114
5.835294e+00	-0.916379
5.832549e+00	-0.885869
5.829807e+00	-0.856522
5.827068e+00	-0.828284
5.824331e+00	-0.801099
5.821596e+00	-0.774919
5.818864e+00	-0.749693
5.816135e+00	-0.725379
5.813408e+00	-0.701932
5.810684e+00	-0.679312
5.807963e+00	-0.657483
5.805243e+00	-0.636406
5.802527e+00	-0.616047
5.799813e+00	-0.596375
5.797101e+00	-0.577357
5.794393e+00	-0.558964
5.791686e+00	-0.541169
5.788982e+00	-0.523944
5.786281e+00	-0.507265
5.783582e+00	-0.491109
5.780886e+00	-0.475452
5.778192e+00	-0.460273
5.775501e+00	-0.445551
5.772812e+00	-0.431266
5.770126e+00	-0.417401
5.767442e+00	-0.403936
5.764761e+00	-0.390856
5.762082e+00	-0.378143
5.759405e+00	-0.365784
5.756732e+00	-0.353762
5.754060e+00	-0.342065
5.751391e+00	-0.330679
5.748725e+00	-0.319590
5.746061e+00	-0.308788
5.743400e+00	-0.298259
5.740741e+00	-0.287993
5.738084e+00	-0.277979
5.735430e+00	-0.268207
5.732779e+00	-0.258668
5.730129e+00	-0.249351
5.727483e+00	-0.240248
5.724838e+00	-0.231351
5.722197e+00	-0.222650
5.719557e+00	-0.214139
5.716920e+00	-0.205809
5.714286e+00	-0.197653
5.711654e+00	-0.189663
5.709024e+00	-0.181834
5.706397e+00	-0.174159
5.703772e+00	-0.166632
5.701149e+00	-0.159246
5.698529e+00	-0.151995
5.695912e+00	-0.144875
5.693297e+00	-0.137880
5.690684e+00	-0.131005
5.688073e+00	-0.124244
5.685465e+00	-0.117592
5.682860e+00	-0.111046
5.680257e+00	-0.104600
5.677656e+00	-0.098251
5.675057e+00	-0.091994
5.672461e+00	-0.085824
5.669867e+00	-0.079739
5.667276e+00	-0.073734
5.664687e+00	-0.067806
5.662100e+00	-0.061950
5.659516e+00	-0.057454
5.656934e+00	-0.053009
5.654355e+00	-0.048613
5.651778e+00	-0.044264
5.649203e+00	-0.039959
5.646630e+00	-0.035695
5.644060e+00	-0.031474
5.641492e+00	-0.027292
5.638927e+00	-0.023150
5.636364e+00	-0.019042
