Wavelength(nm)	R_simulated	R_experimental
2.000000e+02	0.218384	0.310100
2.002500e+02	0.218330	0.309900
2.005000e+02	0.218356	0.311440
2.007500e+02	0.218467	0.314950
2.010000e+02	0.218669	0.316560
2.012500e+02	0.218971	0.320340
2.015000e+02	0.219378	0.323430
2.017500e+02	0.219900	0.324420
2.020000e+02	0.220544	0.326500
2.022500e+02	0.221321	0.329930
2.025000e+02	0.222241	0.334790
2.027500e+02	0.223315	0.337430
2.030000e+02	0.224556	0.336250
2.032500e+02	0.225979	0.332480
2.035000e+02	0.227600	0.326410
2.037500e+02	0.229436	0.315940
2.040000e+02	0.231508	0.300480
2.042500e+02	0.233837	0.281390
2.045000e+02	0.236451	0.258010
2.047500e+02	0.239379	0.233660
2.050000e+02	0.242657	0.212520
2.052500e+02	0.246323	0.190590
2.055000e+02	0.250426	0.173100
2.057500e+02	0.255022	0.161380
2.060000e+02	0.260181	0.156480
2.062500e+02	0.265983	0.160690
2.065000e+02	0.272535	0.172370
2.067500e+02	0.279963	0.190000
2.070000e+02	0.288437	0.213700
2.072500e+02	0.298178	0.242180
2.075000e+02	0.309489	0.273460
2.077500e+02	0.322802	0.305760
2.080000e+02	0.338768	0.339170
2.082500e+02	0.358468	0.370490
2.085000e+02	0.383987	0.401950
2.087500e+02	0.421261	0.432970
2.090000e+02	0.494754	0.463710
2.092500e+02	0.547434	0.493820
2.095000e+02	0.626341	0.521710
2.097500e+02	0.729035	0.546590
2.100000e+02	0.743997	0.572010
2.102500e+02	0.753525	0.598610
2.105000e+02	0.760262	0.622790
2.107500e+02	0.765175	0.644800
2.110000e+02	0.768753	0.663850
2.112500e+02	0.771286	0.680390
2.115000e+02	0.772964	0.699130
2.117500e+02	0.773913	0.717640
2.120000e+02	0.774225	0.732380
2.122500e+02	0.773964	0.747190
2.125000e+02	0.773181	0.757910
2.127500e+02	0.771910	0.765210
2.130000e+02	0.770177	0.773390
2.132500e+02	0.767999	0.781320
2.135000e+02	0.765391	0.786010
2.137500e+02	0.762358	0.788740
2.140000e+02	0.758905	0.791460
2.142500e+02	0.755033	0.791760
2.145000e+02	0.750735	0.791080
2.147500e+02	0.746007	0.790080
2.150000e+02	0.740838	0.787350
2.152500e+02	0.735220	0.782600
2.155000e+02	0.729136	0.777050
2.157500e+02	0.722572	0.770830
2.160000e+02	0.715508	0.761210
2.162500e+02	0.707926	0.750800
2.165000e+02	0.699802	0.738840
2.167500e+02	0.691113	0.724660
2.170000e+02	0.681833	0.711550
2.172500e+02	0.671933	0.698840
2.175000e+02	0.661384	0.684100
2.177500e+02	0.650155	0.667390
2.180000e+02	0.638215	0.648850
2.182500e+02	0.625530	0.628700
2.185000e+02	0.612065	0.608510
2.187500e+02	0.597784	0.586770
2.190000e+02	0.582654	0.563640
2.192500e+02	0.566646	0.538080
2.195000e+02	0.549727	0.510670
2.197500e+02	0.531871	0.483710
2.200000e+02	0.513056	0.457210
2.202500e+02	0.493268	0.430140
2.205000e+02	0.472505	0.402540
2.207500e+02	0.450776	0.374780
2.210000e+02	0.428107	0.347170
2.212500e+02	0.404544	0.319530
2.215000e+02	0.380161	0.292330
2.217500e+02	0.355063	0.266130
2.220000e+02	0.329387	0.241670
2.222500e+02	0.303312	0.220060
2.225000e+02	0.277065	0.199580
2.227500e+02	0.250918	0.181590
2.230000e+02	0.225194	0.166320
2.232500e+02	0.200260	0.153710
2.235000e+02	0.176520	0.143890
2.237500e+02	0.154404	0.136050
2.240000e+02	0.134351	0.132260
2.242500e+02	0.116781	0.132000
2.245000e+02	0.102081	0.134420
2.247500e+02	0.090571	0.138690
2.250000e+02	0.082483	0.146310
2.252500e+02	0.077946	0.156360
2.255000e+02	0.076981	0.168650
2.257500e+02	0.079497	0.183290
2.260000e+02	0.085307	0.199750
2.262500e+02	0.094135	0.217380
2.265000e+02	0.105649	0.235480
2.267500e+02	0.119477	0.255010
2.270000e+02	0.135231	0.276090
2.272500e+02	0.152529	0.297700
2.275000e+02	0.171009	0.319080
2.277500e+02	0.190334	0.340320
2.280000e+02	0.210210	0.361340
2.282500e+02	0.230374	0.382380
2.285000e+02	0.250610	0.403230
2.287500e+02	0.270735	0.423730
2.290000e+02	0.290604	0.443740
2.292500e+02	0.310099	0.463230
2.295000e+02	0.329131	0.482640
2.297500e+02	0.347633	0.501750
2.300000e+02	0.365555	0.520070
2.302500e+02	0.382867	0.537880
2.305000e+02	0.399548	0.555130
2.307500e+02	0.415594	0.571300
2.310000e+02	0.430998	0.587370
2.312500e+02	0.445773	0.603180
2.315000e+02	0.459921	0.617420
2.317500e+02	0.473468	0.629410
2.320000e+02	0.486411	0.641820
2.322500e+02	0.498790	0.655100
2.325000e+02	0.510631	0.666770
2.327500e+02	0.521936	0.677500
2.330000e+02	0.532738	0.688040
2.332500e+02	0.543057	0.698340
2.335000e+02	0.552913	0.708590
2.337500e+02	0.562333	0.718360
2.340000e+02	0.571331	0.726540
2.342500e+02	0.579933	0.733650
2.345000e+02	0.588152	0.740160
2.347500e+02	0.596016	0.746400
2.350000e+02	0.603534	0.753360
2.352500e+02	0.610731	0.758830
2.355000e+02	0.617612	0.762800
2.357500e+02	0.624207	0.767150
2.360000e+02	0.630515	0.770880
2.362500e+02	0.636556	0.774450
2.365000e+02	0.642346	0.778110
2.367500e+02	0.647890	0.781960
2.370000e+02	0.653200	0.786060
2.372500e+02	0.658290	0.788750
2.375000e+02	0.663166	0.790840
2.377500e+02	0.667836	0.792750
2.380000e+02	0.672321	0.794260
2.382500e+02	0.676608	0.796160
2.385000e+02	0.680698	0.797240
2.387500e+02	0.684628	0.796970
2.390000e+02	0.688383	0.797030
2.392500e+02	0.691974	0.797310
2.395000e+02	0.695404	0.797770
2.397500e+02	0.698674	0.797240
2.400000e+02	0.701794	0.795470
2.402500e+02	0.704762	0.793830
2.405000e+02	0.707587	0.791890
2.407500e+02	0.710266	0.789450
2.410000e+02	0.712806	0.788080
2.412500e+02	0.715207	0.786580
2.415000e+02	0.717475	0.784070
2.417500e+02	0.719608	0.781000
2.420000e+02	0.721608	0.777150
2.422500e+02	0.723478	0.773480
2.425000e+02	0.725220	0.770290
2.427500e+02	0.726835	0.767270
2.430000e+02	0.728323	0.763710
2.432500e+02	0.729687	0.759630
2.435000e+02	0.730926	0.755520
2.437500e+02	0.732043	0.751370
2.440000e+02	0.733037	0.746810
2.442500e+02	0.733911	0.742130
2.445000e+02	0.734663	0.737570
2.447500e+02	0.735292	0.732730
2.450000e+02	0.735806	0.727110
2.452500e+02	0.736199	0.721340
2.455000e+02	0.736472	0.715610
2.457500e+02	0.736630	0.710140
2.460000e+02	0.736667	0.704730
2.462500e+02	0.736585	0.698780
2.465000e+02	0.736385	0.692390
2.467500e+02	0.736065	0.685660
2.470000e+02	0.735628	0.678610
2.472500e+02	0.735070	0.671700
2.475000e+02	0.734394	0.665250
2.477500e+02	0.733598	0.657940
2.480000e+02	0.732681	0.650130
2.482500e+02	0.731642	0.642550
2.485000e+02	0.730480	0.634830
2.487500e+02	0.729196	0.627070
2.490000e+02	0.727788	0.618950
2.492500e+02	0.726253	0.610780
2.495000e+02	0.724590	0.602760
2.497500e+02	0.722800	0.594450
2.500000e+02	0.720879	0.585880
2.502500e+02	0.718827	0.577030
2.505000e+02	0.716640	0.567940
2.507500e+02	0.714317	0.558760
2.510000e+02	0.711856	0.549240
2.512500e+02	0.709253	0.539690
2.515000e+02	0.706508	0.530570
2.517500e+02	0.703615	0.521420
2.520000e+02	0.700573	0.512080
2.522500e+02	0.697379	0.502620
2.525000e+02	0.694028	0.492830
2.527500e+02	0.690518	0.482920
2.530000e+02	0.686844	0.473080
2.532500e+02	0.683003	0.463310
2.535000e+02	0.678991	0.453460
2.537500e+02	0.674802	0.443350
2.540000e+02	0.670432	0.433230
2.542500e+02	0.665876	0.422990
2.545000e+02	0.661130	0.412740
2.547500e+02	0.656189	0.402500
2.550000e+02	0.651046	0.392210
2.552500e+02	0.645694	0.381830
2.555000e+02	0.640129	0.371280
2.557500e+02	0.634344	0.360710
2.560000e+02	0.628332	0.350200
2.562500e+02	0.622087	0.339580
2.565000e+02	0.615601	0.328830
2.567500e+02	0.608867	0.318220
2.570000e+02	0.601879	0.307720
2.572500e+02	0.594627	0.297230
2.575000e+02	0.587105	0.286900
2.577500e+02	0.579305	0.276700
2.580000e+02	0.571217	0.266520
2.582500e+02	0.562836	0.256450
2.585000e+02	0.554151	0.246610
2.587500e+02	0.545157	0.236950
2.590000e+02	0.535844	0.227590
2.592500e+02	0.526207	0.218430
2.595000e+02	0.516237	0.209600
2.597500e+02	0.505929	0.201360
2.600000e+02	0.495277	0.193440
2.602500e+02	0.484275	0.185800
2.605000e+02	0.472921	0.178530
2.607500e+02	0.461211	0.171720
2.610000e+02	0.449147	0.165450
2.612500e+02	0.436731	0.159250
2.615000e+02	0.423964	0.153360
2.617500e+02	0.410854	0.148360
2.620000e+02	0.397413	0.143640
2.622500e+02	0.383656	0.139220
2.625000e+02	0.369602	0.135450
2.627500e+02	0.355273	0.132290
2.630000e+02	0.340700	0.129620
2.632500e+02	0.325920	0.127570
2.635000e+02	0.310974	0.126040
2.637500e+02	0.295915	0.124990
2.640000e+02	0.280804	0.124150
2.642500e+02	0.265708	0.123990
2.645000e+02	0.250706	0.124720
2.647500e+02	0.235883	0.125760
2.650000e+02	0.221335	0.127260
2.652500e+02	0.207163	0.129280
2.655000e+02	0.193478	0.131370
2.657500e+02	0.180398	0.133910
2.660000e+02	0.168042	0.137290
2.662500e+02	0.156535	0.141110
2.665000e+02	0.145996	0.145150
2.667500e+02	0.136543	0.149430
2.670000e+02	0.128285	0.153820
2.672500e+02	0.121319	0.158790
2.675000e+02	0.115732	0.164010
2.677500e+02	0.111590	0.169070
2.680000e+02	0.108941	0.174410
2.682500e+02	0.107814	0.180110
2.685000e+02	0.108212	0.185750
2.687500e+02	0.110118	0.191320
2.690000e+02	0.113493	0.197090
2.692500e+02	0.118277	0.202800
2.695000e+02	0.124395	0.208650
2.697500e+02	0.131756	0.214850
2.700000e+02	0.140256	0.221200
2.702500e+02	0.149785	0.227600
2.705000e+02	0.160224	0.233820
2.707500e+02	0.171455	0.239750
2.710000e+02	0.183359	0.245730
2.712500e+02	0.195823	0.251680
2.715000e+02	0.208737	0.257400
2.717500e+02	0.221997	0.263110
2.720000e+02	0.235506	0.268940
2.722500e+02	0.249178	0.274890
2.725000e+02	0.262930	0.280700
2.727500e+02	0.276694	0.286250
2.730000e+02	0.290408	0.291490
2.732500e+02	0.304018	0.296610
2.735000e+02	0.317481	0.301570
2.737500e+02	0.330753	0.306700
2.740000e+02	0.343801	0.312020
2.742500e+02	0.356599	0.316970
2.745000e+02	0.369125	0.321480
2.747500e+02	0.381365	0.325720
2.750000e+02	0.393303	0.329870
2.752500e+02	0.404932	0.334150
2.755000e+02	0.416246	0.338330
2.757500e+02	0.427239	0.342120
2.760000e+02	0.437911	0.345620
2.762500e+02	0.448264	0.348970
2.765000e+02	0.458300	0.352360
2.767500e+02	0.468024	0.355860
2.770000e+02	0.477442	0.359190
2.772500e+02	0.486557	0.362220
2.775000e+02	0.495378	0.365060
2.777500e+02	0.503913	0.367820
2.780000e+02	0.512168	0.370420
2.782500e+02	0.520153	0.373020
2.785000e+02	0.527873	0.375660
2.787500e+02	0.535339	0.378140
2.790000e+02	0.542560	0.380510
