Wavelength	Reflectance
2.500000e+02	65.596781
2.511348e+02	63.937782
2.522697e+02	61.940678
2.534045e+02	59.579705
2.545394e+02	56.827155
2.556742e+02	53.656899
2.568091e+02	50.048773
2.579439e+02	46.000308
2.590788e+02	41.543808
2.602136e+02	36.775711
2.613485e+02	31.893423
2.624833e+02	27.234375
2.636182e+02	23.282461
2.647530e+02	20.598772
2.658879e+02	19.651135
2.670227e+02	20.613421
2.681575e+02	23.272775
2.692924e+02	27.129914
2.704272e+02	31.607240
2.715621e+02	36.219118
2.726969e+02	40.641038
2.738318e+02	44.696814
2.749666e+02	48.316746
2.761015e+02	51.498445
2.772363e+02	54.282466
2.783712e+02	56.713779
2.795060e+02	58.838398
2.806409e+02	60.696830
2.817757e+02	62.316445
2.829105e+02	63.708605
2.840454e+02	64.869296
2.851802e+02	65.788626
2.863151e+02	66.451292
2.874499e+02	66.870837
2.885848e+02	67.049621
2.897196e+02	67.018901
2.908545e+02	66.811670
2.919893e+02	66.461037
2.931242e+02	66.001218
2.942590e+02	65.460644
2.953939e+02	64.862146
2.965287e+02	64.220457
2.976636e+02	63.545841
2.987984e+02	62.841533
2.999332e+02	62.108366
3.010681e+02	61.344351
3.022029e+02	60.546510
3.033378e+02	59.711480
3.044726e+02	58.836463
3.056075e+02	57.918119
3.067423e+02	56.953972
3.078772e+02	55.941157
3.090120e+02	54.877255
3.101469e+02	53.759833
3.112817e+02	52.586271
3.124166e+02	51.353812
3.135514e+02	50.059987
3.146862e+02	48.702731
3.158211e+02	47.280093
3.169559e+02	45.790886
3.180908e+02	44.234535
3.192256e+02	42.611001
3.203605e+02	40.920893
3.214953e+02	39.165927
3.226302e+02	37.349063
3.237650e+02	35.473817
3.248999e+02	33.545305
3.260347e+02	31.570104
3.271696e+02	29.556215
3.283044e+02	27.513409
3.294393e+02	25.453284
3.305741e+02	23.389057
3.317089e+02	21.336217
3.328438e+02	19.311924
3.339786e+02	17.334976
3.351135e+02	15.425888
3.362483e+02	13.606040
3.373832e+02	11.897870
3.385180e+02	10.323710
3.396529e+02	8.905534
3.407877e+02	7.663924
3.419226e+02	6.617832
3.430574e+02	5.783446
3.441923e+02	5.173811
3.453271e+02	4.798384
3.464619e+02	4.662682
3.475968e+02	4.768193
3.487316e+02	5.112735
3.498665e+02	5.690995
3.510013e+02	6.494883
3.521362e+02	7.514468
3.532710e+02	8.738368
3.544059e+02	10.153647
3.555407e+02	11.745763
3.566756e+02	13.495932
