# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: AlN (cubico) | Input: 100.00 nm | Optimized: 80.66 nm
# Layer 2: SiC | Input: 1480.00 nm | Optimized: 1488.88 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
3.300000000000000000e+02	3.080348868288920627e+01
3.310000000000000000e+02	4.375461540642201896e+01
3.320000000000000000e+02	5.265382840912127449e+01
3.330000000000000000e+02	5.709472640414515610e+01
3.340000000000000000e+02	5.752186375328322043e+01
3.350000000000000000e+02	5.401582728683832357e+01
3.360000000000000000e+02	4.626203545942017570e+01
3.370000000000000000e+02	3.445924274968305667e+01
3.380000000000000000e+02	2.183450088368218900e+01
3.390000000000000000e+02	1.621810886969999288e+01
3.400000000000000000e+02	2.237822685440784554e+01
3.410000000000000000e+02	3.470778210254997020e+01
3.420000000000000000e+02	4.591987006756482970e+01
3.430000000000000000e+02	5.332688402874448030e+01
3.440000000000000000e+02	5.685064084016231334e+01
3.450000000000000000e+02	5.682726148137806632e+01
3.460000000000000000e+02	5.328351727604195531e+01
3.470000000000000000e+02	4.595132960623373464e+01
3.480000000000000000e+02	3.496450770343953707e+01
3.490000000000000000e+02	2.280413516559077891e+01
3.500000000000000000e+02	1.602776844684850488e+01
3.510000000000000000e+02	2.010202469202045350e+01
3.520000000000000000e+02	3.154541477321304299e+01
3.530000000000000000e+02	4.323544126830680767e+01
3.540000000000000000e+02	5.167266701671480433e+01
3.550000000000000000e+02	5.639649717900482528e+01
3.560000000000000000e+02	5.777762546012357348e+01
3.570000000000000000e+02	5.602526141238105595e+01
3.580000000000000000e+02	5.097584735656841559e+01
3.590000000000000000e+02	4.232611002124983202e+01
3.600000000000000000e+02	3.057783309007589523e+01
3.610000000000000000e+02	1.914641610100896685e+01
3.620000000000000000e+02	1.497569996332359921e+01
3.630000000000000000e+02	2.157286881482452401e+01
3.640000000000000000e+02	3.371159436708504131e+01
3.650000000000000000e+02	4.490931794919376330e+01
3.660000000000000000e+02	5.265208313789477046e+01
3.670000000000000000e+02	5.687343439417457347e+01
3.680000000000000000e+02	5.804184146836426095e+01
3.690000000000000000e+02	5.643412195020330557e+01
3.700000000000000000e+02	5.200902386571547709e+01
3.710000000000000000e+02	4.456614512973219888e+01
3.720000000000000000e+02	3.432077387376519084e+01
3.730000000000000000e+02	2.317612706736438355e+01
3.740000000000000000e+02	1.567891195700975260e+01
3.750000000000000000e+02	1.631539941606353850e+01
3.760000000000000000e+02	2.435492855979065041e+01
3.770000000000000000e+02	3.487191982956143477e+01
3.780000000000000000e+02	4.398513360978731157e+01
3.790000000000000000e+02	5.036426800206717758e+01
3.800000000000000000e+02	5.401632605641491125e+01
3.810000000000000000e+02	5.526015335117958216e+01
3.820000000000000000e+02	5.432829812504073175e+01
3.830000000000000000e+02	5.129269175671693404e+01
3.840000000000000000e+02	4.613830311885316604e+01
3.850000000000000000e+02	3.896141500906777821e+01
3.860000000000000000e+02	3.034073066411961861e+01
3.870000000000000000e+02	2.186816094586918879e+01
3.880000000000000000e+02	1.626435534360249235e+01
3.890000000000000000e+02	1.597649246172601956e+01
3.900000000000000000e+02	2.099106374498154182e+01
3.910000000000000000e+02	2.885894741100371164e+01
3.920000000000000000e+02	3.687662774574425839e+01
3.930000000000000000e+02	4.347669028033140393e+01
3.940000000000000000e+02	4.814356880802600358e+01
3.950000000000000000e+02	5.088362669374094338e+01
3.960000000000000000e+02	5.185078301562852232e+01
3.970000000000000000e+02	5.118163999086890215e+01
3.980000000000000000e+02	4.895163196877242484e+01
3.990000000000000000e+02	4.518930522550959950e+01
4.000000000000000000e+02	3.995034128284930830e+01
4.010000000000000000e+02	3.347664937598558765e+01
4.020000000000000000e+02	2.643509315921258107e+01
4.030000000000000000e+02	2.008368798556234935e+01
4.040000000000000000e+02	1.608613755219165853e+01
4.050000000000000000e+02	1.574793486466890613e+01
4.060000000000000000e+02	1.911413920005158928e+01
4.070000000000000000e+02	2.492486863520701945e+01
4.080000000000000000e+02	3.150420464341978644e+01
4.090000000000000000e+02	3.757236623396885733e+01
4.100000000000000000e+02	4.245201664826879551e+01
4.110000000000000000e+02	4.591416290955694279e+01
4.120000000000000000e+02	4.796065702192747437e+01
4.130000000000000000e+02	4.867299683758552220e+01
4.140000000000000000e+02	4.813552053036924150e+01
4.150000000000000000e+02	4.640988466047718219e+01
4.160000000000000000e+02	4.354194279100897802e+01
4.170000000000000000e+02	3.959544155442500823e+01
4.180000000000000000e+02	3.471258296822028910e+01
4.190000000000000000e+02	2.920200423711753501e+01
4.200000000000000000e+02	2.363337225973978661e+01
4.210000000000000000e+02	1.886417674917224119e+01
4.220000000000000000e+02	1.587756977424340832e+01
4.230000000000000000e+02	1.540447207377347816e+01
4.240000000000000000e+02	1.753304659624046025e+01
4.250000000000000000e+02	2.164401782387543705e+01
4.260000000000000000e+02	2.674847543233440206e+01
4.270000000000000000e+02	3.192059509432451492e+01
4.280000000000000000e+02	3.652457861459293298e+01
4.290000000000000000e+02	4.022170671222421845e+01
4.300000000000000000e+02	4.288134716121490442e+01
4.310000000000000000e+02	4.448929947317672884e+01
4.320000000000000000e+02	4.508332377345093533e+01
4.330000000000000000e+02	4.471822920069422480e+01
4.340000000000000000e+02	4.344920620358527685e+01
4.350000000000000000e+02	4.132529952194818890e+01
4.360000000000000000e+02	3.839605348978351174e+01
4.370000000000000000e+02	3.474045994528204062e+01
4.380000000000000000e+02	3.051682010262775080e+01
4.390000000000000000e+02	2.601545296807318763e+01
4.400000000000000000e+02	2.167526179125709973e+01
4.410000000000000000e+02	1.804914826232079861e+01
4.420000000000000000e+02	1.570195420446898282e+01
4.430000000000000000e+02	1.506064349389959389e+01
4.440000000000000000e+02	1.624921522789030348e+01
4.450000000000000000e+02	1.900977502467197766e+01
4.460000000000000000e+02	2.279448843225828014e+01
4.470000000000000000e+02	2.697586601817751273e+01
4.480000000000000000e+02	3.103702118885747296e+01
4.490000000000000000e+02	3.462811750057885973e+01
4.500000000000000000e+02	3.754581675226683757e+01
4.510000000000000000e+02	3.968487960260807057e+01
4.520000000000000000e+02	4.101222673254569884e+01
4.530000000000000000e+02	4.154115762959606428e+01
4.540000000000000000e+02	4.130829966476714787e+01
4.550000000000000000e+02	4.035487081574838442e+01
4.560000000000000000e+02	3.872139964471171680e+01
4.570000000000000000e+02	3.645507655104158573e+01
4.580000000000000000e+02	3.362567004373597968e+01
4.590000000000000000e+02	3.034186050644007082e+01
4.600000000000000000e+02	2.676987633583872750e+01
4.610000000000000000e+02	2.314884591972936079e+01
4.620000000000000000e+02	1.979233266531572610e+01
4.630000000000000000e+02	1.706132739331765791e+01
4.640000000000000000e+02	1.530007853673011020e+01
4.650000000000000000e+02	1.475509793735131225e+01
4.660000000000000000e+02	1.550648262477357164e+01
4.670000000000000000e+02	1.743630999634455492e+01
4.680000000000000000e+02	2.024703817811088769e+01
4.690000000000000000e+02	2.354096495911653619e+01
4.700000000000000000e+02	2.692433890091163562e+01
4.710000000000000000e+02	3.009118672494257041e+01
4.720000000000000000e+02	3.284695122385592470e+01
4.730000000000000000e+02	3.507677325108835475e+01
4.740000000000000000e+02	3.671746690238572342e+01
4.750000000000000000e+02	3.773202429429495908e+01
4.760000000000000000e+02	3.811417372868155695e+01
