# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Espesor Infinito)
# Layer 1: AlN Film | Input: 100.00 nm | Optimized: 78.50 nm
# Layer 2: SiC | Input: 1550.00 nm | Optimized: 1464.88 nm
# Layer 3: Si (Espesor Infinito)
# 
# Wavelength(nm)	Response
3.900000000000000000e+02	5.863730584327710460e+01
3.910000000000000000e+02	5.916729140650495111e+01
3.920000000000000000e+02	5.771698590088718817e+01
3.930000000000000000e+02	5.426287114175040927e+01
3.940000000000000000e+02	4.872429755935641538e+01
3.950000000000000000e+02	4.113007181284734060e+01
3.960000000000000000e+02	3.194270284175228625e+01
3.970000000000000000e+02	2.251355691234465084e+01
3.980000000000000000e+02	1.523954463171973117e+01
3.990000000000000000e+02	1.265384972536385177e+01
4.000000000000000000e+02	1.564390790048758006e+01
4.010000000000000000e+02	2.272179872271326673e+01
4.020000000000000000e+02	3.132206150316265081e+01
4.030000000000000000e+02	3.942336503376832724e+01
4.040000000000000000e+02	4.602262771971865618e+01
4.050000000000000000e+02	5.082380416548993196e+01
4.060000000000000000e+02	5.385381681568684087e+01
4.070000000000000000e+02	5.523635012597764415e+01
4.080000000000000000e+02	5.507464186461285749e+01
4.090000000000000000e+02	5.340942891294581329e+01
4.100000000000000000e+02	5.022870784505554553e+01
4.110000000000000000e+02	4.552120463108349924e+01
4.120000000000000000e+02	3.937080360313118632e+01
4.130000000000000000e+02	3.210845631176206894e+01
4.140000000000000000e+02	2.449757449606215687e+01
4.150000000000000000e+02	1.781805832287220426e+01
4.160000000000000000e+02	1.361289828662664014e+01
4.170000000000000000e+02	1.300653832644861296e+01
4.180000000000000000e+02	1.603665260627146338e+01
4.190000000000000000e+02	2.166042139712703118e+01
4.200000000000000000e+02	2.841071665542235536e+01
4.210000000000000000e+02	3.505027737218780004e+01
4.220000000000000000e+02	4.082476025975445566e+01
4.230000000000000000e+02	4.539260483800573098e+01
4.240000000000000000e+02	4.865966308879048086e+01
4.250000000000000000e+02	5.064612884453823227e+01
4.260000000000000000e+02	5.140735672195169315e+01
4.270000000000000000e+02	5.099206511221987626e+01
4.280000000000000000e+02	4.942573211638752895e+01
4.290000000000000000e+02	4.671650540858171041e+01
4.300000000000000000e+02	4.288309120276580444e+01
4.310000000000000000e+02	3.800507134703394740e+01
4.320000000000000000e+02	3.229905328720687407e+01
4.330000000000000000e+02	2.619912112622528610e+01
4.340000000000000000e+02	2.039447633720217823e+01
4.350000000000000000e+02	1.575617825662681248e+01
4.360000000000000000e+02	1.312924039671924348e+01
4.370000000000000000e+02	1.303163368602338323e+01
4.380000000000000000e+02	1.541271482532423320e+01
4.390000000000000000e+02	1.966216330202819051e+01
4.400000000000000000e+02	2.489798631644535831e+01
4.410000000000000000e+02	3.030477728961097839e+01
4.420000000000000000e+02	3.531238352641918254e+01
4.430000000000000000e+02	3.958846619862557503e+01
4.440000000000000000e+02	4.296719318148745259e+01
4.450000000000000000e+02	4.537987155988453480e+01
4.460000000000000000e+02	4.681917432060898676e+01
4.470000000000000000e+02	4.730779119556160595e+01
4.480000000000000000e+02	4.687536739996955504e+01
4.490000000000000000e+02	4.553878591270775189e+01
4.500000000000000000e+02	4.330561376411945673e+01
4.510000000000000000e+02	4.020216683441677219e+01
4.520000000000000000e+02	3.630676344625069873e+01
4.530000000000000000e+02	3.178127616216488960e+01
4.540000000000000000e+02	2.689316998677776027e+01
4.550000000000000000e+02	2.203115185613184934e+01
4.560000000000000000e+02	1.770271524507044347e+01
4.570000000000000000e+02	1.446778896710422302e+01
4.580000000000000000e+02	1.280450398468911288e+01
4.590000000000000000e+02	1.294977769509795706e+01
4.600000000000000000e+02	1.481539979673640772e+01
4.610000000000000000e+02	1.802808694922615373e+01
4.620000000000000000e+02	2.206373753171949659e+01
4.630000000000000000e+02	2.639665830216462439e+01
4.640000000000000000e+02	3.060332540044986871e+01
4.650000000000000000e+02	3.439557472705962482e+01
4.660000000000000000e+02	3.759846642353498680e+01
4.670000000000000000e+02	4.011526516050580682e+01
4.680000000000000000e+02	4.189211163038783070e+01
4.690000000000000000e+02	4.291035135271286549e+01
4.700000000000000000e+02	4.317639728716892478e+01
4.710000000000000000e+02	4.271225420174866372e+01
4.720000000000000000e+02	4.153978351824795823e+01
4.730000000000000000e+02	3.967453838255730147e+01
4.740000000000000000e+02	3.713610141464133108e+01
4.750000000000000000e+02	3.398364804240248560e+01
4.760000000000000000e+02	3.034112549661485048e+01
4.770000000000000000e+02	2.640767748497250267e+01
4.780000000000000000e+02	2.245005857529045556e+01
4.790000000000000000e+02	1.876740660357487656e+01
4.800000000000000000e+02	1.568562272058798612e+01
4.810000000000000000e+02	1.352162782559062748e+01
4.820000000000000000e+02	1.252795768152070899e+01
4.830000000000000000e+02	1.281546320718131682e+01
4.840000000000000000e+02	1.430716937554303314e+01
4.850000000000000000e+02	1.676424556062205085e+01
4.860000000000000000e+02	1.986296766068242192e+01
4.870000000000000000e+02	2.327228292051834657e+01
4.880000000000000000e+02	2.670247023431223710e+01
