Wavelength(nm)	Response
3.300000000000000000e+02	6.973398603176840993e+01
3.310000000000000000e+02	7.224033726559649438e+01
3.320000000000000000e+02	7.021389548541445436e+01
3.330000000000000000e+02	6.337348905698601698e+01
3.340000000000000000e+02	5.088553786342087903e+01
3.350000000000000000e+02	3.362546667792571498e+01
3.360000000000000000e+02	1.966883916173335223e+01
3.370000000000000000e+02	2.167927115598416776e+01
3.380000000000000000e+02	3.708807309480960868e+01
3.390000000000000000e+02	5.300800862483178832e+01
3.400000000000000000e+02	6.377743564565068368e+01
3.410000000000000000e+02	6.933216641116747780e+01
3.420000000000000000e+02	7.052669225852254442e+01
3.430000000000000000e+02	6.766081081008913145e+01
3.440000000000000000e+02	6.032669968177657438e+01
3.450000000000000000e+02	4.791633990028711310e+01
3.460000000000000000e+02	3.178959509271068029e+01
3.470000000000000000e+02	1.949603649060867383e+01
3.480000000000000000e+02	2.149930057636458614e+01
3.490000000000000000e+02	3.572020796225420725e+01
3.500000000000000000e+02	5.119406027416120253e+01
3.510000000000000000e+02	6.232852935616634227e+01
3.520000000000000000e+02	6.867422012145775057e+01
3.530000000000000000e+02	7.097058496781080805e+01
3.540000000000000000e+02	6.961388900600198326e+01
3.550000000000000000e+02	6.439527638184850389e+01
3.560000000000000000e+02	5.465278563826386460e+01
3.570000000000000000e+02	4.022736148251432553e+01
3.580000000000000000e+02	2.459347576711989092e+01
3.590000000000000000e+02	1.766210606971541353e+01
3.600000000000000000e+02	2.603292886585152033e+01
3.610000000000000000e+02	4.216042858088164280e+01
3.620000000000000000e+02	5.650242037417881136e+01
3.630000000000000000e+02	6.605868509868807337e+01
3.640000000000000000e+02	7.119562449384133629e+01
3.650000000000000000e+02	7.267433747394066756e+01
3.660000000000000000e+02	7.080183543169403038e+01
3.670000000000000000e+02	6.536047739366205178e+01
3.680000000000000000e+02	5.579078355921848242e+01
3.690000000000000000e+02	4.200859108723284407e+01
3.700000000000000000e+02	2.676357401709578454e+01
3.710000000000000000e+02	1.785729472810263019e+01
3.720000000000000000e+02	2.201237664463671351e+01
3.730000000000000000e+02	3.520973959200894399e+01
3.740000000000000000e+02	4.903851076267629594e+01
3.750000000000000000e+02	5.946534722489893454e+01
3.760000000000000000e+02	6.604492739222314412e+01
3.770000000000000000e+02	6.933111258390266585e+01
3.780000000000000000e+02	6.981372603139163857e+01
3.790000000000000000e+02	6.768017282790152933e+01
3.800000000000000000e+02	6.282500837116130299e+01
3.810000000000000000e+02	5.500611199612923485e+01
3.820000000000000000e+02	4.427887993369949982e+01
3.830000000000000000e+02	3.198294069317515920e+01
3.840000000000000000e+02	2.185061749154577626e+01
3.850000000000000000e+02	1.878553309942785887e+01
3.860000000000000000e+02	2.429365663299128997e+01
3.870000000000000000e+02	3.483009300563104205e+01
3.880000000000000000e+02	4.582805181914974924e+01
3.890000000000000000e+02	5.479977062539501276e+01
3.900000000000000000e+02	6.112455546190349764e+01
3.910000000000000000e+02	6.495923019654956931e+01
3.920000000000000000e+02	6.658532427055304481e+01
3.930000000000000000e+02	6.618187243819947696e+01
3.940000000000000000e+02	6.378408320743398008e+01
3.950000000000000000e+02	5.931487552127752849e+01
3.960000000000000000e+02	5.268935584613923595e+01
3.970000000000000000e+02	4.406392911694744896e+01
3.980000000000000000e+02	3.428277739601386997e+01
3.990000000000000000e+02	2.533692371727856596e+01
4.000000000000000000e+02	2.011881324470646959e+01
4.010000000000000000e+02	2.074305286348017319e+01
4.020000000000000000e+02	2.672174713814488456e+01
4.030000000000000000e+02	3.547337762847718068e+01
4.040000000000000000e+02	4.439826843449210969e+01
4.050000000000000000e+02	5.199689431242306625e+01
4.060000000000000000e+02	5.774280540848518228e+01
4.070000000000000000e+02	6.162078223201834248e+01
4.080000000000000000e+02	6.377638076003779588e+01
4.090000000000000000e+02	6.434194985049821014e+01
4.100000000000000000e+02	6.337865257506655325e+01
4.110000000000000000e+02	6.088103656060738444e+01
4.120000000000000000e+02	5.680760004126534568e+01
4.130000000000000000e+02	5.115035652803172184e+01
4.140000000000000000e+02	4.406995139984950072e+01
4.150000000000000000e+02	3.610780630877034980e+01
4.160000000000000000e+02	2.840371032057920075e+01
4.170000000000000000e+02	2.265622851713927943e+01
4.180000000000000000e+02	2.051129016406493477e+01
4.190000000000000000e+02	2.259193198386402202e+01
4.200000000000000000e+02	2.807571164757631266e+01
4.210000000000000000e+02	3.529541633076488694e+01
4.220000000000000000e+02	4.267979207839645284e+01
4.230000000000000000e+02	4.923158452557979103e+01
4.240000000000000000e+02	5.449982250057472299e+01
4.250000000000000000e+02	5.837159194876220170e+01
4.260000000000000000e+02	6.088919767027125829e+01
4.270000000000000000e+02	6.213598440222114050e+01
4.280000000000000000e+02	6.217710487759558191e+01
4.290000000000000000e+02	6.103912103123423094e+01
4.300000000000000000e+02	5.871452251468598149e+01
4.310000000000000000e+02	5.518508842079465637e+01
4.320000000000000000e+02	5.046990446556156940e+01
4.330000000000000000e+02	4.470038264487013180e+01
4.340000000000000000e+02	3.821757735881544704e+01
4.350000000000000000e+02	3.166014064937342454e+01
4.360000000000000000e+02	2.598756283700465630e+01
4.370000000000000000e+02	2.232236511703163728e+01
4.380000000000000000e+02	2.153726697821097602e+01
4.390000000000000000e+02	2.378448960603561702e+01
4.400000000000000000e+02	2.840081549970811281e+01
4.410000000000000000e+02	3.430025135859089858e+01
4.420000000000000000e+02	4.046811768927594954e+01
4.430000000000000000e+02	4.619551402759988434e+01
4.440000000000000000e+02	5.108214110221402393e+01
4.450000000000000000e+02	5.494502355289472462e+01
4.460000000000000000e+02	5.774127037329279233e+01
4.470000000000000000e+02	5.949842946788041331e+01
4.480000000000000000e+02	6.026698816509419032e+01
4.490000000000000000e+02	6.008012584013138735e+01
4.500000000000000000e+02	5.894370291517105898e+01
4.510000000000000000e+02	5.684965208080954824e+01
4.520000000000000000e+02	5.380050529827950356e+01
4.530000000000000000e+02	4.983616914336413117e+01
4.540000000000000000e+02	4.506314238900763769e+01
4.550000000000000000e+02	3.969824729326019508e+01
4.560000000000000000e+02	3.413047714016730794e+01
4.570000000000000000e+02	2.895242835429073835e+01
4.580000000000000000e+02	2.490616245670911155e+01
4.590000000000000000e+02	2.269371349032398655e+01
4.600000000000000000e+02	2.272285475849142955e+01
