# Fresnel Simulation Metadata
# ---------------------------
# Layer 0: Air (Infinite boundary)
# Layer 1: AlN (hexagonal) | Input: 100.00 nm | Optimized: 157.86 nm
# Layer 2: Si (Infinite boundary)
# 
# Wavelength(nm)	Response
3.500000000000000000e+02	7.031720105832950196e+01
3.510000000000000000e+02	7.030759632125753456e+01
3.520000000000000000e+02	7.029106292748249984e+01
3.530000000000000000e+02	7.027450725299004830e+01
3.540000000000000000e+02	7.025092181559301707e+01
3.550000000000000000e+02	7.020939908370451121e+01
3.560000000000000000e+02	7.015249977855080488e+01
3.570000000000000000e+02	7.008681510803822334e+01
3.580000000000000000e+02	6.999934365650932477e+01
3.590000000000000000e+02	6.986737302079768597e+01
3.600000000000000000e+02	6.967814579341970216e+01
3.610000000000000000e+02	6.942538695866748810e+01
3.620000000000000000e+02	6.910319643193041372e+01
3.630000000000000000e+02	6.870366624538891642e+01
3.640000000000000000e+02	6.821315365326293545e+01
3.650000000000000000e+02	6.761495556846928423e+01
3.660000000000000000e+02	6.690731037771240608e+01
3.670000000000000000e+02	6.610808346001869040e+01
3.680000000000000000e+02	6.523010702504322467e+01
3.690000000000000000e+02	6.428081342164411183e+01
3.700000000000000000e+02	6.326623579173696044e+01
3.710000000000000000e+02	6.218223937584897243e+01
3.720000000000000000e+02	6.102612399178381253e+01
3.730000000000000000e+02	5.982434675023263537e+01
3.740000000000000000e+02	5.861407995843367758e+01
3.750000000000000000e+02	5.740319082578244547e+01
3.760000000000000000e+02	5.617684908263687760e+01
3.770000000000000000e+02	5.493157820592481499e+01
3.780000000000000000e+02	5.368414429273195054e+01
3.790000000000000000e+02	5.245149500838287082e+01
3.800000000000000000e+02	5.123997518676979723e+01
3.810000000000000000e+02	5.005250621204642414e+01
3.820000000000000000e+02	4.888235491934705834e+01
3.830000000000000000e+02	4.771672172391998856e+01
3.840000000000000000e+02	4.655379756045321926e+01
3.850000000000000000e+02	4.541163524616665370e+01
3.860000000000000000e+02	4.430397202336227025e+01
3.870000000000000000e+02	4.321783623618963333e+01
3.880000000000000000e+02	4.213378768982974520e+01
3.890000000000000000e+02	4.104855875371760732e+01
3.900000000000000000e+02	3.997541817621075211e+01
3.910000000000000000e+02	3.892318770582403431e+01
3.920000000000000000e+02	3.788502073004218573e+01
3.930000000000000000e+02	3.685210035204103463e+01
3.940000000000000000e+02	3.582362266261116446e+01
3.950000000000000000e+02	3.480408405255818138e+01
3.960000000000000000e+02	3.379865556360327616e+01
3.970000000000000000e+02	3.281403447715778299e+01
3.980000000000000000e+02	3.185646003232209722e+01
3.990000000000000000e+02	3.092255949011820704e+01
4.000000000000000000e+02	3.000174221316164136e+01
4.010000000000000000e+02	2.908770335086462211e+01
4.020000000000000000e+02	2.819069247144467738e+01
4.030000000000000000e+02	2.732416445638288138e+01
4.040000000000000000e+02	2.649281980558521710e+01
4.050000000000000000e+02	2.569257580230426896e+01
4.060000000000000000e+02	2.491922258961812986e+01
4.070000000000000000e+02	2.417066054258511798e+01
4.080000000000000000e+02	2.344540113191312258e+01
4.090000000000000000e+02	2.274259666582972628e+01
4.100000000000000000e+02	2.206331878327816298e+01
4.110000000000000000e+02	2.140895858195769463e+01
4.120000000000000000e+02	2.078120800710448890e+01
4.130000000000000000e+02	2.018187932583251865e+01
4.140000000000000000e+02	1.961235164377926310e+01
4.150000000000000000e+02	1.907197731110273509e+01
4.160000000000000000e+02	1.855909122727722149e+01
